sample	evt	cand_len_cm	angle_deg	angle1_deg	ratio	sg_len_cm	cap_deg	considered
mcp2k	294174	31.1	32.16	32.16	1.530	31.6	16.0	0
mcp2k	294174	5.3	40.17	40.17	0.874	7.5	16.0	0
mcp2k	294174	6.6	26.91	26.91	1.125	3.8	16.0	0
mcp2k	294174	6.7	161.06	161.06	0.559	7.3	16.0	0
mcp2k	294174	7.2	132.64	132.64	1.322	245.6	16.0	0
mcp2k	294174	7.5	135.57	135.57	1.162	245.6	16.0	0
mcp2k	392901	2.4	60.39	60.39	0.575	181.1	16.0	0
mcp2k	392901	4.3	53.63	53.63	0.514	21.5	16.0	0
mcp2k	392901	4.4	39.79	39.79	0.611	18.0	16.0	0
mcp2k	392901	5.5	29.52	29.52	0.918	38.5	16.0	0
mcp2k	392901	5.5	51.16	51.16	0.727	18.5	16.0	0
mcp2k	392901	5.6	27.52	27.52	0.917	39.0	16.0	0
mcp2k	392901	8.5	127.53	127.53	1.033	182.2	16.0	0
mcp2k	393538	20.3	36.22	36.22	0.468	251.2	16.0	0
mcp2k	393538	22.0	33.24	33.24	0.578	249.6	16.0	0
mcp2k	393538	3.7	58.60	58.60	0.633	23.9	16.0	0
mcp2k	393538	4.9	60.28	60.28	0.553	23.4	16.0	0
mcp2k	393538	6.8	119.64	119.64	0.563	11.9	16.0	0
mcp2k	395695	21.4	97.80	97.80	1.329	8.0	16.0	0
mcp2k	395695	3.1	45.04	45.04	0.988	37.8	16.0	0
mcp2k	499577	17.1	123.95	123.95	1.101	1.3	16.0	0
mcp2k	499577	18.5	135.50	135.50	0.783	108.4	16.0	0
mcp2k	499577	26.1	32.87	32.87	1.352	110.1	16.0	0
mcp2k	499577	29.7	54.89	54.89	0.880	105.0	16.0	0
mcp2k	499577	4.2	32.48	32.48	1.476	17.9	16.0	0
mcp2k	499577	4.3	26.28	26.28	1.476	18.0	16.0	0
mcp2k	499577	4.3	27.57	27.57	1.462	17.5	16.0	0
mcp2k	499577	4.7	113.51	113.51	0.000	110.1	16.0	0
mcp2k	53793	16.7	15.01	15.01	1.855	240.5	16.0	0
mcp2k	53793	17.0	16.23	16.23	1.752	239.9	16.0	0
mcp2k	53793	8.3	37.14	37.14	1.182	91.9	16.0	0
mcp2k	53793	88.5	62.85	61.18	1.053	4.5	16.0	1
mcp2k	55220	10.0	80.84	80.84	1.349	29.6	16.0	0
mcp2k	55220	14.7	84.14	84.14	0.543	29.6	16.0	0
mcp2k	55740	8.5	11.00	11.00	0.374	123.1	16.0	0
mcp2k	55740	8.8	64.53	64.53	1.081	133.7	16.0	0
mcp2k	66366	5.8	32.91	32.91	0.453	92.3	16.0	0
mcp2k	66366	6.5	35.86	35.86	0.563	93.1	16.0	0
mcp2k	66872	3.0	49.47	49.47	0.747	62.6	16.0	0
mcp2k	66872	4.5	44.57	44.57	0.625	66.3	16.0	0
mcp2k	74336	12.5	27.23	27.23	1.026	104.4	16.0	0
mcp2k	74336	13.1	22.66	22.66	1.026	103.8	16.0	0
mcp2k	74784	260.7	179.02	179.57	1.039	69.1	16.0	1
mcp2k	74784	3.2	69.79	69.79	0.378	66.2	16.0	0
mcp2k	74784	30.4	17.99	17.99	0.197	68.6	16.0	0
mcp2k	99232	16.2	64.99	64.99	1.110	236.3	16.0	0
mcp2k	99232	16.4	64.26	64.26	1.110	238.4	16.0	0
mcp2k	99232	39.0	86.71	86.71	1.879	9.8	16.0	0
mcp2k	99232	40.3	99.83	99.83	1.960	10.4	16.0	0
