item	verdict	kind	connected	confidence	comment
mcp1k-169356-r019	NO	TRACK	YES	3	box on the blue-outlined green track, nothing uncovered
mcp2k-414200-r012	YES	TRACK	YES	2	~45-slice dark track stretch with no enclosing blue contour, imaged at both ends
mcp2k-95899-r014	NO	TRACK	YES	2	line of green candidate cells with faint charge; nothing clearly uncovered
mcp2k-392901-r058	NO	TRACK	YES	2	whole-panel box; both long tracks blue-outlined
mcp2k-173671-r059	NO	TRACK	YES	3	long steep track fully blue-outlined inside the box
mcp2k-100157-r023	YES	TRACK	YES	2	dark ~22-slice vertical tail below the imaged track end, no blue outline
mcp2k-52693-r002	YES	TRACK	YES	3	~75-slice track segment, no blue outline, imaged blobs at both ends
mcp2k-98382-r024	YES	TRACK	YES	3	~28-slice grey track segment in a blue-outline gap between imaged parts
mcp1k-172266-r020	YES	TRACK	YES	3	dark ~48-slice steep track segment with no blue outline between blue lobes
mcp2k-241626-r053	NO	SHOWER	YES	2	long shower band enveloped by blue outlines; only diffuse halo outside
mcp1k-281505-r018	YES	TRACK	YES	3	~36-slice dark track segment with no blue outline, imaged above and below
mcp2k-168209-r028	NO	TRACK	YES	3	box on the blue-outlined green track, nothing outside blue
mcp2k-410064-r907	NO	NONE	YES	3	only one small imaged blue/green blob, rest of the box empty
mcp2k-74336-r034	YES	TRACK	YES	2	faint ~40-slice track segment in a blue-outline gap, imaged at both ends
mcp2k-70084-r010	NO	NONE	NO	2	box at dead-wire band edge, essentially empty below the imaged track end
mcp2k-91697-r029	YES	TRACK	YES	2	~15-slice track piece with no blue contour, joins blue band above to track below
mcp1k-394532-r049	YES	TRACK	YES	2	~18-slice vertical tail below imaged blob at dead-band edge; same streak in U
mcp2k-280709-r007	YES	TRACK	YES	2	dark ~25-slice vertical tail below the imaged blob, no blue outline
mcp1k-283009-r009	YES	TRACK	YES	2	dark ~15-slice vertical column below the blue band, no blue contour around it
mcp1k-487853-r909	NO	TRACK	YES	3	box on the blue-outlined green horizontal band; rest empty
