# stm_fit-global cluster_id remap for /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/sbnd/sbnd_xin/scan-d59k/bee/nofc393.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
290316	247	10	6	flash-matched	6:1943
290729	248	12	3	flash-matched	3:1418
290844	249	3	5	flash-matched	5:1071, 11:585
291301	250	18	10	flash-matched	10:172
291345	251	12	13	flash-matched	13:211
291499	252	12	19	flash-matched	19:344
291768	254	18	19	flash-matched	19:355
292005	255	18	12	flash-matched	12:2082
292027	256	12	27	flash-matched	27:2825, 26:1030
292406	257	6	14	flash-matched	14:359
292450	258	8	8	flash-matched	8:4386
292577	259	12	11	flash-matched	11:927
292687	260	11	9	flash-matched	9:1319
292797	261	27	26	flash-matched	26:1785, 7:550
315167	264	8	15	flash-matched	15:5278
315409	265	16	22	flash-matched	22:3514
315497	266	16	12	flash-matched	12:6011
315849	267	10	7	flash-matched	7:656
316311	268	11	10	flash-matched	10:798
316553	269	11	17	flash-matched	17:3224
317543	270	15	4	flash-matched	4:1032
317939	271	25	7	flash-matched	7:5617
318335	272	6	9	flash-matched	9:114
319611	273	2	3	flash-matched	3:1749
319809	274	20	11	flash-matched	11:1271
321107	276	13	3	flash-matched	3:7994
321371	277	18	22	flash-matched	22:4522
321525	278	5	14	flash-matched	14:1283
321767	279	15	10	flash-matched	10:2615, 18:2483
321789	280	7	13	flash-matched	13:224
346293	282	5	2	flash-matched	2:2670
347085	283	4	7	flash-matched	7:2225
348471	284	12	6	flash-matched	6:3095
348691	285	9	19	flash-matched	19:6829
348713	286	7	20	flash-matched	20:1315
348845	287	7	16	flash-matched	16:1038
349241	288	15	8	flash-matched	8:606
349879	290	17	17	flash-matched	17:2765
349945	291	18	9	flash-matched	9:2255
350099	292	15	19	flash-matched	19:1564
350121	293	2	4	flash-matched	4:4247
350781	294	8	17	flash-matched	17:1632
351815	295	25	6	flash-matched	6:486
352123	296	10	15	flash-matched	15:562
352365	297	12	6	flash-matched	6:2426
353223	299	15	6	flash-matched	6:526, 10:178
353487	300	3	4	flash-matched	4:9002
353729	301	23	11	flash-matched	11:1417
386354	302	4	6	flash-matched	6:814
386794	303	15	13	flash-matched	13:336
386838	304	16	6	flash-matched	6:693
387168	305	15	8	flash-matched	8:713
387850	306	17	17	flash-matched	17:1167
388884	307	2	1	flash-matched	1:1154
389544	309	13	6	flash-matched	6:354
389962	310	5	13	flash-matched	13:712
390006	311	4	14	flash-matched	14:1042
390028	312	5	7	flash-matched	7:317
390182	313	4	10	flash-matched	10:1976
390864	314	16	6	flash-matched	6:1788
391766	317	16	16	flash-matched	16:2616
392112	318	7	7	flash-matched	7:1222
392184	319	18	10	flash-matched	10:544
392200	320	27	14	flash-matched	14:905
392338	321	14	9	flash-matched	9:1296
392558	323	2	6	flash-matched	6:69
393542	324	22	25	flash-matched	25:196
393608	325	9	18	flash-matched	18:692
394488	326	2	9	flash-matched	9:331
394532	327	8	16	flash-matched	16:415
394642	328	13	16	flash-matched	16:7414
394906	329	16	18	flash-matched	18:838
395060	330	19	20	flash-matched	20:2077
395610	331	22	3	flash-matched	3:1581, 24:231
397194	332	13	2	flash-matched	2:2253
397392	334	13	6	flash-matched	6:4531
397568	335	19	10	flash-matched	10:1318
397722	336	18	17	flash-matched	17:633
397920	337	8	17	flash-matched	17:2231
398238	338	13	16	flash-matched	16:871, 11:340
398260	339	5	4	flash-matched	4:1618
398414	340	18	21	flash-matched	21:178
398722	341	10	19	flash-matched	19:156
399042	342	14	8	flash-matched	8:267
399052	343	15	5	flash-matched	5:2518
399284	344	6	12	flash-matched	12:2399
400174	347	8	14	flash-matched	14:709
400504	349	6	17	flash-matched	17:2373
400636	350	6	6	flash-matched	6:1008
401450	351	17	7	flash-matched	7:5838
401824	352	4	5	flash-matched	5:128
402330	354	1	4	flash-matched	4:390
402968	356	19	4	flash-matched	4:1134
403958	357	3	7	flash-matched	7:550
404684	358	9	10	flash-matched	10:572, 3:470
404816	359	5	10	flash-matched	10:2036
405432	361	15	26	flash-matched	26:774
405740	363	14	8	flash-matched	8:340
406752	364	7	9	flash-matched	9:375
406796	365	9	7	flash-matched	7:601
407148	366	15	11	flash-matched	11:1983
408534	367	9	17	flash-matched	17:1396
409084	368	12	16	flash-matched	16:1073
409458	369	8	4	flash-matched	4:69
409546	370	8	11	flash-matched	11:176
409942	372	17	16	flash-matched	16:1021
411460	374	6	11	flash-matched	11:243
411790	375	13	16	flash-matched	16:310
412692	376	13	11	flash-matched	11:1372
486049	377	13	9	flash-matched	9:2841
486687	378	20	12	flash-matched	12:4388
486907	379	16	8	flash-matched	8:3468
487633	380	3	5	flash-matched	5:1467
488139	381	14	9	flash-matched	9:1164, 27:261
489327	382	19	3	flash-matched	3:4248, 5:466, 18:358
489811	385	4	9	flash-matched	9:1582
490361	386	20	11	flash-matched	11:1143
490581	387	6	14	flash-matched	14:3220
490977	388	17	18	flash-matched	18:608
492649	389	20	20	flash-matched	20:665
492891	390	13	24	flash-matched	24:4345
492913	391	15	5	flash-matched	5:432, 13:193
493243	392	13	19	flash-matched	19:1616
