arm	run	subrun	evt	shower	n_mem	n_mu	n_oth	L_mu_cm	L_oth_cm	L_chain_cm	L_unchained_cm	dQ_frac_oth	kine_range	kine_dQdx	kine_charge	kine_best	best_is	fallback_why	dqdx_all_MeV	dqdx_chain_MeV	dqdx_shift_MeV	total_length_cm	ratio_dqdx_range	n_deg3_internal	min_arm_cm	start_pdg
mcp1k	18255	1	283040	2008	2	2	0	122.1	0	122.1	0	0	298.5	364.2	218	298.5	range		364.2	364.2	0	122.1	1.22	0	-1	13
mcp1k	18255	1	283713	17007	3	2	1	498.4	3.722	498.4	0	0.004442	1139	1158	867.3	1139	range		1158	1152	6.476	502.1	1.017	1	3.722	13
mcp1k	18255	1	283713	23011	12	6	6	34.13	24.15	0	34.13	0.3869	0	176.3	169	169	charge	range_zero	176.3	109	67.29	58.28	-1	0	-1	13
mcp1k	18255	1	284103	8005	3	2	1	167.8	2.374	167.8	0	0.02136	396.4	371	275.1	396.4	range		371	363.1	7.986	170.1	0.936	1	2.374	13
mcp1k	18255	1	284200	32039	1	1	0	11.18	0	11.18	0	0	51.1	54.55	44.23	51.1	range		54.55	54.55	0	11.18	1.068	0	-1	13
mcp1k	18255	1	284769	16005	3	2	1	371.6	5.446	371.6	0	0.01455	856.9	832.3	585.8	856.9	range		832.3	820	12.32	377.1	0.9714	1	5.446	13
mcp1k	18255	1	285971	7009	5	4	1	284.5	1.801	271.4	13.12	0.008219	625.8	702.4	480.8	625.8	range		702.4	696.7	5.677	286.3	1.122	1	1.801	13
mcp1k	18255	1	286191	7002	2	2	0	110.6	0	110.6	0	0	274	339.5	195.5	274	range		339.5	339.5	0	110.6	1.239	0	-1	13
mcp1k	18255	1	286191	63011	3	2	1	36.67	10.87	0	36.67	0.2722	0	99.97	13.12	13.12	charge	range_zero	99.97	73.76	26.21	47.54	-1	0	-1	13
mcp1k	18255	1	286353	9012	3	2	1	273.3	1.43	273.3	0	0.006142	630.1	583.1	465.6	630.1	range		583.1	579.5	3.577	274.7	0.9253	1	1.43	13
mcp1k	18255	1	286681	72040	11	2	9	40.63	68.59	0	40.63	0.7295	0	420.3	181.1	181.1	charge	range_zero	420.3	99.04	321.2	109.2	-1	0	-1	13
mcp1k	18255	1	287555	65023	1	1	0	41.88	0	41.88	0	0	126.1	126.2	89.69	126.1	range		126.2	126.2	0	41.88	1.001	0	-1	13
mcp1k	18255	1	287830	42052	5	2	3	10.97	5.173	0	10.97	0.4732	0	29.86	11.83	11.83	charge	range_zero	29.86	16.99	12.88	16.15	-1	0	-1	13
mcp1k	18255	1	288327	22005	7	3	4	104.7	27.11	103	1.631	0.2493	257.8	314.8	235.6	314.8	dQdx	end_degree_or_override	314.8	235.6	79.15	131.8	1.221	2	3.304	13
mcp1k	18255	1	288639	35010	1	1	0	58.11	0	58.11	7.105e-15	0	161.9	164.6	113.7	161.9	range		164.6	164.6	0	58.11	1.017	0	-1	13
mcp1k	18255	1	288859	9003	7	3	4	339.6	59.69	339.6	5.684e-14	0.07003	782.1	846.5	637.8	782.1	range		846.5	769.3	77.18	399.3	1.082	2	3.987	13
mcp1k	18255	1	289251	12002	7	4	3	285.8	16.2	285.8	0	0.04359	658.4	681.2	513.8	658.4	range		681.2	648.6	32.65	302	1.035	3	2.41	13
mcp1k	18255	1	289559	14007	3	2	1	160.9	4.164	160.9	2.842e-14	0.02378	381.5	380.6	263.7	381.5	range		380.6	371.1	9.521	165	0.9978	1	4.164	13
mcp1k	18255	1	291262	18006	1	1	0	12.92	0	12.92	0	0	56.08	49.17	36.89	56.08	range		49.17	49.17	0	12.92	0.8769	0	-1	13
mcp1k	18255	1	291570	26001	1	1	0	99.81	0	99.81	0	0	251	247.9	181.8	251	range		247.9	247.9	0	99.81	0.9877	0	-1	13
mcp1k	18255	1	292005	18005	3	2	1	167.1	4.842	167.1	0	0.02591	394.9	382.4	275.4	394.9	range		382.4	371.9	10.48	171.9	0.9683	1	4.842	13
mcp1k	18255	1	292027	12005	3	2	1	289.6	4.854	289.6	0	0.01936	667	666.9	467.1	667	range		666.9	654.1	12.78	294.4	0.9999	1	4.854	13
mcp1k	18255	1	292384	19006	3	2	1	384.5	6.715	384.5	0	0.016	887.2	885.6	653.9	887.2	range		885.6	870.8	14.81	391.2	0.9982	1	6.715	13
mcp1k	18255	1	292384	19003	1	1	0	148.3	0	148.3	0	0	354.4	310.6	136.3	354.4	range		310.6	310.6	0	148.3	0.8766	0	-1	13
mcp1k	18255	1	292687	11005	2	2	0	103.3	0	103.3	0	0	258.3	239	163.5	258.3	range		239	239	0	103.3	0.9253	0	-1	13
mcp1k	18255	1	313847	19014	4	3	1	260.9	6.851	98.54	162.4	0.03123	248.3	547.5	432.4	547.5	dQdx	ratio_outside	547.5	530.8	16.73	267.8	2.205	1	6.851	13
mcp1k	18255	1	314507	51007	1	1	0	61.69	0	61.69	0	0	169.7	117.7	32.87	169.7	range		117.7	117.7	0	61.69	0.6939	0	-1	13
mcp1k	18255	1	315013	15019	5	4	1	215.6	7.931	209.8	5.8	0.02098	488.3	513.6	368.8	513.6	dQdx	end_degree_or_override	513.6	500.4	13.14	223.6	1.052	0	-1	13
mcp1k	18255	1	316553	11002	3	2	1	262.7	2.382	262.7	0	0.01186	606.1	610.7	425.6	606.1	range		610.7	603	7.713	265.1	1.008	1	2.382	13
mcp1k	18255	1	319039	26004	3	1	2	26.7	46.97	73.67	0	1.051	195.4	125.5	63.87	195.4	range		125.5	14.53	111	73.67	0.6426	0	-1	13
mcp1k	18255	1	320667	29014	6	2	4	10.79	20.54	0	10.79	0.5489	0	64.51	41.38	41.38	charge	range_zero	64.51	26.8	37.71	31.33	-1	0	-1	13
mcp1k	18255	1	321371	18009	2	1	1	23.89	3.774	27.66	0	0.1334	93.51	59.98	49.16	93.51	range		59.98	51.51	8.462	27.66	0.6414	0	-1	13
mcp1k	18255	1	321767	15006	2	2	0	248.2	0	248.2	0	0	573.7	544.7	361.5	573.7	range		544.7	544.7	0	248.2	0.9495	0	-1	13
mcp1k	18255	1	348691	51080	2	1	1	18.18	13.74	31.92	0	0.4417	103.5	85.96	79.83	103.5	range		85.96	46.44	39.51	31.92	0.8307	0	-1	13
mcp1k	18255	1	349461	72015	3	2	1	11.12	0.4981	0	11.12	0.06067	0	50.87	9.843	9.843	charge	range_zero	50.87	47.84	3.025	11.62	-1	0	-1	13
mcp1k	18255	1	349461	71014	1	1	0	40.36	0	40.36	0	0	122.7	103.1	19.72	122.7	range		103.1	103.1	0	40.36	0.8401	0	-1	13
mcp1k	18255	1	349945	26019	1	1	0	43.16	0	43.16	0	0	129	102	69.62	129	range		102	102	0	43.16	0.7912	0	-1	13
mcp1k	18255	1	350935	11001	2	1	1	253.1	13.87	266.9	0	0.07379	615.7	525.1	169.8	615.7	range		525.1	488.4	36.7	266.9	0.8529	0	-1	13
mcp1k	18255	1	352233	51012	1	1	0	38.56	0	38.56	0	0	118.6	104.1	76.6	118.6	range		104.1	104.1	0	38.56	0.8772	0	-1	13
mcp1k	18255	1	387850	15001	1	1	0	67.34	0	67.34	0	0	181.8	179.7	49.78	181.8	range		179.7	179.7	0	67.34	0.9885	0	-1	13
mcp1k	18255	1	390864	16003	1	1	0	81.26	0	81.26	0	0	211.6	199.2	136.4	211.6	range		199.2	199.2	0	81.26	0.9415	0	-1	13
mcp1k	18255	1	391766	17002	3	2	1	280.7	2.698	280.7	5.684e-14	0.0118	646.9	639.9	463.6	646.9	range		639.9	632.2	7.694	283.4	0.9892	1	2.698	13
mcp1k	18255	1	391766	24005	3	2	1	16.78	7.292	24.07	0	0.1723	84.89	78.69	56.67	84.89	range		78.69	64.75	13.95	24.07	0.927	0	-1	13
mcp1k	18255	1	391766	25013	1	1	0	31.99	0	31.99	0	0	103.6	104.6	73.7	103.6	range		104.6	104.6	0	31.99	1.009	0	-1	13
mcp1k	18255	1	393212	84048	2	1	1	16.37	1.369	17.74	0	0.2444	69.03	110.8	58.38	69.03	range		110.8	62.93	47.88	17.74	1.605	0	-1	13
mcp1k	18255	1	395610	28002	2	1	1	52.86	5.236	58.1	0	0.08317	161.9	127.5	90.58	161.9	range		127.5	116.3	11.18	58.1	0.7873	0	-1	13
mcp1k	18255	1	398690	18002	3	2	1	265.9	3.201	265.9	0	0.01405	613.4	620.9	461.3	613.4	range		620.9	612.1	8.761	269.1	1.012	1	3.201	13
mcp1k	18255	1	399702	27003	5	2	3	217.9	15.37	217.9	0	0.1173	506.2	622.9	437	622.9	dQdx	end_degree_or_override	622.9	498.5	124.4	233.3	1.231	1	6.029	13
mcp1k	18255	1	399856	3002	2	2	0	64.67	0	64.67	0	0	176.1	227.3	144	176.1	range		227.3	227.3	0	64.67	1.291	0	-1	13
mcp1k	18255	1	405674	11008	3	2	1	168.4	3.017	168.4	0	0.01983	397.7	413.3	300.9	397.7	range		413.3	404.9	8.374	171.4	1.039	1	3.017	13
mcp1k	18255	1	408534	9001	2	2	0	86.88	0	86.88	1.421e-14	0	223.5	191.4	114.5	223.5	range		191.4	191.4	0	86.88	0.8565	0	-1	13
mcp1k	18255	1	408534	23012	1	1	0	29.83	0	29.83	0	0	98.61	76.98	60.39	98.61	range		76.98	76.98	0	29.83	0.7806	0	-1	13
mcp1k	18255	1	490581	6002	3	2	1	228.4	3.657	228.4	0	0.01424	529.4	498.2	356.5	529.4	range		498.2	490.3	7.947	232	0.9412	1	3.657	13
mcp1k	18255	1	490977	23004	12	5	7	19.69	36.89	0	19.69	0.5402	0	181.3	158.1	158.1	charge	range_zero	181.3	83.86	97.4	56.58	-1	0	-1	13
mcp1k	18255	1	53427	14003	2	2	0	200.3	0	200.3	0	0	467.3	442.8	340.9	467.3	range		442.8	442.8	0	200.3	0.9476	0	-1	13
mcp1k	18255	1	55539	23005	1	1	0	108.9	0	108.9	1.421e-14	0	270.3	232.7	175.1	270.3	range		232.7	232.7	0	108.9	0.8611	0	-1	13
mcp1k	18255	1	55539	39006	1	1	0	63.55	0	63.55	7.105e-15	0	173.7	173.5	124.2	173.7	range		173.5	173.5	0	63.55	0.999	0	-1	13
mcp1k	18255	1	56463	14007	3	3	0	417.3	0	412.9	4.442	0	954.4	915	683	954.4	range		915	915	0	417.3	0.9587	0	-1	13
mcp1k	18255	1	57575	12003	3	2	1	299.6	3.339	299.6	5.684e-14	0.01601	690	726.5	498.6	690	range		726.5	715.6	10.89	303	1.053	1	3.339	13
mcp1k	18255	1	59025	19005	3	2	1	265.9	2.85	265.9	0	0.01168	613.3	627.3	454.7	613.3	range		627.3	620	7.307	268.7	1.023	1	2.85	13
mcp1k	18255	1	59085	28009	1	1	0	2.957	0	2.957	0	0	22.7	24.78	13.43	24.78	dQdx	end_degree_or_override	24.78	24.78	0	2.957	1.092	0	-1	13
mcp1k	18255	1	59247	15004	2	2	0	162.3	0	162.3	2.842e-14	0	384.7	457.8	254.6	384.7	range		457.8	457.8	0	162.3	1.19	0	-1	13
mcp1k	18255	1	59261	11007	2	2	0	94.91	0	94.91	0	0	240.6	255.3	184.3	240.6	range		255.3	255.3	0	94.91	1.061	0	-1	13
mcp1k	18255	1	61579	74026	14	6	8	30.62	25.8	0	30.62	0.4378	0	157.8	111.2	111.2	charge	range_zero	157.8	88.66	69.09	56.42	-1	0	-1	13
mcp1k	18255	1	63163	6004	3	2	1	182.4	3.417	182.4	0	0.01989	428.3	470.1	325	428.3	range		470.1	461.1	8.968	185.9	1.098	1	3.417	13
mcp1k	18255	1	63427	26003	1	1	0	16.26	0	16.26	0	0	65.16	60.47	43.97	65.16	range		60.47	60.47	0	16.26	0.928	0	-1	13
mcp1k	18255	1	63669	5002	3	2	1	184.5	5.144	184.5	0	0.02363	432.8	431.9	304.4	432.8	range		431.9	420.3	11.52	189.7	0.9978	1	5.144	13
mcp1k	18255	1	63669	19011	1	1	0	1.509	0	1.509	0	0	15.34	16.01	10.45	16.01	dQdx	end_degree_or_override	16.01	16.01	0	1.509	1.044	0	-1	13
mcp1k	18259	1	66712	11015	2	2	0	66.62	0	66.62	0	0	180.3	141.6	59.94	180.3	range		141.6	141.6	0	66.62	0.7853	0	-1	13
mcp1k	18259	1	67746	10002	3	2	1	181.5	2.656	181.5	0	0.01126	426.4	443.4	282.8	426.4	range		443.4	437.9	5.505	184.2	1.04	1	2.656	13
mcp1k	18259	1	71222	22007	9	4	5	88.13	30.74	0	88.13	0.2227	0	248.2	178.9	178.9	charge	range_zero	248.2	189.6	58.61	118.9	-1	0	-1	13
mcp2k	18255	1	101498	10001	1	1	0	16.51	0	16.51	3.553e-15	0	65.81	17.94	5.681	17.94	dQdx	ratio_outside	17.94	17.94	0	16.51	0.2726	0	-1	13
mcp2k	18255	1	101498	10002	1	1	0	38.31	0	38.31	0	0	118.1	206.5	115.3	206.5	dQdx	ratio_outside	206.5	206.5	0	38.31	1.749	0	-1	13
mcp2k	18255	1	101828	22013	1	1	0	59.61	0	59.61	0	0	165.2	113.8	66.3	165.2	range		113.8	113.8	0	59.61	0.6888	0	-1	13
mcp2k	18255	1	101828	18001	5	2	3	110.6	18.25	128.9	0	0.2076	312.8	314.5	251.8	312.8	range		314.5	250.5	64.01	128.9	1.005	1	3.722	13
mcp2k	18255	1	103952	15000	1	1	0	314.7	0	314.7	0	0	724.5	695.5	503.8	724.5	range		695.5	695.5	0	314.7	0.96	0	-1	13
mcp2k	18255	1	105074	23004	1	1	0	58.16	0	58.16	0	0	162	135.5	99.55	162	range		135.5	135.5	0	58.16	0.8361	0	-1	13
mcp2k	18255	1	156093	65007	1	1	0	20.5	0	20.5	3.553e-15	0	76.06	56.82	41.36	76.06	range		56.82	56.82	0	20.5	0.747	0	-1	13
mcp2k	18259	1	159569	12000	4	3	1	70.05	0.3381	0	70.05	0.02048	0	148.2	104.3	104.3	charge	range_zero	148.2	145.3	2.852	70.39	-1	0	-1	13
mcp2k	18259	1	162143	8040	3	2	1	370.5	3.281	370.5	0	0.01721	854.3	805.3	607.6	854.3	range		805.3	791.3	14.06	373.8	0.9427	1	3.281	13
mcp2k	18259	1	167744	17001	1	1	0	53.02	0	53.02	0	0	150.8	161.8	127.2	150.8	range		161.8	161.8	0	53.02	1.073	0	-1	13
mcp2k	18259	1	168448	23002	2	1	1	74.79	4.744	79.54	0	0.04813	207.9	196	148.8	207.9	range		196	185.8	10.27	79.54	0.943	0	-1	13
mcp2k	18259	1	168448	31003	1	1	0	87.57	0	87.57	0	0	225	204.2	167.4	225	range		204.2	204.2	0	87.57	0.9076	0	-1	13
mcp2k	18259	1	170098	70030	9	6	3	12.32	4.545	0	12.32	0.2342	0	54.74	44.22	44.22	charge	range_zero	54.74	41.29	13.44	16.87	-1	1	17.36	13
mcp2k	18259	1	171866	15006	1	1	0	109.9	0	109.9	0	0	272.5	241.9	182.5	272.5	range		241.9	241.9	0	109.9	0.8876	0	-1	13
mcp2k	18259	1	172463	14005	3	2	1	186.9	3.607	186.9	2.842e-14	0.006369	438.1	450.9	355.2	438.1	range		450.9	445.9	4.987	190.5	1.029	1	3.607	13
mcp2k	18259	1	172617	17017	1	1	0	178.8	0	178.8	0	0	420.5	378.1	286.2	420.5	range		378.1	378.1	0	178.8	0.8994	0	-1	13
mcp2k	18259	1	174302	43003	1	1	0	34.61	0	34.61	0	0	109.7	100.3	72.67	109.7	range		100.3	100.3	0	34.61	0.9146	0	-1	13
mcp2k	18259	1	174771	22024	8	4	4	19.51	20	0	19.51	0.4342	0	98.87	92.38	92.38	charge	range_zero	98.87	55.02	43.86	39.51	-1	0	-1	13
mcp2k	18259	1	175057	13007	5	3	2	236.2	9.255	236.2	0	0.02817	546.7	574.7	412.9	546.7	range		574.7	556.4	18.26	245.4	1.051	2	2.595	13
mcp2k	18259	1	176150	8000	1	1	0	134.4	0	134.4	0	0	324.7	321.8	234	324.7	range		321.8	321.8	0	134.4	0.9912	0	-1	13
mcp2k	18259	1	176533	20043	1	1	0	44.51	0	44.51	7.105e-15	0	132	97.17	27.58	132	range		97.17	97.17	0	44.51	0.7361	0	-1	13
mcp2k	18259	1	177536	17006	4	4	0	294.8	0	0	294.8	0	0	701.8	511.8	511.8	charge	range_zero	701.8	701.8	0	294.8	-1	0	-1	13
mcp2k	18259	1	178885	9016	4	3	1	195	6.276	0	195	0.03912	0	463.1	364.3	364.3	charge	range_zero	463.1	445.2	17.86	201.3	-1	0	-1	13
mcp2k	18259	1	179054	27008	1	1	0	78.4	0	78.4	0	0	205.5	159.9	109.1	205.5	range		159.9	159.9	0	78.4	0.778	0	-1	13
mcp2k	18259	1	179246	14000	1	1	0	158.5	0	158.5	0	0	376.4	374.7	253.4	376.4	range		374.7	374.7	0	158.5	0.9953	0	-1	13
mcp2k	18259	1	180117	12005	2	2	0	407.7	0	407.7	0	0	942.1	896.1	643.3	942.1	range		896.1	896.1	0	407.7	0.9512	0	-1	13
mcp2k	18259	1	180645	3001	1	1	0	132	0	132	0	0	319.5	314.4	226.6	319.5	range		314.4	314.4	0	132	0.984	0	-1	13
mcp2k	18259	1	180698	11012	3	2	1	268	17.37	268	0	0.06368	618	683.4	477.6	618	range		683.4	640.8	42.63	285.3	1.106	1	17.37	13
mcp2k	18259	1	237710	14002	3	3	0	115.3	0	113.5	1.837	0	280.1	243	159	280.1	range		243	243	0	115.3	0.8678	0	-1	13
mcp2k	18259	1	240636	12004	1	1	0	122	0	122	1.421e-14	0	298.2	272.9	192.1	298.2	range		272.9	272.9	0	122	0.9152	0	-1	13
mcp2k	18259	1	242770	89015	1	1	0	10.16	0	10.16	0	0	48.07	41.45	35.03	48.07	range		41.45	41.45	0	10.16	0.8622	0	-1	13
mcp2k	18259	1	242770	88014	1	1	0	12.69	0	12.69	0	0	55.43	52.38	36.03	55.43	range		52.38	52.38	0	12.69	0.945	0	-1	13
mcp2k	18259	1	243628	73029	7	5	2	23.43	42.81	0	23.43	0.7459	0	312.3	171.8	171.8	charge	range_zero	312.3	72	240.3	66.24	-1	0	-1	13
mcp2k	18255	1	275231	6005	7	4	3	523.1	14.09	523.1	0	0.03213	1191	1310	1020	1191	range		1310	1267	42.54	537.2	1.1	3	3.853	13
mcp2k	18255	1	276925	8027	2	2	0	78.75	0	78.75	0	0	206.2	159.9	107.2	206.2	range		159.9	159.9	0	78.75	0.7755	0	-1	13
mcp2k	18255	1	280159	90098	1	1	0	40.29	0	40.29	0	0	122.5	81.39	73.53	122.5	range		81.39	81.39	0	40.29	0.6642	0	-1	13
mcp2k	18255	1	281165	16006	3	2	1	123.5	6.272	123.5	1.421e-14	0.05918	301.3	318.7	235.3	301.3	range		318.7	300.2	18.5	129.7	1.058	1	6.272	13
mcp2k	18255	1	282271	51038	10	5	5	24.12	12.83	0	24.12	0.3817	0	95.32	66.74	66.74	charge	range_zero	95.32	59.08	36.24	36.95	-1	0	-1	13
mcp2k	18255	1	283299	11013	5	4	1	270.1	8.545	270.1	0	0.002873	622.7	624.9	481.1	622.7	range		624.9	619.1	5.757	278.6	1.003	1	8.545	13
mcp2k	18255	1	283833	11004	3	2	1	430.2	3.448	430.2	5.684e-14	0.008265	995.6	920.2	752.6	995.6	range		920.2	911.7	8.445	433.6	0.9242	1	3.448	13
mcp2k	18255	1	283833	17008	1	1	0	41.06	0	41.06	0	0	124.3	84.61	8.864	124.3	range		84.61	84.61	0	41.06	0.6808	0	-1	13
mcp2k	18255	1	285680	24001	1	1	0	77.54	0	77.54	0	0	203.6	170.2	138.1	203.6	range		170.2	170.2	0	77.54	0.8359	0	-1	13
mcp2k	18255	1	292524	9018	10	7	3	185.3	12.63	180.8	4.454	0.03726	424.8	436.6	307.1	424.8	range		436.6	415.5	21.03	197.9	1.028	3	2.617	13
mcp2k	18255	1	293470	1002	2	2	0	161.8	0	161.8	0	0	383.5	453.7	307.5	383.5	range		453.7	453.7	0	161.8	1.183	0	-1	13
mcp2k	18255	1	294174	16028	9	1	8	1.771	157.6	2.756e-06	1.771	1	0.0001	404.8	327.2	404.8	dQdx	ratio_outside	404.8	0	404.8	159.4	4.048e+06	0	-1	11
mcp2k	18255	1	294174	25030	1	1	0	78.23	0	78.23	0	0	205.1	152.5	59.78	205.1	range		152.5	152.5	0	78.23	0.7434	0	-1	13
mcp2k	18255	1	317911	25004	3	3	0	66.61	0	65.1	1.508	0	177	161.1	122.8	177	range		161.1	161.1	0	66.61	0.9102	0	-1	13
mcp2k	18255	1	318703	17023	3	2	1	275.8	3.192	275.8	0	0.01345	635.7	629.5	455.2	635.7	range		629.5	620.8	8.721	279	0.9903	1	3.192	13
mcp2k	18255	1	319475	18000	2	2	0	68.46	0	0	68.46	0	0	152	109.1	109.1	charge	range_zero	152	152	0	68.46	-1	0	-1	13
mcp2k	18255	1	321015	16011	3	2	1	86.53	6.934	77.42	9.112	0.06592	203.4	205.4	136.9	205.4	dQdx	end_degree_or_override	205.4	190.4	14.99	93.47	1.01	1	6.934	13
mcp2k	18255	1	321937	22002	2	2	0	245.6	0	245.6	2.842e-14	0	567.8	611.5	462.2	567.8	range		611.5	611.5	0	245.6	1.077	0	-1	13
mcp2k	18255	1	322135	104015	1	1	0	67.03	0	67.03	0	0	181.1	111.4	3.944	181.1	range		111.4	111.4	0	67.03	0.6151	0	-1	13
mcp2k	18255	1	322663	2006	3	2	1	151.9	4.082	151.9	0	0.01939	362.3	339.2	299.3	362.3	range		339.2	331.6	7.628	156	0.9364	1	4.082	13
mcp2k	18255	1	323301	19004	8	4	4	220.4	39.57	220.4	0	0.1659	511.7	575.9	405.1	511.7	range		575.9	478.3	97.6	260	1.125	3	3.32	13
mcp2k	18255	1	347890	4000	1	1	0	182.9	0	182.9	0	0	429.4	446.7	311	429.4	range		446.7	446.7	0	182.9	1.04	0	-1	13
mcp2k	18255	1	348088	8004	3	2	1	316.2	6.595	316.2	0	0.01097	728	710.5	491.2	728	range		710.5	700.3	10.22	322.8	0.9759	1	6.595	13
mcp2k	18255	1	350354	18009	2	1	1	64.84	5.397	70.24	0	0.2191	188	161.1	74.22	188	range		161.1	105.7	55.45	70.24	0.8569	0	-1	13
mcp2k	18255	1	354248	29009	2	1	1	126.8	2.322	129.1	0	0.03865	313.3	346.3	293.3	313.3	range		346.3	333.1	13.18	129.1	1.105	0	-1	13
mcp2k	18255	1	390942	36014	1	1	0	1.597	0	1.597	0	0	15.85	17.79	12.29	17.79	dQdx	end_degree_or_override	17.79	17.79	0	1.597	1.122	0	-1	13
mcp2k	18255	1	391899	5010	3	2	1	185.9	4.075	185.9	0	0.0247	435.8	450.1	348.8	435.8	range		450.1	438.6	11.55	189.9	1.033	1	4.075	13
mcp2k	18255	1	392759	10035	1	1	0	127	0	127	0	0	308.9	308.7	217.4	308.9	range		308.7	308.7	0	127	0.9996	0	-1	13
mcp2k	18255	1	392901	15011	4	2	2	203.3	12.73	203.3	0	0.05203	474	445	307.9	445	dQdx	end_degree_or_override	445	420.5	24.47	216.1	0.9388	1	4.236	13
mcp2k	18255	1	392901	127030	6	4	2	71.31	11.01	0	71.31	0.1267	0	194	157	157	charge	range_zero	194	168.3	25.77	82.32	-1	1	5.508	13
mcp2k	18255	1	392901	23017	1	1	0	42.43	0	42.43	0	0	127.4	88.09	83.74	127.4	range		88.09	88.09	0	42.43	0.6917	0	-1	13
mcp2k	18255	1	392901	125023	1	1	0	27.96	0	27.96	0	0	94.22	90.02	12.49	94.22	range		90.02	90.02	0	27.96	0.9554	0	-1	13
mcp2k	18255	1	393538	8005	7	5	2	331.7	19.88	292.5	39.15	0.01608	673.7	757.9	528.7	673.7	range		757.9	736.8	21.1	351.5	1.125	1	4.057	13
mcp2k	18255	1	394396	7002	3	2	1	172.5	5.186	172.5	0	0.02791	406.6	417	300.4	406.6	range		417	405.1	11.9	177.6	1.026	1	5.186	13
mcp2k	18255	1	394407	18002	1	1	0	259.8	0	259.8	0	0	599.5	581.4	424.5	599.5	range		581.4	581.4	0	259.8	0.9697	0	-1	13
mcp2k	18255	1	395079	15003	2	2	0	218.9	0	218.9	2.842e-14	0	508.3	437.1	336.1	508.3	range		437.1	437.1	0	218.9	0.86	0	-1	13
mcp2k	18255	1	395209	4006	5	3	2	444.8	6.836	444.8	0	0.01789	1027	1028	740.6	1027	range		1028	1009	18.47	451.6	1.001	2	3.142	13
mcp2k	18255	1	395485	6002	4	2	2	126.3	6.776	126.3	1.421e-14	0.0452	307.4	296	201.3	296	dQdx	end_degree_or_override	296	281.1	14.89	133.1	0.9629	1	3.026	13
