evt	source	nseg	npoints	len_cm	seg_id	cluster	ke_MCS	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit
59553	pf_muon	1	118	70.3	10004	10	228.2	0.748	70.3	187.4	188.1	176.1
59685	pf_muon	1	175	104.5	6007	6	611.2	0.7517	103.8	258.2	260.8	225.1
59929	pf_muon	1	232	138.8	20000	20	646.4	0.7415	137.6	329.6	334.1	297.1
60017	pf_muon	1	79	46.6	7000	7	699.1	0.9238	46.6	136.4	136.7	169.7
60669	pf_muon	1	122	72.8	17000	17	253.2	0.7483	72.8	192.8	193.5	196.2
60933	pf_muon	1	238	143.2	18003	18	391.0	0.7099	143.2	341.5	343.5	340.2
61351	pf_muon	1	602	360.5	17000	17	1168.9	0.3102	359.9	814.6	830.7	785.3
61417	pf_muon	1	252	150.9	9001	9	937.7	0.8076	150.9	357.8	360.0	345.7
61461	pf_muon	1	156	92.8	10012	10	269.6	0.6202	92.8	235.0	236.0	224.3
61579	pf_muon	1	221	133.4	20048	20	373.0	0.6545	133.4	320.8	322.5	314.3
61681	pf_muon	1	177	105.4	2001	2	309.5	0.5873	105.0	260.9	262.9	266.4
62149	pf_muon	1	170	101.5	13002	13	275.9	0.4619	101.5	253.4	254.5	236.5
62281	pf_muon	1	169	101.2	19002	19	261.2	0.45	100.9	252.1	253.8	232.8
62459	pf_muon	1	328	196.4	10001	10	438.6	0.1028	195.1	453.1	458.7	453.8
62495	pf_muon	1	101	60.3	16001	16	237.6	0.8479	60.0	165.3	166.6	134.7
62613	pf_muon	1	506	302.9	17000	17	856.4	0.5565	300.6	684.3	697.4	690.8
63163	pf_muon	1	153	91.4	6004	6	1049.3	0.9876	88.9	226.8	233.2	259.1
63427	pf_muon	1	75	44.3	18002	18	297.1	0.9152	44.3	131.2	131.6	122.9
63551	pf_muon	1	164	98.1	6000	6	275.8	0.8437	96.8	243.6	247.3	244.3
63559	pf_muon	1	274	164.0	11000	11	1288.7	0.8824	163.1	383.7	388.4	361.2
63603	pf_muon	1	121	73.7	13002	13	612.6	0.9557	73.7	194.7	195.4	183.1
63669	pf_muon	1	179	107.0	5001	5	742.3	0.8184	105.4	261.7	266.4	236.7
64503	pf_muon	1	86	51.1	9000	9	136.6	0.7594	50.7	145.4	146.7	134.1
64921	pf_muon	1	142	84.7	11002	62	237.3	0.6089	84.7	218.1	218.9	209.4
64959	pf_muon	1	151	89.9	19000	19	545.7	0.7717	88.3	225.7	230.0	195.7
65053	pf_muon	1	194	115.8	6000	6	263.8	0.01465	115.8	283.6	284.9	253.8
65289	pf_muon	1	125	74.5	18011	18	210.4	0.7485	74.2	195.8	197.2	192.5
65295	pf_muon	1	109	64.5	13000	13	644.1	0.8789	64.5	175.0	175.8	155.1
66118	pf_muon	1	122	72.8	9003	9	191.1	0.4754	72.8	192.8	193.5	174.7
66712	pf_muon	1	107	63.9	11008	11	189.0	0.7343	63.5	172.8	174.5	134.6
67746	pf_muon	1	234	139.8	10001	10	762.5	0.8754	138.4	331.4	336.2	299.4
68648	pf_muon	1	151	89.8	15002	15	290.5	0.7709	89.4	228.0	229.8	197.6
68714	pf_muon	1	158	94.0	5001	5	198.7	0.1258	93.7	237.0	238.7	241.4
68956	pf_muon	1	118	70.2	16009	16	411.9	0.8317	70.2	187.3	188.0	149.7
68978	pf_muon	1	257	153.6	18001	18	519.0	0.5924	151.9	359.8	365.8	363.1
71046	pf_muon	1	326	195.0	19001	19	699.9	0.6446	194.5	451.8	455.8	417.8
71222	pf_muon	1	123	73.2	22007	15	1307.8	0.8915	73.2	193.7	194.4	166.1
71266	pf_muon	1	159	94.8	15000	15	626.9	0.8919	94.8	239.4	240.4	227.3
71640	pf_muon	1	409	244.7	9001	9	524.7	0.05151	241.3	554.3	565.7	548.1
72256	pf_muon	1	116	69.1	9001	9	393.8	0.8956	68.4	183.3	185.5	160.4
72586	pf_muon	1	516	308.9	17004	17	742.6	0.2348	308.3	701.1	711.1	685.4
73004	pf_muon	1	161	97.7	15021	15	213.2	0.1518	96.4	242.8	246.6	223.8
166738	pf_muon	1	284	171.1	16001	16	412.4	0.2887	169.9	398.1	403.6	415.4
167112	pf_muon	1	89	53.1	16001	16	145.1	0.6586	53.1	150.5	151.0	112.9
168432	pf_muon	1	145	86.5	19031	19	218.1	0.3101	85.9	220.6	222.8	210.8
168526	pf_muon	1	409	244.6	19027	19	578.8	0.0308	243.6	559.4	565.5	562.6
168614	pf_muon	1	295	176.4	5002	5	518.1	0.7653	173.1	404.9	415.1	385.5
168658	pf_muon	1	153	91.2	12000	12	207.3	0.1793	90.9	231.1	232.6	241.2
169598	pf_muon	1	140	83.3	18002	18	210.1	0.3017	83.3	215.1	215.9	217.4
169620	pf_muon	1	304	182.3	13006	13	421.0	0.03677	182.3	425.0	427.9	436.6
169824	pf_muon	1	308	185.3	18006	18	450.8	0.1862	184.9	430.8	434.6	439.4
169890	pf_muon	1	148	88.0	21002	21	4000.0	1	87.6	224.2	225.9	193.5
170814	pf_muon	1	89	52.9	18012	18	128.1	0.3951	52.9	150.0	150.5	136.8
171600	pf_muon	1	593	355.2	14000	14	889.9	0.2897	352.0	796.8	818.3	847.8
172090	pf_muon	1	507	303.8	10002	10	637.1	0.009415	301.4	686.1	699.5	616.2
172266	pf_muon	1	190	113.7	16007	16	502.0	0.7187	113.7	279.3	280.6	252.5
172656	pf_muon	1	425	255.8	10003	10	602.2	0.111	255.5	585.4	590.6	571.6
172788	pf_muon	1	227	135.4	26004	26	254.6	0.06533	127.7	308.7	326.7	290.7
172794	pf_muon	1	384	230.1	20000	49	483.9	2.608e-05	228.9	527.1	533.1	521.9
172832	pf_muon	1	210	125.6	21001	21	278.8	0.124	125.3	303.7	305.9	327.1
173146	pf_muon	1	233	139.3	15001	15	525.4	0.6113	138.2	330.9	335.0	308.6
173234	pf_muon	1	392	235.6	10001	10	515.6	0.009131	234.4	539.2	545.5	556.6
173498	pf_muon	1	288	172.0	6000	6	974.8	0.8152	169.6	397.4	405.7	375.2
174224	pf_muon	1	295	176.8	20017	20	781.4	0.6423	171.7	401.9	415.9	367.9
174422	pf_muon	1	223	134.2	18000	18	816.8	0.8595	134.2	322.5	324.2	274.0
174576	pf_muon	1	167	99.6	5001	5	257.9	0.4817	98.6	247.3	250.5	236.4
174928	pf_muon	1	150	89.6	9023	9	288.5	0.8085	88.9	227.0	229.3	204.7
175808	pf_muon	1	227	135.7	18001	18	561.3	0.7315	135.4	325.0	327.4	316.4
276836	pf_muon	1	357	222.3	11004	11	605.2	0.2482	222.3	512.8	516.0	463.5
277276	pf_muon	1	229	137.0	8018	8	461.8	0.7449	135.4	325.0	330.1	315.3
278420	pf_muon	1	105	62.0	18001	18	163.4	0.6872	61.4	168.3	170.4	245.0
278640	pf_muon	1	213	128.6	17002	17	285.3	0.08218	128.6	310.6	312.2	300.2
278684	pf_muon	1	142	84.9	10005	10	1344.5	0.9583	84.9	218.5	219.3	204.2
278785	pf_muon	1	332	198.8	5000	5	404.8	0.003398	198.5	460.6	464.0	444.8
278794	pf_muon	1	174	103.8	7001	7	364.6	0.6979	103.1	256.9	259.5	263.6
279256	pf_muon	1	339	202.8	15005	15	455.9	0.0328	201.0	466.0	472.9	483.5
279445	pf_muon	1	207	123.8	19001	84	876.8	0.8212	123.6	300.0	302.0	273.4
280466	pf_muon	1	163	97.3	15005	15	272.5	0.5733	97.3	244.6	245.6	285.9
280972	pf_muon	1	804	483.1	7172	7	1288.8	0.09901	481.5	1093.6	1107.2	1057.4
280994	pf_muon	1	202	120.7	18001	18	291.6	0.3839	119.8	292.0	295.4	319.7
281214	pf_muon	1	133	79.1	15000	60	186.9	0.4754	78.3	204.5	206.9	210.0
281505	pf_muon	1	166	98.9	18001	18	224.6	0.15	98.9	247.9	249.0	226.9
281507	pf_muon	1	206	122.8	8001	8	573.9	0.8413	119.8	292.0	299.9	275.0
281527	pf_muon	1	270	161.8	14002	14	423.1	0.6052	159.4	375.8	383.4	361.1
281595	pf_muon	1	362	221.0	20002	20	536.2	0.2106	219.7	507.0	513.0	473.9
281837	pf_muon	1	202	120.7	13002	63	984.8	0.9063	120.1	292.6	295.4	270.3
281953	pf_muon	1	147	87.7	10000	10	217.8	0.5652	85.1	218.9	225.2	196.0
282072	pf_muon	1	355	212.3	7004	7	502.5	0.1777	210.3	486.4	493.9	465.6
282204	pf_muon	1	148	88.2	4001	4	199.4	0.1013	87.6	224.1	226.3	222.9
282217	pf_muon	1	503	301.3	9004	9	878.5	0.3581	299.9	682.8	693.8	684.3
282231	pf_muon	1	88	52.4	19000	19	-1.0	-1	52.0	148.2	149.6	132.6
282385	pf_muon	1	168	100.3	11005	11	1611.7	0.8948	99.2	248.7	252.1	231.4
282459	pf_muon	1	153	91.0	10001	10	378.6	0.7843	90.8	231.0	232.4	203.3
282666	pf_muon	1	217	129.6	10001	10	415.2	0.5682	129.6	312.7	314.3	367.3
282737	pf_muon	1	295	176.6	21018	21	387.7	0.08446	174.5	408.0	415.6	400.4
282899	pf_muon	1	224	133.6	7014	7	489.1	0.7216	132.6	319.0	322.9	437.6
283009	pf_muon	1	273	163.5	23014	23	821.4	0.7376	162.8	383.1	387.2	358.3
283040	pf_muon	1	116	69.0	2008	2	412.2	0.9149	69.0	184.6	185.3	206.4
283091	pf_muon	1	203	121.0	24014	24	362.6	0.6142	121.0	294.7	296.1	294.9
283229	pf_muon	1	292	174.7	6001	6	446.0	0.232	173.1	404.9	411.5	414.5
283713	pf_muon	1	421	251.9	17006	17	2017.6	0.9307	248.4	570.0	581.9	549.5
283771	pf_muon	1	234	139.7	21001	21	1286.9	0.9104	137.8	330.0	336.0	308.0
283905	pf_muon	1	193	115.0	4000	4	242.6	0.3211	113.8	279.3	283.3	296.4
283991	pf_muon	1	221	132.1	15003	15	275.2	0.02697	132.1	318.1	319.8	325.3
284013	pf_muon	1	243	147.1	8017	8	367.9	0.3928	147.1	349.8	351.9	345.7
284103	pf_muon	1	209	124.6	8005	8	481.6	0.701	123.4	299.7	303.7	263.4
284153	pf_muon	1	228	136.3	14005	14	317.8	0.3844	136.3	327.0	328.8	328.4
284211	pf_muon	1	236	141.1	14004	14	347.8	0.3263	140.8	336.5	339.0	305.1
284657	pf_muon	1	134	80.0	5005	5	551.6	0.8843	79.7	207.4	208.9	178.0
284769	pf_muon	1	478	285.9	16004	16	1843.3	0.8809	282.7	645.1	658.7	628.5
284794	pf_muon	1	459	274.9	12013	12	711.9	0.3513	271.7	621.0	633.8	578.0
285311	pf_muon	1	70	41.5	11003	11	298.6	0.9238	41.5	124.9	125.3	114.9
285366	pf_muon	1	114	67.7	13000	13	565.4	0.8696	67.7	181.9	182.6	225.9
285443	pf_muon	1	126	74.9	7000	7	880.1	0.9401	74.9	197.2	197.9	384.1
285467	pf_muon	1	169	100.6	18000	18	2716.4	0.9756	100.3	251.0	252.6	234.2
285531	pf_muon	1	254	152.1	15002	15	358.3	0.2114	150.5	357.0	362.7	342.8
285929	pf_muon	1	464	277.6	13005	13	751.8	0.2651	277.6	633.9	639.8	619.4
285971	pf_muon	1	191	113.9	7009	7	708.1	0.7724	113.6	279.0	280.9	292.7
286191	pf_muon	1	161	96.3	7001	7	232.2	0.1421	95.7	241.2	243.6	249.1
286241	pf_muon	1	509	306.5	11000	11	642.1	0.02088	302.8	689.0	705.7	674.3
286268	pf_muon	1	337	201.8	11003	11	462.0	0.06339	201.1	466.3	470.6	490.6
286353	pf_muon	1	328	196.4	9004	9	1531.4	0.8033	193.9	450.6	458.9	425.8
286400	pf_muon	1	580	350.6	11003	11	756.8	8.623e-05	348.9	790.1	807.6	831.8
286681	pf_muon	1	109	65.0	3004	3	15.4	1	61.7	168.9	176.9	135.2
286818	pf_muon	1	73	43.4	5002	5	117.9	0.7077	43.4	129.1	129.5	121.2
286906	pf_muon	1	213	127.3	9001	41	554.0	0.6256	127.3	307.9	309.5	293.4
287007	pf_muon	1	68	40.2	21008	21	216.3	0.9699	39.5	120.3	122.2	112.7
287211	pf_muon	1	170	101.7	10001	10	233.6	0.1472	99.1	248.3	254.9	239.5
287249	pf_muon	1	233	139.0	14001	14	348.2	0.1552	138.5	331.5	334.6	331.8
287517	pf_muon	1	240	143.2	13010	13	337.4	0.1166	143.2	341.5	343.4	376.1
287555	pf_muon	1	71	41.9	65023	18	111.3	0.7672	41.9	125.7	126.1	126.2
287621	pf_muon	1	93	55.0	6007	6	657.0	0.933	55.0	154.6	155.2	270.7
287825	pf_muon	1	205	122.4	5001	5	250.1	0.2951	121.5	295.5	298.9	299.3
288287	pf_muon	1	230	137.5	10003	10	3313.1	0.9924	134.2	322.5	331.4	298.0
288327	pf_muon	1	133	79.3	22005	22	336.8	0.9431	78.1	204.0	207.5	169.2
288358	pf_muon	1	204	122.1	3001	3	694.1	0.8506	120.1	292.7	298.4	342.6
288639	pf_muon	1	138	82.2	8000	8	496.0	0.851	82.2	212.7	213.5	197.5
288859	pf_muon	1	408	244.1	9006	9	1202.8	0.7425	239.7	550.8	564.5	522.7
288947	pf_muon	1	105	62.6	16005	16	203.1	0.7402	62.6	170.8	171.5	166.4
289251	pf_muon	1	234	139.9	12002	12	1349.8	0.9059	139.4	333.6	336.5	327.4
289559	pf_muon	1	167	101.1	14007	14	1255.9	0.8861	101.1	252.7	253.8	224.6
289832	pf_muon	1	362	219.7	10001	10	888.2	0.5605	218.8	505.0	510.0	495.5
290052	pf_muon	1	129	76.9	8016	8	212.7	0.8839	76.4	200.5	202.3	200.6
290729	pf_muon	1	118	70.1	12016	12	187.4	0.7353	69.9	186.5	187.7	144.0
291037	pf_muon	1	183	109.0	13008	13	238.8	0.1158	108.4	267.9	270.5	277.1
291064	pf_muon	1	278	166.0	14000	14	412.7	0.1742	165.5	388.7	392.6	402.6
291262	pf_muon	1	221	131.8	18005	18	303.4	0.1176	131.8	317.4	319.1	333.8
291499	pf_muon	1	68	40.5	12000	12	269.8	0.9133	40.0	121.4	123.0	96.7
291548	pf_muon	1	120	71.3	21001	21	158.4	0.2326	71.3	189.5	190.2	180.9
291570	pf_muon	1	368	220.1	17000	17	977.9	0.7717	213.3	493.0	511.0	422.6
291961	pf_muon	1	175	104.6	4001	4	337.8	0.6411	104.1	259.0	261.2	319.3
292005	pf_muon	1	151	90.1	18004	18	595.6	0.8856	88.3	225.6	230.3	199.1
292027	pf_muon	1	263	157.3	12005	12	998.0	0.7801	156.5	369.6	373.8	345.1
292384	pf_muon	1	591	356.0	19005	19	857.9	0.05924	353.1	799.2	820.1	806.6
292406	pf_muon	1	80	47.3	6000	6	287.7	0.9279	46.1	135.2	138.3	105.3
292533	pf_muon	1	452	270.4	3014	3	599.6	0.0235	268.0	612.9	623.5	603.9
292577	pf_muon	1	112	66.4	12000	12	344.4	0.8953	66.2	178.5	179.8	156.2
292643	pf_muon	1	313	188.3	18009	18	428.8	0.2606	187.7	437.0	441.1	437.6
292687	pf_muon	1	119	70.6	11005	11	2178.4	0.9775	70.6	188.1	188.8	158.0
313847	pf_muon	1	272	162.4	19001	19	367.9	0.1656	162.4	382.1	384.8	329.8
313979	pf_muon	1	437	263.2	12001	12	586.2	0.01007	263.2	602.3	607.2	596.2
314507	pf_muon	1	101	61.7	51007	17	1085.3	0.8993	61.7	168.9	169.7	117.7
315013	pf_muon	1	182	108.7	15019	15	542.7	0.788	108.1	267.3	269.9	237.2
315167	pf_muon	1	96	57.3	8010	8	165.5	0.6808	55.6	155.9	160.1	136.3
315497	pf_muon	1	428	256.0	14001	14	788.0	0.5602	254.4	583.1	591.1	553.0
315849	pf_muon	1	126	74.8	11000	11	34.5	1	74.2	195.9	197.9	157.5
315871	pf_muon	1	162	96.5	18005	18	314.8	0.6146	96.5	242.8	243.9	244.6
316025	pf_muon	1	136	81.0	16034	16	193.8	0.5411	79.9	208.0	211.1	246.1
316311	pf_muon	1	134	80.0	11001	11	531.0	0.7832	80.0	208.1	208.8	190.0
316553	pf_muon	1	359	214.9	11001	11	1031.0	0.6443	214.5	495.7	499.6	486.9
316729	pf_muon	1	201	121.1	8026	8	218.3	0.4541	119.7	291.9	296.2	289.6
317191	pf_muon	1	131	78.1	17029	17	224.6	0.6675	76.5	200.7	204.7	243.5
317939	pf_muon	1	255	152.9	26000	26	380.9	0.4446	149.6	355.1	364.4	311.3
318731	pf_muon	1	132	78.8	1002	1	251.1	0.7857	78.4	204.7	206.3	198.0
319611	pf_muon	1	185	110.6	2001	2	1796.7	0.9455	110.0	271.3	274.0	272.6
320029	pf_muon	1	374	223.8	24002	24	503.2	0.08396	222.5	513.2	519.3	520.9
320865	pf_muon	1	253	151.2	13002	13	447.1	0.5381	150.9	357.9	360.7	358.3
321107	pf_muon	1	399	239.0	13000	13	503.6	0.09281	236.3	543.5	553.1	522.7
321173	pf_muon	1	218	130.2	10001	10	329.0	0.3392	129.5	312.5	315.7	308.1
321371	pf_muon	1	428	256.3	18006	27	1256.0	0.7626	254.0	582.1	591.7	581.9
321767	pf_muon	1	355	212.2	15008	15	751.8	0.5341	207.2	479.5	493.5	465.2
345633	pf_muon	1	203	121.1	8013	8	275.2	0.4426	118.1	288.4	296.3	260.5
347085	pf_muon	1	95	56.4	4011	4	199.5	0.8489	56.4	157.6	158.2	122.1
348471	pf_muon	1	113	67.3	12054	12	158.4	0.2438	67.3	180.9	181.7	168.4
348691	pf_muon	1	601	360.0	9003	9	1554.7	0.645	358.1	810.6	829.6	829.6
348845	pf_muon	1	121	71.8	7001	7	1656.8	0.9917	71.1	189.1	191.3	167.7
349241	pf_muon	1	88	52.5	15001	15	116.6	0.5778	51.9	147.9	149.6	137.4
349461	pf_muon	1	213	127.0	17005	17	300.5	0.1021	126.6	306.4	308.8	316.4
349549	pf_muon	1	98	58.3	12091	12	169.8	0.7008	58.3	161.7	162.4	154.6
349835	pf_muon	1	75	44.4	2004	2	83.0	0.9105	43.7	129.9	131.8	122.1
349879	pf_muon	1	441	264.0	17001	17	847.0	0.4206	262.9	601.7	609.2	601.2
349945	pf_muon	1	303	181.2	18055	18	1084.2	0.8213	180.1	420.3	425.5	416.7
350121	pf_muon	1	313	187.1	2048	2	669.8	0.6033	185.0	431.0	438.5	419.5
350297	pf_muon	1	430	259.1	18001	18	623.9	0.4209	257.6	590.0	598.1	589.2
350935	pf_muon	1	423	253.1	11001	17	498.9	0.03719	241.6	554.9	584.5	487.2
351705	pf_muon	1	203	121.1	3000	3	403.5	0.7521	119.4	291.1	296.3	313.4
352233	pf_muon	1	153	92.6	6000	6	624.9	0.9	92.6	234.7	235.7	194.2
353223	pf_muon	1	71	43.7	15012	15	-1.0	-1	42.7	127.7	130.3	149.1
353751	pf_muon	1	205	123.6	10003	10	302.2	0.2038	123.1	299.0	301.5	304.0
387850	pf_muon	1	207	123.9	15000	15	371.4	0.6837	123.6	300.2	302.2	316.6
388026	pf_muon	1	475	284.5	12007	12	589.3	7.726e-05	283.2	646.1	655.5	666.5
388224	pf_muon	1	327	195.5	3039	3	420.0	0.1413	194.6	452.1	456.8	449.1
390182	pf_muon	1	205	122.2	4001	4	311.0	0.453	121.5	295.6	298.5	255.6
390842	pf_muon	1	650	389.4	3001	3	875.2	0.04846	386.7	875.7	898.6	912.5
390864	pf_muon	1	152	90.5	16013	16	1312.3	0.8804	90.1	229.5	231.1	188.3
391260	pf_muon	1	174	103.8	13002	13	222.9	0.1169	103.0	256.7	259.5	256.8
391766	pf_muon	1	295	176.3	17002	17	672.9	0.6946	176.3	411.9	414.9	394.8
392552	pf_muon	1	405	244.5	12000	12	574.1	0.1229	244.2	560.7	565.3	564.9
393042	pf_muon	1	690	413.4	15002	15	921.8	0.03233	411.7	932.3	955.6	946.6
393608	pf_muon	1	82	48.7	9000	9	294.7	0.9587	48.7	141.1	141.3	108.4
394642	pf_muon	1	538	322.5	13012	13	4000.0	1	318.3	723.1	742.6	691.3
394796	pf_muon	1	246	147.3	15001	15	722.1	0.6977	144.8	344.9	352.3	320.5
395148	pf_muon	1	152	90.6	21011	21	264.1	0.6333	89.8	228.7	231.5	270.6
395610	pf_muon	1	347	208.9	22000	22	956.4	0.7145	206.5	478.1	486.2	441.8
395654	pf_muon	1	347	208.7	15001	15	451.1	0.05869	205.4	475.6	485.7	486.2
397722	pf_muon	1	111	66.1	18005	18	307.8	0.7931	66.1	178.4	179.1	150.5
397920	pf_muon	1	459	274.8	8001	8	872.2	0.4237	274.4	626.8	633.5	592.2
398260	pf_muon	1	234	139.6	5001	5	504.3	0.6192	138.5	331.5	335.7	327.8
398690	pf_muon	1	252	150.5	18002	18	1008.4	0.8484	147.7	351.0	359.2	346.0
399118	pf_muon	1	258	153.7	9000	9	431.8	0.5141	152.6	361.5	366.0	373.6
399702	pf_muon	1	352	210.3	27003	27	430.8	0.05161	208.9	483.4	489.3	482.9
399856	pf_muon	1	80	47.2	3002	3	279.0	0.9147	46.9	137.0	138.0	138.8
400460	pf_muon	1	276	165.2	18010	18	381.5	0.3071	163.9	385.4	390.9	398.2
400504	pf_muon	1	96	56.8	6001	6	268.4	0.86	55.6	155.9	159.2	176.7
400592	pf_muon	1	396	236.8	14001	14	574.2	0.1551	236.2	543.2	548.1	534.3
400636	pf_muon	1	439	262.6	13004	13	590.3	0.02558	260.5	596.5	605.9	583.6
400636	pf_muon	1	129	77.1	6016	6	292.4	0.7941	77.1	201.9	202.6	171.7
400856	pf_muon	1	160	95.3	12009	12	213.3	0.2125	94.9	239.5	241.3	263.0
401252	pf_muon	1	91	53.8	25005	25	152.4	0.6164	52.4	148.9	152.5	111.1
401516	pf_muon	1	282	168.3	12011	12	353.7	0.04302	167.4	392.7	397.6	395.9
401626	pf_muon	1	174	103.8	9000	9	299.8	0.5508	103.8	258.4	259.6	268.5
401780	pf_muon	1	164	98.1	13001	13	221.0	0.3343	96.8	243.5	247.3	402.1
402880	pf_muon	1	122	72.4	9003	9	543.3	0.8304	71.7	190.5	192.6	264.6
404244	pf_muon	1	185	112.6	12002	12	250.0	0.4044	110.9	273.2	278.2	266.2
405432	pf_muon	1	149	88.6	15001	15	748.6	0.8786	87.9	224.8	227.1	221.9
405674	pf_muon	1	260	155.1	11005	11	375.9	0.1831	155.1	366.8	369.2	374.9
406796	pf_muon	1	153	92.4	11000	11	477.1	0.9252	92.4	234.2	235.1	230.1
407148	pf_muon	1	257	153.8	15001	15	3834.7	0.9982	152.9	361.9	366.2	368.8
407280	pf_muon	1	320	192.8	16006	51	484.7	0.5053	190.9	443.9	451.0	427.0
407918	pf_muon	1	154	91.8	11008	11	208.0	0.4848	89.9	229.0	233.9	211.3
408534	pf_muon	1	145	86.1	17008	9	184.5	0.548	86.1	220.9	221.8	212.9
409942	pf_muon	1	68	40.4	17024	17	130.4	0.8688	40.4	122.5	122.9	130.2
409964	pf_muon	1	190	113.2	14004	14	274.8	0.1514	113.2	278.2	279.5	284.0
412208	pf_muon	1	92	54.7	7001	7	292.5	0.8693	54.5	153.4	154.6	223.4
486247	pf_muon	1	78	46.2	7002	7	280.0	0.9508	46.2	135.5	135.8	126.6
486687	pf_muon	1	494	297.4	20069	20	637.5	0.0297	289.5	659.8	684.8	643.5
487303	pf_muon	1	204	122.1	7001	7	270.2	0.08693	122.1	297.0	298.5	293.6
488139	pf_muon	1	232	143.8	14005	14	366.3	0.7839	142.5	340.0	344.7	335.6
489327	pf_muon	1	651	394.4	19007	19	1674.5	0.757	391.0	885.2	910.4	871.1
490361	pf_muon	1	72	42.9	20008	20	105.3	0.5813	42.9	128.0	128.4	108.0
490581	pf_muon	1	314	187.9	6002	6	949.4	0.7554	186.3	433.8	440.2	398.8
490977	pf_muon	1	126	75.2	17000	17	647.0	0.9267	75.2	197.9	198.6	173.5
492649	pf_muon	1	135	80.5	20000	20	223.7	0.4189	79.3	206.7	210.0	179.5
492803	pf_muon	1	404	242.1	16011	16	546.7	0.1148	238.3	547.8	560.0	549.4
492913	pf_muon	1	80	50.1	15000	15	-1.0	-1	48.9	141.4	144.4	103.8
493243	pf_muon	1	315	188.6	13000	13	471.6	0.199	188.0	437.6	441.8	411.1
