arm	run	evt	stub_bridge	seed	accept	gate	nseg	total_cm	maxlen_cm	stop	stop_len_cm	stop_angle_deg	stop_ratio	stop_degree
mcp1k	18259	169356	1	16007	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169356	0	16005	0	size1	1	116.4	116.4	angle	3.494	35.57	0.9569	4
mcp1k	18259	169356	0	16007	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169488	1	8000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169488	0	8000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169598	1	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169598	1	18002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169598	0	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169598	0	18002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169620	1	13005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169620	1	13006	0	size1	1	182.3	182.3	dead_end	0	-1	-1	1
mcp1k	18259	169620	1	13007	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169620	0	13005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169620	0	13006	0	size1	1	182.3	182.3	dead_end	0	-1	-1	1
mcp1k	18259	169620	0	13007	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169626	1	22034	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169626	0	22034	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169774	1	2000	0	size1	1	13.23	13.23	dead_end	0	-1	-1	1
mcp1k	18259	169774	0	2000	0	size1	1	13.23	13.23	dead_end	0	-1	-1	1
mcp1k	18259	169824	1	18006	0	size1	1	185.3	185.3	dead_end	0	-1	-1	1
mcp1k	18259	169824	1	18008	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169824	0	18006	0	size1	1	185.3	185.3	dead_end	0	-1	-1	1
mcp1k	18259	169824	0	18008	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169846	1	6000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169846	0	6000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	169890	1	21002	1	accepted	2	155.8	88.02	dead_end	0	-1	-1	1
mcp1k	18259	169890	0	21002	1	accepted	2	155.8	88.02	dead_end	0	-1	-1	1
mcp1k	18259	170792	1	10003	0	size1	1	23.51	23.51	dead_end	0	-1	-1	1
mcp1k	18259	170792	1	10004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170792	1	10006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170792	0	10003	0	size1	1	23.51	23.51	dead_end	0	-1	-1	1
mcp1k	18259	170792	0	10004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170792	0	10006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170808	1	14004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170808	1	14028	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170808	0	14004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170808	0	14028	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170814	1	18012	0	size1	1	52.88	52.88	angle	12.68	124.7	1.21	2
mcp1k	18259	170814	0	18012	0	size1	1	52.88	52.88	angle	12.68	124.7	1.21	2
mcp1k	18259	170880	1	13001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170880	1	13002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170880	0	13001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170880	0	13002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170924	1	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170924	1	16005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170924	0	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	170924	0	16005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	171358	1	10001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	171358	1	10009	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	171358	1	10013	0	size1	1	16.74	16.74	angle	3.869	40.69	0.6714	2
mcp1k	18259	171358	0	10001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	171358	0	10009	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	171358	0	10013	0	size1	1	16.74	16.74	angle	3.869	40.69	0.6714	2
mcp1k	18259	171600	1	14000	0	size1	1	355.2	355.2	dead_end	0	-1	-1	1
mcp1k	18259	171600	0	14000	0	size1	1	355.2	355.2	dead_end	0	-1	-1	1
mcp1k	18259	171892	1	58001	0	size1	1	0.3936	0.3936	dead_end	0	-1	-1	1
mcp1k	18259	171892	0	58001	0	size1	1	0.3936	0.3936	dead_end	0	-1	-1	1
mcp1k	18259	172090	1	10002	0	size1	1	303.8	303.8	angle	5.993	105.7	1.257	2
mcp1k	18259	172090	0	10002	0	size1	1	303.8	303.8	angle	5.993	105.7	1.257	2
mcp1k	18259	172266	1	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172266	1	16005	0	size1	1	4.069	4.069	dead_end	0	-1	-1	1
mcp1k	18259	172266	1	16006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172266	1	16007	0	size1	1	113.7	113.7	dead_end	0	-1	-1	1
mcp1k	18259	172266	0	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172266	0	16005	0	size1	1	4.069	4.069	dead_end	0	-1	-1	1
mcp1k	18259	172266	0	16006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172266	0	16007	0	size1	1	113.7	113.7	dead_end	0	-1	-1	1
mcp1k	18259	172656	1	10003	0	size1	1	255.8	255.8	angle	11.41	149.6	1.201	4
mcp1k	18259	172656	0	10003	0	size1	1	255.8	255.8	angle	11.41	149.6	1.201	4
mcp1k	18259	172788	1	26007	0	size1	1	3.162	3.162	angle	105.8	100.1	1.269	3
mcp1k	18259	172788	0	26007	0	size1	1	3.162	3.162	angle	105.8	100.1	1.269	3
mcp1k	18259	172794	1	49003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172794	1	49004	0	size1	1	68.61	68.61	dead_end	0	-1	-1	1
mcp1k	18259	172794	0	49003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172794	0	49004	0	size1	1	68.61	68.61	dead_end	0	-1	-1	1
mcp1k	18259	172832	1	21001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172832	1	21021	0	size1	1	15.27	15.27	dead_end	0	-1	-1	1
mcp1k	18259	172832	0	21001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172832	0	21021	0	size1	1	15.27	15.27	dead_end	0	-1	-1	1
mcp1k	18259	172942	1	4001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172942	1	4002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172942	0	4001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	172942	0	4002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173058	1	14002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173058	0	14002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173146	1	15001	0	size1	1	139.3	139.3	dead_end	0	-1	-1	1
mcp1k	18259	173146	1	15002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173146	1	15015	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173146	0	15001	0	size1	1	139.3	139.3	dead_end	0	-1	-1	1
mcp1k	18259	173146	0	15002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173146	0	15015	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173234	1	10001	0	size1	1	235.6	235.6	angle	8.814	130.2	1.125	2
mcp1k	18259	173234	0	10001	0	size1	1	235.6	235.6	angle	8.814	130.2	1.125	2
mcp1k	18259	173498	1	6000	0	size1	1	172	172	dead_end	0	-1	-1	1
mcp1k	18259	173498	1	6002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	173498	0	6000	0	size1	1	172	172	dead_end	0	-1	-1	1
mcp1k	18259	173498	0	6002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174114	1	17015	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174114	1	17018	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174114	0	17015	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174114	0	17018	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174224	1	20032	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174224	1	20033	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174224	1	20034	0	size1	1	5.494	5.494	dead_end	0	-1	-1	1
mcp1k	18259	174224	0	20032	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174224	0	20033	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174224	0	20034	0	size1	1	5.494	5.494	dead_end	0	-1	-1	1
mcp1k	18259	174422	1	18000	0	size1	1	134.2	134.2	dead_end	0	-1	-1	1
mcp1k	18259	174422	0	18000	0	size1	1	134.2	134.2	dead_end	0	-1	-1	1
mcp1k	18259	174576	1	5001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174576	1	5005	0	size1	1	22.41	22.41	dead_end	0	-1	-1	1
mcp1k	18259	174576	0	5001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174576	0	5005	0	size1	1	22.41	22.41	dead_end	0	-1	-1	1
mcp1k	18259	174752	1	48009	0	size1	1	4.598	4.598	dead_end	0	-1	-1	1
mcp1k	18259	174752	1	48010	0	size1	1	3.768	3.768	dead_end	0	-1	-1	1
mcp1k	18259	174752	0	48009	0	size1	1	4.598	4.598	dead_end	0	-1	-1	1
mcp1k	18259	174752	0	48010	0	size1	1	3.768	3.768	dead_end	0	-1	-1	1
mcp1k	18259	174928	1	9005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174928	1	9023	0	size1	1	89.6	89.6	dead_end	0	-1	-1	1
mcp1k	18259	174928	0	9005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	174928	0	9023	0	size1	1	89.6	89.6	dead_end	0	-1	-1	1
mcp1k	18259	175016	1	19000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	175016	0	19000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	175808	1	18004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	175808	0	18004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	175896	1	17043	0	maxlen	2	14.07	11.78	dead_end	0	-1	-1	1
mcp1k	18259	175896	1	17044	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18259	175896	0	17043	0	maxlen	2	14.07	11.78	dead_end	0	-1	-1	1
mcp1k	18259	175896	0	17044	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	276836	1	11004	0	size1	1	222.3	222.3	dqdx	6.617	3.391	1.542	3
mcp1k	18255	276836	0	11004	0	size1	1	222.3	222.3	dqdx	6.617	3.391	1.542	3
mcp1k	18255	277276	1	8017	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277276	1	8018	0	size1	1	137	137	dead_end	0	-1	-1	1
mcp1k	18255	277276	1	8022	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277276	0	8017	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277276	0	8018	0	size1	1	137	137	dead_end	0	-1	-1	1
mcp1k	18255	277276	0	8022	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277298	1	17024	0	size1	1	2.384	2.384	dead_end	0	-1	-1	1
mcp1k	18255	277298	1	17026	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277298	1	17027	0	size1	1	6.419	6.419	dead_end	0	-1	-1	1
mcp1k	18255	277298	1	17028	0	size1	1	9.934	9.934	dead_end	0	-1	-1	1
mcp1k	18255	277298	1	17030	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277298	0	17024	0	size1	1	2.384	2.384	dead_end	0	-1	-1	1
mcp1k	18255	277298	0	17026	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	277298	0	17027	0	size1	1	6.419	6.419	dead_end	0	-1	-1	1
mcp1k	18255	277298	0	17028	0	size1	1	9.934	9.934	dead_end	0	-1	-1	1
mcp1k	18255	277298	0	17030	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	1	3010	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	1	3020	0	size1	1	2.71	2.71	dead_end	0	-1	-1	1
mcp1k	18255	278046	1	3032	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	1	3033	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	0	3010	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	0	3020	0	size1	1	2.71	2.71	dead_end	0	-1	-1	1
mcp1k	18255	278046	0	3032	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278046	0	3033	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278266	1	22001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278266	0	22001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278420	1	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278420	1	18002	0	size1	1	32.66	32.66	dead_end	0	-1	-1	1
mcp1k	18255	278420	0	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278420	0	18002	0	size1	1	32.66	32.66	dead_end	0	-1	-1	1
mcp1k	18255	278640	1	17002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278640	0	17002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278684	1	10008	1	accepted	3	144.1	84.9	dqdx	23.17	5.334	1.309	3
mcp1k	18255	278684	0	10008	1	accepted	3	144.1	84.9	dqdx	23.17	5.334	1.309	3
mcp1k	18255	278785	1	5000	0	size1	1	198.8	198.8	dead_end	0	-1	-1	1
mcp1k	18255	278785	1	5001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278785	0	5000	0	size1	1	198.8	198.8	dead_end	0	-1	-1	1
mcp1k	18255	278785	0	5001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	278794	1	7002	0	size1	1	22.58	22.58	dqdx	103.8	2.026	1.374	2
mcp1k	18255	278794	0	7002	0	size1	1	22.58	22.58	dqdx	103.8	2.026	1.374	2
mcp1k	18255	279190	1	17000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279190	0	17000	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279256	1	15003	1	accepted	3	290.6	202.8	dead_end	0	-1	-1	1
mcp1k	18255	279256	0	15003	1	accepted	3	290.6	202.8	dead_end	0	-1	-1	1
mcp1k	18255	279445	1	84005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279445	0	84005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279643	1	20001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279643	1	20002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279643	0	20001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	279643	0	20002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280017	1	8018	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280017	1	8019	0	size1	1	3.465	3.465	dead_end	0	-1	-1	1
mcp1k	18255	280017	0	8018	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280017	0	8019	0	size1	1	3.465	3.465	dead_end	0	-1	-1	1
mcp1k	18255	280466	1	15005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280466	1	15006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280466	0	15005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280466	0	15006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280598	1	15001	0	size1	1	33.13	33.13	dead_end	0	-1	-1	1
mcp1k	18255	280598	1	15006	0	size1	1	18.4	18.4	both	7.074	89.29	2.043	2
mcp1k	18255	280598	1	15010	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280598	0	15001	0	size1	1	33.13	33.13	dead_end	0	-1	-1	1
mcp1k	18255	280598	0	15006	0	size1	1	18.4	18.4	both	7.074	89.29	2.043	2
mcp1k	18255	280598	0	15010	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280752	1	13001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280752	1	13002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280752	0	13001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280752	0	13002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280774	1	16003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280774	1	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280774	0	16003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280774	0	16004	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	1	11003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	1	11005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	1	11006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	0	11003	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	0	11005	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280853	0	11006	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280972	1	7039	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280972	1	7040	0	size1	1	45.76	45.76	angle	8.848	21.03	1.259	2
mcp1k	18255	280972	1	7172	0	size1	1	483.1	483.1	dead_end	0	-1	-1	1
mcp1k	18255	280972	0	7039	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280972	0	7040	0	size1	1	45.76	45.76	angle	8.848	21.03	1.259	2
mcp1k	18255	280972	0	7172	0	size1	1	483.1	483.1	dead_end	0	-1	-1	1
mcp1k	18255	280994	1	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	280994	0	18001	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	1	60031	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	1	60034	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	1	60035	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	1	60041	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	0	60031	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	0	60034	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	0	60035	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281214	0	60041	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281337	1	28000	0	size1	1	0.2268	0.2268	dead_end	0	-1	-1	1
mcp1k	18255	281337	0	28000	0	size1	1	0.2268	0.2268	dead_end	0	-1	-1	1
mcp1k	18255	281485	1	93115	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281485	0	93115	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281505	1	18001	0	size1	1	98.88	98.88	dead_end	0	-1	-1	1
mcp1k	18255	281505	1	18002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281505	0	18001	0	size1	1	98.88	98.88	dead_end	0	-1	-1	1
mcp1k	18255	281505	0	18002	0	seed_dqdx	0	0	0	seed_dqdx	0	-1	-1	-1
mcp1k	18255	281507	1	8001	0	size1	1	122.8	122.8	dead_end	0	-1	-1	1
