arm	run	subrun	evt	shower	defect	n_mu	n_oth	L_mu_cm	L_chain_cm	L_unchained_cm	start_pdg	n_deg3_internal	min_arm_cm	dQ_frac_oth	dqdx_shift_MeV	kine_range	kine_dQdx	kine_charge	kine_best	best_is	fallback_why	mcs_source	mcs_nseg	mcs_len_cm	mcs_ke	mcs_ke_range_toolkit
mcp2k	18255	1	75554	51036	both	7	3	122.4	0	122.4	13	0	-1	0.103	28.7	0	284.3	139.1	139.1	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	294174	16028	deltaray_charge	1	8	1.771	2.756e-06	1.771	11	0	-1	1	404.8	0.0001	404.8	327.2	404.8	dQdx	ratio_outside		-1	-1	-1	-1
mcp2k	18255	1	74336	22002	broken_chain	4	0	108.1	0	108.1	13	0	-1	0	0	0	255.7	195.6	195.6	charge	range_zero		-1	-1	-1	-1
mcp1k	18255	1	286681	72040	both	2	9	40.63	0	40.63	13	0	-1	0.7295	321.2	0	420.3	181.1	181.1	charge	range_zero	pf_muon	1	65	15.4	176.9
mcp1k	18259	1	71222	22007	both	4	5	88.13	0	88.13	13	0	-1	0.2227	58.61	0	248.2	178.9	178.9	charge	range_zero	pf_muon	1	73.2	1308	194.4
mcp2k	18259	1	243628	73029	both	5	2	23.43	0	23.43	13	0	-1	0.7459	240.3	0	312.3	171.8	171.8	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	392901	127030	both	4	2	71.31	0	71.31	13	1	5.508	0.1267	25.77	0	194	157	157	charge	range_zero		-1	-1	-1	-1
mcp2k	18259	1	159569	12000	broken_chain	3	1	70.05	0	70.05	13	0	-1	0.02048	2.852	0	148.2	104.3	104.3	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	319475	18000	broken_chain	2	0	68.46	0	68.46	13	0	-1	0	0	0	152	109.1	109.1	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	99232	17013	deltaray_charge	2	2	246.8	246.8	0	13	1	39.99	0.2659	225.4	570.5	795.9	581.3	795.9	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp2k	18255	1	55740	17000	deltaray_charge	1	1	168	178	0	13	0	-1	0.1781	140.7	418.6	508.8	317.6	418.6	range			-1	-1	-1	-1
mcp2k	18255	1	66872	50019	deltaray_charge	3	2	14.49	0	14.49	13	0	-1	0.6503	139.9	0	194.7	113.5	113.5	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	395695	59035	both	2	4	41.85	0	41.85	13	0	-1	0.4572	111.8	0	241.7	190.8	190.8	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	393538	8005	broken_chain	5	2	331.7	292.5	39.15	13	1	4.057	0.01608	21.1	673.7	757.9	528.7	673.7	range			-1	-1	-1	-1
mcp1k	18255	1	399702	27003	deltaray_charge	2	3	217.9	217.9	0	13	1	6.029	0.1173	124.4	506.2	622.9	437	622.9	dQdx	end_degree_or_override	pf_muon	1	210.3	430.8	489.3
mcp2k	18255	1	54629	15005	deltaray_charge	2	7	125.4	125.4	0	13	1	3.828	0.2838	123.6	305.5	397.4	285.8	397.4	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp1k	18255	1	286191	63011	both	2	1	36.67	0	36.67	13	0	-1	0.2722	26.21	0	99.97	13.12	13.12	charge	range_zero	pf_muon	1	96.3	232.2	243.6
mcp1k	18255	1	283713	23011	both	6	6	34.13	0	34.13	13	0	-1	0.3869	67.29	0	176.3	169	169	charge	range_zero	pf_muon	1	251.9	2018	581.9
mcp1k	18255	1	319039	26004	deltaray_charge	1	2	26.7	73.67	0	13	0	-1	1.051	111	195.4	125.5	63.87	195.4	range			-1	-1	-1	-1
mcp1k	18255	1	61579	74026	both	6	8	30.62	0	30.62	13	0	-1	0.4378	69.09	0	157.8	111.2	111.2	charge	range_zero	pf_muon	1	133.4	373	322.5
mcp2k	18255	1	55220	17001	broken_chain	1	0	29.85	2.756e-06	29.85	13	0	-1	0	0	0.001	66.92	52.61	66.92	dQdx	ratio_outside		-1	-1	-1	-1
mcp2k	18255	1	499577	13031	broken_chain	5	1	324.4	294.7	29.74	13	1	17.06	0.04366	32.24	678.6	700.3	554.5	678.6	range			-1	-1	-1	-1
mcp2k	18255	1	323301	19004	deltaray_charge	4	4	220.4	220.4	0	13	3	3.32	0.1659	97.6	511.7	575.9	405.1	511.7	range			-1	-1	-1	-1
mcp1k	18255	1	490977	23004	deltaray_charge	5	7	19.69	0	19.69	13	0	-1	0.5402	97.4	0	181.3	158.1	158.1	charge	range_zero	pf_muon	1	75.2	647	198.6
mcp2k	18255	1	282271	51038	both	5	5	24.12	0	24.12	13	0	-1	0.3817	36.24	0	95.32	66.74	66.74	charge	range_zero		-1	-1	-1	-1
mcp1k	18255	1	288327	22005	deltaray_charge	3	4	104.7	103	1.631	13	2	3.304	0.2493	79.15	257.8	314.8	235.6	314.8	dQdx	end_degree_or_override	pf_muon	1	79.3	336.8	207.5
mcp1k	18255	1	288859	9003	deltaray_charge	3	4	339.6	339.6	5.684e-14	13	2	3.987	0.07003	77.18	782.1	846.5	637.8	782.1	range		pf_muon	1	244.1	1203	564.5
mcp1k	18255	1	278684	10008	broken_chain	6	2	187.8	167.3	20.49	13	2	2.182	0.02993	14.32	395.3	448.3	324.4	395.3	range		pf_muon	1	84.9	1344	219.3
mcp2k	18259	1	174771	22024	deltaray_charge	4	4	19.51	0	19.51	13	0	-1	0.4342	43.86	0	98.87	92.38	92.38	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	101828	18001	deltaray_charge	2	3	110.6	128.9	0	13	1	3.722	0.2076	64.01	312.8	314.5	251.8	312.8	range			-1	-1	-1	-1
mcp1k	18259	1	166870	85045	deltaray_charge	3	1	17.4	0	17.4	13	0	-1	0.1285	6.327	0	45.92	38.59	38.59	charge	range_zero		-1	-1	-1	-1
mcp1k	18259	1	166738	62032	deltaray_charge	3	4	16.83	0	16.83	13	0	-1	0.4371	51.81	0	116.8	90.06	90.06	charge	range_zero	pf_muon	1	171.1	412.4	403.6
mcp2k	18255	1	350354	18009	deltaray_charge	1	1	64.84	70.24	0	13	0	-1	0.2191	55.45	188	161.1	74.22	188	range			-1	-1	-1	-1
mcp2k	18255	1	397401	16012	deltaray_charge	2	3	138.8	138.8	0	13	1	2.705	0.1311	51.78	334.1	382.4	275.1	382.4	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp1k	18255	1	393212	84048	deltaray_charge	1	1	16.37	17.74	0	13	0	-1	0.2444	47.88	69.03	110.8	58.38	69.03	range			-1	-1	-1	-1
mcp2k	18259	1	180698	11012	deltaray_charge	2	1	268	268	0	13	1	17.37	0.06368	42.63	618	683.4	477.6	618	range			-1	-1	-1	-1
mcp2k	18259	1	170098	70030	deltaray_charge	6	3	12.32	0	12.32	13	1	17.36	0.2342	13.44	0	54.74	44.22	44.22	charge	range_zero		-1	-1	-1	-1
mcp1k	18255	1	348691	51080	deltaray_charge	1	1	18.18	31.92	0	13	0	-1	0.4417	39.51	103.5	85.96	79.83	103.5	range		pf_muon	1	360	1555	829.6
mcp2k	18255	1	99716	13005	deltaray_charge	2	2	290.4	290.4	0	13	1	3.759	0.05343	39.17	668.9	721.3	536.9	721.3	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp1k	18255	1	320667	29014	deltaray_charge	2	4	10.79	0	10.79	13	0	-1	0.5489	37.71	0	64.51	41.38	41.38	charge	range_zero		-1	-1	-1	-1
mcp1k	18255	1	349461	72015	deltaray_charge	2	1	11.12	0	11.12	13	0	-1	0.06067	3.025	0	50.87	9.843	9.843	charge	range_zero	pf_muon	1	127	300.5	308.8
mcp1k	18255	1	350935	11001	deltaray_charge	1	1	253.1	266.9	0	13	0	-1	0.07379	36.7	615.7	525.1	169.8	615.7	range		pf_muon	1	253.1	498.9	584.5
mcp1k	18255	1	287830	42052	deltaray_charge	2	3	10.97	0	10.97	13	0	-1	0.4732	12.88	0	29.86	11.83	11.83	charge	range_zero		-1	-1	-1	-1
mcp2k	18255	1	502019	9013	deltaray_charge	3	2	78.48	74.22	4.262	13	1	14.4	0.1363	33.57	196.5	218.9	125.8	218.9	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp2k	18255	1	321015	16011	deltaray_charge	2	1	86.53	77.42	9.112	13	1	6.934	0.06592	14.99	203.4	205.4	136.9	205.4	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp2k	18255	1	392901	15011	deltaray_charge	2	2	203.3	203.3	0	13	1	4.236	0.05203	24.47	474	445	307.9	445	dQdx	end_degree_or_override		-1	-1	-1	-1
mcp2k	18255	1	480772	10012	deltaray_charge	2	1	112.6	112.6	0	13	1	8.009	0.07307	21.94	278.1	340.2	254.3	278.1	range			-1	-1	-1	-1
mcp2k	18255	1	281165	16006	deltaray_charge	2	1	123.5	123.5	1.421e-14	13	1	6.272	0.05918	18.5	301.3	318.7	235.3	301.3	range			-1	-1	-1	-1
mcp1k	18255	1	391766	24005	deltaray_charge	2	1	16.78	24.07	0	13	0	-1	0.1723	13.95	84.89	78.69	56.67	84.89	range		pf_muon	1	176.3	672.9	414.9
mcp1k	18255	1	395610	28002	deltaray_charge	1	1	52.86	58.1	0	13	0	-1	0.08317	11.18	161.9	127.5	90.58	161.9	range		pf_muon	1	208.9	956.4	486.2
mcp2k	18255	1	51722	23008	deltaray_charge	1	1	5.98	11.08	0	13	0	-1	0.219	10.96	50.79	43.85	25.67	50.79	range			-1	-1	-1	-1
mcp1k	18255	1	321371	18009	deltaray_charge	1	1	23.89	27.66	0	13	0	-1	0.1334	8.462	93.51	59.98	49.16	93.51	range		pf_muon	1	256.3	1256	591.7
