evt	mcs_len_cm	ke_MCS	ke_range_toolkit	ke_dqdx_toolkit	pr_muon_KE	pr_over_fragment
291548	71.3	158.4	190.2	180.9	190.2	1
291570	220.1	977.9	511	422.6	511	0.9999
291961	104.6	337.8	261.2	319.3	261.2	1
292005	90.1	595.6	230.3	199.1	394.9	1.715
292027	157.3	998	373.8	345.1	667	1.784
292384	356	857.9	820.1	806.6	887.2	1.082
292406	47.3	287.7	138.3	105.3	138.3	0.9998
292533	270.4	599.6	623.5	603.9	622.3	0.9981
292577	66.4	344.4	179.8	156.2	179.8	0.9999
292643	188.3	428.8	441.1	437.6	441.1	1
292687	70.6	2178	188.8	158	258.3	1.368
313847	162.4	367.9	384.8	329.8	547.5	1.423
313979	263.2	586.2	607.2	596.2	607.2	1
314507	61.7	1085	169.7	117.7	169.7	0.9998
315013	108.7	542.7	269.9	237.2	513.6	1.903
315167	57.3	165.5	160.1	136.3	160.1	0.9999
315497	256	788	591.1	553	591.1	0.9999
315849	74.8	34.5	197.9	157.5	197.9	0.9999
315871	96.5	314.8	243.9	244.6	244.3	1.001
316025	81	193.8	211.1	246.1	211.1	1
316311	80	531	208.8	190	208.8	1
316553	214.9	1031	499.6	486.9	606.1	1.213
316729	121.1	218.3	296.2	289.6	281	0.9487
317191	78.1	224.6	204.7	243.5	204.7	1
317939	152.9	380.9	364.4	311.3	364.4	1
318731	78.8	251.1	206.3	198	206.3	0.9998
319611	110.6	1797	274	272.6	274	0.9998
320029	223.8	503.2	519.3	520.9	519.3	1
320865	151.2	447.1	360.7	358.3	360.7	1
321107	239	503.6	553.1	522.7	553.1	0.9999
321173	130.2	329	315.7	308.1	315.7	0.9999
321371	256.3	1256	591.7	581.9	171.6	0.29
321767	212.2	751.8	493.5	465.2	573.7	1.162
345633	121.1	275.2	296.3	260.5	38.01	0.1283
347085	56.4	199.5	158.2	122.1	158.2	1
348471	67.3	158.4	181.7	168.4	181.7	0.9998
348691	360	1555	829.6	829.6	829.6	1
348845	71.8	1657	191.3	167.7	191.3	0.9999
349241	52.5	116.6	149.6	137.4	149.6	1
349461	127	300.5	308.8	316.4	308.8	1
349549	58.3	169.8	162.4	154.6	162.4	0.9999
349835	44.4	83	131.8	122.1	131.8	0.9997
349879	264	847	609.2	601.2	609.2	0.9999
349945	181.2	1084	425.5	416.7	425.5	1
350121	187.1	669.8	438.5	419.5	438.5	1
350297	259.1	623.9	598.1	589.2	598.1	1
350935	253.1	498.9	584.5	487.2	302.7	0.5178
351705	121.1	403.5	296.3	313.4	296.3	0.9999
352233	92.6	624.9	235.7	194.2	235.7	1
353223	43.7	-1	130.3	149.1	130.3	0.9998
353751	123.6	302.2	301.5	304	301.5	1
387850	123.9	371.4	302.2	316.6	302.2	1
388026	284.5	589.3	655.5	666.5	655.5	1
388224	195.5	420	456.8	449.1	456.8	1
390182	122.2	311	298.5	255.6	298.5	1
390842	389.4	875.2	898.6	912.5	898.6	1
390864	90.5	1312	231.1	188.3	211.6	0.9155
391260	103.8	222.9	259.5	256.8	259.5	0.9999
391766	176.3	672.9	414.9	394.8	646.9	1.559
392552	244.5	574.1	565.3	564.9	565.3	0.9999
393042	413.4	921.8	955.6	946.6	955.6	1
393608	48.7	294.7	141.3	108.4	141.3	1
394642	322.5	4000	742.6	691.3	742.6	1
394796	147.3	722.1	352.3	320.5	352.3	1
395148	90.6	264.1	231.5	270.6	231.5	0.9999
395610	208.9	956.4	486.2	441.8	486.2	1
395654	208.7	451.1	485.7	486.2	485.7	1
397722	66.1	307.8	179.1	150.5	179.1	0.9999
397920	274.8	872.2	633.5	592.2	633.5	1
398260	139.6	504.3	335.7	327.8	335.7	1
398690	150.5	1008	359.2	346	613.4	1.708
399118	153.7	431.8	366	373.6	366	1
399702	210.3	430.8	489.3	482.9	622.9	1.273
399856	47.2	279	138	138.8	176.1	1.276
400460	165.2	381.5	390.9	398.2	391.8	1.002
400504	56.8	268.4	159.2	176.7	159.2	0.9998
400592	236.8	574.2	548.1	534.3	548.1	1
400636	262.6	590.3	605.9	583.6	605.9	0.9999
400856	95.3	213.3	241.3	263	241.3	1
401252	53.8	152.4	152.5	111.1	150.9	0.9893
401516	168.3	353.7	397.6	395.9	397.6	1
401626	103.8	299.8	259.6	268.5	259.6	0.9998
401780	98.1	221	247.3	402.1	247.3	1
402880	72.4	543.3	192.6	264.6	192.6	0.9999
404244	112.6	250	278.2	266.2	278.2	1
405432	88.6	748.6	227.1	221.9	227.1	1
405674	155.1	375.9	369.2	374.9	397.7	1.077
406796	92.4	477.1	235.1	230.1	235.1	1
407148	153.8	3835	366.2	368.8	366.2	1
407280	192.8	484.7	451	427	448.7	0.9949
407918	91.8	208	233.9	211.3	233.9	0.9999
408534	86.1	184.5	221.8	212.9	223.5	1.008
409942	40.4	130.4	122.9	130.2	122.9	0.9998
409964	113.2	274.8	279.5	284	279.5	0.9999
412208	54.7	292.5	154.6	223.4	154.6	0.9997
486247	46.2	280	135.8	126.6	135.8	1
486687	297.4	637.5	684.8	643.5	684.8	1
487303	122.1	270.2	298.5	293.6	298.5	0.9999
488139	143.8	366.3	344.7	335.6	344.7	1
489327	394.4	1674	910.4	871.1	910.4	1
490361	42.9	105.3	128.4	108	128.4	0.9996
490581	187.9	949.4	440.2	398.8	529.4	1.203
490977	75.2	647	198.6	173.5	198.6	0.9999
492649	80.5	223.7	210	179.5	210	0.9998
492803	242.1	546.7	560	549.4	560	1
492913	50.1	-1	144.4	103.8	144.4	1
493243	188.6	471.6	441.8	411.1	441.8	0.9999
