event	matched_A	matched_B	same	moved	lost	gained	rescue_A	rescue_B
59047	17	17	7	10	0	0	0	0
59063	18	18	18	0	0	0	0	0
59069	13	13	9	4	0	0	0	0
59085	16	16	15	1	0	0	0	0
59093	17	17	14	3	0	0	0	0
59179	16	15	11	4	1	0	0	0
59247	22	22	17	5	0	0	0	0
59261	19	19	14	5	0	0	0	0
59335	20	20	14	6	0	0	0	0
59371	24	24	17	7	0	0	0	0
59377	15	15	11	4	0	0	0	0
59415	27	27	12	15	0	0	0	0
59459	23	23	18	5	0	0	0	0
59553	17	17	14	3	0	0	0	0
59663	16	16	11	5	0	0	0	0
59685	13	13	6	7	0	0	0	0
59723	15	15	12	3	0	0	0	0
59753	22	22	15	7	0	0	0	0
59773	28	28	23	5	0	0	0	0
59789	13	13	13	0	0	0	0	0
59795	25	25	20	5	0	0	0	0
59863	22	22	18	4	0	0	0	0
59899	17	17	15	2	0	0	0	0
59929	19	19	18	1	0	0	0	0
60017	21	21	15	6	0	0	0	0
60119	34	34	25	9	0	0	0	0
60345	26	26	20	6	0	0	0	0
60369	23	24	18	5	0	1	0	0
60559	17	17	13	4	0	0	0	0
60669	21	21	19	2	0	0	0	0
60763	19	19	16	3	0	0	0	0
60933	20	20	18	2	0	0	0	0
60985	17	17	13	4	0	0	0	0
61071	24	24	20	4	0	0	0	0
61093	19	19	12	7	0	0	0	0
61307	20	20	13	7	0	0	0	0
61313	24	24	21	3	0	0	0	0
61351	20	20	12	8	0	0	0	0
61417	16	16	13	3	0	0	0	0
61461	12	13	12	0	0	1	0	0
61483	15	15	7	8	0	0	0	0
61579	17	17	13	4	0	0	0	0
61637	15	15	7	8	0	0	0	0
61681	20	20	13	7	0	0	0	0
61711	22	22	11	11	0	0	0	0
61843	20	20	15	5	0	0	0	0
61997	16	16	15	1	0	0	0	0
62011	18	18	13	5	0	0	0	0
62019	25	25	21	4	0	0	0	0
62149	23	23	16	7	0	0	0	0
62209	20	20	15	5	0	0	0	0
62231	15	15	14	1	0	0	0	0
62281	31	31	29	2	0	0	0	0
62303	19	19	13	6	0	0	0	0
62327	20	20	19	1	0	0	0	0
62429	18	18	15	3	0	0	0	0
62459	21	21	14	7	0	0	0	0
62473	13	13	11	2	0	0	0	0
62495	24	24	17	7	0	0	0	0
62561	18	18	15	3	0	0	0	0
62583	24	24	18	6	0	0	0	0
62613	20	19	17	2	1	0	0	0
62721	22	22	16	6	0	0	0	0
62825	17	17	12	5	0	0	0	0
62943	27	27	20	7	0	0	0	0
62979	15	15	12	3	0	0	0	0
63097	16	16	13	3	0	0	0	0
63163	14	14	9	5	0	0	0	0
63273	21	21	18	3	0	0	0	0
63359	24	24	16	8	0	0	0	0
63427	22	22	13	9	0	0	0	0
63493	28	28	21	7	0	0	0	0
63515	15	15	12	3	0	0	0	0
63537	20	20	18	2	0	0	0	0
63551	9	9	7	2	0	0	0	0
63559	19	19	13	6	0	0	0	0
63581	12	12	11	1	0	0	0	0
63603	19	19	15	4	0	0	0	0
63669	15	15	10	5	0	0	0	0
63711	27	27	20	7	0	0	0	0
63947	16	16	10	6	0	0	0	0
64057	26	26	18	8	0	0	0	0
64079	14	14	9	5	0	0	0	0
64107	19	19	15	4	0	0	0	0
64409	14	14	11	3	0	0	0	0
64453	15	15	13	2	0	0	0	0
64475	26	26	15	11	0	0	0	0
64503	20	20	15	5	0	0	0	0
64591	25	25	18	7	0	0	0	0
64613	17	17	15	2	0	0	0	0
64701	14	14	11	3	0	0	0	0
64717	25	25	20	5	0	0	0	0
64921	21	21	16	5	0	0	0	0
64959	18	18	14	4	0	0	0	0
65018	22	22	17	5	0	0	0	0
65025	23	23	23	0	0	0	0	0
65053	19	19	15	4	0	0	1	0
65267	22	22	20	2	0	0	0	0
65289	16	16	12	4	0	0	1	0
65295	16	16	12	4	0	0	0	0
65355	26	26	18	8	0	0	0	0
65612	13	13	12	1	0	0	0	0
65647	20	20	14	6	0	0	0	0
65691	20	20	13	7	0	0	0	0
65788	18	18	12	6	0	0	0	0
65942	20	20	12	8	0	0	0	0
65999	24	24	19	5	0	0	0	0
66043	19	19	13	6	0	0	0	0
66087	16	16	15	1	0	0	0	0
66118	20	20	15	5	0	0	0	0
66272	21	21	14	7	0	0	0	0
66329	19	19	10	9	0	0	0	0
66338	21	21	14	7	0	0	0	0
66461	15	15	10	5	0	0	0	0
66571	22	22	12	10	0	0	0	0
66615	20	20	16	4	0	0	0	0
66624	20	20	13	7	0	0	0	0
66646	24	23	13	10	1	0	0	0
66712	20	20	14	6	0	0	0	0
66822	21	21	14	7	0	0	0	0
66954	30	30	22	8	0	0	0	0
67108	11	11	9	2	0	0	0	0
67152	27	27	19	8	0	0	0	0
67394	18	18	10	8	0	0	0	0
67746	14	14	9	5	0	0	0	0
67922	28	28	17	11	0	0	0	0
67988	16	16	11	5	0	0	0	0
68054	20	20	19	1	0	0	0	0
68362	14	14	13	1	0	0	0	0
68428	19	19	13	6	0	0	0	0
68516	20	20	16	4	0	0	0	0
68648	20	20	15	5	0	0	0	0
68714	19	19	15	4	0	0	0	0
68956	13	13	12	1	0	0	0	0
68978	21	21	17	4	0	0	0	0
69000	22	22	15	7	0	0	0	0
69066	22	22	16	6	0	0	0	0
69286	16	16	13	3	0	0	0	0
69308	19	19	14	5	0	0	0	0
70562	19	19	8	11	0	0	0	0
70980	19	19	9	10	0	0	0	0
71046	25	25	16	9	0	0	0	0
71178	19	20	12	7	0	1	0	0
71222	21	21	16	5	0	0	0	0
71266	20	20	20	0	0	0	0	0
71288	21	21	12	9	0	0	0	0
71376	19	19	8	11	0	0	0	0
71486	25	25	15	10	0	0	0	0
71530	15	14	13	1	1	0	0	0
71640	15	15	12	3	0	0	0	0
71882	20	20	11	9	0	0	0	0
71948	21	21	13	8	0	0	0	0
72256	22	22	14	8	0	0	0	0
72564	18	18	11	7	0	0	0	0
72586	25	25	20	5	0	0	0	0
72828	19	19	16	3	0	0	0	0
73004	25	25	16	9	0	0	0	0
73070	19	19	11	8	0	0	0	0
73422	18	18	14	4	0	0	0	0
166650	21	21	15	6	0	0	0	0
166738	26	26	22	4	0	0	0	0
166804	20	20	13	7	0	0	0	0
166870	28	28	24	4	0	0	0	0
167112	24	24	18	6	0	0	0	0
167200	20	20	11	9	0	0	0	0
167222	15	15	9	6	0	0	0	0
167354	21	21	15	6	0	0	0	0
167376	19	19	15	4	0	0	0	0
167398	17	17	11	6	0	0	0	0
167640	16	16	10	6	0	0	0	0
167684	20	20	15	5	0	0	0	0
167904	28	28	22	6	0	0	0	0
168388	16	16	13	3	0	0	0	0
168410	16	16	10	6	0	0	0	0
168432	20	19	15	4	1	0	0	0
168526	23	23	15	8	0	0	0	0
168614	14	14	8	6	0	0	0	0
168658	29	29	21	8	0	0	0	0
169054	11	11	10	1	0	0	0	0
169202	20	20	13	7	0	0	0	0
169208	23	23	16	7	0	0	0	0
169340	19	19	13	6	0	0	0	0
169356	20	20	11	9	0	0	0	0
169488	15	15	10	5	0	0	0	0
169532	18	18	12	6	0	0	0	0
169598	20	20	18	2	0	0	0	0
169620	21	21	13	8	0	0	0	0
169626	22	22	16	6	0	0	0	0
169708	22	22	17	5	0	0	0	0
169736	23	24	16	7	0	1	0	0
169758	12	12	11	1	0	0	1	1
169774	17	17	7	10	0	0	0	0
169824	18	19	14	4	0	1	1	0
169846	22	22	21	1	0	0	0	0
169890	24	24	15	9	0	0	0	0
170792	16	16	12	4	0	0	0	0
170808	22	22	20	2	0	0	0	0
170814	26	26	21	5	0	0	0	0
170880	26	26	22	4	0	0	0	0
170924	24	24	17	7	0	0	0	0
170940	30	30	21	9	0	0	0	0
170984	19	19	18	1	0	0	0	0
171050	27	27	20	7	0	0	0	0
171116	23	23	16	7	0	0	0	0
171144	20	20	17	3	0	0	0	0
171358	22	22	17	5	0	0	0	0
171446	13	13	9	4	0	0	0	0
171600	26	26	17	9	0	0	0	0
171892	24	24	22	2	0	0	0	0
172090	14	14	8	6	0	0	0	0
172200	25	25	16	9	0	0	0	0
172266	22	22	14	8	0	0	0	0
172414	23	23	12	11	0	0	0	0
172552	20	20	12	8	0	0	0	0
172596	23	23	19	4	0	0	0	0
172656	17	17	10	7	0	0	0	0
172722	13	13	9	4	0	0	0	0
172788	30	30	21	9	0	0	0	0
172794	20	20	14	6	0	0	0	0
172832	23	23	16	7	0	0	0	0
172860	26	26	18	8	0	0	0	0
172926	21	21	15	6	0	0	0	0
172942	16	16	13	3	0	0	0	0
173058	25	25	16	9	0	0	0	0
173146	24	25	21	3	0	1	0	0
173234	18	18	14	4	0	0	0	0
173256	18	18	15	3	0	0	0	0
173294	19	19	8	11	0	0	0	0
173476	19	19	10	9	0	0	0	0
173498	14	14	14	0	0	0	0	0
173586	20	20	12	8	0	0	0	0
173718	17	17	13	4	0	0	0	0
173822	14	14	9	5	0	0	0	0
173888	15	15	8	7	0	0	0	0
173982	16	16	13	3	0	0	0	0
174114	25	25	17	8	0	0	0	0
174136	14	14	9	5	0	0	0	0
174224	25	25	19	6	0	0	0	0
174240	17	17	16	1	0	0	0	0
174306	18	18	14	4	0	0	0	0
174422	17	17	12	5	0	0	0	0
174488	14	14	11	3	0	0	0	0
174576	19	19	10	9	0	0	0	0
174642	16	16	10	6	0	0	0	0
174752	15	15	11	4	0	0	0	0
174878	19	19	11	8	0	0	0	0
174928	19	19	16	3	0	0	0	0
175016	28	28	14	14	0	0	0	0
175104	17	17	14	3	0	0	0	0
175428	23	23	15	8	0	0	0	0
175500	21	21	16	5	0	0	0	0
175808	23	23	19	4	0	0	0	0
175896	23	23	18	5	0	0	0	0
175956	17	17	11	6	0	0	0	0
176022	17	17	11	6	0	0	0	0
176066	19	19	16	3	0	0	0	0
176088	20	20	15	5	0	0	0	0
176132	37	37	29	8	0	0	0	0
176160	24	24	18	6	0	0	0	0
276198	23	23	20	3	0	0	0	0
276330	19	19	12	7	0	0	0	0
276418	19	19	17	2	0	0	0	0
276550	29	29	22	7	0	0	0	0
276638	15	15	12	3	0	0	0	0
276836	20	20	12	8	0	0	0	0
277276	19	19	18	1	0	0	0	0
277298	22	22	14	8	0	0	0	0
277320	15	15	14	1	0	0	0	0
277782	17	17	11	6	0	0	0	0
277958	19	20	11	8	0	1	0	0
278046	22	22	17	5	0	0	0	0
278266	24	24	18	6	0	0	0	0
278398	14	14	12	2	0	0	0	0
278420	23	23	14	9	0	0	0	0
278640	19	19	17	2	0	0	0	0
278662	21	21	12	9	0	0	0	0
278684	25	25	20	5	0	0	0	0
278785	15	15	10	5	0	0	0	0
278794	16	16	13	3	0	0	0	0
278860	16	16	11	5	0	0	0	0
278917	16	16	11	5	0	0	0	0
278939	31	31	20	11	0	0	0	0
279080	19	19	16	3	0	0	0	0
279115	22	22	14	8	0	0	0	0
279124	17	17	13	4	0	0	0	0
279190	27	27	13	14	0	0	0	0
279256	21	22	17	4	0	1	0	0
279432	19	19	13	6	0	0	0	0
279445	23	23	15	8	0	0	0	0
279564	17	17	12	5	0	0	0	0
279643	25	25	21	4	0	0	0	0
279797	25	25	18	7	0	0	0	0
279951	22	22	17	5	0	0	0	0
280017	20	20	12	8	0	0	0	0
280092	17	17	13	4	0	0	0	0
280281	21	21	16	5	0	0	0	0
280466	14	14	13	1	0	0	0	0
280598	26	26	20	6	0	0	0	0
280752	18	18	12	6	0	0	0	0
280774	20	20	19	1	0	0	0	0
280853	21	21	16	5	0	0	0	0
280884	14	15	11	3	0	1	0	0
280972	22	22	13	9	0	0	0	0
280994	28	28	26	2	0	0	0	0
281095	17	17	15	2	0	0	0	0
281148	16	16	12	4	0	0	0	0
281155	20	20	17	3	0	0	0	0
281214	22	22	15	7	0	0	0	0
281241	23	23	18	5	0	0	0	0
281337	24	24	17	7	0	0	0	0
281485	21	21	14	7	0	0	0	0
281505	22	22	19	3	0	0	0	0
281507	22	22	15	7	0	0	0	0
281527	20	20	14	6	0	0	0	0
281551	22	22	15	7	0	0	0	0
281557	24	24	20	4	0	0	0	0
281595	25	25	18	7	0	0	0	0
281632	18	18	14	4	0	0	0	0
281639	22	22	18	4	0	0	0	0
281676	17	17	12	5	0	0	0	0
281720	34	34	24	10	0	0	0	0
281727	16	16	12	4	0	0	0	0
281808	18	18	12	6	0	0	0	0
281837	20	20	17	3	0	0	0	0
281857	23	23	14	9	0	0	0	0
281901	16	16	10	6	0	0	0	0
281918	30	30	24	6	0	0	0	0
281925	18	18	16	2	0	0	0	0
281953	13	14	11	2	0	1	0	0
281997	19	19	16	3	0	0	0	0
282011	23	23	17	6	0	0	0	0
282033	16	16	10	6	0	0	0	0
282057	20	20	18	2	0	0	0	0
282072	18	18	15	3	0	0	0	0
282094	15	15	10	5	0	0	0	0
282160	22	23	14	8	0	1	0	0
282204	17	17	15	2	0	0	0	0
282217	17	17	13	4	0	0	0	0
282231	18	18	15	3	0	0	0	0
282292	17	17	14	3	0	0	0	0
282299	20	20	18	2	0	0	0	0
282385	20	20	15	5	0	0	0	0
282459	24	24	13	11	0	0	0	0
282541	19	19	16	3	0	0	0	0
282666	23	23	19	4	0	0	0	0
282715	18	18	14	4	0	0	0	0
282737	23	23	17	6	0	0	0	0
282871	19	19	14	5	0	0	0	0
282899	18	18	14	4	0	0	0	0
282930	27	27	21	6	0	0	0	0
282952	26	26	22	4	0	0	0	0
282979	19	19	15	4	0	0	0	0
283009	26	26	20	6	0	0	0	0
283040	21	20	17	3	1	0	0	0
283047	24	24	18	6	0	0	0	0
283091	26	26	22	4	0	0	0	0
283119	20	20	16	4	0	0	0	0
283229	14	14	8	6	0	0	0	0
283265	22	22	14	8	0	0	0	0
283331	18	18	12	6	0	0	0	0
283463	27	27	22	5	0	0	0	0
283485	16	16	11	5	0	0	0	0
283515	21	21	19	2	0	0	0	0
283529	21	21	15	6	0	0	0	0
283537	17	17	15	2	0	0	0	0
283581	19	19	10	9	0	0	0	0
283595	25	25	16	9	0	0	0	0
283683	19	19	14	5	0	0	0	0
283691	22	23	21	1	0	1	0	0
283713	23	23	16	7	0	0	0	0
283771	23	23	21	2	0	0	0	0
283793	20	20	13	7	0	0	0	0
283801	19	19	16	3	0	0	0	0
283817	31	31	17	14	0	0	0	0
283839	16	16	12	4	0	0	0	0
283905	22	22	16	6	0	0	0	0
283969	33	33	25	8	0	0	0	0
283991	15	15	11	4	0	0	0	0
284013	17	17	14	3	0	0	0	0
284081	11	11	10	1	0	0	0	0
284103	12	12	11	1	0	0	0	0
284125	15	15	8	7	0	0	0	0
284145	19	19	14	5	0	0	0	0
284153	24	24	17	7	0	0	0	0
284200	14	14	11	3	0	0	0	0
284211	16	17	11	5	0	1	0	0
284235	21	21	12	9	0	0	0	0
284255	14	14	9	5	0	0	0	0
284323	10	10	9	1	0	0	0	0
284349	14	14	10	4	0	0	0	0
284365	16	16	14	2	0	0	0	0
284367	22	22	19	3	0	0	0	0
284563	13	13	8	5	0	0	0	0
284587	21	21	16	5	0	0	0	0
284596	25	25	19	6	0	0	0	0
284637	28	28	22	6	0	0	0	0
284657	26	25	20	5	1	0	0	0
284769	21	21	14	7	0	0	0	0
284791	19	19	13	6	0	0	0	0
284794	22	22	18	4	0	0	0	0
284835	16	16	15	1	0	0	0	0
284937	15	15	13	2	0	0	0	0
284989	20	20	16	4	0	0	0	0
285025	19	19	9	10	0	0	0	0
285049	12	12	8	4	0	0	0	0
285069	19	19	11	8	0	0	0	0
285080	20	20	17	3	0	0	0	0
285185	19	19	18	1	0	0	0	0
285201	13	13	12	1	0	0	0	0
285253	30	30	25	5	0	0	0	0
285311	12	12	9	3	0	0	0	0
285333	18	18	11	7	0	0	0	0
285366	23	23	17	6	0	0	0	0
285421	12	12	11	1	0	0	0	0
285443	24	24	21	3	0	0	0	0
285467	24	24	18	6	0	0	0	0
285531	24	23	19	4	1	0	0	0
285564	22	22	15	7	0	0	0	0
285577	17	17	13	4	0	0	0	0
285586	20	20	13	7	0	0	0	0
285652	25	25	19	6	0	0	0	0
285663	18	18	11	7	0	0	0	0
285665	20	20	17	3	0	0	0	0
285674	27	27	15	12	0	0	0	0
285753	26	26	19	7	0	0	0	0
285795	30	30	27	3	0	0	0	0
285929	22	22	12	10	0	0	0	0
285971	19	19	15	4	0	0	0	0
285979	17	17	13	4	0	0	0	0
285993	21	21	18	3	0	0	0	0
285999	25	25	21	4	0	0	0	0
286021	21	21	11	10	0	0	0	0
286065	14	14	11	3	0	0	0	0
286089	14	14	11	3	0	0	0	0
286114	29	29	18	11	0	0	0	0
286133	23	23	19	4	0	0	0	0
286177	15	15	12	3	0	0	0	0
286180	19	19	15	4	0	0	0	0
286191	21	21	17	4	0	0	0	0
286197	13	13	11	2	0	0	0	0
286213	19	19	12	7	0	0	0	0
286221	22	22	18	4	0	0	0	0
286241	17	17	11	6	0	0	0	0
286268	20	20	16	4	0	0	0	0
286325	22	21	13	8	1	0	0	0
286329	25	25	18	7	0	0	0	0
286353	16	16	15	1	0	0	0	0
286391	19	19	17	2	0	0	0	0
286400	20	20	16	4	0	0	0	0
286527	27	27	13	14	0	0	0	0
286532	11	11	10	1	0	0	0	0
286551	24	23	16	7	1	0	0	0
286587	15	15	13	2	0	0	0	0
286617	16	16	12	4	0	0	0	0
286631	22	22	17	5	0	0	0	0
286655	29	29	26	3	0	0	0	0
286681	23	23	14	9	0	0	0	0
286683	17	17	14	3	0	0	0	0
286787	23	23	17	6	0	0	0	0
286818	22	22	16	6	0	0	0	0
286884	18	18	14	4	0	0	0	0
286906	17	17	17	0	0	0	0	0
287007	22	22	18	4	0	0	0	0
287013	17	17	13	4	0	0	0	0
287016	21	21	20	1	0	0	0	0
287029	21	21	16	5	0	0	0	0
287099	16	16	13	3	0	0	0	0
287181	22	22	18	4	0	0	0	0
287211	20	20	14	6	0	0	0	0
287249	23	23	18	5	0	0	0	0
287277	17	17	9	8	0	0	0	0
287315	18	18	14	4	0	0	0	0
287431	18	18	14	4	0	0	0	0
287434	29	29	19	10	0	0	0	0
287517	18	18	14	4	0	0	0	0
287522	19	19	16	3	0	0	0	0
287555	21	21	20	1	0	0	0	0
287599	22	22	20	2	0	0	0	0
287621	13	13	12	1	0	0	0	0
287654	22	22	17	5	0	0	0	0
287717	23	23	16	7	0	0	0	0
287759	15	15	11	4	0	0	0	0
287783	20	20	11	9	0	0	0	0
287825	25	25	19	6	0	0	0	0
287830	20	20	15	5	0	0	0	0
287896	23	23	17	6	0	0	0	0
288067	20	20	16	4	0	0	0	0
288287	19	19	17	2	0	0	0	0
288327	27	27	22	5	0	0	0	0
288358	24	24	15	9	0	0	0	0
288397	22	22	17	5	0	0	0	0
288468	14	14	11	3	0	0	0	0
288613	13	13	10	3	0	0	0	0
288639	18	18	14	4	0	0	0	0
288727	17	17	9	8	0	0	0	0
288745	24	24	22	2	0	0	0	0
288776	19	19	15	4	0	0	0	0
288859	17	17	13	4	0	0	0	0
288864	10	10	8	2	0	0	0	0
288921	21	21	18	3	0	0	0	0
288947	21	21	18	3	0	0	0	0
288952	22	22	16	6	0	0	1	0
288974	14	14	8	6	0	0	0	0
289062	21	21	17	4	0	0	0	0
289141	19	19	13	6	0	0	0	0
289145	26	26	17	9	0	0	0	0
289251	17	17	13	4	0	0	0	0
289295	24	24	18	6	0	0	0	0
289343	19	19	12	7	0	0	0	0
289475	20	20	12	8	0	0	0	0
289493	18	18	16	2	0	0	0	0
289559	18	18	10	8	0	0	0	0
289647	16	16	11	5	0	0	0	0
289656	22	22	17	5	0	0	0	0
289805	19	19	14	5	0	0	0	0
289832	19	19	15	4	0	0	0	0
289849	24	24	15	9	0	0	0	0
290052	17	17	14	3	0	0	0	0
290069	23	23	15	8	0	0	0	0
290135	27	27	21	6	0	0	0	0
290201	15	15	14	1	0	0	0	0
290223	23	23	17	6	0	0	0	0
290294	19	19	17	2	0	0	0	0
290316	18	18	14	4	0	0	0	0
290329	21	21	15	6	0	0	0	0
290602	22	22	15	7	0	0	0	0
290712	22	22	20	2	0	0	0	0
290729	20	20	17	3	0	0	0	0
290800	19	19	17	2	0	0	0	0
290844	12	12	11	1	0	0	0	0
291037	16	16	12	4	0	0	0	0
291064	22	22	17	5	0	0	0	0
291262	23	23	22	1	0	0	0	0
291301	23	23	17	6	0	0	0	0
291345	18	18	12	6	0	0	0	0
291372	20	20	17	3	0	0	0	0
291499	22	22	14	8	0	0	0	0
291526	21	21	16	5	0	0	0	0
291548	24	24	19	5	0	0	0	0
291570	26	26	18	8	0	0	0	0
291724	29	29	17	12	0	0	0	0
291768	27	27	20	7	0	0	0	0
291785	17	17	14	3	0	0	0	0
291961	23	23	20	3	0	0	0	0
292005	19	19	13	6	0	0	0	0
292027	27	27	23	4	0	0	0	0
292115	19	19	13	6	0	0	0	0
292384	19	19	17	2	0	0	0	0
292406	22	22	14	8	0	0	0	0
292423	23	23	20	3	0	0	0	0
292450	21	21	17	4	0	0	0	0
292533	23	21	16	5	2	0	0	0
292577	18	18	12	6	0	0	0	0
292643	22	22	20	2	0	0	0	0
292687	20	20	16	4	0	0	0	0
292797	26	26	19	7	0	0	0	0
293127	18	18	13	5	0	0	0	0
293149	18	18	13	5	0	0	0	0
293391	25	25	20	5	0	0	0	0
313781	23	23	12	11	0	0	0	0
313847	21	21	15	6	0	0	0	0
313979	24	24	14	10	0	0	0	0
314199	21	21	15	6	0	0	0	0
314309	22	22	21	1	0	0	0	0
314507	18	18	17	1	0	0	0	0
314705	27	27	17	10	0	0	0	0
314881	18	18	16	2	0	0	0	0
314925	20	20	14	6	0	0	0	0
315013	18	18	15	3	0	0	0	0
315079	15	15	13	2	0	0	0	0
315167	18	18	14	4	0	0	0	0
315343	19	19	16	3	0	0	0	0
315409	22	22	15	7	0	0	0	0
315497	22	22	17	5	0	0	0	0
315629	16	16	13	3	0	0	0	0
315849	21	21	18	3	0	0	0	0
315871	24	24	19	5	0	0	0	0
315959	14	14	10	4	0	0	0	0
316003	27	27	18	9	0	0	0	0
316025	21	21	20	1	0	0	0	0
316311	11	11	6	5	0	0	0	0
316487	20	20	16	4	0	0	0	0
316553	17	17	14	3	0	0	0	0
316729	14	14	9	5	0	0	0	0
316971	18	18	13	5	0	0	0	0
317191	26	26	13	13	0	0	0	0
317323	20	20	17	3	0	0	0	0
317543	16	16	11	5	0	0	0	0
317741	19	19	15	4	0	0	0	0
317939	28	28	20	8	0	0	0	0
318049	17	17	16	1	0	0	0	0
318335	19	19	12	7	0	0	0	0
318379	15	15	8	7	0	0	0	0
318731	19	19	14	5	0	0	0	0
319039	25	25	18	7	0	0	0	0
319611	21	21	19	2	0	0	0	0
319809	18	18	13	5	0	0	0	0
320029	25	25	20	5	0	0	0	0
320095	17	17	9	8	0	0	0	0
320491	25	25	21	4	0	0	0	0
320623	19	19	13	6	0	0	0	0
320667	29	29	19	10	0	0	0	0
320865	19	19	13	6	0	0	0	0
321107	19	19	15	4	0	0	0	0
321173	22	22	18	4	0	0	0	0
321371	24	24	19	5	0	0	0	0
321525	25	25	16	9	0	0	0	0
321767	19	19	18	1	0	0	0	0
321789	18	18	18	0	0	0	0	0
345523	22	22	15	7	0	0	0	0
345633	17	17	16	1	0	0	0	0
345655	16	16	10	6	0	0	0	0
346293	14	14	9	5	0	0	0	0
346315	24	24	18	6	0	0	0	0
346491	13	13	12	1	0	0	0	0
346623	24	24	19	5	0	0	0	0
347085	20	20	16	4	0	0	0	0
347129	20	20	16	4	0	0	0	0
347371	25	25	19	6	0	0	0	0
347833	23	23	20	3	0	0	0	0
348075	25	25	18	7	0	0	0	0
348471	21	21	17	4	0	0	0	0
348515	20	20	16	4	0	0	0	0
348691	20	20	11	9	0	0	0	0
348713	21	21	10	11	0	0	0	0
348845	17	17	11	6	0	0	0	0
348889	21	21	16	5	0	0	0	0
349087	26	26	20	6	0	0	0	0
349241	19	19	17	2	0	0	0	0
349373	21	21	15	6	0	0	0	0
349461	19	19	18	1	0	0	0	0
349527	25	25	16	9	0	0	0	0
349549	22	22	17	5	0	0	0	0
349835	16	16	12	4	0	0	0	0
349879	25	25	20	5	0	0	0	0
349945	28	28	18	10	0	0	0	0
350099	22	22	14	8	0	0	0	0
350121	12	12	11	1	0	0	0	0
350297	23	23	20	3	0	0	0	0
350781	20	20	12	8	0	0	0	0
350935	20	20	18	2	0	0	0	0
351507	20	20	13	7	0	0	0	0
