event	sample	entry	run	subrun	pass	rule	near_tpc	near_t0_us	far_tpc	far_t0_us	dt0_us	class	near_reco1_t_raw_us	near_reco1_pe	farTPC_prompt_pe_at_near_t	nearTPC_prompt_pe	farTPC_reco1_nearest_dt_us	farTPC_reco1_nearest_pe	adopted	nearTPC_prompt_pe_at_far_t	nearTPC_reco1_nearest_dt_to_far_t_us	nhits
179369	mcp2k_p1	140	18259	1	rescue	new-path-beam	0	0.28	1	1.952	1.672	within-8us-veto	-0.7341	37824	8277	28745	1.672	30469	near	2962	-1.672	27931
237798	mcp2k_p2	711	18259	1	rescue	new-path-beam	0	1.567	1	0.393	-1.174	within-8us-veto	0.4295	23033	203	19317	-1.175	6661	near	9236	1.174	30513
281165	mcp2k_p1	167	18255	1	rescue	new-path-beam	1	0.861	0	276.652	275.791	far-flash->13us(geom-first)	-0.7298	1517	14988	667	-0.001	20520	near	0	1.423	26973
287244	mcp2k_p2	401	18255	1	rescue	beam-dominant	1	1.578	0	3.595	2.017	within-8us-veto	-0.7534	14910	2230	9208	2.017	12245	near	304	-2.017	34477
288952	mcp1k	227	18255	1	rescue	beam-dominant	0	2.177	1	-4.323	-6.500	within-8us-veto	-0.7436	15869	1653	10045	2.092	634	near	245	6.500	28657
290938	mcp2k_p1	799	18255	1	rescue	beam-dominant	1	2.104	0	-0.063	-2.167	within-8us-veto	1.4310	16635	1476	12123	-2.167	23046	near	4927	2.167	44943
317427	mcp2k_p1	354	18255	1	rescue	new-path-beam	0	0.912	1	109.135	108.223	far-flash->13us(geom-first)	0.4462	23342	2855	18227	-2.390	98241	near	0	0.006	39246
319913	mcp2k_p1	370	18255	1	rescue	new-path-beam	0	0.745	1	28.883	28.138	far-flash->13us(geom-first)	-0.7459	3075	816	1195	0.001	1894	near	382	-0.015	19150
352365	mcp1k	692	18255	1	rescue	longer-half	0	0.722	1	2.685	1.963	within-8us-veto	-0.7454	21982	12	10726	1.963	8010	near	5922	-1.963	23240
389533	mcp2k_p2	610	18255	1	rescue	new-path-beam	0	0.756	1	0.762	0.006	same-time(no-light-loss)	-0.7562	4038	204	1843	0.006	589	near	1859	-0.006	22637
392200	mcp1k	453	18255	1	rescue	longer-half	0	0.683	1	3.113	2.430	within-8us-veto	-0.7350	19656	140	13122	2.430	28134	far	2593	-2.430	39742
395003	mcp2k_p1	818	18255	1	rescue	longer-half	0	1.717	1	5.929	4.212	within-8us-veto	-0.7408	40074	14	25876	4.212	11182	near	10543	-4.212	29181
395060	mcp1k	471	18255	1	rescue	new-path-beam	0	1.077	1	1.078	0.001	same-time(no-light-loss)	-0.7375	2550	2403	948	0.002	5035	near	948	-0.001	44441
395148	mcp1k	472	18255	1	rescue	longer-half	0	1.533	1	0.078	-1.455	within-8us-veto	0.7345	45940	266	38577	-1.456	5961	near	16399	1.455	13943
396761	mcp2k_p1	435	18255	1	rescue	longer-half	0	1.466	1	2.481	1.015	within-8us-veto	-0.7497	5200	658	2447	1.015	682	near	210	-1.015	32548
397498	mcp2k_p1	594	18255	1	rescue	longer-half	0	0.945	1	13.713	12.768	8-13us	-0.7465	7225	53	4102	0.015	393	near	14375	-0.019	42193
398115	mcp2k_p2	29	18255	1	rescue	new-path-beam	0	1.857	1	0.529	-1.328	within-8us-veto	0.5918	5321	353	3685	-1.327	19528	near	1050	1.328	30723
407798	mcp2k_p1	902	18255	1	rescue	new-path-beam	0	1.506	1	-7.038	-8.544	8-13us	-0.7517	17534	16085	13157	0.013	19456	near	5460	-0.026	32779
