sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	400856	0	9.925	5.367	10	1128628	0	nu-candidate	12	1	1	1	0	1.276	93.5	2	-101.32082	-93.028946	409.43176	4.2444735	-15.0	1.0	1.0	0.7	0.0	348.46393	1.6625559	0.0	1.6625559	1	1.4683697
mcp1k	18255	1	400900	0	5.034	1.002	5	377920	0	no-bundle	7	0	1	0	0																		
mcp1k	18255	1	400922	0	4.807	0.726	5	344688	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	401054	0	6.738	4.826	8	1141796	0	nu-candidate	10	1	1	1	0	0.949	8.2	6	-96.770195	88.89434	143.75829	-1.4568977	-15.0	1.0	1.0	0.7	0.0	313.17383	1.596836	0.0	1.596836	1	7.933619
mcp1k	18255	1	401208	0	5.394	1.343	7	465444	0	no-bundle	10	0	1	0	0																		
mcp1k	18255	1	401252	0	9.241	6.609	10	1214232	0	cosmic-tagged	10	1	1	1	0	1.997	75.6	16	75.34274	139.74252	477.31967	3.2863011	-15.0	1.0	0.0	0.7	0.0	603.84265	0.0	0.0	0.0	0	12.417825
mcp1k	18255	1	401450	0	24.739	23.118	26	1393200	0	cosmic-tagged	15	1	1	1	0	1.901	80.4	42	-142.00246	95.25857	6.3572397	-3.3089762	1.1213939	1.0	0.0	0.21008323	0.0	1504.6434	196.47963	0.0	196.47963	6	55.765774
mcp1k	18255	1	401516	0	8.716	7.207	9	1214508	0	nu-candidate	12	1	1	1	0	0.712	180.5	3	57.271217	149.81601	418.38327	2.6276343	-15.0	1.0	0.0	0.7	0.0	739.4152	0.0	0.0	0.0	0	4.337244
mcp1k	18255	1	401626	0	10.038	5.627	12	1125440	0	nu-candidate	9	1	1	1	0	1.179	103.4	9	-142.19177	-165.03787	375.12326	2.349411	-15.0	1.0	0.0	0.7	0.0	510.55377	2.750861	0.0	2.750861	2	0.0
mcp1k	18255	1	401758	0	4.879	0.793	6	355940	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	401780	0	10.058	5.946	11	1188004	0	nu-candidate	10	1	1	1	0	1.498	150.9	2	-187.96655	-89.85389	131.4774	0.920341	-15.0	1.0	1.0	0.7	0.0	531.5942	0.18873225	0.0	0.18873225	1	0.38165405
mcp1k	18255	1	401824	0	5.067	1.477	6	501216	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	401846	0	4.849	1.027	5	366676	0	cosmic-tagged	8	1	1	0	0																		
mcp1k	18255	1	401912	0	4.949	1.104	5	419688	0	nu-candidate	14	1	1	0	0																		
mcp1k	18255	1	401934	0	5.007	0.860	6	363260	0	nu-candidate	13	1	1	0	0																		
mcp1k	18255	1	402330	0	7.251	5.256	8	1150796	0	nu-candidate	9	1	1	1	0	1.472	34.4	2	-67.89959	-173.55989	78.18094	2.7523224	-15.0	1.0	0.0	0.7	0.0	311.76358	0.0	0.0	0.0	0	3.5883093
mcp1k	18255	1	402484	0	6.053	1.190	7	430700	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	402506	0	8.675	5.000	9	1182328	0	nu-candidate	9	1	1	1	0	0.831	2.3	6	-10.379487	-160.81262	412.40323	-2.9216347	-15.0	1.0	0.0	0.7	0.0	15.419161	2.3218572	0.0	2.3218572	2	3.5686255
mcp1k	18255	1	402528	0	4.631	0.619	5	310844	0	nu-candidate	12	1	1	0	0																		
mcp1k	18255	1	402880	0	8.539	5.552	9	1145512	0	nu-candidate	9	1	1	1	0	1.192	70.0	17	167.6439	36.701927	68.73383	-0.91729546	-15.0	1.0	0.0	0.7	0.0	313.5152	6.0734973	0.0	6.0734973	5	13.584437
mcp1k	18255	1	402902	0	6.137	1.233	7	429608	0	no-beam-flash	13	0	0	0	0																		
mcp1k	18255	1	402968	0	6.111	1.414	8	459284	0	nu-candidate	16	2	2	0	0																		
mcp1k	18255	1	403518	0	5.911	1.376	6	450748	0	no-beam-flash	11	0	0	0	0																		
mcp1k	18255	1	403716	0	4.766	0.959	5	380768	0	no-beam-flash	8	0	0	0	0																		
mcp1k	18255	1	403958	0	6.082	1.134	8	407184	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	404244	0	10.109	7.271	12	1218796	0	nu-candidate	14	1	1	1	0	1.484	107.1	18	29.453583	75.18491	300.8394	1.5844204	-15.0	1.0	0.0	0.7	0.0	760.97565	2.2538543	0.0	2.2538543	1	18.707163
mcp1k	18255	1	404464	0	4.777	1.113	6	396628	0	no-bundle	10	0	1	0	0																		
mcp1k	18255	1	404684	0	8.787	5.148	10	1146768	0	nu-candidate	8	1	1	1	0	1.595	77.9	0	-4.932129	155.14032	332.63522	0.51052094	-15.0	1.0	0.0	0.7	0.0	665.6172	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	404772	0	6.108	1.045	7	401268	0	no-beam-flash	12	0	0	0	0																		
mcp1k	18255	1	404816	0	6.136	1.336	7	446152	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	404860	0	5.031	1.344	7	429932	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	405190	0	4.765	0.854	5	357064	0	nu-candidate	12	1	1	0	0																		
mcp1k	18255	1	405212	0	4.819	0.817	5	348936	0	no-beam-flash	12	0	0	0	0																		
mcp1k	18255	1	405234	0	8.676	5.767	9	1227480	0	nu-candidate	13	1	1	1	0	1.563	34.6	5	-13.371215	164.99333	475.6731	0.27928478	-15.0	1.0	0.0	0.7	0.0	305.55865	0.0	0.0	0.0	0	10.966698
