# clean stopping-track dQ/dx-vs-rr sample, MCP2025C reco1
# roots: work-stmcamp-d66new
# track set REPLAYED from dqdx_rr_sample/sample_index_d66old.tsv; the cuts below were NOT applied
# cuts: npts>=40 nbin>=6 rrmin<=2.0 rrmax>=22.0 contrast>=2.0 chi2<=2.5 shape_rms<=0.1
# k_<h> = free scale needed against hypothesis h; rms_<h> = shape residual after taking k out
particle	root	event	block	status	npts	L_cm	contrast	chi2	k_muon	rms_muon	k_proton	rms_proton	mean_absx_cm
muon	work-stmcamp-d66new	56387	110	0	466	303.9	2.19	2.07	0.980	7.6	0.591	7.7	155.8
muon	work-stmcamp-d66new	57661	180	2	199	131.0	2.44	1.25	1.030	8.5	0.622	7.0	123.9
muon	work-stmcamp-d66new	59459	200	0	581	377.9	2.44	1.27	1.020	7.4	0.615	3.7	63.2
muon	work-stmcamp-d66new	62019	90	0	113	71.7	2.49	1.85	0.946	8.0	0.570	4.9	111.6
muon	work-stmcamp-d66new	62943	240	0	119	75.0	2.18	1.53	0.928	7.7	0.559	6.3	165.7
muon	work-stmcamp-d66new	63515	10	0	142	87.7	2.57	2.53	1.071	4.4	0.646	3.6	185.2
muon	work-stmcamp-d66new	64475	230	0	407	260.7	2.39	1.41	1.078	13.1	0.648	9.0	168.1
muon	work-stmcamp-d66new	65647	120	0	241	151.5	2.07	1.14	0.968	8.5	0.584	9.3	133.7
muon	work-stmcamp-d66new	66624	40	0	210	134.2	2.44	1.90	0.987	5.0	0.595	2.8	93.6
muon	work-stmcamp-d66new	66822	130	0	417	262.0	2.23	1.84	1.031	7.0	0.622	5.3	104.2
muon	work-stmcamp-d66new	68054	180	0	117	75.1	2.40	1.21	1.043	9.9	0.630	7.6	10.4
muon	work-stmcamp-d66new	69066	30	0	168	104.6	2.66	1.52	1.018	5.8	0.615	5.3	167.7
proton	work-stmcamp-d66new	289343	90	0	77	50.6	2.21	1.06	1.909	6.7	1.147	4.2	17.7
proton	work-stmcamp-d66new	291345	120	0	41	24.3	2.21	0.96	1.801	7.6	1.059	4.9	72.2
proton	work-stmcamp-d66new	315167	80	2	332	207.3	2.23	1.85	1.847	10.9	1.113	6.6	135.1
proton	work-stmcamp-d66new	386838	160	0	147	90.4	2.16	1.13	1.862	8.4	1.122	6.0	73.1
proton	work-stmcamp-d66new	404684	90	2	126	78.8	2.70	1.78	1.670	9.3	1.007	7.1	7.0
proton	work-stmcamp-d66new	409084	120	0	132	81.5	2.05	1.34	1.838	9.6	1.109	7.0	97.6
proton	work-stmcamp-d66new	412692	130	3	204	127.0	2.50	1.51	1.589	11.4	0.959	10.4	169.4
proton	work-stmcamp-d66new	59377	70	0	44	26.0	2.04	1.84	1.888	5.8	1.106	3.4	143.4
proton	work-stmcamp-d66new	59685	60	2	324	204.2	2.13	1.33	1.819	10.3	1.095	6.3	144.2
proton	work-stmcamp-d66new	63603	130	2	198	125.2	2.03	0.94	1.709	9.9	1.029	6.4	36.9
