event	evtno	n_eval	n_tgm	n_stm	n_fc	n_cand	n_f7	n_f8	n_f7_filled	n_michel_E	michel_E_list
039349_52	23257	47	14	5	11	27	3	0	13	13	735.2,7.8,0.0,0.0,250.9,210.7,2.6,0.0,0.0,26.3,1.0,70.7,13.2
039349_53	23277	44	9	10	15	23	1	0	12	13	568.4,8.9,34.9,207.0,0.7,0.0,533.1,0.0,0.0,0.0,0.0,0.0,0.0
039349_54		52	13	2	17	0	0	0	0	0	
039349_55	23317	53	12	5	20	27	1	0	12	14	293.9,155.5,0.7,0.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039349_56	55766	53	7	9	18	30	1	0	14	15	18.3,10.6,397.0,80.6,1194.0,641.5,394.2,0.0,191.4,1.8,208.0,0.0,0.0,0.0,0.0
039349_57	55786	47	14	8	10	23	0	0	10	10	0.0,1.6,330.2,0.0,0.0,0.0,85.8,0.0,0.0,0.0
039349_58	55806	57	9	5	31	23	3	1	12	13	883.3,976.3,455.9,0.0,0.0,54.0,2.9,54.4,0.0,0.0,0.0,0.0,0.0
039349_59	55826	44	8	6	18	21	1	0	11	14	898.6,0.0,0.0,0.0,401.0,0.0,8.9,4.0,109.8,0.0,0.0,0.0,0.0,2.1
039349_5	19509	48	10	7	19	22	0	0	9	14	0.0,334.8,0.0,0.0,5.9,0.0,113.3,0.0,143.5,10.5,0.0,0.0,22.3,27.8
039349_60		41	12	0	15	0	0	0	0	0	
039349_61	55866	47	10	4	17	26	0	0	15	12	832.8,14.5,0.0,0.0,14.2,381.3,0.0,0.0,21.2,0.0,0.0,0.6
039349_62	55886	55	16	9	18	26	0	0	13	16	17.4,0.0,808.9,310.2,371.6,0.4,0.0,0.0,73.2,363.1,209.2,82.6,5.8,0.0,21.5,0.0
039349_63		44	16	4	12	0	0	0	0	0	
039349_64		63	12	5	25	0	0	0	0	0	
039349_65	55946	45	14	4	14	23	1	0	11	13	1329.3,274.7,529.9,524.9,398.0,0.0,227.5,346.8,10.9,0.0,0.0,0.0,61.8
039349_66	55966	50	6	7	19	19	2	0	7	10	130.7,6.1,0.0,0.0,78.4,0.0,0.3,0.0,0.0,102.6
039349_67	55986	60	15	5	27	24	0	0	10	12	0.0,0.0,0.5,0.0,496.9,89.9,0.0,0.0,234.8,207.7,0.0,0.0
039349_68		51	6	9	20	0	0	0	0	0	
039349_69		55	18	5	21	0	0	0	0	0	
039349_6		55	12	2	26	0	0	0	0	0	
039349_70		53	7	2	24	0	0	0	0	0	
039349_7	19549	55	14	9	16	27	2	0	12	16	0.0,2.7,0.4,776.1,0.0,570.7,0.0,31.8,479.0,0.0,2.9,0.0,3.5,170.9,0.0,58.4
039349_8	19569	38	9	4	18	21	3	0	16	15	0.0,0.0,0.0,14.7,24.0,509.2,11.9,0.0,1.4,9.8,0.0,7.4,15.5,6.9,44.6
039349_9	19589	41	9	4	11	26	1	0	12	17	0.0,7.8,89.0,0.0,663.1,108.3,2.9,20.3,23.6,0.0,0.0,120.1,1.2,31.4,26.2,0.0,0.0
