event	cluster	raw_near	raw_mid	raw_contrast	fit_near	fit_mid	fit_contrast	raw_contrast_entry
039349_18	56	5.082e+04	1.682e+04	3.022	5.051e+04	4.411e+04	1.145	2.922
039349_18	57	3.11e+04	1.531e+04	2.032	4.174e+04	3.424e+04	1.219	1.298
039349_19	48	2.392e+04	2.227e+04	1.074	1.001e+04	4.121e+04	0.2429	1.007
039349_1	23	3.724e+04	4.205e+04	0.8856	5.308e+04	6.754e+04	0.7858	0.8653
039349_1	49	9.207e+04	4.222e+04	2.181	7.133e+04	4.892e+04	1.458	2.86
039349_20	27	2.561e+04	4.036e+04	0.6346	6.624e+04	6.11e+04	1.084	1.907
039349_20	30	2.264e+04	4.187e+04	0.5406	2.325e+04	5.658e+04	0.4109	1.18
039349_20	62	2.998e+04	2.475e+04	1.212	4.547e+04	4.561e+04	0.9971	1.171
039349_21	30	1.68e+04	1.469e+04	1.144	5.365e+04	6.091e+04	0.8808	0.7888
039349_22	18	4.083e+04	2.605e+04	1.568	5.844e+04	6.081e+04	0.961	1.246
039349_22	20	2.127e+04	4.821e+04	0.4411	2.354e+04	6.968e+04	0.3378	1.071
039349_22	28	7.015e+04	5.515e+04	1.272	6.268e+04	5.749e+04	1.09	1.9
039349_22	38	4.873e+04	4.46e+04	1.093	9.477e+04	6.097e+04	1.554	1.207
039349_22	63	5.772e+04	3.735e+04	1.546	5.015e+04	5.296e+04	0.9468	2.206
039349_22	64	7.061e+04	6524	10.82	5.457e+04	6.093e+04	0.8957	1.15
039349_23	57	9.822e+04	6167	15.93	5.96e+04	2506	23.78	1.836
039349_24	28	3.331e+04	3.613e+04	0.9218	5.373e+04	4.946e+04	1.086	0.4982
039349_24	45	5.451e+04	1.865e+04	2.923	4.179e+04	5.179e+04	0.8069	1.436
039349_25	42	3.728e+04	3.739e+04	0.9969	4.524e+04	4.227e+04	1.07	0.8988
039349_25	49	2.624e+04	2.182e+04	1.203	9.171e+04	3.496e+04	2.623	1.759
039349_25	72	3.577e+04	2.008e+04	1.782	5.9e+04	2.455e+04	2.403	1.526
039349_26	13	2.429e+04	3.756e+04	0.6466	2.913e+04	6.152e+04	0.4736	1.886
039349_26	33	2.794e+04	2.724e+04	1.026	4.357e+04	4.883e+04	0.8923	3.755
039349_26	38	2.29e+04	4.125e+04	0.5552	5.122e+04	4.329e+04	1.183	1.422
039349_27	43	8.731e+04	4.611e+04	1.893	5.123e+04	5.181e+04	0.9889	0.9998
039349_27	45	5.062e+04	3.615e+04	1.4	4.709e+04	4.714e+04	0.999	0.7985
039349_28	53	2.725e+04	3.501e+04	0.7783	4.987e+04	4.612e+04	1.081	1.526
039349_29	42	4.562e+04	3.771e+04	1.21	6.866e+04	5.652e+04	1.215	0.5747
039349_2	14	2.977e+04	2773	10.74	1.374e+04	1.508e+04	0.9112	0.6347
039349_31	28	3.198e+04	3.06e+04	1.045	8.157e+04	6.32e+04	1.291	0.6317
039349_31	63	7.263e+04	5.578e+04	1.302	6.249e+04	5.39e+04	1.159	1.633
039349_32	49	3.55e+04	3.887e+04	0.9133	5.531e+04	4.366e+04	1.267	1.005
039349_32	57	3.435e+04	3.568e+04	0.9629	5.612e+04	4.663e+04	1.204	0.8389
039349_33	11	7.49e+04	7.365e+04	1.017	8.757e+04	6.473e+04	1.353	0.7516
039349_33	20	2.528e+04	1.9e+04	1.331	3.916e+04	5.376e+04	0.7285	0.5461
039349_33	38	1.424e+05	3.782e+04	3.765	7.66e+04	5.34e+04	1.434	1.147
039349_35	46	1.245e+04	2.391e+04	0.5204	4.067e+04	5.623e+04	0.7234	0.5905
039349_36	23	8719	3.507e+04	0.2486	5.052e+04	6.481e+04	0.7795	1.724
039349_36	43	3.838e+04	3.754e+04	1.022	3.029e+04	6.005e+04	0.5045	0.9688
039349_36	51	4.988e+04	2.24e+04	2.227	6.049e+04	5.134e+04	1.178	2.067
039349_36	63	7567	6392	1.184	4.203e+04	3.759e+04	1.118	1.148
039349_36	64	2.376e+04	2.592e+04	0.9164	3.541e+04	4.517e+04	0.784	1.036
039349_37	8	1.801e+05	2.812e+04	6.402	1.732e+05	4.293e+04	4.034	0.4794
039349_37	10	1.988e+04	8987	2.212	5.684e+04	3.312e+04	1.716	2.089
039349_37	45	2.043e+04	7622	2.68	3.749e+04	2.835e+04	1.322	1.787
039349_38	32	3.764e+04	2.981e+04	1.263	5.29e+04	4.976e+04	1.063	2.811
039349_38	47	3.483e+04	2.325e+04	1.498	4.634e+04	5.294e+04	0.8752	1.002
039349_38	48	2.291e+04	2.634e+04	0.87	5.091e+04	3.797e+04	1.341	1.09
039349_38	54	9.572e+04	3.263e+04	2.934	8.051e+04	5.908e+04	1.363	1.27
039349_38	61	2.714e+04	3357	8.086	3.783e+04	1.677e+04	2.255	1.679
039349_38	65	8.369e+04	2.72e+04	3.077	7.606e+04	4.984e+04	1.526	1.702
039349_39	46	2.079e+04	2.702e+04	0.7697	5.273e+04	4.73e+04	1.115	0.4528
039349_39	50	6.001e+04	3.311e+04	1.812	9.778e+04	4.524e+04	2.161	1.319
039349_39	59	1.357e+04	1.819e+04	0.7462	3.053e+04	3.592e+04	0.8498	1.268
039349_39	60	1.109e+05	2614	42.42	1.165e+05	2.611e+04	4.461	1.065
039349_3	22	6.307e+04	7.184e+04	0.878	6.098e+04	5.143e+04	1.186	3.126
039349_3	45	1.742e+04	3.898e+04	0.4469	2.382e+04	5.11e+04	0.4661	1.108
039349_40	61	4.161e+04	4.34e+04	0.9588	4.514e+04	5.353e+04	0.8431	1.188
039349_41	51	1.459e+05	5.322e+04	2.742	8.792e+04	5.26e+04	1.672	0.3594
039349_42	28	5.047e+04	4.53e+04	1.114	8.112e+04	5.811e+04	1.396	2.908
039349_42	53	1.986e+04	1.452e+04	1.369	3.56e+04	5.059e+04	0.7037	1.045
039349_43	20	4.51e+04	3.1e+04	1.455	5.249e+04	5.638e+04	0.931	0.9301
039349_43	44	6.082e+04	2.222e+04	2.738	5.45e+04	4.686e+04	1.163	1.617
039349_43	46	2.082e+04	2.341e+04	0.8891	5.458e+04	5.163e+04	1.057	1.511
039349_43	47	2.798e+04	1.934e+04	1.446	1.002e+04	4.361e+04	0.2299	1.684
039349_45	11	3.619e+04	2.793e+04	1.296	3.173e+04	4.231e+04	0.7498	0.9166
039349_45	16	5.656e+04	3.366e+04	1.68	5.057e+04	5.477e+04	0.9233	1.313
039349_45	21	2.708e+04	4.243e+04	0.6383	4.814e+04	5.637e+04	0.854	2.114
039349_45	63	3.405e+04	4.563e+04	0.7462	5.735e+04	7.053e+04	0.8131	1.315
039349_46	64	2.929e+04	4.837e+04	0.6056	9.277e+04	5.525e+04	1.679	0.987
039349_47	53	2.816e+04	2.9e+04	0.9712	5.018e+04	3.784e+04	1.326	1.307
039349_47	60	6.095e+04	7703	7.913	9.137e+04	4.249e+04	2.15	6.032
039349_47	62	3.522e+04	3.092e+04	1.139	5.633e+04	5.351e+04	1.053	1.956
039349_48	23	9.879e+04	1.128e+04	8.76	9.64e+04	3.582e+04	2.691	0.9791
039349_48	52	3.473e+04	3.725e+04	0.9321	1.078e+05	5.145e+04	2.096	2.614
039349_49	42	3.468e+04	7635	4.542	6.346e+04	4.241e+04	1.496	0.8533
039349_49	44	3.813e+04	4.921e+04	0.7749	6.631e+04	6.345e+04	1.045	0.9504
039349_50	43	1.26e+05	3.885e+04	3.243	1.429e+05	4.477e+04	3.192	2.94
039349_50	48	3.702e+04	2.164e+04	1.71	4.628e+04	4.478e+04	1.034	0.9576
039349_50	61	2.899e+04	2.5e+04	1.159	2.81e+04	3.673e+04	0.7651	1.169
039349_51	28	1.043e+05	7.312e+04	1.427	1.225e+05	6.679e+04	1.835	0.9789
039349_52	11	6.438e+04	4.148e+04	1.552	5.251e+04	5.802e+04	0.9051	0.9649
039349_52	28	3.286e+04	1.984e+04	1.656	5.212e+04	4.452e+04	1.171	2.924
039349_52	33	1.005e+05	3.067e+04	3.278	8.106e+04	4.948e+04	1.638	1.144
039349_52	54	3.664e+04	2.461e+04	1.489	4.712e+04	5.741e+04	0.8208	1.375
039349_53	14	3.087e+04	4.526e+04	0.682	5.513e+04	5.426e+04	1.016	0.6896
039349_53	19	5.642e+04	5.221e+04	1.081	5.842e+04	6.068e+04	0.9628	1.048
039349_53	46	6.092e+04	3.682e+04	1.654	2.406e+04	5.515e+04	0.4363	1.023
039349_53	54	7399	2.175e+04	0.3402	4.61e+04	4.178e+04	1.103	1.234
039349_54	54	1.526e+04	5.04e+04	0.3028	1.192e+04	5.414e+04	0.2201	1.848
039349_54	63	1.703e+04	1.514e+04	1.125	2.95e+04	3.504e+04	0.842	0.6356
039349_55	58	5.461e+04	2.492e+04	2.191	5.421e+04	3.792e+04	1.43	1.572
039349_55	61	1.66e+04	1.969e+04	0.8431	3.287e+04	4.5e+04	0.7304	1.762
039349_56	20	1.343e+04	2.957e+04	0.4541	5.554e+04	4.978e+04	1.116	2.487
039349_56	21	1.201e+05	1.891e+04	6.348	5.077e+04	1.731e+04	2.933	2.082
039349_56	36	3.96e+04	4.179e+04	0.9475	2.144e+04	5.554e+04	0.3861	1.06
039349_56	40	1.863e+04	2.541e+04	0.7333	4.664e+04	4.937e+04	0.9447	1.299
039349_57	20	2.686e+04	4.944e+04	0.5433	1.301e+04	5.994e+04	0.217	0.2511
039349_57	22	2.936e+04	4.599e+04	0.6383	2.997e+04	6.024e+04	0.4976	1.544
039349_57	23	4.287e+04	2.057e+04	2.085	5.47e+04	1.58e+04	3.462	3.222
039349_57	51	3.248e+04	3.068e+04	1.059	4.277e+04	3.988e+04	1.072	0.7316
039349_57	63	3.124e+04	2.711e+04	1.152	5.158e+04	4.84e+04	1.066	0.9016
039349_58	35	3.044e+04	4.219e+04	0.7215	3.84e+04	4.59e+04	0.8367	1.391
039349_58	59	1.035e+04	3.927e+04	0.2635	3.955e+04	5.095e+04	0.7762	2.14
039349_58	60	6.624e+04	2.353e+04	2.815	5.091e+04	4.73e+04	1.076	3.587
039349_59	20	8.957e+04	6.587e+04	1.36	1.277e+05	6.005e+04	2.127	0.5337
039349_59	60	3.606e+04	3.778e+04	0.9546	4.711e+04	6.603e+04	0.7134	2.711
039349_62	28	9640	2.303e+04	0.4186	6.552e+04	5.87e+04	1.116	1.14
039349_62	49	1.42e+05	4.662e+04	3.046	1.16e+05	5.596e+04	2.072	1.127
039349_62	51	2.702e+04	4.324e+04	0.6248	2.684e+04	4.1e+04	0.6547	1.263
039349_62	67	4.039e+04	2.559e+04	1.578	4.431e+04	5.242e+04	0.8452	1.531
039349_62	74	8.583e+04	2.795e+04	3.07	5.68e+04	4.978e+04	1.141	1.471
039349_63	23	1.55e+04	4.966e+04	0.312	2.399e+04	5.618e+04	0.427	0.7825
039349_63	51	8.077e+04	2.056e+04	3.928	5.174e+04	4.707e+04	1.099	0.9767
039349_63	52	2.803e+04	2.238e+04	1.253	4.708e+04	4.523e+04	1.041	1.854
039349_64	28	1.264e+04	1.915e+04	0.6599	4.904e+04	5.58e+04	0.879	1.73
039349_64	62	7284	2.241e+04	0.3251	6712	4.396e+04	0.1527	3.285
039349_65	32	8722	6733	1.295	9548	3.878e+04	0.2462	0.5987
039349_65	38	3.943e+04	4577	8.615	5.691e+04	2.614e+04	2.177	1.215
039349_66	25	5.009e+04	4.09e+04	1.225	4.851e+04	5.82e+04	0.8336	1.064
039349_66	28	3.459e+04	6.29e+04	0.5498	5.446e+04	5.492e+04	0.9918	0.2137
039349_66	65	5.035e+04	3.045e+04	1.653	3.872e+04	4.922e+04	0.7866	0.7283
039349_66	66	9.531e+04	2.807e+04	3.395	8.564e+04	5.454e+04	1.57	1.16
039349_66	72	8.367e+04	2.255e+04	3.71	6.055e+04	3.178e+04	1.906	0.9553
039349_66	79	3.19e+04	1.998e+04	1.597	4.757e+04	3.42e+04	1.391	2.39
039349_67	35	2.781e+04	2684	10.36	2.217e+04	2.615e+04	0.848	0.9627
039349_68	47	1.795e+04	1.505e+04	1.193	4.165e+04	4.75e+04	0.8767	1.314
039349_68	62	4.88e+04	3.505e+04	1.392	6.924e+04	4.462e+04	1.552	1.38
039349_6	76	2.778e+04	2.049e+04	1.356	5.031e+04	4.235e+04	1.188	0.8809
039349_71	28	2.069e+04	9635	2.147	6.502e+04	4.814e+04	1.351	0.9461
039349_71	37	2.024e+04	9483	2.134	2.585e+04	2.103e+04	1.229	8.857
039349_72	11	4.196e+04	3.425e+04	1.225	5.334e+04	5.753e+04	0.9272	0.6982
039349_73	28	1.483e+04	3.923e+04	0.3781	3.156e+04	5.258e+04	0.6002	1.385
039349_73	29	3.957e+04	3.617e+04	1.094	4.236e+04	4.849e+04	0.8736	1.002
039349_73	73	3.883e+04	2.387e+04	1.627	9.685e+04	4.659e+04	2.079	1.307
039349_74	31	2.31e+04	2.986e+04	0.7736	2.425e+04	4.65e+04	0.5215	0.9794
039349_74	50	5.618e+04	3.452e+04	1.627	4.51e+04	4.867e+04	0.9267	1.114
039349_74	55	3.554e+04	5.815e+04	0.6112	4.34e+04	5.285e+04	0.8213	0.5068
039349_74	72	3.239e+04	3.245e+04	0.9981	5.495e+04	6.205e+04	0.8856	1.97
039349_75	18	4.467e+04	3.468e+04	1.288	5.279e+04	5.027e+04	1.05	1.015
039349_75	28	2.13e+04	4.352e+04	0.4895	6.747e+04	6.126e+04	1.101	0.8986
039349_76	22	5.202e+04	4.897e+04	1.062	1.19e+05	5.33e+04	2.233	0.7208
039349_76	25	3.494e+04	2.772e+04	1.261	5.467e+04	5.3e+04	1.032	1.178
039349_77	65	2.105e+04	2.29e+04	0.9191	3.283e+04	3.943e+04	0.8326	0.4239
039349_77	69	3.876e+04	4.522e+04	0.8571	5.102e+04	6.543e+04	0.7797	1.182
039349_77	71	4.317e+04	3.418e+04	1.263	5.734e+04	6.057e+04	0.9466	1.58
039349_78	60	1.624e+04	2.915e+04	0.5573	2.753e+04	5.894e+04	0.4671	1.682
039349_79	33	4827	1.729e+04	0.2791	5.255e+04	4.136e+04	1.271	1.135
039349_79	63	2.139e+04	2.83e+04	0.7558	4.051e+04	4.889e+04	0.8285	0.5055
039349_79	64	9529	1.529e+04	0.6233	2.367e+04	2.926e+04	0.8092	1.029
039349_7	57	3.306e+04	3.197e+04	1.034	5.403e+04	4.803e+04	1.125	0.7196
039349_7	64	2.167e+04	2.585e+04	0.8382	3.908e+04	4.423e+04	0.8836	0.4338
039349_80	53	2.497e+04	2.268e+04	1.101	5.04e+04	4.555e+04	1.106	1.604
039349_81	19	1.816e+04	3.126e+04	0.5807	1.237e+04	5.876e+04	0.2104	0.9942
039349_81	24	4.364e+04	4.349e+04	1.003	6.143e+04	5.826e+04	1.055	1.637
039349_81	26	5.595e+04	2.692e+04	2.079	2.686e+04	4.511e+04	0.5955	4.126
039349_81	30	3.52e+04	1.723e+04	2.044	3.21e+04	4.263e+04	0.753	1.617
039349_81	59	1.056e+05	3.469e+04	3.044	9.123e+04	4.741e+04	1.924	1.308
039349_81	69	4.638e+04	4.728e+04	0.9809	4.978e+04	6.82e+04	0.73	0.4807
039349_82	19	3.384e+04	2414	14.02	5.839e+04	4.536e+04	1.287	1.924
039349_82	24	3.259e+04	4.231e+04	0.7702	5.538e+04	6.04e+04	0.9167	0.6495
039349_82	42	6.835e+04	2.472e+04	2.766	4.902e+04	4.869e+04	1.007	0.679
039349_82	55	2.362e+04	3.919e+04	0.6027	2.017e+04	3.653e+04	0.5521	0.9734
039349_83	15	2.602e+04	2.714e+04	0.9586	6.264e+04	5.872e+04	1.067	1.809
039349_9	43	1.899e+04	3.437e+04	0.5525	2.383e+04	6.062e+04	0.3931	1.03
039349_9	49	1.967e+04	2.823e+04	0.6966	4.024e+04	4.608e+04	0.8733	2.724
039349_9	51	1.178e+05	3.172e+04	3.715	8.195e+04	4.671e+04	1.754	0.6132
