event	cluster	npts	L_cm	chi2	end_absx_cm	contrast	n_near_all	n_near_used	n_mid
039252_17	67	87	55.256	1.987	268.063	0.738	4	4	28
039252_17	70	357	224.867	3.278	163.975	0.905	3	3	32
039252_17	76	321	200.032	3.656	260.399	nan	4	2	13
039252_17	82	56	36.175	8.315	201.254	1.554	3	3	25
039252_17	87	168	111.162	5.298	307.795	nan	4	0	0
039252_17	106	1235	809.224	2.476	338.528	nan	4	0	0
039252_1	31	282	178.106	1.605	166.19	0.967	3	3	32
039252_1	80	788	509.551	1.642	16.391	0.296	3	3	31
039252_1	83	118	74.42	3.29	240.073	1.647	3	3	33
039252_1	112	354	243.366	2.27	32.53	1.53	3	3	32
039252_2	57	251	161.527	3.216	267.604	1.446	4	4	32
039252_2	58	36	22.008	2.517	274.707	nan	4	4	4
039252_2	90	141	89.003	2.353	289.294	nan	4	2	31
039252_2	94	24	13.529	0.0	329.158	nan	4	0	0
039252_3	35	654	425.671	1.376	38.151	0.382	4	4	30
039252_3	44	44	27.067	2.412	244.05	nan	3	3	3
039252_3	47	84	55.667	1.879	48.692	1.539	3	3	30
039252_3	77	34	21.464	2.148	219.14	nan	3	3	3
039252_3	84	278	167.326	0.0	174.944	nan	4	2	33
039252_3	92	170	108.834	6.057	314.864	nan	4	0	0
039252_3	101	230	151.84	1.538	58.61	nan	4	2	30
039252_4	53	116	70.588	0.0	302.66	nan	4	4	0
039252_4	90	106	67.649	3.358	265.594	0.902	3	3	32
039252_4	109	444	274.659	1.867	201.46	1.456	4	4	17
039252_4	112	664	423.045	4.868	249.666	1.866	4	4	30
039252_4	121	160	97.699	0.0	17.151	1.448	4	4	20
039252_5	35	328	209.179	2.657	128.928	1.133	4	4	29
039252_5	78	146	88.151	0.0	270.674	nan	4	1	31
039252_5	107	22	14.233	2.957	269.525	nan	3	3	0
039252_5	116	821	521.403	1.476	81.329	0.699	4	4	31
039252_6	27	177	106.333	0.0	24.875	nan	4	2	29
039252_6	28	353	229.9	2.442	159.214	1.051	4	4	30
039252_6	32	531	340.728	2.255	112.123	1.14	4	4	33
039252_6	72	536	337.253	4.555	281.527	2.324	4	4	32
039252_6	76	346	209.89	0.0	143.562	0.812	4	4	32
039252_6	80	652	412.536	4.77	179.779	nan	3	3	3
039252_6	85	426	269.587	6.605	335.343	nan	3	0	0
039252_6	90	315	198.214	2.35	175.964	1.231	4	4	31
039252_6	116	57	37.16	2.133	275.879	1.406	4	4	27
039252_7	68	160	108.066	1.773	263.019	0.49	3	3	22
039252_7	78	79	46.578	0.0	299.153	nan	4	4	0
039252_7	91	726	465.418	2.041	59.172	0.734	4	4	31
039252_7	93	139	92.029	2.183	284.784	0.395	4	3	34
039252_7	100	429	275.029	2.085	161.544	1.051	3	3	32
039252_7	110	946	618.053	1.631	222.144	0.888	4	4	32
039252_8	37	83	49.033	0.0	310.223	nan	4	0	0
039252_8	73	215	136.185	1.956	245.957	1.202	4	4	33
039252_8	74	329	210.934	13.476	290.447	0.856	4	4	32
039252_8	76	620	414.813	3.114	162.653	4.608	3	3	31
039252_8	78	14	9.188	10.484	285.209	nan	3	3	0
039252_8	89	169	105.817	5.014	322.723	nan	3	0	0
039252_8	97	322	209.049	3.718	322.523	nan	4	0	13
039252_8	104	709	459.63	1.357	46.843	1.237	4	4	31
039252_8	108	708	462.428	1.57	62.322	1.406	3	3	32
039252_8	110	842	553.074	3.2	214.724	4.121	4	4	30
039252_9	30	169	108.702	1.926	268.561	0.451	3	3	29
039252_9	43	79	49.063	1.066	214.188	1.753	4	4	22
039252_9	48	110	69.802	1.053	70.451	1.118	4	4	31
039252_9	51	200	127.33	3.18	249.123	1.402	3	3	33
039252_9	76	394	253.714	2.255	203.807	1.042	4	4	31
039252_9	87	317	195.978	2.609	164.333	3.305	4	4	24
039252_9	91	124	79.05	2.442	266.301	2.289	3	3	31
039252_9	92	191	123.09	1.97	225.485	0.9	3	3	31
039252_9	94	469	305.242	2.106	321.878	nan	3	0	26
039252_9	95	394	254.316	1.622	115.142	1.004	3	3	33
039252_9	105	503	328.545	2.415	181.077	0.347	3	3	32
039252_9	111	731	477.359	1.644	40.45	0.973	4	4	30
039253_0	38	628	409.731	1.72	87.822	0.447	4	4	30
039253_0	39	400	255.908	1.647	61.186	0.854	4	4	30
039253_0	41	188	115.978	0.0	294.112	0.506	4	3	26
039253_0	42	567	366.285	1.813	82.871	0.999	3	3	31
039253_0	49	450	290.052	1.755	149.21	0.456	4	4	30
039253_0	83	81	47.393	0.0	306.255	nan	4	0	0
039253_0	114	76	45.292	0.0	330.194	nan	4	0	0
039253_10	81	421	269.867	3.798	338.338	nan	3	0	0
039253_11	32	308	197.451	1.47	139.327	0.942	3	3	31
039253_11	46	546	356.653	1.846	27.748	0.526	4	4	29
039253_11	85	269	169.895	0.0	222.091	nan	4	2	19
039253_11	88	658	423.555	1.968	23.329	0.79	3	3	29
039253_11	91	112	71.918	0.0	126.158	1.208	4	3	19
039253_11	92	223	145.115	2.465	210.159	0.815	3	3	30
039253_11	94	61	35.71	0.0	304.482	nan	4	3	0
039253_11	99	60	35.647	0.0	319.14	nan	4	0	0
039253_11	108	243	155.259	1.809	109.841	0.854	4	3	13
039253_11	110	105	62.365	0.0	254.819	2.817	4	4	21
039253_11	111	36	22.684	3.776	261.585	nan	4	4	4
039253_11	116	101	60.238	1.619	295.758	3.619	4	4	19
039253_11	120	1299	848.295	1.821	337.71	nan	4	0	0
039253_11	125	840	532.783	1.669	113.177	1.222	3	3	31
039253_12	35	589	372.148	1.969	60.701	0.969	4	4	32
039253_12	45	519	336.11	1.586	43.78	0.63	3	3	31
039253_12	66	45	28.327	4.921	311.355	nan	3	0	0
039253_12	86	260	167.377	1.545	149.882	0.814	4	4	32
039253_12	88	183	113.992	0.0	231.82	0.761	4	4	31
039253_12	96	1008	655.5	1.578	336.541	nan	4	0	1
039253_12	98	1048	680.867	1.836	329.185	nan	3	0	11
039253_12	104	677	438.035	3.196	46.174	0.678	4	4	32
039253_13	39	73	46.082	1.757	235.084	0.743	3	3	32
039253_13	40	182	117.975	1.328	172.216	2.213	4	4	30
039253_13	41	220	137.849	1.223	231.743	0.127	4	3	33
039253_13	67	830	523.961	2.33	18.485	1.271	4	4	32
039253_13	70	340	213.214	2.341	107.887	nan	4	1	22
039253_13	71	121	81.934	0.0	228.243	0.449	4	4	15
039253_13	104	997	649.957	1.808	172.017	2.086	3	3	31
039253_14	31	31	17.917	1.984	304.868	nan	4	2	0
039253_14	33	546	354.425	1.535	18.668	0.963	3	3	30
039253_14	41	610	387.118	1.999	36.635	0.893	4	4	32
039253_14	42	439	285.849	1.517	111.801	0.723	4	4	31
039253_14	52	356	227.469	2.073	144.828	0.415	4	4	31
039253_14	94	245	147.937	0.0	198.084	0.325	4	3	17
039253_15	30	472	306.297	1.724	88.581	0.656	3	3	31
039253_15	65	216	137.699	1.817	174.74	1.113	4	4	31
039253_15	77	261	167.717	4.945	321.761	nan	4	0	0
039253_15	87	335	215.399	2.75	274.14	1.314	3	3	30
039253_15	89	140	87.904	0.0	62.944	nan	4	2	29
039253_15	90	370	238.89	1.922	36.052	1.442	4	4	32
039253_15	91	528	335.51	3.162	161.629	nan	4	2	31
039253_15	105	478	314.67	2.998	110.315	1.169	4	4	30
039253_16	93	32	20.912	2.684	262.685	nan	3	3	2
039253_16	96	467	295.441	1.267	79.984	0.358	4	3	26
039253_16	98	74	46.015	1.102	321.967	nan	3	0	0
039253_16	115	406	261.59	3.144	67.189	1.072	4	4	30
039253_17	23	514	326.78	2.835	244.065	1.464	4	4	30
039253_17	82	163	100.149	3.871	262.481	0.978	3	3	34
039253_17	105	39	23.027	0.0	307.073	nan	4	0	0
039253_17	118	1318	861.776	1.883	299.849	0.35	4	4	33
039253_17	119	600	394.166	1.83	9.607	2.115	4	4	28
039253_1	34	339	213.351	1.634	228.608	1.541	4	4	32
039253_1	37	324	209.015	2.21	98.727	0.845	4	4	30
039253_1	75	73	43.402	2.596	42.949	1.267	4	4	33
039253_1	81	101	63.297	1.117	313.633	nan	3	0	0
039253_1	96	143	87.775	0.147	174.457	0.985	4	4	20
039253_1	114	672	446.507	2.565	35.314	1.56	3	3	29
039253_2	32	30	18.917	2.602	289.636	nan	3	3	0
039253_2	37	106	63.443	0.0	276.206	nan	4	2	10
039253_2	41	401	258.335	2.728	138.018	1.959	4	4	31
039253_2	80	389	254.574	1.825	106.176	2.25	4	4	30
039253_2	87	491	321.201	2.401	16.731	1.418	3	3	31
039253_2	93	474	301.815	6.738	40.493	0.968	4	4	32
039253_2	97	584	383.414	2.44	28.886	0.931	4	4	28
039253_2	108	122	79.715	1.694	164.233	0.311	3	3	32
039253_3	60	380	241.509	1.183	155.714	0.649	4	4	30
039253_3	67	245	156.644	2.272	57.477	0.996	4	4	33
039253_3	82	713	474.552	2.173	55.289	0.966	3	3	31
039253_3	86	594	395.319	1.826	257.486	0.231	4	4	29
039253_4	33	315	207.731	2.481	137.533	0.993	4	4	30
039253_4	39	533	340.675	2.155	160.392	1.126	3	3	31
039253_4	81	309	203.543	1.752	155.614	2.955	4	4	33
039253_4	111	611	401.722	2.569	83.5	0.889	4	4	29
039253_5	45	604	385.587	2.26	161.476	1.775	3	3	32
039253_5	49	346	221.646	1.719	131.676	nan	4	2	30
039253_5	54	4	1.751	0.897	319.785	nan	4	0	0
039253_5	56	228	146.869	1.362	192.385	0.234	4	4	31
039253_5	97	230	144.737	1.672	63.194	0.535	3	3	31
039253_5	98	548	357.014	2.112	99.497	1.352	4	4	31
039253_5	116	305	198.212	2.37	177.535	1.029	3	3	30
039253_6	34	395	253.067	1.413	202.941	1.139	3	3	30
039253_6	46	175	108.947	1.571	189.144	0.915	4	4	32
039253_6	48	395	242.985	1.12	30.683	nan	4	2	25
039253_6	100	322	207.581	1.873	257.058	0.859	4	4	28
039253_6	110	87	53.667	4.112	14.066	0.758	4	3	32
039253_6	117	778	508.778	1.711	128.058	0.268	4	3	31
039253_7	22	190	123.3	2.73	218.17	0.914	3	3	32
039253_7	23	75	47.197	2.175	275.759	0.261	4	4	22
039253_7	30	480	315.236	1.414	277.954	1.304	4	4	32
039253_7	63	361	232.457	1.737	115.14	0.793	4	4	32
039253_7	82	241	154.082	1.879	210.172	1.15	4	4	30
039253_7	91	562	376.409	1.679	61.244	0.216	3	3	33
039253_8	22	548	350.855	2.094	36.957	nan	4	2	32
039253_8	39	360	233.292	1.735	115.175	0.792	4	4	31
039253_8	60	66	41.087	1.642	214.721	1.008	3	3	31
039253_8	65	643	415.726	3.865	34.879	1.018	4	4	32
039253_8	74	174	109.74	1.258	89.545	0.965	4	4	30
039253_9	30	157	98.848	3.165	262.338	0.793	4	4	32
039253_9	31	72	43.136	1.934	33.167	0.459	4	4	32
039253_9	35	504	320.673	2.095	120.399	0.916	4	4	30
039253_9	74	191	120.245	1.804	216.088	2.056	4	4	31
039253_9	76	481	304.148	1.953	234.538	0.95	4	3	23
039253_9	104	115	72.114	1.641	228.694	1.269	4	4	29
039253_9	121	784	514.429	2.528	56.278	0.958	3	3	30
039349_0	48	16	10.532	1.979	156.656	nan	3	3	0
039349_0	52	581	376.457	2.338	45.917	1.141	4	4	34
039349_0	56	80	49.039	0.0	173.428	nan	4	4	1
039349_10	22	377	240.23	1.58	112.792	1.461	4	4	32
039349_10	26	325	209.136	3.276	206.411	1.126	4	4	30
039349_10	45	51	32.57	1.588	199.888	1.241	3	3	11
039349_10	54	345	223.155	1.815	143.11	0.972	4	4	30
039349_10	57	514	335.766	1.851	43.137	1.069	3	3	30
039349_10	58	1132	747.489	3.649	49.273	0.687	4	4	25
039349_10	59	1188	766.106	2.767	175.553	2.159	3	3	32
039349_11	18	84	51.807	2.01	256.82	1.084	3	3	32
039349_11	19	404	258.14	1.344	147.084	nan	4	2	6
039349_11	22	52	31.101	0.0	100.42	1.778	3	3	13
039349_11	26	454	292.816	1.668	78.545	0.894	4	4	32
039349_11	28	402	262.228	1.982	96.139	1.016	3	3	30
039349_11	43	466	303.228	2.292	336.6	nan	4	0	0
039349_11	46	272	163.665	0.0	263.579	0.121	4	4	33
039349_11	49	206	128.096	0.879	181.352	1.109	4	4	32
039349_12	20	26	16.639	1.988	252.831	nan	4	4	0
039349_12	25	77	49.079	2.951	42.513	nan	4	2	31
039349_12	27	463	297.856	2.257	267.949	0.951	3	3	30
039349_12	46	28	18.173	1.529	306.804	nan	3	0	0
039349_12	50	170	104.985	2.669	240.148	1.117	4	4	33
039349_12	56	616	400.595	4.798	43.196	0.312	3	3	18
039349_13	23	100	63.553	1.574	274.616	0.789	4	4	25
039349_13	30	379	239.033	2.595	108.515	0.89	4	4	32
039349_13	33	388	250.735	2.009	96.555	0.917	3	3	33
039349_13	47	935	606.97	2.421	61.948	0.94	3	3	32
039349_13	49	240	155.142	1.757	279.032	0.905	4	4	30
039349_13	66	176	108.233	2.774	285.944	0.996	3	3	21
039349_13	68	126	90.875	4.219	171.916	nan	4	2	15
039349_14	18	74	47.98	3.397	159.209	1.648	3	3	30
039349_14	23	87	53.996	3.431	300.881	nan	4	4	0
039349_14	45	92	58.86	1.797	275.773	nan	4	2	21
039349_15	15	59	38.448	2.671	295.237	2.027	4	4	28
039349_15	17	64	41.869	1.738	229.817	0.321	4	4	27
039349_15	24	152	96.715	1.858	169.785	1.088	4	4	32
039349_15	30	418	264.945	2.053	104.058	1.089	3	3	32
039349_15	46	190	117.476	1.796	299.239	1.267	4	4	17
039349_15	48	715	472.46	2.005	289.248	1.166	4	4	30
039349_15	53	339	206.008	0.0	151.053	0.337	4	4	33
039349_16	41	74	46.865	0.645	284.908	0.839	3	3	6
039349_16	50	427	275.112	2.204	138.716	1.048	4	4	32
039349_16	63	252	160.296	4.212	112.919	1.287	3	3	30
039349_16	64	447	295.259	2.595	218.144	1.346	3	3	32
039349_17	24	77	45.456	0.0	244.947	nan	4	2	25
039349_17	49	166	105.065	4.149	298.603	0.914	4	4	32
039349_17	53	532	336.334	2.127	106.235	nan	2	2	0
039349_17	69	783	511.531	2.062	89.657	1.687	4	4	34
039349_18	10	109	69.717	1.657	165.423	0.707	4	4	31
039349_18	13	556	352.62	2.547	42.913	0.366	4	4	31
039349_18	14	423	274.863	1.818	101.178	0.868	3	3	30
039349_18	16	346	221.126	2.645	150.611	1.076	4	4	30
039349_18	20	403	261.869	2.376	78.504	0.612	3	3	31
039349_18	21	180	115.282	1.871	287.874	0.553	4	4	30
039349_18	23	117	73.809	2.636	250.748	1.311	4	4	31
039349_18	37	190	126.444	2.078	233.387	1.64	4	4	30
039349_18	40	88	55.601	2.715	287.993	0.683	4	4	14
039349_18	41	402	256.927	2.061	162.816	0.368	4	3	31
039349_18	44	30	19.986	2.634	313.127	nan	4	0	0
039349_18	47	156	99.9	2.691	43.26	1.823	3	3	32
039349_18	50	63	41.889	2.698	300.797	nan	3	3	0
039349_18	54	197	122.075	0.0	274.638	0.396	4	4	34
039349_18	56	515	332.759	3.348	93.858	1.145	3	3	30
039349_18	57	123	77.594	3.025	255.125	1.219	3	3	32
039349_19	23	132	84.496	2.313	285.776	0.848	3	3	16
039349_19	29	36	20.867	2.148	225.594	nan	4	2	2
039349_19	48	468	299.592	1.919	47.292	0.243	3	3	30
039349_19	50	396	261.765	3.319	147.833	1.428	3	3	30
039349_19	56	56	33.894	0.0	318.454	nan	4	0	18
039349_1	23	177	111.277	1.733	249.176	0.786	4	4	30
039349_1	24	170	101.785	0.0	249.232	nan	4	2	29
039349_1	49	128	83.424	1.954	262.91	1.458	3	3	30
039349_1	52	138	89.897	0.0	259.528	0.918	3	3	22
039349_1	60	481	298.307	0.872	82.005	nan	4	2	8
039349_1	63	163	97.567	0.0	251.992	nan	4	2	13
039349_20	27	312	199.883	1.875	189.484	1.084	4	4	32
039349_20	30	514	333.603	2.49	32.752	0.411	4	4	31
039349_20	62	483	311.193	3.101	269.317	0.997	3	3	30
039349_21	30	338	216.027	1.482	101.805	0.881	3	3	32
039349_21	48	220	135.16	0.956	144.313	1.707	4	4	26
039349_21	52	48	28.296	2.416	241.055	1.368	4	4	15
039349_21	58	741	471.216	1.644	332.779	nan	4	0	0
039349_22	18	589	380.634	1.974	60.277	0.961	3	3	32
039349_22	20	335	217.284	1.452	100.013	0.338	4	4	31
039349_22	28	460	292.71	2.379	189.514	1.09	3	3	31
039349_22	38	249	163.059	1.38	238.434	1.554	4	4	31
039349_22	42	23	13.758	2.194	338.633	nan	4	0	0
039349_22	45	162	96.366	0.0	271.756	0.525	4	3	32
039349_22	59	2	19.057	4.328	313.364	nan	1	0	0
039349_22	63	557	369.484	2.156	107.77	0.947	3	3	30
039349_22	64	658	430.21	1.731	145.939	0.896	4	4	30
039349_22	65	713	473.289	1.479	65.576	2.13	5	5	32
039349_23	29	423	269.352	3.874	146.494	0.724	3	3	31
039349_23	57	258	159.386	2.066	179.614	23.783	3	3	23
039349_23	63	1078	709.081	2.09	181.85	1.064	3	3	31
039349_23	64	893	585.429	1.6	179.016	1.183	3	3	32
039349_24	23	86	51.245	0.0	294.159	nan	4	4	0
039349_24	28	271	179.527	2.996	163.605	1.086	4	4	30
039349_24	45	109	69.814	2.47	270.255	0.807	3	3	33
039349_24	54	106	64.755	0.0	282.213	1.379	4	3	20
039349_24	61	228	143.276	1.335	174.742	nan	4	4	0
039349_24	64	168	105.03	1.959	186.205	1.569	4	4	30
039349_24	65	204	129.367	0.0	250.057	0.095	4	3	33
039349_25	38	314	207.913	1.819	152.33	0.91	4	4	30
039349_25	42	124	81.68	3.657	287.381	1.07	4	4	30
039349_25	44	137	88.724	3.237	212.222	0.619	4	4	31
039349_25	49	382	246.87	2.73	117.036	2.623	3	3	32
039349_25	72	366	243.333	2.997	35.302	2.403	4	4	32
039349_26	9	64	38.822	1.922	281.4	1.629	4	4	32
039349_26	13	233	148.36	2.618	222.542	0.474	4	4	32
039349_26	14	97	61.759	1.97	263.36	1.112	3	3	32
039349_26	31	155	99.075	3.085	147.937	3.09	3	3	24
039349_26	33	180	116.121	2.667	241.354	0.892	3	3	31
039349_26	36	60	38.232	1.99	219.259	nan	3	2	29
039349_26	38	215	139.539	2.736	296.636	1.183	4	4	31
039349_26	39	591	376.182	3.646	116.78	0.999	4	4	30
039349_26	56	567	373.64	1.759	131.556	1.513	3	3	32
039349_26	57	953	617.066	2.103	218.507	2.484	3	3	30
039349_27	21	526	332.331	3.782	63.85	0.666	3	3	33
039349_27	43	107	71.383	2.847	275.334	1.104	3	3	22
039349_27	45	139	89.558	2.115	237.296	0.999	3	3	30
039349_27	52	52	30.926	0.0	288.625	nan	4	2	16
039349_28	15	296	190.025	1.116	43.838	10.939	4	4	20
039349_28	18	330	210.024	1.965	21.963	0.689	4	4	33
039349_28	20	336	216.46	1.278	197.348	0.793	3	3	30
039349_28	51	113	73.12	3.371	283.382	0.857	3	3	16
039349_28	53	278	179.021	2.401	193.49	1.081	3	3	31
039349_28	58	481	302.92	2.851	68.543	1.137	3	3	32
039349_29	20	472	292.517	1.707	144.052	0.191	4	3	29
039349_29	41	552	354.043	1.421	36.303	0.54	4	3	10
039349_29	42	296	188.051	2.68	256.443	1.215	4	4	30
039349_29	45	21	12.267	2.401	264.201	nan	4	4	0
039349_2	14	181	111.739	0.788	217.284	0.911	4	3	5
039349_2	40	106	67.703	1.342	261.832	6.464	3	3	25
039349_2	47	77	45.194	0.0	264.83	nan	4	2	24
039349_30	21	500	317.091	1.862	82.311	4.752	3	3	27
039349_30	51	325	198.403	0.0	70.178	nan	4	2	8
039349_31	28	197	127.34	2.257	109.626	1.291	3	3	28
039349_31	45	397	251.734	3.27	321.191	nan	4	0	0
039349_31	53	82	50.308	4.243	165.677	nan	4	2	33
039349_31	57	118	70.481	0.0	296.13	nan	4	1	0
039349_31	63	378	240.512	2.863	138.505	1.159	4	4	31
039349_32	12	38	22.8	1.731	17.942	1.983	5	5	6
039349_32	13	84	49.794	0.0	284.749	0.09	4	3	24
039349_32	17	611	394.171	1.784	312.846	nan	3	0	29
039349_32	49	471	305.559	2.563	204.116	1.267	4	4	28
039349_32	51	4	1.751	2.377	305.972	nan	4	0	0
039349_32	57	262	171.06	1.582	153.449	1.204	4	4	31
039349_33	11	425	271.177	1.718	17.922	1.353	4	4	32
039349_33	14	190	122.092	2.186	227.819	0.874	3	3	31
039349_33	15	641	403.871	2.384	53.469	nan	4	1	14
039349_33	20	492	309.127	1.571	102.157	0.728	3	3	32
039349_33	38	316	208.269	3.156	171.423	1.434	4	4	30
039349_33	54	96	62.072	4.133	49.59	2.198	4	4	31
039349_33	56	561	358.153	3.146	261.429	2.627	4	4	30
039349_34	22	452	294.237	2.749	145.525	2.005	3	3	31
039349_34	25	387	247.328	2.681	147.244	1.701	4	4	30
039349_34	45	43	25.49	2.765	248.802	0.597	4	4	9
039349_34	48	251	154.118	0.179	335.349	nan	4	0	2
039349_34	49	662	430.729	3.036	302.967	nan	4	4	0
039349_35	26	419	267.17	3.95	248.87	0.693	4	4	31
039349_35	34	53	31.222	0.0	268.791	nan	4	2	2
039349_35	46	332	217.925	3.155	105.895	0.723	4	4	31
039349_35	62	458	293.283	4.588	261.652	1.697	3	3	31
039349_36	23	512	323.984	1.714	57.744	0.78	3	3	30
039349_36	43	90	57.646	3.236	230.968	0.505	4	4	31
039349_36	48	189	119.844	4.674	277.348	1.165	3	3	33
039349_36	51	387	249.383	3.47	163.573	1.178	3	3	31
039349_36	63	350	222.031	2.096	140.504	1.118	4	4	31
039349_36	64	134	86.561	2.172	226.789	0.784	3	3	32
039349_37	8	134	84.882	1.106	184.245	4.034	4	4	31
039349_37	10	97	61.179	2.98	66.795	1.716	4	4	31
039349_37	45	258	164.955	1.943	98.487	1.322	4	4	31
039349_37	59	163	102.582	3.382	115.622	1.949	4	4	30
039349_38	27	580	374.81	1.936	156.108	0.5	4	4	32
039349_38	28	531	351.016	2.452	183.246	1.292	4	4	32
039349_38	31	29	19.845	3.784	335.669	nan	4	0	0
039349_38	32	369	237.056	1.867	201.493	1.063	4	4	30
039349_38	33	405	259.174	2.251	103.717	1.828	4	4	18
039349_38	47	85	53.133	1.939	272.931	0.875	3	3	31
039349_38	48	308	194.938	2.022	177.174	1.341	4	4	30
039349_38	51	533	338.62	1.889	33.291	0.527	3	3	30
039349_38	53	872	559.828	3.538	311.736	nan	4	0	0
039349_38	54	180	116.07	2.41	139.328	1.363	4	4	33
039349_38	55	131	82.891	2.811	125.138	0.993	3	3	33
039349_38	58	411	263.239	1.902	50.6	0.262	4	4	33
039349_38	61	189	118.799	2.257	230.553	2.255	4	4	33
039349_38	62	145	88.201	3.02	268.11	1.669	4	4	31
039349_38	63	706	459.323	2.372	51.083	0.956	4	4	32
039349_38	65	297	200.417	1.647	130.405	1.526	4	4	31
039349_38	66	1191	786.793	2.377	283.973	0.872	3	3	28
039349_39	31	122	72.499	0.0	294.936	nan	4	4	0
039349_39	33	4	2.064	3.125	242.168	nan	3	3	0
039349_39	46	345	222.248	1.35	166.625	1.115	3	3	29
039349_39	50	373	238.014	2.393	116.92	2.161	3	3	33
039349_39	59	693	454.333	1.714	45.024	0.85	4	3	32
039349_39	60	736	482.312	2.177	71.002	4.461	4	4	33
039349_3	20	593	381.534	1.92	37.705	0.544	4	4	31
039349_3	22	431	270.872	3.197	130.394	1.186	4	4	32
039349_3	45	107	68.627	1.335	69.28	0.466	4	4	30
039349_3	58	65	42.594	3.832	321.949	nan	3	0	0
039349_3	61	258	162.731	1.782	100.34	0.856	3	3	31
039349_40	16	298	184.701	1.549	280.093	0.582	4	4	26
039349_40	50	626	397.84	2.72	334.309	nan	4	0	0
039349_40	61	724	476.165	1.401	253.79	0.843	4	4	31
039349_41	48	704	455.057	4.887	339.87	nan	4	0	0
039349_41	51	226	149.155	2.989	168.675	1.672	3	3	30
039349_41	60	62	43.536	0.0	324.037	nan	4	0	0
039349_42	28	285	180.596	1.527	268.817	1.396	4	4	33
039349_42	45	53	32.082	2.877	295.384	nan	4	2	0
039349_42	53	248	160.417	3.091	210.284	0.704	4	4	30
