# raw-charge Michel energy around STM stops, tag stm2: radius 20.0 cm, path veto 2.5 cm, E = Q/0.5/0.8 x 23.6 eV (prototype shower convention)
event	evtno	cluster	contrast	mu_L_cm	stop_x	stop_y	stop_z	q_stop_e	n_stop	E_stop_MeV	q_entry_e	n_entry	E_entry_MeV	stop_near_crp
039252_16	298791	85	nan	107.77	291.63	-235.30	291.85	173354.34	24	10.23	2059378.87	279	121.50	0
039252_16	298791	95	nan	37.83	303.64	288.69	11.65	13521.59	6	0.80	0.00	0	0.00	0
039252_16	298791	97	nan	31.35	337.26	156.96	36.13	65902.42	11	3.89	0.00	0	0.00	1
039252_16	298791	111	1.18	155.41	249.96	119.20	224.57	0.00	0	0.00	0.00	0	0.00	0
039252_16	298791	118	1.57	333.75	-87.31	276.18	286.37	659952.93	79	38.94	513652.93	51	30.31	0
039252_16	298791	120	0.78	410.54	-21.89	133.60	271.78	1582773.97	158	93.38	168342.97	49	9.93	0
039252_17	298805	30	1.02	354.29	-103.64	-324.41	160.06	266387.96	53	15.72	0.00	0	0.00	0
039252_17	298805	64	nan	52.83	304.09	-34.58	92.22	519719.60	30	30.66	3043224.26	116	179.55	0
039252_17	298805	67	0.74	55.26	268.45	-102.77	8.07	70360.28	14	4.15	230774.96	24	13.62	0
039252_17	298805	70	0.90	224.87	163.44	-102.08	106.01	978972.67	141	57.76	5866169.55	879	346.10	0
039252_17	298805	76	nan	200.03	261.18	-99.80	183.75	0.00	0	0.00	4581995.52	367	270.34	0
039252_17	298805	82	1.55	36.18	201.27	293.97	137.10	3055565.56	215	180.28	2326536.50	232	137.27	0
039252_17	298805	87	nan	111.16	307.95	220.20	175.45	689652.73	118	40.69	6941445.06	511	409.55	1
039252_17	298805	106	nan	809.22	-339.36	300.45	240.07	202827.50	8	11.97	70031.17	21	4.13	1
039252_1	298581	31	0.97	178.11	-165.30	-93.39	62.40	1189799.88	149	70.20	17517.00	5	1.03	0
039252_1	298581	80	0.30	509.55	15.82	-328.17	151.89	6464.65	2	0.38	76714.52	23	4.53	0
039252_1	298581	83	1.65	74.42	239.38	-157.44	170.86	493165.18	140	29.10	486134.06	71	28.68	0
039252_1	298581	112	1.53	243.37	32.89	160.03	287.65	355375.07	50	20.97	293774.99	32	17.33	0
039252_2	298595	57	1.45	161.53	-267.28	151.69	284.97	969433.85	107	57.20	479221.89	60	28.27	0
039252_2	298595	58	nan	22.01	-275.51	52.30	280.65	935918.66	93	55.22	625285.72	57	36.89	0
039252_2	298595	90	nan	89.00	289.94	-231.62	81.20	659970.68	56	38.94	13899813.81	951	820.09	0
039252_2	298595	94	nan	13.53	328.83	-242.77	22.35	2289164.43	174	135.06	77552.45	11	4.58	1
039252_3	298609	35	0.38	425.67	-37.42	-254.71	6.47	0.00	0	0.00	390306.39	45	23.03	0
039252_3	298609	44	nan	27.07	-243.68	323.50	224.57	136205.07	18	8.04	136205.07	18	8.04	0
039252_3	298609	47	1.54	55.67	-49.29	68.30	255.08	0.00	0	0.00	133663.53	47	7.89	0
039252_3	298609	77	nan	21.46	219.01	-318.23	32.45	530421.33	72	31.29	44731.91	17	2.64	0
039252_3	298609	84	nan	167.33	174.11	-286.45	281.02	0.00	0	0.00	262433.80	34	15.48	0
039252_3	298609	92	nan	108.83	314.83	259.15	296.31	1425630.11	119	84.11	1523619.55	157	89.89	1
039252_3	298609	101	nan	151.84	-59.46	331.39	4.87	0.00	0	0.00	0.00	0	0.00	0
039252_4	298623	53	nan	70.59	-302.50	-20.33	205.75	0.00	0	0.00	56103.15	10	3.31	0
039252_4	298623	90	0.90	67.65	264.71	-118.94	160.69	371850.96	83	21.94	130686.66	24	7.71	0
039252_4	298623	109	1.46	274.66	200.85	59.88	17.79	0.00	0	0.00	0.00	0	0.00	0
039252_4	298623	112	1.87	423.04	249.28	40.81	290.12	828850.55	76	48.90	1264836.17	149	74.63	0
039252_4	298623	121	1.45	97.70	16.41	1.99	279.49	228368.27	29	13.47	11600.27	4	0.68	0
039252_5	298637	35	1.13	209.18	-128.23	-52.28	192.19	170065.53	45	10.03	1138571.66	142	67.18	0
039252_5	298637	78	nan	88.15	271.54	-43.51	24.90	0.00	0	0.00	1971511.49	227	116.32	0
039252_5	298637	107	nan	14.23	269.27	70.77	284.35	1129750.65	125	66.66	706715.66	87	41.70	0
039252_5	298637	116	0.70	521.40	-81.72	141.51	173.68	638396.81	66	37.67	158526.55	23	9.35	0
039252_6	298651	27	nan	106.33	-24.18	-318.74	42.17	0.00	0	0.00	0.00	0	0.00	0
039252_6	298651	28	1.05	229.90	-158.57	-47.50	154.46	259208.52	39	15.29	1474137.33	144	86.97	0
039252_6	298651	32	1.14	340.73	-111.69	-331.80	280.06	792193.10	71	46.74	784715.12	80	46.30	0
039252_6	298651	72	2.32	337.25	281.53	-73.62	24.90	5359640.29	519	316.22	3544896.45	300	209.15	0
039252_6	298651	76	0.81	209.89	142.70	-109.29	94.40	316131.44	51	18.65	21151488.66	1117	1247.94	0
039252_6	298651	80	nan	412.54	178.91	-296.40	272.87	10460.61	4	0.62	3151733.67	411	185.95	0
039252_6	298651	85	nan	269.59	335.37	-138.11	20.13	3480606.63	484	205.36	11809291.06	801	696.75	1
039252_6	298651	90	1.23	198.21	175.05	-54.00	225.92	746292.84	102	44.03	762848.10	90	45.01	0
039252_6	298651	116	1.41	37.16	275.59	211.77	18.12	274023.48	50	16.17	184679.33	94	10.90	0
039252_7	298665	68	0.49	108.07	263.61	319.12	163.20	163059.98	22	9.62	12262.81	2	0.72	0
039252_7	298665	78	nan	46.58	298.15	-47.05	99.87	0.00	0	0.00	0.00	0	0.00	0
039252_7	298665	91	0.73	465.42	58.74	2.35	14.67	392451.19	55	23.15	0.00	0	0.00	0
039252_7	298665	93	0.39	92.03	284.93	253.97	109.05	7016999.42	678	414.00	400926.91	81	23.65	0
039252_7	298665	100	1.05	275.03	161.12	19.93	5.69	231358.46	37	13.65	1315006.04	131	77.59	0
039252_7	298665	110	0.89	618.05	-223.12	168.30	112.04	162509.67	137	9.59	138862.87	25	8.19	0
039252_9	298693	30	0.45	108.70	-268.84	79.80	230.61	606789.58	65	35.80	160742.20	13	9.48	0
039252_9	298693	43	1.75	49.06	-213.32	-293.69	288.75	0.00	0	0.00	8881.39	4	0.52	0
039252_9	298693	48	1.12	69.80	-71.48	320.49	80.91	1558759.28	118	91.97	457295.98	79	26.98	0
039252_9	298693	51	1.40	127.33	-248.42	156.63	138.09	123286.06	17	7.27	0.00	0	0.00	0
039252_9	298693	76	1.04	253.71	203.61	-41.91	59.54	114020.66	13	6.73	252731.20	35	14.91	0
039252_9	298693	87	3.31	195.98	164.11	-12.11	186.70	0.00	0	0.00	606960.78	101	35.81	0
039252_9	298693	91	2.29	79.05	265.51	-191.90	278.07	2795.89	1	0.16	179583.07	29	10.60	0
039252_9	298693	92	0.90	123.09	224.92	207.80	55.50	20165.55	10	1.19	209908.37	37	12.38	0
039252_9	298693	94	nan	305.24	322.34	163.17	29.99	291461.82	33	17.20	1369222.73	199	80.78	1
039252_9	298693	95	1.00	254.32	115.31	157.11	14.16	277072.95	53	16.35	38269.77	7	2.26	0
039252_9	298693	105	0.35	328.54	180.36	131.45	280.00	0.00	0	0.00	227534.84	30	13.42	0
039252_9	298693	111	0.97	477.36	-41.05	-5.84	65.63	661458.66	75	39.03	72055.79	11	4.25	0
039253_0	49686	38	0.45	409.73	-87.10	-125.15	10.04	0.00	0	0.00	274008.02	32	16.17	0
039253_0	49686	39	0.85	255.91	-60.44	-316.03	43.78	1027000.77	112	60.59	122079.05	21	7.20	0
039253_0	49686	41	0.51	115.98	-294.28	-325.22	167.88	432.17	2	0.03	30463.10	11	1.80	0
039253_0	49686	42	1.00	366.29	-82.43	-110.10	251.04	839496.07	139	49.53	409.93	2	0.02	0
039253_0	49686	49	0.46	290.05	-148.39	143.31	3.40	0.00	0	0.00	607980.29	101	35.87	0
039253_0	49686	83	nan	47.39	305.67	-102.85	17.62	0.00	0	0.00	0.00	0	0.00	1
039253_0	49686	114	nan	45.29	330.00	166.77	232.71	67601.65	18	3.99	93184.99	52	5.50	1
039253_10	49886	81	nan	269.87	338.90	148.13	215.75	126547.25	15	7.47	946651.18	119	55.85	1
039253_11	49906	32	0.94	197.45	-138.69	-175.22	53.91	149473.09	20	8.82	1293021.26	195	76.29	0
039253_11	49906	46	0.53	356.65	-27.01	88.11	281.72	519046.49	119	30.62	737650.17	71	43.52	0
039253_11	49906	85	nan	169.90	221.32	5.58	73.85	1296148.34	137	76.47	65700.38	12	3.88	0
039253_11	49906	88	0.79	423.55	22.73	-219.27	6.22	76721.69	10	4.53	250579.70	37	14.78	0
039253_11	49906	91	1.21	71.92	125.73	12.31	283.64	0.00	0	0.00	0.00	0	0.00	0
039253_11	49906	92	0.82	145.11	209.52	-169.39	260.63	161506.64	106	9.53	558140.54	71	32.93	0
039253_11	49906	94	nan	35.71	303.72	-265.24	287.14	27557.95	10	1.63	0.00	0	0.00	0
039253_11	49906	99	nan	35.65	319.78	201.24	0.97	0.00	0	0.00	0.00	0	0.00	1
039253_11	49906	108	0.85	155.26	109.17	227.29	152.50	65452.42	15	3.86	1484013.24	109	87.56	0
039253_11	49906	110	2.82	62.36	255.37	332.30	276.43	217216.13	23	12.82	0.00	0	0.00	0
039253_11	49906	111	nan	22.68	262.21	315.75	170.79	7602745.42	636	448.56	189533.46	31	11.18	0
039253_11	49906	116	3.62	60.24	296.40	287.58	298.52	489184.63	52	28.86	222282.38	39	13.11	0
039253_11	49906	120	nan	848.30	338.37	98.68	83.58	935454.78	161	55.19	216068.36	20	12.75	1
039253_11	49906	125	1.22	532.78	-113.94	120.75	8.95	139287.48	14	8.22	2290007.57	305	135.11	0
039253_12	49926	35	0.97	372.15	-60.05	-321.86	67.62	605916.64	115	35.75	585753.23	38	34.56	0
039253_12	49926	45	0.63	336.11	-43.32	73.19	16.20	52534.93	18	3.10	23214.00	8	1.37	0
039253_12	49926	66	nan	28.33	310.69	137.89	271.86	158065.18	8	9.33	479917.36	55	28.32	1
039253_12	49926	86	0.81	167.38	150.57	10.73	15.72	146.18	1	0.01	541860.65	78	31.97	0
039253_12	49926	88	0.76	113.99	231.10	149.94	2.57	75703.34	13	4.47	0.00	0	0.00	0
039253_12	49926	96	nan	655.50	-337.46	-54.97	29.41	294414.09	24	17.37	38386.99	8	2.26	1
039253_12	49926	98	nan	680.87	-329.93	-193.75	107.45	879651.08	81	51.90	30613.58	11	1.81	1
039253_12	49926	104	0.68	438.04	-46.68	-2.40	281.42	52007.54	16	3.07	1882286.32	182	111.05	0
039253_13	49946	39	0.74	46.08	-235.75	305.04	32.34	1080964.63	105	63.78	210495.03	34	12.42	0
039253_13	49946	40	2.21	117.97	-172.88	334.56	97.68	198823.22	41	11.73	1370299.11	159	80.85	0
039253_13	49946	41	0.13	137.85	-231.95	145.63	160.76	0.00	0	0.00	656535.37	160	38.74	0
039253_13	49946	67	1.27	523.96	18.03	-295.29	70.89	19013.44	2	1.12	894308.67	126	52.76	0
039253_13	49946	70	nan	213.21	107.91	-3.52	52.38	0.00	0	0.00	227891.11	61	13.45	0
039253_13	49946	71	0.45	81.93	228.21	-88.86	144.77	1175872.58	201	69.38	614404.82	194	36.25	0
039253_13	49946	104	2.09	649.96	-172.52	260.31	168.41	0.00	0	0.00	134055.80	12	7.91	0
039253_14	49966	31	nan	17.92	-303.94	34.29	16.17	6477.54	3	0.38	6477.54	3	0.38	0
039253_14	49966	33	0.96	354.43	-17.86	-83.76	16.60	417256.35	50	24.62	0.00	0	0.00	0
039253_14	49966	41	0.89	387.12	-35.82	100.47	280.09	0.00	0	0.00	748.31	1	0.04	0
039253_14	49966	42	0.72	285.85	-110.97	143.31	7.99	0.00	0	0.00	130227.88	25	7.68	0
039253_14	49966	52	0.42	227.47	-143.92	123.02	288.75	0.00	0	0.00	204395.72	26	12.06	0
039253_14	49966	94	0.32	147.94	198.24	-232.05	43.78	0.00	0	0.00	605647.50	67	35.73	0
039253_15	49986	30	0.66	306.30	-87.89	168.05	7.99	78987.00	21	4.66	0.00	0	0.00	0
039253_15	49986	65	1.11	137.70	174.54	-334.22	31.02	848912.49	102	50.09	26096.04	8	1.54	0
039253_15	49986	77	nan	167.72	321.82	-328.82	93.34	3373528.62	335	199.04	3585123.02	322	211.52	1
039253_15	49986	87	1.31	215.40	273.72	260.31	8.60	1695292.49	130	100.02	797576.66	74	47.06	0
039253_15	49986	89	nan	87.90	63.49	333.99	155.58	0.00	0	0.00	0.00	0	0.00	0
039253_15	49986	90	1.44	238.89	35.58	221.86	190.62	760582.40	151	44.87	67467.45	12	3.98	0
039253_15	49986	91	nan	335.51	161.22	92.93	115.17	0.00	0	0.00	367135.93	43	21.66	0
039253_15	49986	105	1.17	314.67	-111.05	95.99	179.10	2226755.42	261	131.38	241911.62	43	14.27	0
039253_16	50006	93	nan	20.91	263.45	-180.40	5.01	101939.72	15	6.01	0.00	0	0.00	0
039253_16	50006	96	0.36	295.44	79.40	-17.00	75.39	0.00	0	0.00	69576.13	12	4.10	0
039253_16	50006	98	nan	46.02	322.77	-248.06	147.95	42843461.75	3245	2527.76	2121452.89	279	125.17	1
039253_16	50006	115	1.07	261.59	66.84	68.18	224.44	996409.40	108	58.79	533.94	1	0.03	0
039253_17	50026	23	1.46	326.78	-244.50	-39.16	2.28	160129.24	27	9.45	102705.27	13	6.06	0
039253_17	50026	82	0.98	100.15	261.88	-251.51	95.80	1349907.48	176	79.64	54073981.94	3938	3190.36	0
039253_17	50026	105	nan	23.03	306.29	255.38	250.32	0.00	0	0.00	0.00	0	0.00	1
039253_17	50026	118	0.35	861.78	300.70	-253.34	0.98	589809.06	92	34.80	93014.60	5	5.49	0
039253_17	50026	119	2.11	394.17	-8.73	-170.12	217.43	626755.50	124	36.98	1725655.45	159	101.81	0
039253_1	49706	34	1.54	213.35	-229.03	-174.71	93.01	754494.78	75	44.52	5149.74	3	0.30	0
039253_1	49706	37	0.85	209.02	-98.06	-283.84	193.57	32478.04	9	1.92	1225171.26	120	72.29	0
039253_1	49706	75	1.27	43.40	42.29	329.28	270.99	0.00	0	0.00	0.00	0	0.00	0
039253_1	49706	81	nan	63.30	313.70	-38.67	77.60	248458.36	55	14.66	446743.75	53	26.36	1
039253_1	49706	96	0.98	87.78	174.58	332.82	53.30	2733712.14	258	161.29	102910.80	24	6.07	0
039253_1	49706	114	1.56	446.51	-36.05	-34.35	186.86	1254371.70	122	74.01	68834.79	9	4.06	0
039253_2	49726	32	nan	18.92	-289.86	147.00	11.00	1428422.64	94	84.28	9181.60	3	0.54	0
039253_2	49726	37	nan	63.44	-275.63	-261.26	151.57	56805.58	5	3.35	0.00	0	0.00	0
039253_2	49726	41	1.96	258.33	-137.28	-182.66	211.09	755015.80	89	44.55	582493.56	34	34.37	0
039253_2	49726	80	2.25	254.57	105.59	-191.85	119.39	534840.01	48	31.56	144856.26	23	8.55	0
039253_2	49726	87	1.42	321.20	16.12	307.20	28.43	1523777.46	145	89.90	120434.88	26	7.11	0
039253_2	49726	93	0.97	301.82	40.43	147.79	282.71	4752781.70	436	280.41	3234578.39	318	190.84	0
039253_2	49726	97	0.93	383.41	28.07	141.16	106.51	0.00	0	0.00	184858.76	31	10.91	0
039253_2	49726	108	0.31	79.72	164.23	-308.14	26.94	291519.87	30	17.20	0.00	0	0.00	0
039253_3	49746	60	0.65	241.51	155.80	-108.39	97.67	512657.09	51	30.25	0.00	0	0.00	0
039253_3	49746	67	1.00	156.64	58.20	-331.48	261.13	180514.95	32	10.65	267039.23	28	15.76	0
039253_3	49746	82	0.97	474.55	-56.00	333.34	110.69	627963.46	49	37.05	968598.39	114	57.15	0
039253_3	49746	86	0.23	395.32	258.35	274.07	111.97	1257744.51	142	74.21	168270.48	25	9.93	0
039253_4	49766	33	0.99	207.73	-136.67	-259.63	290.88	112250.86	21	6.62	180980.96	127	10.68	0
039253_4	49766	39	1.13	340.68	-159.87	24.22	6.89	935543.08	92	55.20	90368.30	27	5.33	0
039253_4	49766	81	2.96	203.54	155.05	-289.17	83.00	31719.05	8	1.87	224814.04	37	13.26	0
039253_4	49766	111	0.89	401.72	84.23	-168.85	253.42	171281.98	119	10.11	256837.91	27	15.15	0
039253_5	49786	45	1.77	385.59	-161.01	1.69	16.71	53747.40	4	3.17	14238.62	8	0.84	0
039253_5	49786	49	nan	221.65	-130.73	210.47	70.73	292707.23	189	17.27	0.00	0	0.00	0
039253_5	49786	54	nan	1.75	-318.89	168.13	285.69	895686.04	199	52.85	688163.40	174	40.60	1
039253_5	49786	56	0.23	146.87	-193.41	46.17	279.57	0.00	0	0.00	58248.47	13	3.44	0
039253_5	49786	97	0.54	144.74	62.48	-332.33	101.35	0.00	0	0.00	4423672.59	485	261.00	0
039253_5	49786	98	1.35	357.01	99.02	-176.79	260.98	1090804.73	140	64.36	3806164.28	394	224.56	0
039253_5	49786	116	1.03	198.21	176.69	201.58	152.40	400925.21	68	23.65	0.00	0	0.00	0
039253_6	49806	34	1.14	253.07	-203.55	28.28	145.63	283893.35	28	16.75	19587.42	12	1.16	0
039253_6	49806	46	0.92	108.95	-188.79	25.16	87.06	2082027.90	206	122.84	1126.34	4	0.07	0
039253_6	49806	48	nan	242.99	-31.14	118.08	281.62	24032.87	12	1.42	1815862.33	275	107.14	0
039253_6	49806	100	0.86	207.58	257.81	293.11	95.95	513479.81	103	30.30	130050.14	32	7.67	0
039253_6	49806	110	0.76	53.67	13.17	299.59	225.95	2640088.66	167	155.77	6011837.60	345	354.70	0
039253_6	49806	117	0.27	508.78	-127.63	122.67	192.92	1187380.09	102	70.06	393300.22	78	23.20	0
039253_7	49826	22	0.91	123.30	-217.38	-263.83	295.45	2125234.66	224	125.39	991495.40	88	58.50	0
039253_7	49826	23	0.26	47.20	-274.89	-183.12	274.57	0.00	0	0.00	121227.32	15	7.15	0
039253_7	49826	30	1.30	315.24	-278.85	62.49	115.72	391035.44	47	23.07	247404.47	36	14.60	0
039253_7	49826	63	0.79	232.46	114.34	-99.61	85.24	445038.15	74	26.26	390989.32	63	23.07	0
039253_7	49826	82	1.15	154.08	209.42	106.19	98.31	17760.24	3	1.05	80470.66	23	4.75	0
039253_7	49826	91	0.22	376.41	61.64	-1.06	270.16	860675.85	78	50.78	445824.34	42	26.30	0
039253_8	49846	22	nan	350.85	-36.13	-146.44	11.57	366526.45	71	21.63	298600.10	27	17.62	0
039253_8	49846	39	0.79	233.29	-114.34	282.10	247.44	2697.99	1	0.16	78234.01	14	4.62	0
039253_8	49846	60	1.01	41.09	215.12	-34.92	8.63	30679.69	6	1.81	0.00	0	0.00	0
039253_8	49846	65	1.02	415.73	34.15	-69.58	259.11	683443.17	113	40.32	3326627.89	261	196.27	0
039253_8	49846	74	0.96	109.74	89.22	163.79	83.95	983567.87	285	58.03	412273.33	132	24.32	0
039253_9	49866	30	0.79	98.85	-261.44	-204.63	287.73	0.00	0	0.00	18601.53	5	1.10	0
039253_9	49866	31	0.46	43.14	-33.65	-325.92	256.94	165137.68	32	9.74	628047.07	77	37.05	0
039253_9	49866	35	0.92	320.67	-119.87	-110.03	252.60	1011071.89	173	59.65	736947.94	68	43.48	0
039253_9	49866	74	2.06	120.25	215.31	-169.30	129.45	278245.87	57	16.42	283612.30	51	16.73	0
039253_9	49866	76	0.95	304.15	234.08	-28.44	186.71	0.00	0	0.00	27752257.53	2133	1637.38	0
039253_9	49866	104	1.27	72.11	227.87	305.84	17.25	365134.40	42	21.54	183402.70	33	10.82	0
039253_9	49866	121	0.96	514.43	57.07	74.51	287.00	0.00	0	0.00	483396.73	86	28.52	0
039349_0	19409	48	nan	10.53	156.32	320.72	23.80	343402.31	52	20.26	669095.97	93	39.48	0
039349_0	19409	52	1.14	376.46	45.31	-176.96	283.93	218190.86	34	12.87	0.00	0	0.00	0
039349_0	19409	56	nan	49.04	172.73	136.12	6.40	133897.24	15	7.90	0.00	0	0.00	0
039349_10	19609	22	1.46	240.23	-112.41	-179.00	179.10	2146358.65	151	126.64	552456.36	49	32.59	0
039349_10	19609	26	1.13	209.14	-205.93	-184.42	157.66	3773466.43	358	222.63	910056.53	82	53.69	0
039349_10	19609	45	1.24	32.57	200.27	-105.71	5.52	21707.90	10	1.28	0.00	0	0.00	0
039349_10	19609	54	0.97	223.16	142.37	120.34	293.26	0.00	0	0.00	72390.04	11	4.27	0
039349_10	19609	57	1.07	335.77	-43.50	-315.47	98.33	537567.07	69	31.72	419239.13	61	24.74	0
039349_10	19609	58	0.69	747.49	49.50	321.82	147.23	423274.89	51	24.97	0.00	0	0.00	0
039349_10	19609	59	2.16	766.11	-176.17	275.73	119.50	507820.99	32	29.96	4015.70	2	0.24	0
039349_11	19629	18	1.08	51.81	-257.17	63.99	269.95	29491.10	6	1.74	110995.99	26	6.55	0
039349_11	19629	19	nan	258.14	-146.55	-50.10	18.01	0.00	0	0.00	545916.14	56	32.21	0
039349_11	19629	22	1.78	31.10	-101.11	-326.02	263.30	0.00	0	0.00	0.00	0	0.00	0
039349_11	19629	26	0.89	292.82	-77.81	37.32	64.60	0.00	0	0.00	402464.42	100	23.75	0
039349_11	19629	28	1.02	262.23	-95.45	153.96	281.21	239591.11	35	14.14	586255.57	116	34.59	0
039349_11	19629	43	nan	303.23	337.03	-192.79	186.16	146296.12	25	8.63	195847.12	36	11.55	1
039349_11	19629	46	0.12	163.66	263.74	-272.22	58.56	0.00	0	0.00	374831.11	69	22.12	0
039349_11	19629	49	1.11	128.10	181.34	-173.39	236.52	235516.06	32	13.90	0.00	0	0.00	0
039349_12	19649	20	nan	16.64	-253.45	-319.99	6.46	387920.54	33	22.89	81139.90	11	4.79	0
039349_12	19649	25	nan	49.08	-42.68	-67.45	274.99	0.00	0	0.00	539520.77	122	31.83	0
039349_12	19649	27	0.95	297.86	-268.73	-254.69	211.85	50735.24	5	2.99	137181.02	33	8.09	0
