event	cluster	kind	res_len_cm	n_tail	E_tail_MeV	straightness	ave_res_dqdx
039252_6	72	STM	15.54	25	16.18	0.734	17239
039252_6	76	STM	35.37	56	84.77	0.874	40630
039252_6	80	STM	0.00	0	0.00	nan	0
039252_6	85	STM	3.07	5	12.47	0.928	65673
039252_6	90	STM	9.74	15	25.20	0.958	43244
039252_6	116	STM	1.58	3	8.73	1.000	85007
039252_7	68	STM	21.61	33	44.57	0.851	34128
039252_7	78	STM	23.23	39	34.17	0.992	24758
039252_7	91	STM	30.84	49	87.23	0.979	47870
039252_7	93	STM	23.22	39	21.27	0.726	15376
039252_7	100	STM	33.85	53	129.07	0.966	64947
039252_7	110	STM	21.97	34	62.91	0.970	46617
039252_8	37	STM	26.16	44	64.90	0.965	41726
039252_8	73	STM	30.43	50	76.28	0.860	42043
039252_8	74	STM	7.98	13	28.87	0.955	60237
039252_8	76	STM	1.09	2	4.20	1.000	58474
039252_8	78	STM	2.66	4	3.98	0.993	24307
039252_8	89	STM	17.87	28	22.03	0.966	19734
039252_8	97	STM	30.93	50	100.06	0.977	54442
039252_8	104	STM	25.08	40	87.64	0.971	58919
039252_8	108	STM	0.00	0	0.00	nan	0
039252_8	110	STM	13.48	21	37.36	0.977	46032
039252_9	30	STM	35.03	53	88.73	0.511	40695
039252_9	43	STM	4.01	7	4.67	0.991	19510
039252_9	48	STM	4.89	8	22.38	0.982	74881
039252_9	51	STM	28.26	45	105.99	0.955	62435
039252_9	76	STM	8.81	14	40.10	0.955	73861
039252_9	87	STM	0.00	0	0.00	nan	0
039252_9	91	STM	0.00	0	0.00	nan	0
039252_9	92	STM	5.76	9	12.36	0.689	35458
039252_9	94	STM	6.29	10	22.93	0.990	60559
039252_9	95	STM	10.65	17	27.16	0.506	40937
039252_9	105	STM	34.76	54	71.33	0.882	35203
039252_9	111	STM	26.66	43	99.50	0.947	62786
039253_0	38	STM	7.75	12	23.61	0.975	50014
039253_0	39	STM	14.92	24	62.57	0.963	70498
039253_0	41	STM	17.20	26	49.95	0.910	48110
039253_0	42	STM	34.45	55	115.34	0.953	56452
039253_0	49	STM	19.38	30	74.42	0.969	63856
039253_0	83	STM	24.21	41	56.73	1.000	39325
039253_0	114	STM	21.99	37	36.42	1.000	27813
039253_10	81	STM	18.89	30	56.03	0.977	49773
039253_11	32	STM	12.61	19	41.55	0.982	54828
039253_11	46	STM	11.33	18	30.13	0.861	44455
039253_11	85	STM	0.00	0	0.00	nan	0
039253_11	88	STM	22.46	35	77.67	0.988	58247
039253_11	91	STM	21.49	36	-26.54	0.997	-20346
039253_11	92	STM	39.62	59	104.35	0.900	44537
039253_11	94	STM	0.00	0	0.00	nan	0
039253_11	99	STM	19.12	32	45.78	0.975	40134
039253_11	108	STM	40.41	59	-98.35	0.999	-47096
039253_11	110	STM	30.39	52	-1.13	0.774	-587
039253_11	111	STM	2.88	6	8.75	0.988	47129
039253_11	116	STM	0.99	2	1.24	1.000	17656
039253_11	120	STM	7.50	12	28.21	0.879	64311
039253_11	125	STM	15.88	23	54.79	0.897	58800
039253_12	35	STM	5.23	9	21.94	0.866	69058
039253_12	45	STM	26.73	41	92.85	0.981	58377
039253_12	66	STM	26.99	42	104.87	0.962	66112
039253_12	86	STM	4.53	8	12.30	0.931	44088
039253_12	88	STM	6.76	11	13.40	0.872	33377
039253_12	96	STM	5.09	8	24.38	0.971	77588
039253_12	98	STM	10.71	18	43.73	0.969	67370
039253_12	104	STM	20.83	33	38.75	0.830	30688
039253_13	39	STM	0.00	0	0.00	nan	0
039253_13	40	STM	0.38	1	0.00	nan	140645
039253_13	41	STM	31.77	53	83.80	0.998	44505
039253_13	67	STM	0.00	0	0.00	nan	0
039253_13	70	STM	38.74	59	-2.08	0.927	-1428
039253_13	71	STM	14.69	26	10.03	0.480	11316
039253_13	104	STM	0.00	0	0.00	nan	0
039253_14	31	STM	12.15	20	43.57	0.982	59818
039253_14	33	STM	14.62	24	50.68	0.978	58384
039253_14	41	STM	22.32	34	85.09	0.944	63766
039253_14	42	STM	8.54	14	37.54	0.958	72457
039253_14	52	STM	22.75	36	75.03	0.959	54373
039253_14	94	STM	17.70	30	27.95	1.000	26461
039253_15	30	STM	6.49	8	21.22	0.977	54727
039253_15	65	STM	25.06	37	110.99	0.927	74629
039253_15	77	STM	18.55	29	37.36	0.936	34695
039253_15	87	STM	0.00	0	0.00	nan	0
039253_15	89	STM	23.83	34	6.55	1.000	5435
039253_15	90	STM	4.04	7	14.57	0.978	58033
039253_15	91	STM	31.36	53	-31.07	1.000	-17026
039253_15	105	STM	15.69	24	48.32	0.951	51959
039253_16	93	STM	3.60	6	14.66	0.973	66202
039253_16	96	STM	0.00	0	0.00	nan	0
039253_16	98	STM	19.43	29	67.77	0.848	59331
039253_16	115	STM	25.78	39	86.71	0.965	56882
039253_17	23	STM	26.22	44	48.61	0.879	31164
039253_17	82	STM	40.39	67	67.37	0.628	28445
039253_17	105	STM	0.00	0	0.00	nan	0
039253_17	118	STM	11.33	18	27.85	0.933	40098
039253_17	119	STM	0.00	0	0.00	nan	0
039253_1	34	STM	0.00	0	0.00	nan	0
039253_1	37	STM	14.31	22	40.89	0.965	46960
039253_1	75	STM	10.62	17	29.46	0.923	46104
039253_1	81	STM	27.80	45	28.00	0.924	16458
039253_1	96	STM	39.31	65	34.18	0.937	14752
039253_1	114	STM	0.00	0	0.00	nan	0
039253_2	32	STM	0.00	0	0.00	nan	0
039253_2	37	STM	0.00	0	0.00	nan	0
039253_2	41	STM	0.00	0	0.00	nan	0
039253_2	80	STM	0.00	0	0.00	nan	0
039253_2	87	STM	10.47	17	39.37	0.982	61843
039253_2	93	STM	14.49	23	51.22	0.949	58728
039253_2	97	STM	2.27	4	9.10	0.951	60447
039253_2	108	STM	8.49	12	24.96	0.822	48273
039253_3	60	STM	10.66	18	15.71	0.850	24558
039253_3	67	STM	23.82	38	60.49	0.743	42897
039253_3	82	STM	19.09	28	72.19	0.974	63203
039253_3	86	STM	26.40	42	51.54	0.876	31678
039253_4	33	STM	39.03	58	143.36	0.967	62039
039253_4	39	STM	0.00	0	0.00	nan	0
039253_4	81	STM	0.00	0	0.00	nan	0
039253_4	111	STM	15.26	24	37.33	0.984	41280
039253_5	45	STM	14.67	24	40.42	0.881	46185
039253_5	49	STM	7.80	13	2.68	1.000	6514
039253_5	54	STM	0.98	2	0.95	1.000	13423
039253_5	56	STM	24.65	38	62.97	0.971	43015
039253_5	97	STM	33.87	52	132.54	0.936	65606
039253_5	98	STM	22.70	38	84.17	0.973	62385
039253_5	116	STM	21.35	33	52.54	0.866	40832
039253_6	34	STM	23.36	37	58.72	0.760	43296
039253_6	46	STM	17.13	28	57.13	0.957	56158
039253_6	48	STM	32.67	55	-91.35	1.000	-47107
039253_6	100	STM	26.74	43	66.75	0.879	41266
039253_6	110	STM	14.54	23	23.39	0.753	27100
039253_6	117	STM	25.01	42	17.82	0.832	12034
039253_7	22	STM	5.85	9	21.17	0.996	60622
039253_7	23	STM	31.34	51	61.79	0.948	32791
039253_7	30	STM	2.74	5	10.65	0.927	64406
039253_7	63	STM	24.99	40	59.73	0.884	40045
039253_7	82	STM	9.02	16	26.44	0.925	48172
039253_7	91	STM	36.72	48	64.91	0.973	38516
039253_8	22	STM	35.13	58	73.72	0.937	34702
039253_8	39	STM	30.53	49	68.05	0.958	38127
039253_8	60	STM	2.48	4	7.48	0.994	45672
039253_8	65	STM	34.78	56	86.84	0.982	42198
039253_8	74	STM	35.50	57	47.63	0.758	22152
039253_9	30	STM	6.61	11	21.92	0.980	54591
039253_9	31	STM	20.03	34	64.37	0.948	53981
039253_9	35	STM	36.13	58	141.75	0.981	66372
039253_9	74	STM	0.00	0	0.00	nan	0
039253_9	76	STM	38.68	65	-0.49	0.674	-312
039253_9	104	STM	2.28	4	9.73	0.995	65330
039253_9	121	STM	30.36	46	102.38	0.943	56235
039349_0	48	STM	9.15	13	29.46	0.987	53896
039349_0	52	STM	21.42	36	60.44	0.935	47437
039349_0	56	STM	6.31	10	19.61	0.980	51042
039349_10	22	STM	20.78	34	81.62	0.975	65742
039349_10	26	STM	39.51	62	116.72	0.973	49426
039349_10	45	STM	13.92	22	40.57	0.947	48860
039349_10	54	STM	31.02	49	36.78	0.952	20046
039349_10	57	STM	3.17	5	15.47	0.992	78575
039349_10	58	STM	28.78	30	56.55	0.974	42910
039349_10	59	STM	0.53	1	0.00	nan	129987
039349_11	18	STM	11.78	20	20.82	0.377	27151
039349_11	19	STM	40.57	68	-417.17	0.956	-172850
039349_11	22	STM	14.80	24	14.95	0.917	17016
039349_11	26	STM	13.10	20	49.83	0.962	63840
039349_11	28	STM	0.00	0	0.00	nan	0
039349_11	43	STM	3.24	6	16.88	0.954	82929
039349_11	46	STM	23.25	39	46.64	1.000	33715
039349_11	49	STM	16.28	26	14.67	0.931	14566
039349_12	20	STM	0.00	0	0.00	nan	0
039349_12	25	STM	34.01	53	50.08	0.874	22876
039349_12	27	STM	31.04	44	94.56	0.982	50963
039349_12	46	STM	16.76	25	37.74	0.835	38112
039349_12	50	STM	10.17	17	28.10	0.960	46480
039349_12	56	STM	16.02	25	41.70	0.946	43353
039349_13	23	STM	16.12	25	39.59	0.984	41184
039349_13	30	STM	31.65	49	111.72	0.972	58616
039349_13	33	STM	24.15	38	74.68	0.981	52170
039349_13	47	STM	28.65	44	65.10	0.839	37295
039349_13	49	STM	34.52	55	123.24	0.985	59802
039349_13	66	STM	3.39	5	6.18	0.985	29729
039349_13	68	STM	22.84	37	-9.97	0.979	-8018
039349_14	18	STM	1.86	3	8.73	0.997	70314
039349_14	23	STM	6.41	11	23.31	0.976	59962
039349_14	45	STM	9.68	16	-10.60	1.000	-18157
039349_15	15	STM	0.00	0	0.00	nan	0
039349_15	17	STM	37.46	56	43.93	0.680	18548
039349_15	24	STM	1.76	3	6.91	1.000	60632
039349_15	30	STM	3.20	5	10.99	0.959	56083
039349_15	46	STM	22.56	36	61.84	0.884	46146
039349_15	48	STM	9.27	13	31.73	0.964	57496
039349_15	53	STM	32.84	55	44.92	0.991	23046
039349_16	41	STM	22.08	34	41.21	0.878	31747
039349_16	50	STM	16.73	26	58.30	0.972	59116
039349_16	63	STM	15.61	24	34.71	0.843	37239
039349_16	64	STM	20.31	32	50.70	0.568	40891
039349_17	24	STM	21.93	37	4.23	1.000	3237
039349_17	49	STM	29.04	45	101.33	0.961	59097
039349_17	53	STM	7.30	9	7.57	0.840	22177
039349_17	69	STM	0.00	0	0.00	nan	0
039349_18	10	STM	37.25	55	138.29	0.959	63194
039349_18	13	STM	15.27	25	44.01	0.962	48259
039349_18	14	STM	28.88	45	93.24	0.936	53848
039349_18	16	STM	0.00	0	0.00	nan	0
039349_18	20	STM	23.65	37	71.42	0.963	50682
039349_18	21	STM	17.07	26	63.19	0.926	61173
039349_18	23	STM	9.65	16	32.82	0.958	57000
039349_18	37	STM	0.00	0	0.00	nan	0
039349_18	40	STM	18.62	29	60.89	0.922	56147
039349_18	41	STM	33.05	52	109.86	0.967	55667
039349_18	44	STM	14.48	21	44.18	0.755	50439
039349_18	47	STM	0.00	0	0.00	nan	0
039349_18	50	STM	38.31	57	120.13	0.963	53214
039349_18	54	STM	25.79	44	37.02	0.993	24034
039349_18	56	STM	15.59	25	47.19	0.973	50931
039349_18	57	STM	8.71	14	27.65	0.968	52924
039349_19	23	STM	37.09	56	137.77	0.946	62462
039349_19	29	STM	20.18	34	11.66	0.904	9619
039349_19	48	STM	25.65	40	47.41	0.927	31804
039349_19	50	STM	40.09	61	117.02	0.935	49463
039349_19	56	STM	0.00	0	0.00	nan	0
039349_1	23	STM	25.70	43	92.32	0.985	60095
039349_1	24	STM	23.21	39	13.45	1.000	9742
039349_1	49	STM	7.24	12	30.00	0.925	68074
039349_1	52	STM	7.85	12	21.41	0.971	45839
039349_1	60	STM	9.04	16	-0.84	0.999	-1572
039349_1	63	STM	0.00	0	0.00	nan	0
039349_20	27	STM	17.26	28	58.72	0.939	57136
039349_20	30	STM	21.50	35	61.18	0.968	47960
039349_20	62	STM	38.62	60	104.59	0.934	46132
039349_21	30	STM	2.65	4	10.51	0.957	64341
039349_21	48	STM	37.95	62	19.78	0.995	8551
039349_21	52	STM	4.38	8	20.35	0.963	76031
039349_21	58	STM	27.51	47	-15.04	0.994	-9040
039349_22	18	STM	12.51	18	47.10	0.978	63213
039349_22	20	STM	20.59	33	67.25	0.971	54313
039349_22	28	STM	17.72	28	62.75	0.958	59340
039349_22	38	STM	0.00	0	0.00	nan	0
039349_22	42	STM	4.55	7	13.05	0.955	48190
039349_22	45	STM	32.21	54	2.50	0.958	1119
039349_22	59	STM	0.00	0	0.00	nan	0
039349_22	63	STM	5.43	8	20.82	0.953	63883
039349_22	64	STM	2.77	5	11.06	0.950	62645
039349_22	65	STM	0.00	0	0.00	nan	0
039349_23	29	STM	24.96	39	84.15	0.955	55724
039349_23	57	STM	0.00	0	0.00	nan	0
039349_23	63	STM	5.00	8	20.37	0.965	65600
039349_23	64	STM	37.35	58	134.84	0.979	60569
039349_24	23	STM	28.77	48	55.56	0.990	32578
039349_24	28	STM	0.92	2	3.05	1.000	44957
039349_24	45	STM	39.14	61	121.15	0.980	51930
039349_24	54	STM	40.54	68	-41.63	0.658	-17121
039349_24	61	STM	0.00	0	0.00	nan	0
039349_24	64	STM	0.40	1	0.00	nan	66738
039349_24	65	STM	24.42	41	55.38	1.000	38116
039349_25	38	STM	3.66	6	9.46	0.947	41653
039349_25	42	STM	0.00	0	0.00	nan	0
039349_25	44	STM	32.54	51	53.23	0.910	27546
039349_25	49	STM	0.00	0	0.00	nan	0
039349_25	72	STM	0.00	0	0.00	nan	0
039349_26	9	STM	7.30	12	19.61	0.959	42722
039349_26	13	STM	19.11	29	57.58	0.979	50437
039349_26	14	STM	34.04	53	110.68	0.921	54923
039349_26	31	STM	0.00	0	0.00	nan	0
039349_26	33	STM	38.67	59	125.76	0.977	54869
039349_26	36	STM	17.71	27	41.22	0.670	38557
039349_26	38	STM	18.81	27	53.66	0.943	48050
039349_26	39	STM	14.51	24	42.58	0.973	49314
039349_26	56	STM	0.00	0	0.00	nan	0
039349_26	57	STM	0.00	0	0.00	nan	0
039349_27	21	STM	15.32	23	37.65	0.900	40946
039349_27	43	STM	3.66	5	11.36	0.920	48475
039349_27	45	STM	10.68	16	35.01	0.718	54641
039349_27	52	STM	20.48	34	-73.09	1.000	-59581
039349_28	15	STM	0.00	0	0.00	nan	0
039349_28	18	STM	40.10	68	127.58	0.977	53664
039349_28	20	STM	19.54	32	48.10	0.952	41609
039349_28	51	STM	25.15	40	60.52	0.854	40094
039349_28	53	STM	38.90	59	114.93	0.923	50199
039349_28	58	STM	9.43	14	25.74	0.957	45595
039349_29	20	STM	40.47	68	19.54	0.999	8154
039349_29	41	STM	23.70	38	26.77	0.773	18380
039349_29	42	STM	31.10	50	104.69	0.983	56378
039349_29	45	STM	11.48	19	32.54	0.939	47422
039349_2	14	STM	0.00	0	0.00	nan	0
039349_2	40	STM	1.43	2	4.17	1.000	46127
039349_2	47	STM	24.69	42	48.33	0.926	32743
039349_30	21	STM	4.28	7	14.22	0.978	54230
039349_30	51	STM	0.00	0	0.00	nan	0
039349_31	28	STM	0.00	0	0.00	nan	0
039349_31	45	STM	26.32	41	90.04	0.891	58363
039349_31	53	STM	33.73	55	67.40	0.647	33220
039349_31	57	STM	22.69	38	-6.28	1.000	-4645
039349_31	63	STM	0.00	0	0.00	nan	0
039349_32	12	STM	1.29	3	6.91	1.000	76698
039349_32	13	STM	25.60	43	72.05	1.000	47338
039349_32	17	STM	9.95	16	32.48	0.842	53827
039349_32	49	STM	6.14	9	16.33	0.903	45624
039349_32	51	STM	0.00	0	0.00	nan	0
039349_32	57	STM	9.64	15	31.43	0.958	53761
039349_33	11	STM	19.59	31	80.56	0.981	69919
039349_33	14	STM	18.15	28	57.89	0.983	53916
039349_33	15	STM	36.89	62	-164.81	0.999	-75440
039349_33	20	STM	12.33	19	43.64	0.954	58981
039349_33	38	STM	3.36	6	17.06	0.862	79878
039349_33	54	STM	7.57	12	20.71	0.966	45666
039349_33	56	STM	0.95	2	15.01	1.000	215992
039349_34	22	STM	0.00	0	0.00	nan	0
039349_34	25	STM	0.00	0	0.00	nan	0
039349_34	45	STM	9.68	18	18.44	0.749	31789
039349_34	48	STM	36.32	59	138.43	0.959	63863
039349_34	49	STM	31.30	51	46.44	0.728	24243
039349_35	26	STM	17.01	25	42.42	0.916	41607
039349_35	34	STM	0.00	0	0.00	nan	0
039349_35	46	STM	2.81	5	8.44	0.975	47835
039349_35	62	STM	0.00	0	0.00	nan	0
039349_36	23	STM	17.04	26	63.57	0.975	63019
039349_36	43	STM	10.47	16	34.92	0.760	55415
039349_36	48	STM	5.50	9	22.36	0.988	66689
039349_36	51	STM	37.69	56	112.21	0.931	50334
039349_36	63	STM	6.83	12	17.26	0.978	41948
039349_36	64	STM	1.81	3	4.53	0.999	39304
039349_37	8	STM	17.00	27	73.11	0.804	73550
039349_37	10	STM	1.70	3	5.80	0.997	51721
039349_37	45	STM	1.76	3	3.32	0.977	27991
039349_37	59	STM	1.24	2	5.18	1.000	66195
039349_38	27	STM	25.24	38	88.04	0.965	58353
039349_38	28	STM	15.73	25	73.22	0.983	78574
039349_38	31	STM	1.73	3	9.72	0.987	86141
039349_38	32	STM	17.99	28	51.70	0.907	48916
039349_38	33	STM	0.00	0	0.00	nan	0
039349_38	47	STM	0.00	0	0.00	nan	0
039349_38	48	STM	10.00	17	20.47	0.847	33538
039349_38	51	STM	16.88	27	36.07	0.960	36796
039349_38	53	STM	22.75	36	75.63	0.926	55618
039349_38	54	STM	0.86	2	4.70	1.000	75142
039349_38	55	STM	13.94	22	30.47	0.781	36640
039349_38	58	STM	27.57	46	73.62	0.728	44928
039349_38	61	STM	4.46	8	10.66	0.980	39606
039349_38	62	STM	0.00	0	0.00	nan	0
039349_38	63	STM	12.11	19	51.31	0.951	70380
039349_38	65	STM	0.00	0	0.00	nan	0
039349_38	66	STM	24.08	37	76.36	0.970	53902
039349_39	31	STM	36.72	61	73.73	0.833	33710
039349_39	33	STM	1.19	2	1.05	1.000	13192
039349_39	46	STM	12.68	21	36.98	0.940	48416
039349_39	50	STM	0.00	0	0.00	nan	0
039349_39	59	STM	19.33	29	43.51	0.934	37928
039349_39	60	STM	0.00	0	0.00	nan	0
039349_3	20	STM	17.04	25	56.87	0.945	55432
039349_3	22	STM	2.38	4	8.99	0.980	61432
039349_3	45	STM	10.95	18	37.75	0.977	57195
039349_3	58	STM	32.78	51	136.36	0.972	70205
039349_3	61	STM	4.21	6	9.83	0.952	39174
039349_40	16	STM	29.86	45	113.01	0.963	63353
039349_40	50	STM	0.00	0	0.00	nan	0
039349_40	61	STM	36.69	59	116.19	0.933	53230
039349_41	48	STM	6.32	11	27.06	0.949	69977
039349_41	51	STM	0.00	0	0.00	nan	0
039349_41	60	STM	0.00	0	0.00	nan	0
039349_42	28	STM	27.15	41	100.01	0.963	63115
039349_42	45	STM	29.00	48	54.46	0.806	29717
039349_42	53	STM	14.78	25	55.09	0.939	62659
039349_43	20	STM	38.29	58	122.03	0.980	53885
039349_43	26	STM	30.09	49	3.12	0.926	-327
039349_43	44	STM	9.20	16	26.92	0.942	48764
039349_43	46	STM	37.71	57	112.21	0.933	49995
039349_43	47	STM	18.74	30	47.69	0.964	42559
039349_43	50	STM	18.55	31	15.20	1.000	13751
039349_43	53	STM	0.00	0	0.00	nan	0
039349_43	57	STM	13.20	19	45.44	0.874	57043
039349_43	59	STM	0.00	0	0.00	nan	0
039349_43	65	STM	2.77	4	12.59	0.988	70751
039349_44	28	STM	25.67	40	92.47	0.921	60117
039349_44	58	STM	0.00	0	0.00	nan	0
039349_45	11	STM	13.74	23	31.36	0.934	37091
039349_45	16	STM	8.18	12	27.48	0.928	56163
039349_45	21	STM	35.03	50	88.66	0.907	46515
039349_45	25	STM	0.75	1	0.00	nan	86645
039349_45	53	STM	30.81	48	73.88	0.918	40307
039349_45	63	STM	35.92	55	142.34	0.990	66560
039349_46	17	STM	6.30	9	22.70	0.977	61241
039349_46	41	STM	8.22	12	12.78	0.962	26039
039349_46	64	STM	22.53	35	75.24	0.844	56322
039349_47	52	STM	26.55	42	83.28	0.933	52593
039349_47	53	STM	12.73	20	37.91	0.975	49767
039349_47	60	STM	0.00	0	0.00	nan	0
039349_47	62	STM	13.50	21	44.61	0.967	55732
039349_47	69	STM	37.33	63	-722.47	0.995	-325573
039349_48	20	STM	21.46	37	54.90	0.847	43422
039349_48	23	STM	0.00	0	0.00	nan	0
039349_48	46	STM	13.05	19	26.82	0.889	33939
039349_48	52	STM	0.00	0	0.00	nan	0
039349_48	55	STM	0.00	0	0.00	nan	0
039349_49	42	STM	24.80	38	81.16	0.978	55472
039349_49	44	STM	21.70	33	79.15	0.908	60652
039349_49	58	STM	0.95	2	2.81	1.000	40938
039349_49	67	STM	0.00	0	0.00	nan	0
039349_4	26	STM	0.00	0	0.00	nan	0
039349_4	37	STM	39.48	61	162.23	0.852	70388
039349_4	54	STM	0.00	0	0.00	nan	0
039349_4	59	STM	26.43	38	41.58	0.963	26806
039349_4	63	STM	10.73	16	42.29	0.813	66713
039349_4	71	STM	0.32	1	0.00	nan	66796
039349_50	15	STM	2.67	4	9.12	0.987	55838
039349_50	21	STM	39.81	64	34.04	0.923	13860
039349_50	43	STM	24.47	40	95.15	0.858	65320
039349_50	48	STM	4.85	7	15.49	0.980	54670
039349_50	57	STM	0.00	0	0.00	nan	0
039349_50	58	STM	13.46	23	-32.41	1.000	-40208
039349_50	61	STM	18.82	30	49.68	0.889	43768
039349_50	65	STM	7.31	11	19.83	0.985	45113
039349_51	28	STM	0.87	2	13.77	1.000	208894
039349_51	61	STM	2.45	4	10.00	0.946	65731
039349_52	11	STM	31.91	48	113.68	0.973	60168
039349_52	28	STM	0.00	0	0.00	nan	0
039349_52	33	STM	0.32	1	0.00	nan	78090
039349_52	52	STM	19.84	30	59.00	0.985	49839
039349_52	54	STM	17.74	28	55.73	0.977	52758
039349_53	14	STM	7.42	12	25.72	0.964	56783
039349_53	19	STM	14.94	24	56.28	0.939	64645
039349_53	28	STM	6.65	11	24.82	0.973	64405
039349_53	41	STM	2.79	4	8.69	0.927	51583
039349_53	46	STM	12.25	20	43.74	0.566	59972
039349_53	47	STM	13.34	20	30.34	0.924	38253
039349_53	54	STM	0.00	0	0.00	nan	0
039349_53	55	STM	10.48	17	18.62	0.929	30245
039349_53	57	STM	24.37	39	78.87	0.931	54541
039349_53	61	STM	29.29	46	88.90	0.892	52394
039349_54	54	STM	16.36	27	34.36	0.844	34201
039349_54	63	STM	22.13	36	28.01	0.733	20143
039349_55	31	STM	1.05	2	6.05	1.000	82954
039349_55	58	STM	0.00	0	0.00	nan	0
