event	cluster	q_forward	n_forward	q_perp	n_perp
039349_24	64	976717	125	0	0
039349_24	65	0	0	0	0
039349_25	38	0	0	0	0
039349_25	42	270712	41	0	0
039349_25	44	0	0	0	0
039349_25	49	0	0	0	0
039349_25	72	0	0	0	0
039349_26	9	0	0	0	0
039349_26	13	0	0	0	0
039349_26	14	38186	10	0	0
039349_26	31	0	0	0	0
039349_26	33	6071	5	0	0
039349_26	36	0	0	1523522	85
039349_26	38	438419	68	0	0
039349_26	39	152195	22	0	0
039349_26	56	166	1	0	0
039349_26	57	0	0	0	0
039349_27	21	536488	50	0	0
039349_27	43	64000	3	0	0
039349_27	45	0	0	0	0
039349_27	52	0	0	0	0
039349_28	15	0	0	0	0
039349_28	18	68644	30	0	0
039349_28	20	128993	25	0	0
039349_28	51	365659	66	0	0
039349_28	53	504010	57	0	0
039349_28	58	243687	38	0	0
039349_29	20	0	0	0	0
039349_29	41	0	0	0	0
039349_29	42	188817	26	0	0
039349_29	45	393582	51	0	0
039349_2	14	0	0	0	0
039349_2	40	0	0	0	0
039349_2	47	0	0	0	0
039349_30	21	50632	9	0	0
039349_30	51	0	0	0	0
039349_31	28	395721	28	0	0
039349_31	53	0	0	0	0
039349_31	57	0	0	0	0
039349_31	63	1188419	138	0	0
039349_32	12	6786	4	0	0
039349_32	13	0	0	0	0
039349_32	49	200633	20	0	0
039349_32	57	7401	4	0	0
039349_33	11	1439691	154	0	0
039349_33	14	124657	7	0	0
039349_33	15	0	0	280532	34
039349_33	20	0	0	0	0
039349_33	38	0	0	0	0
039349_33	54	585170	148	0	0
039349_33	56	586034	33	16453	4
039349_34	22	226052	33	0	0
039349_34	25	0	0	0	0
039349_34	45	0	0	0	0
039349_34	49	0	0	0	0
039349_35	26	344881	36	0	0
039349_35	34	0	0	0	0
039349_35	46	577522	166	0	0
039349_35	62	891947	153	7679	5
039349_36	23	0	0	0	0
039349_36	43	0	0	0	0
039349_36	48	1095701	72	0	0
039349_36	51	791506	91	0	0
039349_36	63	222135	155	0	0
039349_36	64	404109	26	0	0
039349_37	8	0	0	189321	20
039349_37	10	37980	16	0	0
039349_37	45	487146	128	0	0
039349_37	59	1716065	164	0	0
039349_38	27	0	0	0	0
039349_38	28	33290	6	0	0
039349_38	32	195503	35	0	0
039349_38	33	0	0	0	0
039349_38	47	651655	204	0	0
039349_38	48	8076	5	1372	2
039349_38	51	134432	51	0	0
039349_38	54	0	0	56057	8
039349_38	55	44246	6	0	0
039349_38	58	368704	41	0	0
039349_38	61	0	0	0	0
039349_38	62	851776	78	27473	5
039349_38	63	38558	15	0	0
039349_38	65	863135	67	0	0
039349_38	66	448913	181	0	0
039349_39	31	0	0	355129	20
039349_39	46	490430	113	0	0
039349_39	50	0	0	0	0
039349_39	59	42129	22	0	0
039349_39	60	0	0	0	0
039349_3	20	0	0	0	0
039349_3	22	0	0	0	0
039349_3	45	0	0	0	0
039349_3	61	0	0	0	0
039349_40	16	0	0	0	0
039349_40	61	0	0	0	0
039349_41	51	253184	36	0	0
039349_42	28	619322	88	0	0
039349_42	45	25407	6	0	0
039349_42	53	243208	39	0	0
039349_43	20	592460	135	0	0
039349_43	26	263771	25	0	0
039349_43	44	0	0	0	0
039349_43	46	1043773	145	0	0
039349_43	47	0	0	0	0
039349_43	50	0	0	492033	52
039349_43	53	0	0	0	0
039349_43	57	26970	4	0	0
039349_43	59	42484	3	0	0
039349_43	65	280941	185	0	0
039349_44	28	141845	11	0	0
039349_44	58	0	0	0	0
039349_45	11	0	0	0	0
039349_45	16	0	0	0	0
039349_45	21	1047473	74	0	0
039349_45	25	31826	11	0	0
039349_45	53	1579884	213	0	0
039349_45	63	1014729	148	0	0
039349_46	17	288853	44	34905	9
039349_46	41	0	0	0	0
039349_46	64	30477	6	0	0
039349_47	52	356215	71	0	0
039349_47	53	501639	119	0	0
039349_47	60	2746	3	0	0
039349_47	62	1023794	172	0	0
039349_47	69	0	0	0	0
039349_48	20	0	0	0	0
039349_48	23	230871	38	0	0
039349_48	46	661377	158	0	0
039349_48	52	504898	29	0	0
039349_49	42	170924	36	0	0
039349_49	44	738296	86	0	0
039349_4	26	0	0	0	0
039349_4	37	509925	52	0	0
039349_4	54	1421821	237	249	1
039349_4	59	311326	28	201694	40
039349_4	63	4431	1	0	0
039349_50	21	0	0	0	0
039349_50	43	0	0	0	0
039349_50	48	22846	6	0	0
039349_50	58	0	0	0	0
039349_50	61	823913	102	0	0
039349_50	65	569261	138	0	0
039349_51	28	0	0	283650	30
039349_51	61	0	0	232200	35
039349_52	11	120150	21	381	1
039349_52	28	571825	92	0	0
039349_52	33	0	0	0	0
039349_52	54	880828	145	0	0
039349_53	14	219364	15	0	0
039349_53	19	0	0	0	0
039349_53	28	0	0	0	0
039349_53	41	107310	24	0	0
039349_53	46	0	0	345677	49
039349_53	47	0	0	0	0
039349_53	54	1973338	202	0	0
039349_53	55	154732	27	0	0
039349_53	61	190005	169	0	0
039349_54	54	0	0	0	0
039349_54	63	181933	36	0	0
039349_55	31	159769	23	0	0
039349_55	58	351771	45	0	0
039349_55	59	305217	27	969744	75
039349_55	61	543882	109	0	0
039349_55	64	0	0	0	0
039349_56	17	0	0	0	0
039349_56	18	803634	110	0	0
039349_56	20	90239	26	0	0
039349_56	21	4675655	320	3174	2
039349_56	24	795964	101	0	0
039349_56	36	177417	13	183864	14
039349_56	40	479575	123	0	0
039349_56	48	0	0	0	0
039349_56	62	79122	11	0	0
039349_57	20	64130	10	0	0
039349_57	22	0	0	0	0
039349_57	23	0	0	0	0
039349_57	49	0	0	0	0
039349_57	51	532	2	0	0
039349_57	59	0	0	0	0
039349_57	63	391525	64	0	0
039349_58	35	0	0	0	0
039349_58	59	0	0	0	0
039349_58	60	758487	114	0	0
039349_58	65	0	0	0	0
039349_59	14	0	0	0	0
039349_59	15	0	0	0	0
039349_59	20	809695	73	0	0
039349_59	27	7891	1	0	0
039349_59	58	259476	39	0	0
039349_59	60	0	0	0	0
039349_5	26	0	0	0	0
039349_5	50	0	0	0	0
039349_5	55	616305	46	0	0
039349_5	59	0	0	0	0
039349_5	64	105243	7	7895	1
039349_5	65	626308	63	159704	24
039349_61	21	1193494	156	0	0
039349_61	45	40585	7	0	0
039349_61	48	0	0	0	0
039349_61	49	0	0	0	0
039349_62	23	0	0	0	0
039349_62	28	48379	9	0	0
039349_62	32	14308	2	0	0
039349_62	49	109394	8	720723	65
039349_62	51	0	0	0	0
039349_62	54	0	0	0	0
039349_62	64	773	1	0	0
039349_62	67	560455	82	0	0
039349_62	74	302016	27	0	0
039349_63	23	0	0	0	0
039349_63	51	613038	41	0	0
039349_63	52	1792028	177	0	0
039349_64	22	0	0	0	0
039349_64	28	5854	4	0	0
039349_64	62	0	0	0	0
039349_64	70	0	0	0	0
039349_65	32	444889	86	0	0
039349_65	38	379578	43	0	0
039349_66	25	335767	129	0	0
039349_66	28	245576	49	0	0
039349_66	65	563500	161	0	0
039349_66	66	0	0	0	0
039349_66	72	733683	85	0	0
039349_66	78	589152	109	0	0
039349_66	79	0	0	0	0
039349_67	33	0	0	0	0
039349_67	35	0	0	0	0
039349_67	38	0	0	0	0
039349_67	67	605160	66	0	0
039349_67	73	0	0	0	0
039349_68	27	0	0	403	2
039349_68	29	0	0	0	0
039349_68	35	0	0	0	0
039349_68	37	0	0	0	0
039349_68	47	38228	15	0	0
039349_68	51	0	0	0	0
039349_68	53	4573	4	18121	8
039349_68	62	212073	25	14102	1
039349_68	66	713779	46	0	0
039349_69	24	738093	78	0	0
039349_69	47	0	0	0	0
039349_69	59	0	0	0	0
039349_69	65	0	0	0	0
039349_69	66	367598	35	0	0
039349_6	68	1113800	136	0	0
039349_6	76	225137	41	0	0
039349_70	44	0	0	0	0
039349_70	70	509566	83	0	0
039349_71	28	488619	61	0	0
039349_71	37	586554	76	0	0
039349_71	43	427111	21	0	0
039349_71	46	0	0	0	0
039349_71	55	0	0	0	0
039349_72	11	710590	65	0	0
039349_72	12	0	0	0	0
039349_72	19	187183	26	0	0
039349_72	45	338600	34	0	0
039349_72	51	340354	61	0	0
039349_72	67	0	0	0	0
039349_73	28	55557	14	0	0
039349_73	29	0	0	0	0
039349_73	73	224049	29	0	0
039349_74	31	0	0	0	0
039349_74	50	436346	99	0	0
039349_74	52	0	0	0	0
039349_74	55	170969	25	0	0
039349_74	72	1289838	179	0	0
039349_75	18	44764	8	0	0
039349_75	20	47317	10	0	0
039349_75	28	482016	82	0	0
039349_75	55	0	0	0	0
039349_75	60	0	0	0	0
039349_75	66	0	0	0	0
039349_75	71	0	0	0	0
039349_76	22	467530	51	0	0
039349_76	25	0	0	0	0
039349_76	51	0	0	0	0
039349_77	27	139815	15	0	0
039349_77	36	389329	81	0	0
039349_77	58	0	0	413587	69
039349_77	65	166288	36	0	0
039349_77	69	404402	56	0	0
039349_77	71	278246	39	0	0
039349_78	21	2726594	172	255	2
039349_78	60	65499	10	785635	90
039349_79	33	178711	63	0	0
039349_79	35	190989	54	39669	15
039349_79	52	0	0	1299	1
039349_79	63	479706	61	0	0
039349_79	64	11350	4	0	0
039349_79	71	0	0	0	0
039349_79	74	0	0	0	0
039349_7	28	177727	24	0	0
039349_7	50	80036	10	0	0
039349_7	54	0	0	0	0
039349_7	55	0	0	0	0
039349_7	57	210710	28	0	0
039349_7	59	0	0	0	0
039349_7	64	519075	186	0	0
039349_7	67	233469	45	0	0
039349_7	71	446876	72	0	0
039349_80	46	1628166	87	2343183	156
039349_80	53	98058	12	0	0
039349_80	59	260139	155	0	0
039349_81	19	0	0	0	0
039349_81	24	538737	67	0	0
039349_81	26	0	0	0	0
039349_81	30	0	0	0	0
039349_81	50	470040	55	0	0
039349_81	56	0	0	0	0
039349_81	59	0	0	0	0
039349_81	69	57801	11	0	0
039349_82	19	349736	40	0	0
039349_82	24	784204	98	0	0
039349_82	42	155590	27	0	0
039349_82	48	191233	25	0	0
039349_82	55	251143	28	10295	2
039349_82	57	0	0	0	0
039349_83	15	77303	9	0	0
039349_83	20	0	0	0	0
039349_83	45	0	0	0	0
039349_8	40	169723	14	0	0
039349_8	44	0	0	0	0
039349_8	55	0	0	0	0
039349_9	43	41909	13	0	0
039349_9	49	284804	34	184460	23
039349_9	51	451501	39	7538	1
039349_9	57	165651	17	0	0
