# raw stopper candidates, tag stm2: one end density >= 2.0x the middle (last 5.0 cm), other end < 1.3x; E_off = same-cluster charge within 12.0 cm of the end, > 2.5 cm off the axis, x 23.6 eV/0.5/0.8
event	cluster	L_cm	npts	rise_ratio	flat_ratio	E_stop_MeV	E_ctrl_MeV	n_stop	n_ctrl	stop_x	stop_y	stop_z
039253_1	41	232.20	1208	3.32	0.00	0.97	14.52	2	35	-209.00	336.44	156.25
039253_1	116	170.02	1024	4.62	0.30	0.00	0.00	0	0	4.21	142.41	183.58
039253_2	75	198.35	10460	2.33	0.00	73.46	7.27	84	15	198.56	-335.99	110.36
039253_2	91	159.14	2663	2.31	0.00	124.91	33.47	124	124	296.36	136.69	139.33
039253_2	97	369.99	2259	3.57	0.75	0.78	17.72	1	50	29.24	141.66	104.47
039253_2	102	115.80	593	5.36	0.00	35.25	6.07	76	55	145.62	159.77	189.02
039253_5	52	287.38	3202	4.52	1.15	121.24	0.00	159	0	-4.12	99.79	199.94
039253_5	86	405.20	14350	2.90	0.00	99.64	14.38	109	43	201.77	-335.43	230.87
039253_5	95	223.43	1587	3.60	1.12	0.00	0.00	0	0	4.52	-193.30	188.59
039253_5	120	398.33	3222	2.63	0.57	16.83	21.28	55	42	-293.33	-336.12	233.61
039253_6	99	167.63	3943	6.10	1.14	144.39	45.81	97	90	272.74	218.48	276.96
039253_7	16	399.29	3699	2.06	0.43	26.03	64.78	30	83	-208.46	-223.02	297.70
039253_7	97	585.57	3218	4.36	0.00	4.22	36.70	15	104	-216.55	147.95	299.58
039253_8	104	234.27	3149	7.70	0.38	69.86	2.55	156	12	8.81	139.91	149.74
039253_8	422	229.79	1459	2.27	0.76	0.00	0.00	0	0	201.29	-150.26	289.70
039349_13	30	307.29	1693	2.17	0.00	3.98	2.95	10	3	-99.57	50.39	27.33
039349_14	49	108.56	908	2.87	0.22	0.00	2.29	0	14	-5.75	-111.71	98.44
039349_16	71	159.45	1053	5.05	0.02	0.71	1.09	4	15	-29.87	249.96	288.58
039349_19	66	225.43	1564	2.99	0.00	90.15	27.10	165	68	5.71	-174.12	231.61
039349_1	53	168.69	1186	2.80	0.00	0.00	21.04	0	76	202.18	-167.98	152.43
039349_1	55	200.19	1218	2.08	0.45	4.93	5.21	24	13	34.42	-205.32	217.85
039349_20	73	183.83	1317	2.60	1.06	14.64	0.05	20	2	114.70	159.49	126.69
039349_21	55	180.67	1081	2.64	0.00	47.56	18.03	88	42	129.62	-202.79	258.59
039349_22	47	265.78	1819	5.90	0.00	37.64	21.39	64	74	232.18	-240.70	151.44
039349_22	58	133.79	1665	6.21	1.09	94.77	1.40	208	4	188.55	47.63	291.65
039349_23	63	671.31	4578	4.35	1.05	26.48	30.92	43	68	-186.18	25.08	294.52
039349_24	73	117.78	661	4.72	1.08	0.00	0.00	0	0	-112.36	161.16	103.12
039349_26	30	123.45	386	3.31	0.67	0.88	0.00	3	0	177.58	25.71	70.19
039349_26	44	166.01	1150	3.04	0.99	25.77	0.00	99	0	303.37	218.88	-0.01
039349_26	171	100.27	990	2.44	0.65	7.74	0.26	28	2	4.79	129.98	33.59
039349_27	62	140.38	1079	3.81	1.02	0.00	0.00	0	0	93.18	153.89	89.92
039349_28	70	257.54	2176	2.04	0.78	0.80	0.39	4	2	-252.14	118.85	197.31
039349_29	40	110.90	830	3.11	0.58	5.35	0.00	16	0	224.60	-103.74	22.04
039349_2	21	104.55	788	4.02	0.74	3.17	10.95	2	14	-115.46	284.17	3.64
039349_30	65	195.58	1214	2.61	0.94	8.08	0.01	15	3	192.63	-170.51	296.94
039349_32	62	238.31	1802	2.35	0.35	4.10	12.49	11	50	-91.08	-32.25	283.66
039349_33	53	228.76	1441	3.98	0.45	6.83	14.19	7	52	67.36	288.58	186.37
039349_33	56	354.71	2739	3.49	0.00	33.86	53.53	40	104	262.83	153.28	1.07
039349_33	66	430.40	3463	8.04	0.00	0.47	45.97	2	79	-108.71	118.26	287.38
039349_35	55	135.08	799	2.13	1.17	0.00	0.00	0	0	94.00	-179.24	237.84
039349_38	51	343.94	2021	2.88	0.00	2.27	2.13	4	18	275.32	-337.03	7.76
039349_38	65	201.34	1238	9.77	0.13	29.32	10.49	65	41	-138.57	-312.92	35.60
039349_38	158	233.35	948	2.59	1.08	0.00	0.00	0	0	5.30	94.50	205.83
039349_41	52	359.96	2448	2.22	0.37	6.38	0.25	11	5	232.49	1.71	299.54
039349_44	64	184.63	2070	3.43	0.23	84.73	30.65	148	61	180.27	255.63	243.66
039349_44	68	204.23	1529	22.60	0.00	70.17	22.75	162	58	70.13	110.84	177.77
039349_45	33	192.86	1027	3.41	0.00	33.33	16.47	38	50	43.96	-12.78	245.19
039349_47	189	175.34	1158	2.10	0.00	3.26	26.68	12	69	-149.15	209.16	27.00
039349_48	11	334.74	3097	2.08	0.44	4.01	0.28	7	1	-230.64	-200.13	298.77
039349_48	37	140.96	938	3.16	1.29	8.58	0.00	19	0	130.30	-98.96	106.26
039349_48	61	153.03	1174	7.81	0.41	10.27	0.04	14	10	-180.42	-173.57	140.46
039349_49	34	321.49	2174	2.15	0.46	0.00	6.45	0	14	-44.39	-220.25	153.69
039349_49	38	154.79	1129	3.07	0.64	78.50	21.97	94	38	-227.11	-172.82	261.85
039349_49	65	139.76	861	3.95	0.40	0.00	0.00	0	0	67.80	-97.65	224.76
039349_4	27	294.95	1906	4.13	0.00	93.72	37.34	97	63	-290.58	-191.55	29.51
039349_50	54	253.73	1674	2.65	0.80	8.24	0.00	20	0	194.37	-111.10	194.98
039349_50	159	138.29	953	2.31	0.82	15.64	0.04	27	2	-96.81	-325.42	114.66
039349_52	37	258.15	1949	2.50	0.97	0.26	0.30	3	3	228.29	-0.61	72.37
039349_53	49	163.77	1175	3.13	0.84	52.98	0.00	100	0	225.74	-117.20	236.29
039349_53	59	565.88	6148	3.84	1.10	6.30	31.33	26	56	-105.03	136.79	5.23
039349_54	48	450.65	3004	2.16	0.71	0.70	62.78	3	99	173.44	-274.75	298.89
039349_55	64	298.70	2258	4.08	0.82	111.16	2.32	151	9	228.71	332.73	39.82
039349_55	72	228.84	1829	3.00	0.99	0.48	0.13	4	1	3.80	-175.08	39.60
039349_56	20	146.09	649	2.52	0.00	5.27	0.00	12	0	-296.17	-169.38	-0.53
039349_56	54	271.36	1999	4.16	0.50	23.05	2.06	48	11	4.95	74.77	107.65
039349_60	61	149.80	1117	2.17	0.65	2.42	0.00	9	0	-145.13	70.40	249.16
039349_60	163	230.00	1475	2.41	1.00	0.00	0.14	0	1	151.31	336.54	100.59
039349_61	18	100.37	792	3.92	0.39	110.57	0.57	143	1	-206.38	291.32	64.00
039349_61	21	321.81	2421	3.60	0.38	0.02	3.62	1	30	-302.21	-171.05	297.79
039349_62	60	168.71	923	2.11	0.31	1.85	4.59	10	23	267.23	270.96	78.61
039349_63	150	120.35	856	2.36	1.07	0.00	0.00	0	0	-114.67	125.62	7.31
039349_63	164	298.16	2301	3.08	0.00	0.00	39.99	0	73	-6.28	158.19	167.93
039349_66	36	114.02	1574	2.36	0.48	30.62	10.72	79	26	-233.07	190.21	297.43
039349_67	63	209.93	1433	2.62	1.18	0.60	4.15	4	20	52.89	-176.11	127.14
039349_67	80	129.78	978	2.99	0.00	223.42	49.28	154	93	-92.66	232.42	44.99
039349_68	53	225.59	1528	12.10	0.00	0.91	0.00	14	0	214.77	-158.89	33.51
039349_69	61	251.29	1475	2.02	0.00	13.03	29.29	26	74	284.59	147.27	177.51
039349_69	142	143.50	1223	2.41	0.53	0.00	3.07	0	35	-6.58	217.13	216.50
039349_71	21	354.31	1992	4.11	0.00	20.36	41.56	50	69	-6.81	-190.85	179.94
039349_72	39	116.85	639	2.95	1.08	2.52	0.08	11	1	194.06	-223.67	258.32
039349_72	67	266.71	1693	2.19	0.00	0.00	2.44	0	10	171.57	-225.35	298.40
039349_73	122	209.81	722	4.33	0.40	0.00	7.46	0	24	5.80	-83.04	257.15
039349_74	15	166.57	1245	3.16	0.16	9.91	7.44	35	49	-195.42	182.13	4.70
039349_74	131	148.50	1009	7.10	0.71	3.31	0.00	4	0	26.20	249.62	93.21
039349_75	58	158.44	956	2.98	0.82	0.00	0.00	0	0	26.68	-295.85	155.83
039349_75	373	130.21	1109	2.48	0.66	20.11	0.00	26	0	-6.51	288.47	170.14
039349_77	43	267.31	11182	2.62	0.09	55.12	44.56	76	112	196.50	-335.64	157.31
039349_78	19	237.29	1343	2.46	0.30	0.00	0.00	0	0	-235.49	44.29	276.12
039349_79	61	164.65	1241	2.17	0.56	0.02	0.00	1	0	61.51	-319.49	148.31
039349_7	4	202.90	1191	2.13	0.25	5.65	0.00	14	0	-207.87	-175.75	92.06
039349_81	70	331.57	1748	2.61	0.00	6.60	48.25	25	73	264.45	-42.51	158.92
039349_82	42	125.59	980	2.13	0.56	0.73	0.26	4	1	213.71	-279.42	30.40
039349_82	147	171.31	1028	3.45	1.07	10.90	0.80	9	4	-132.50	-21.79	72.77
039349_83	19	123.54	830	2.47	1.22	0.00	0.00	0	0	-19.97	-178.90	138.08
039349_8	55	313.79	2391	117.68	0.00	30.92	30.01	54	52	288.83	125.94	301.27
039349_8	57	222.23	1371	3.35	0.00	0.46	22.08	2	59	5.78	78.12	232.53
039349_9	51	131.83	854	2.16	0.36	73.17	16.89	89	33	119.68	229.10	219.29
