arm	group_tar	keep_ql_root	members	events	matched	note
work-d84r3-cens-mcp2k	g70.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g71.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g72.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g73.tar.gz	work-mcp2k-grp0825	6564	16	6564	OK
work-d84r3-cens-mcp2k	g74.tar.gz	work-mcp2k-grp0825	6560	16	6560	OK
work-d84r3-cens-mcp2k	g75.tar.gz	work-mcp2k-grp0825	6572	16	6572	OK
work-d84r3-cens-mcp2k	g76.tar.gz	work-mcp2k-grp0825	6572	16	6572	OK
work-d84r3-cens-mcp2k	g77.tar.gz	work-mcp2k-grp0825	6564	16	6564	OK
work-d84r3-cens-mcp2k	g78.tar.gz	work-mcp2k-grp0825	6580	16	6580	OK
work-d84r3-cens-mcp2k	g79.tar.gz	work-mcp2k-grp0825	6572	16	6572	OK
work-d84r3-cens-mcp2k	g8.tar.gz	work-mcp2k-grp0825	6570	16	6570	OK
work-d84r3-cens-mcp2k	g80.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g81.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g82.tar.gz	work-mcp2k-grp0825	6574	16	6574	OK
work-d84r3-cens-mcp2k	g83.tar.gz	work-mcp2k-grp0825	6576	16	6576	OK
work-d84r3-cens-mcp2k	g84.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g85.tar.gz	work-mcp2k-grp0825	6570	16	6570	OK
work-d84r3-cens-mcp2k	g86.tar.gz	work-mcp2k-grp0825	6564	16	6564	OK
work-d84r3-cens-mcp2k	g87.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g88.tar.gz	work-mcp2k-grp0825	6574	16	6574	OK
work-d84r3-cens-mcp2k	g89.tar.gz	work-mcp2k-grp0825	6574	16	6574	OK
work-d84r3-cens-mcp2k	g9.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g90.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g91.tar.gz	work-mcp2k-grp0825	6572	16	6572	OK
work-d84r3-cens-mcp2k	g92.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g93.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g94.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g95.tar.gz	work-mcp2k-grp0825	6566	16	6566	OK
work-d84r3-cens-mcp2k	g96.tar.gz	work-mcp2k-grp0825	6562	16	6562	OK
work-d84r3-cens-mcp2k	g97.tar.gz	work-mcp2k-grp0825	6576	16	6576	OK
work-d84r3-cens-mcp2k	g98.tar.gz	work-mcp2k-grp0825	6568	16	6568	OK
work-d84r3-cens-mcp2k	g99.tar.gz	work-mcp2k-grp0825	6570	16	6570	OK
