event	verdict	n_row	n_inbeam	inbeam_labels
284323	all-fc	7	1	nu-candidate
284349	tgm	7	1	TGM
284365	tgm	8	1	TGM
284367	keep	15	1	STM
284563	no-inbeam-bundle	8	0	-
284587	tgm	10	1	TGM
284596	all-fc	19	1	nu-candidate
284637	keep	13	1	nu-candidate
284657	keep	18	1	nu-candidate
284769	keep	12	1	nu-candidate
284791	keep	11	1	nu-candidate
284794	keep	8	1	nu-candidate
284835	tgm	11	1	TGM
284937	tgm	11	1	TGM
284989	tgm	14	1	TGM
285025	no-inbeam-bundle	10	0	-
285049	no-inbeam-bundle	7	0	-
285069	all-fc	8	1	nu-candidate
285080	keep	14	1	STM
285185	keep	12	1	STM
285201	keep	9	1	STM
285253	tgm	10	1	TGM
285311	all-fc	8	1	nu-candidate
285333	keep	10	1	nu-candidate
285366	keep	15	2	nu-candidate,STM
285421	tgm	8	1	TGM
285443	keep	8	1	STM
285467	keep	13	1	nu-candidate
285531	all-fc	15	1	nu-candidate
285564	keep	13	2	nu-candidate,nu-candidate
285577	no-inbeam-bundle	8	0	-
285586	no-inbeam-bundle	13	0	-
285652	tgm	16	1	TGM
285663	keep	6	1	nu-candidate
285665	all-fc	8	1	nu-candidate
285674	tgm	12	1	TGM
285753	all-fc	10	1	nu-candidate
285795	keep	17	1	STM
285929	keep	11	1	nu-candidate
285971	all-fc	7	1	nu-candidate
285979	tgm	10	1	TGM
285993	no-inbeam-bundle	14	0	-
285999	keep	15	1	STM
286021	lm	10	1	LM
286065	keep	9	1	STM
286089	no-inbeam-bundle	12	0	-
286114	all-fc	18	1	nu-candidate
286133	no-inbeam-bundle	13	0	-
286177	keep	10	1	nu-candidate
286180	keep	8	1	nu-candidate
286191	all-fc	14	1	nu-candidate
286197	no-inbeam-bundle	9	0	-
286213	keep	10	1	nu-candidate
286221	no-inbeam-bundle	16	0	-
286241	all-fc	11	1	nu-candidate
286268	all-fc	10	1	nu-candidate
286325	tgm	9	1	TGM
