event	verdict	n_row	n_inbeam	inbeam_labels
392338	keep	9	1	STM
392354	keep	12	1	nu-candidate
392376	tgm	11	1	TGM
392552	all-fc	13	1	nu-candidate
392558	keep	9	1	STM
392684	no-inbeam-bundle	7	0	-
392800	no-inbeam-bundle	13	0	-
393042	all-fc	14	1	nu-candidate
393086	no-inbeam-bundle	14	0	-
393124	no-inbeam-bundle	15	0	-
393212	all-fc	12	1	nu-candidate
393256	no-inbeam-bundle	9	0	-
393322	tgm	10	1	TGM
393410	tgm	7	1	TGM
393542	keep	15	1	STM
393608	keep	10	1	nu-candidate
394268	no-inbeam-bundle	11	0	-
394488	keep	9	1	STM
394532	keep	11	1	nu-candidate
394642	keep	10	1	nu-candidate
394796	all-fc	11	1	nu-candidate
394906	keep	14	1	STM
395060	keep	16	1	nu-candidate
395148	tgm	8	1	TGM
395258	no-inbeam-bundle	8	0	-
395390	all-fc	8	1	nu-candidate
395610	keep	15	1	nu-candidate
395654	all-fc	14	1	nu-candidate
395720	tgm	13	1	TGM
395764	tgm	8	1	TGM
395852	no-inbeam-bundle	9	0	-
395962	all-fc	10	1	nu-candidate
396776	tgm	8	1	TGM
397194	keep	8	1	STM
397238	keep	13	1	nu-candidate
397392	keep	11	1	STM
397480	all-fc	15	1	nu-candidate
397568	keep	12	1	STM
397722	keep	14	1	nu-candidate
397920	keep	7	1	nu-candidate
398084	all-fc	12	1	nu-candidate
398238	keep	13	1	STM
398260	keep	9	1	nu-candidate
398414	keep	14	1	nu-candidate
398436	all-fc	11	2	nu-candidate,nu-candidate
398480	no-inbeam-bundle	14	0	-
398514	all-fc	15	2	nu-candidate,nu-candidate
398656	no-inbeam-bundle	12	0	-
398690	tgm	9	1	TGM
398722	keep	9	1	STM
398810	all-fc	10	1	nu-candidate
398932	no-inbeam-bundle	11	0	-
399042	keep	11	1	STM
399052	keep	11	1	nu-candidate
399118	all-fc	8	1	nu-candidate
399240	no-inbeam-bundle	12	0	-
399284	keep	8	1	STM
399328	all-fc	14	1	nu-candidate
399382	mixed	9	2	TGM,nu-candidate
399426	keep	15	1	nu-candidate
399702	all-fc	16	1	nu-candidate
399856	all-fc	10	1	nu-candidate
399910	no-inbeam-bundle	13	0	-
399998	all-fc	16	1	nu-candidate
400054	all-fc	13	1	nu-candidate
400174	keep	10	2	STM,nu-candidate
400262	keep	10	1	nu-candidate
400274	tgm	9	1	TGM
400460	all-fc	12	1	nu-candidate
400504	keep	8	1	nu-candidate
400592	all-fc	12	1	nu-candidate
400636	keep	15	2	nu-candidate,nu-candidate
400724	tgm	9	1	TGM
400768	tgm	8	1	TGM
400856	all-fc	12	1	nu-candidate
400900	no-inbeam-bundle	8	0	-
400922	tgm	11	1	TGM
401054	all-fc	10	1	nu-candidate
401208	no-inbeam-bundle	11	0	-
401252	tgm	10	1	TGM
401450	keep	15	1	STM
401516	all-fc	12	1	nu-candidate
401626	all-fc	9	1	nu-candidate
401758	tgm	10	1	TGM
401780	all-fc	10	1	nu-candidate
401824	keep	12	1	STM
401846	tgm	8	1	TGM
401912	all-fc	14	1	nu-candidate
401934	keep	13	1	nu-candidate
402330	keep	9	1	STM
402484	tgm	10	1	TGM
402506	all-fc	9	1	nu-candidate
402528	keep	12	1	nu-candidate
402880	all-fc	9	1	nu-candidate
402902	no-inbeam-bundle	13	0	-
402968	keep	16	2	STM,nu-candidate
403518	no-inbeam-bundle	11	0	-
403716	no-inbeam-bundle	8	0	-
403958	keep	10	1	STM
404244	all-fc	14	1	nu-candidate
404464	no-inbeam-bundle	11	0	-
404684	keep	8	1	nu-candidate
404772	no-inbeam-bundle	12	0	-
404816	keep	12	1	STM
404860	tgm	14	1	TGM
405190	keep	12	1	nu-candidate
405212	no-inbeam-bundle	12	0	-
405234	all-fc	13	1	nu-candidate
405432	keep	15	1	nu-candidate
405454	keep	9	1	nu-candidate
405586	no-inbeam-bundle	11	0	-
405674	all-fc	14	1	nu-candidate
405740	keep	11	1	nu-candidate
405938	tgm	14	1	TGM
406444	all-fc	10	1	nu-candidate
406642	all-fc	10	1	nu-candidate
406752	keep	15	1	STM
406796	keep	9	1	nu-candidate
407148	keep	9	1	nu-candidate
407170	tgm	12	1	TGM
407258	no-inbeam-bundle	9	0	-
407280	all-fc	14	1	nu-candidate
407918	all-fc	9	1	nu-candidate
408028	tgm	7	1	TGM
408094	tgm	11	1	TGM
408534	keep	9	1	nu-candidate
408556	no-inbeam-bundle	11	0	-
408776	tgm	13	1	TGM
409084	keep	11	1	STM
409282	tgm	6	1	TGM
409458	keep	9	1	STM
409480	no-inbeam-bundle	13	0	-
409546	keep	5	1	STM
409590	no-inbeam-bundle	12	0	-
409634	all-fc	14	1	nu-candidate
409920	keep	15	2	nu-candidate,nu-candidate
409942	keep	12	1	nu-candidate
409964	all-fc	11	1	nu-candidate
410008	all-fc	13	1	nu-candidate
410426	tgm	12	1	TGM
410558	tgm	11	1	TGM
411152	keep	9	1	nu-candidate
411262	no-inbeam-bundle	14	0	-
411306	tgm	8	1	TGM
411460	keep	11	1	nu-candidate
411790	keep	11	1	STM
411834	no-inbeam-bundle	11	0	-
412208	all-fc	11	1	nu-candidate
412626	no-inbeam-bundle	12	0	-
412692	keep	8	1	nu-candidate
412846	tgm	8	1	TGM
486049	keep	10	1	STM
486093	tgm	12	1	TGM
486225	no-inbeam-bundle	8	0	-
486247	all-fc	7	1	nu-candidate
486511	no-inbeam-bundle	12	0	-
486577	no-inbeam-bundle	13	0	-
486621	tgm	12	1	TGM
486687	keep	14	1	nu-candidate
486753	tgm	10	1	TGM
486907	keep	12	1	STM
487237	tgm	10	1	TGM
487259	no-inbeam-bundle	12	0	-
487303	all-fc	12	2	nu-candidate,nu-candidate
487545	tgm	10	1	TGM
487633	keep	12	1	STM
487853	all-fc	11	1	nu-candidate
488139	keep	14	1	nu-candidate
488689	no-inbeam-bundle	13	0	-
488755	all-fc	11	1	nu-candidate
488799	tgm	13	1	TGM
488953	no-inbeam-bundle	15	0	-
489327	keep	15	1	nu-candidate
489459	keep	11	1	nu-candidate
489503	all-fc	12	1	nu-candidate
489679	keep	9	1	nu-candidate
489789	no-inbeam-bundle	13	0	-
489811	keep	9	1	STM
490339	no-inbeam-bundle	10	0	-
490361	keep	12	1	nu-candidate
490559	no-inbeam-bundle	12	0	-
490581	keep	14	1	nu-candidate
490779	all-fc	10	1	nu-candidate
490889	tgm	13	1	TGM
490977	keep	11	1	nu-candidate
491021	tgm	8	1	TGM
491197	tgm	9	1	TGM
491241	no-inbeam-bundle	8	0	-
491285	tgm	15	1	TGM
491417	tgm	12	1	TGM
491483	all-fc	10	1	nu-candidate
491857	tgm	12	1	TGM
492649	keep	13	1	nu-candidate
492803	all-fc	13	1	nu-candidate
492891	keep	16	1	STM
492913	keep	11	1	nu-candidate
493199	tgm	7	1	TGM
493243	keep	13	1	nu-candidate
493397	no-inbeam-bundle	8	0	-
493419	tgm	6	1	TGM
493485	tgm	13	1	TGM
