# doc pdvd/100 round 2 gate X3 -- PDHD h100b (61 dirs) against h100a (61 dirs); d100_pdhd_identity.py
028084_0: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_16: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_17: differs   | pctree identical (same file) | pr DIFFERS 1/145 (tracking-pr.root:T_stm_michel: branch-set) | mabc-pr identical 13/13 vs 13
029107_18: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_19: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_2: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_20: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_21: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_22: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_23: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_24: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_25: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_26: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_27: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_28: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_29: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_3: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_4: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 14/14 vs 14
029107_5: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
029107_6: differs   | pctree identical (same file) | pr DIFFERS 21/145 (tracking-pr.root:T_stm_michel: branch-set, tracking-pr.root:T_stm_michel_2d/cluster_id, tracking-pr.root:T_stm_michel_2d/apa, tracking-pr.root:T_stm_michel_2d/channel ...) | mabc-pr identical 13/13 vs 13
