scan_id	tranche	key_p100c	key_p99wflip	record_key	vol	record_verdict	record_confidence	p99wflip	p100c	michel_mover	stm_mover	kind
38	1	039349_62/68	039349_62/63	039349_62/68	top	STM_ONLY	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record no Michel, michel_found 1 -> 0
39	1	039349_62/69	039349_62/66	039349_62/69	top	THRU	medium	is_stm 0, michel_found 0	is_stm 0, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
40	1	039349_63/44	039349_63/47	039349_63/44	top	THRU	owner	is_stm 0, michel_found 0	is_stm 0, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
41	1	039349_64/45	039349_64/52	039349_64/45	top	STM_MICHEL	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record michel, michel_found 0 -> 1
42	1	039349_66/80	039349_66/78	039349_66/80	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 1, michel_found 1	1	0	record no Michel, michel_found 0 -> 1
43	1	039349_70/58	039349_70/61	039349_70/58	top	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record michel, michel_found 1 -> 0
44	1	039349_72/60	039349_72/65	039349_72/60	bottom	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 1, michel_found 0	1	0	record michel, michel_found 1 -> 0
45	1	039349_77/45	039349_77/48	039349_77/45	top	THRU	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 1	1	1	record no Michel, michel_found 0 -> 1
46	1	039349_81/55	039349_81/51	039349_81/55	top	STM_ONLY	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 0	1	1	record no Michel, michel_found 1 -> 0
47	2	039252_6/110	039252_6/106	039252_6/110	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
48	2	039252_8/96	039252_8/82	039252_8/96	top	THRU	owner	is_stm 0, michel_found 1	is_stm 1, michel_found 1	0	1	record THRU, is_stm 0 -> 1
49	2	039252_15/88	039252_15/81	039252_15/88	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 0, michel_found 1	0	1	record STM_MICHEL, is_stm 1 -> 0
50	2	039253_1/75	039253_1/79	039253_1/75	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
51	2	039253_1/101	039253_1/98	039253_1/101	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
52	2	039253_5/113	039253_5/107	039253_5/113	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
53	2	039253_8/68	039253_8/64	039253_8/68	top	STM_MICHEL	owner	is_stm 0, michel_found 1	is_stm 1, michel_found 1	0	1	record STM_MICHEL, is_stm 0 -> 1
54	2	039253_9/35	039253_9/42	039253_9/35	bottom	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
55	2	039253_9/101	039253_9/108	039253_9/101	top	STM_ONLY	medium	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
56	2	039349_5/65	039349_5/65	039349_5/65	top	STM_MICHEL	owner	is_stm 0, michel_found 1	is_stm 1, michel_found 1	0	1	record STM_MICHEL, is_stm 0 -> 1
57	2	039349_7/57	039349_7/57	039349_7/57	top	THRU	owner	is_stm 0, michel_found 0	is_stm 1, michel_found 0	0	1	record THRU, is_stm 0 -> 1
58	2	039349_13/61	039349_13/60	039349_13/61	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
59	2	039349_18/10	039349_18/10	039349_18/10	bottom	THRU	medium	is_stm 0, michel_found 0	is_stm 1, michel_found 0	0	1	record THRU, is_stm 0 -> 1
60	2	039349_22/59	039349_22/56	039349_22/59	top	STM_ONLY	owner	is_stm 0, michel_found 1	is_stm 1, michel_found 1	0	1	record STM_ONLY, is_stm 0 -> 1
61	2	039349_24/37	039349_24/35	039349_24/37	bottom	STM_ONLY	low	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
62	2	039349_36/68	039349_36/63	039349_36/68	top	STM_MICHEL	high	is_stm 1, michel_found 1	is_stm 0, michel_found 1	0	1	record STM_MICHEL, is_stm 1 -> 0
63	2	039349_39/56	039349_39/56	039349_39/56	top	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 1	0	1	record STM_MICHEL, is_stm 1 -> 0
64	2	039349_41/58	039349_41/51	039349_41/58	top	STM_MICHEL	owner	is_stm 1, michel_found 1	is_stm 0, michel_found 1	0	1	record STM_MICHEL, is_stm 1 -> 0
65	2	039349_56/49	039349_56/41	039349_56/49	top	STM_ONLY	high	is_stm 1, michel_found 0	is_stm 0, michel_found 0	0	1	record STM_ONLY, is_stm 1 -> 0
