evt	tag	sample	label_source	weight	route	cls1.0	d_prod1.0	cls1.5	d_prod1.5
168658	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
169598	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0890	correct	0.0890
169620	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0717	correct	0.0717
169846	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
169890	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
170792	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5710	correct	0.5710
170808	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1566	correct	0.1566
170880	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.9566	correct	0.9566
170924	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1089	correct	0.1089
171358	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3301	correct	0.3301
171600	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
171892	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
172266	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5445	correct	0.5445
172656	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	6.1419	candidate-missing	6.1419
172788	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	net-wrong	99.0236	net-wrong	99.0236
172794	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4009	correct	0.4009
173146	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1442	correct	0.1442
173234	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
173498	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7593	correct	0.7593
174114	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3582	correct	0.3582
174752	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	13.2296	candidate-missing	13.2296
174928	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3866	correct	0.3866
175016	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
175808	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	net-wrong	10.0274	net-wrong	10.0274
276836	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	selection-wrong	224.7818	selection-wrong	224.7818
278266	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
278420	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.5088	correct	0.5088
278640	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
278684	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	net-wrong	164.6820	net-wrong	164.6820
278794	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
279256	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	selection-wrong	30.3354	selection-wrong	30.3354
279445	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5290	correct	0.5290
280598	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3387	correct	0.3387
280752	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0806	correct	0.0806
280853	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2124	correct	0.2124
280972	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2280	correct	0.2280
280994	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
281214	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4454	correct	0.4454
281485	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	4.0357	net-wrong	4.0357
281595	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2674	correct	0.2674
281639	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
281837	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5469	correct	0.5469
281953	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
282057	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	net-wrong	5.3876	net-wrong	5.3876
282072	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.8584	correct	0.8584
282231	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
282737	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.3777	correct	0.3777
282979	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	101.8524	net-wrong	101.8524
283009	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2217	correct	0.2217
283229	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1778	correct	0.1778
283595	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1926	correct	0.1926
283691	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.2616	correct	0.2616
283713	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4975	correct	0.4975
283905	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
283991	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3756	correct	0.3756
284013	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	8.6300	candidate-missing	8.6300
284103	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3005	correct	0.3005
284153	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0329	correct	0.0329
284211	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0953	correct	0.0953
284235	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
284657	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5292	correct	0.5292
284791	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	8.0770	net-wrong	8.0770
285069	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1634	correct	0.1634
285311	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2836	correct	0.2836
285443	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
285467	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	99.3717	net-wrong	99.3717
285531	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2358	correct	0.2358
285753	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.8212	correct	0.8212
285929	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2243	correct	0.2243
285971	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
286177	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
286191	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	14.1674	candidate-missing	14.1674
286268	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
286681	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	33.9210	candidate-missing	33.9210
286818	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
286906	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	selection-wrong	2.7882	selection-wrong	2.7882
287211	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2373	correct	0.2373
287431	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	499.2122	selection-wrong	499.2122
287517	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5120	correct	0.5120
287555	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2795	correct	0.2795
287621	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3957	correct	0.3957
287825	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1281	correct	0.1281
287830	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1806	correct	0.1806
288067	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5380	correct	0.5380
288745	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7368	correct	0.7368
288859	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
288947	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0757	correct	0.0757
289251	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
289832	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
290052	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1053	correct	0.1053
290294	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2223	correct	0.2223
291037	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.3722	correct	0.3722
291064	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
291262	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2636	correct	0.2636
291372	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
291499	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	39.2070	net-wrong	39.2070
291548	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.6694	correct	0.6694
291961	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3185	correct	0.3185
292027	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0521	correct	0.0521
292384	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0982	correct	0.0982
292577	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
292687	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0597	correct	0.0597
313781	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	43.4297	candidate-missing	43.4297
313979	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3805	correct	0.3805
314705	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.2277	correct	0.2277
315013	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
315167	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.9813	correct	0.9813
315343	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4454	correct	0.4454
315497	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
315849	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	70.1620	net-wrong	70.1620
315871	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.2433	correct	0.2433
316553	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.3462	correct	0.3462
316729	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	5.6563	net-wrong	5.6563
317741	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
318731	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.7999	correct	0.7999
319039	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
319611	vtxscan-vtx105-mcp1k	mcp1k	human		dl-veto-protected	correct	0.5272	correct	0.5272
320029	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
320667	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	candidate-missing	134.1384	candidate-missing	134.1384
321107	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7546	correct	0.7546
321173	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	22.3986	candidate-missing	22.3986
321371	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1750	correct	0.1750
321767	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	30.5394	candidate-missing	30.5394
345633	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2755	correct	0.2755
347085	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.6691	correct	0.6691
348471	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2706	correct	0.2706
348515	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	56.1810	selection-wrong	56.1810
348691	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.5203	correct	0.5203
349241	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1994	correct	0.1994
349461	vtxscan-vtx105-mcp1k	mcp1k	human		dl-veto-protected	correct	0.1326	correct	0.1326
349549	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.6699	correct	0.6699
349835	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.6297	correct	0.6297
349879	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1526	correct	0.1526
350121	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4141	correct	0.4141
350297	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2270	correct	0.2270
351705	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
351749	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	7.0359	selection-wrong	7.0359
352123	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0464	correct	0.0464
352233	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
353223	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2812	correct	0.2812
386332	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.6316	correct	0.6316
386948	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	50.3799	net-wrong	50.3799
387850	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
388026	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4968	correct	0.4968
388224	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1872	correct	0.1872
389588	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	4.3583	candidate-missing	4.3583
389874	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
391260	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.6778	correct	0.6778
391766	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	115.5174	selection-wrong	115.5174
393042	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
393212	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1273	correct	0.1273
393608	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.4135	correct	0.4135
394642	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1544	correct	0.1544
395610	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
395962	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.2405	correct	0.2405
397722	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0939	correct	0.0939
397920	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0395	correct	0.0395
398260	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.4092	correct	0.4092
398414	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
399052	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0000	correct	0.0000
399328	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.5956	correct	0.5956
399856	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
400054	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
400460	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
400504	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
400592	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0589	correct	0.0589
400856	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	net-wrong	5.9900	net-wrong	5.9900
401054	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1369	correct	0.1369
401780	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	candidate-missing	63.6182	candidate-missing	63.6182
402880	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	5.1767	net-wrong	5.1767
404244	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.2051	correct	0.2051
404684	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	54.6538	net-wrong	54.6538
405234	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2733	correct	0.2733
405674	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3661	correct	0.3661
407148	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3760	correct	0.3760
409634	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	1.3683	correct	1.3683
409920	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
409942	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7461	correct	0.7461
409964	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2464	correct	0.2464
410008	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.4780	correct	0.4780
411460	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	2.7124	selection-wrong	2.7124
412208	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
486247	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	net-wrong	14.3544	net-wrong	14.3544
486687	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7042	correct	0.7042
487303	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.1415	correct	0.1415
487853	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	candidate-missing	5.1919	candidate-missing	5.1919
488139	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2492	correct	0.2492
48895	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0001	correct	0.0001
489327	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.9378	correct	0.9378
489503	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	candidate-missing	126.8079	candidate-missing	126.8079
490581	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
490779	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
492913	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
493243	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
51513	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.5489	correct	0.5489
52723	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.7804	correct	0.7804
53361	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	3.2507	selection-wrong	3.2507
53427	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.2285	correct	0.2285
54341	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.3551	correct	0.3551
54351	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.0773	correct	0.0773
55539	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	correct	0.0000	correct	0.0000
55715	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-accept	correct	0.1157	correct	0.1157
56211	vtxscan-vtx105-mcp1k	mcp1k	human		dl-rerank-reject	selection-wrong	6.2224	selection-wrong	6.2224
