evt	tag	newtag	verdict	dist_cm	old_vid	new_vid
57485	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4493	16006	16006
57575	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	12001	12001
57661	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3220	18033	18033
57883	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0452	16004	16003
57903	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3248	14003	14003
58321	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1223	19003	19003
58345	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	7000	7000
58607	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7269	23001	23001
58653	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	4001	4001
58717	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.4998	21002	21002
59003	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	19001	19001
59025	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2675	19002	19002
59085	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7803	3001	3001
59093	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.8247	15004	15004
59179	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1302	15003	15003
59247	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	broken	4.1160	15004	15002
59261	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.3709	11003	11004
59335	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	11003	11003
59371	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3847	8002	8002
59553	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	broken	6.8137	10000	10003
59685	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3646	6007	6007
59929	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	20001	20001
60017	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	7001	7001
60669	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1293	17001	17001
60933	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2267	18003	18003
61351	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
61417	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3961	9002	9002
61461	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0370	10007	10035
61843	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
62149	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1137	13002	13002
62281	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5121	19002	19002
62459	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5284	10008	10002
62495	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7354	16002	16002
62613	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
62721	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1501	16000	16000
63163	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5109	6002	6002
63359	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	3001	3001
63427	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0448	18002	18002
63551	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	6001	6001
63559	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.9372	11001	11034
63603	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0292	13002	13002
63669	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	5001	5001
64409	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2123	8001	8001
64503	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	broken	4.5393	9002	9001
64591	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
64717	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4488	17036	17036
64921	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6547	62034	62034
64959	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	22005	22005
65025	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	16001	16001
65053	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4102	138013	139013
65267	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	15001	15001
65289	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3201	19007	18004
65295	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	13001	13001
66118	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2295	9002	9002
66272	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7400	24002	24000
66646	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1262	14002	14002
66712	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5201	11015	11004
67394	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.1132	19053	19004
67746	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10001	10001
68648	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3348	15002	15002
68714	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2048	5002	5002
68978	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2838	18002	18002
71046	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3060	19002	19002
71178	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	79026	79026
71222	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6052	15002	15002
71266	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	15001	15001
71640	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	9002	9002
72256	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2317	9002	9002
73004	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7308	15003	15003
166738	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3379	16002	16002
166804	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	9003	9003
167112	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2063	16002	16002
167684	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1307	10000	10000
168432	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.1117	19001	19001
168526	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2424	19003	19003
168614	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.5344	5001	5001
168658	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	12001	12001
169356	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7173	16004	16004
169488	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	8001	8001
169598	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0890	18002	18002
169620	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0717	13002	13004
169626	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	broken	25.4262	22015	22015
169774	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	2000	2000
169824	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1080	18004	18004
169846	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	6001	6001
169890	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	21001	21001
170792	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5710	10002	10003
170808	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1566	14003	14003
170814	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0356	18001	18001
170880	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.9566	13002	13002
170924	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1089	16003	16003
171358	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3301	10002	10002
171600	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	14001	14001
171892	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	58002	58002
172090	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.6753	10001	10001
172266	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5445	16004	16003
172656	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	53028	53028
172788	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	26000	26000
172794	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4009	49006	49006
172942	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.1676	4007	4007
173058	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	14002	14002
173146	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1442	15002	15002
173234	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10002	10002
173498	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7593	6001	6001
174114	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3582	17024	17024
174224	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.1726	20004	20036
174576	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4710	5002	5002
174752	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	14000	14000
174928	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3866	9003	9003
175016	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	19001	19001
175808	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6444	18002	18022
175896	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	2.8243	66034	66035
276836	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5813	11002	11025
277276	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	2.7840	8012	8012
277298	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.7987	17004	17027
278266	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	22002	22002
278420	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5088	18002	18002
278640	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
278684	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10000	10000
278785	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.5788	5003	5001
278794	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	7001	7001
279190	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	17001	17001
279256	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	15001	15001
279445	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5290	19002	84007
279643	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1543	20002	20002
280017	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7870	8001	8003
280598	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3387	15002	15002
280752	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1504	13001	13001
280774	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1885	16002	16002
280853	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2124	11003	11003
280972	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2723	7174	7005
280994	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	18002	18002
281214	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4454	60040	60039
281485	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1148	88074	88076
281505	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2971	18002	18002
281507	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0910	8002	8002
281527	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3561	14002	14002
281595	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2674	20002	20012
281639	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	80023	80023
281727	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10001	10001
281837	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2610	63046	63047
281953	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10000	10000
282057	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5393	19002	19002
282072	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.8584	7002	7002
282204	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6294	4013	4002
282217	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3527	9002	9002
282231	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	19000	19000
282385	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2931	11003	11003
282459	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1314	10002	10002
282666	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1297	10003	10002
282737	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3777	21003	21014
282899	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3321	7006	7006
282979	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3355	44039	44039
283009	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5858	23003	23003
283229	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1778	6002	6002
283463	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7129	14003	14053
283595	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1926	12045	12005
283691	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2616	23002	23002
283713	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4544	17089	17003
283771	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0116	21002	21002
283905	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	4001	4001
283991	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3756	15003	15003
284013	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3216	8004	8004
284103	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3005	8002	8002
284145	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2771	11005	11005
284153	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0329	14003	14003
284200	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2395	31036	31036
284211	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0953	14003	14003
284235	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	36025	36025
284657	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5292	5004	5004
284769	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7631	16008	16002
284791	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	36030	36030
284794	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6392	12001	12001
285069	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1634	9003	9003
285311	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2835	11002	11002
285366	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	13000	13000
285443	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	7001	7001
285467	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	18000	18000
285531	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2358	15002	15002
285564	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.7139	9007	9007
285665	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1133	9003	9003
285753	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.8212	15025	15002
285929	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2243	13003	13003
285971	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.9571	7003	7003
286177	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10000	10000
286180	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.4229	6003	6003
286191	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5966	7002	7002
286241	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1760	11001	11001
286268	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	11001	11001
286400	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	11001	11001
286527	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1706	16001	16001
286655	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0046	19001	19001
286681	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.8336	3006	3006
286818	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	5001	5001
286906	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	41011	41011
287211	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2373	10002	10002
287249	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1100	14002	14002
287431	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	24002	24002
287517	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5715	13002	13015
287555	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2795	18001	18001
287599	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.4584	6003	6005
287621	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3957	6003	6002
287654	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0012	12002	12005
287825	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1281	5002	5002
287830	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1806	16004	16004
288067	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.5380	7002	7005
288287	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	2.9079	10010	10010
288358	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2672	3002	3002
288639	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1447	8001	8001
288745	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.7368	23002	23002
288859	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	9001	9001
288947	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0757	16004	16004
289251	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	12001	12001
289559	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.8397	14003	14003
289832	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	10002	10002
290052	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1053	8007	8008
290294	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2223	12001	12001
290729	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1224	12007	12007
291037	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3722	13001	13011
291064	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	14001	14001
291262	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2636	18001	18001
291372	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	11000	11000
291499	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	12001	12001
291548	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.6694	21002	21002
291961	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.3185	4002	4002
292005	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.0608	18002	18002
292027	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0521	12002	12002
292384	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.1302	19002	19002
292406	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	6001	6001
292533	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	loose	1.2317	3012	3012
292577	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	12001	12001
292643	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.2306	18005	18001
292687	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0597	11004	11004
293149	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	4000	4000
313781	vtxscan-harv3-mcp1k	vtxscan-vtx105-mcp1k	carried	0.0000	50013	50012
