sample	run	subrun	event	origin	n_seg	n_shower	n_em	em_max	n_pio_groups	n_pio_showers	lossy_showers	pio_flag	kine_pio_mass	has_main	has_probe	bee_round	bee_url	dump	scan_note
mcp2k	18255	1	69232	numucc_em	12	6	6	195.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt69232/calib-pr-evt69232.json	
mcp2k	18255	1	69254	numucc_em	11	6	6	129.7	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt69254/calib-pr-evt69254.json	
mcp2k	18255	1	71642	numucc_em	76	35	33	205.2	1	2	0	1	90.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt71642/calib-pr-evt71642.json	
mcp2k	18255	1	71872	numucc_em	53	40	37	200.6	0	0	0	1	332.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt71872/calib-pr-evt71872.json	
mcp2k	18255	1	72786	numucc_em	34	15	13	116.3	0	0	0	1	179.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt72786/calib-pr-evt72786.json	
mcp2k	18255	1	74123	numucc_em	23	9	9	159.6	1	2	0	1	151.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt74123/calib-pr-evt74123.json	
mcp2k	18255	1	74326	numucc_em	28	12	11	193.5	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt74326/calib-pr-evt74326.json	
mcp2k	18255	1	75954	nuecc	26	10	9	521.9	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt75954/calib-pr-evt75954.json	
mcp2k	18255	1	77328	numucc_em	8	5	4	180.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt77328/calib-pr-evt77328.json	
mcp2k	18255	1	91917	numucc_em	27	12	12	201.7	1	2	0	1	136.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt91917/calib-pr-evt91917.json	
mcp2k	18255	1	94224	nuecc	14	7	7	199.9	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt94224/calib-pr-evt94224.json	
mcp2k	18259	1	94392	numucc_em	17	10	9	305.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt94392/calib-pr-evt94392.json	
mcp2k	18255	1	95151	other_em	10	6	6	104.1	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt95151/calib-pr-evt95151.json	
mcp2k	18255	1	96383	nuecc	23	13	11	144.2	0	0	0	1	55.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt96383/calib-pr-evt96383.json	
mcp2k	18255	1	98844	numucc_em	53	27	25	349.8	1	2	1	1	568.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt98844/calib-pr-evt98844.json	
mcp2k	18259	1	99782	numucc_em	20	8	8	156.6	1	2	0	1	158.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt99782/calib-pr-evt99782.json	
mcp2k	18255	1	100135	nuecc	18	11	9	122.2	0	0	0	1	64.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt100135/calib-pr-evt100135.json	
mcp2k	18259	1	100222	numucc_em	111	21	19	2498.2	1	2	0	1	149.3	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt100222/calib-pr-evt100222.json	
mcp2k	18255	1	103798	other_em	45	24	17	133.0	0	0	0	1	164.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt103798/calib-pr-evt103798.json	
mcp2k	18255	1	105074	numucc_em	7	5	4	228.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt105074/calib-pr-evt105074.json	
mcp2k	18259	1	167612	other_em	49	31	29	200.4	0	0	1	1	13.2	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt167612/calib-pr-evt167612.json	
mcp2k	18259	1	170098	numucc_em	45	15	13	269.7	0	0	0	1	7.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt170098/calib-pr-evt170098.json	
mcp2k	18259	1	170761	numucc_em	26	18	15	206.0	0	0	0	1	5.4	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt170761/calib-pr-evt170761.json	
mcp2k	18259	1	171143	numucc_em	17	4	4	262.1	0	0	0	1	72.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt171143/calib-pr-evt171143.json	
mcp2k	18259	1	171572	other_em	17	10	9	412.4	0	0	0	1	71.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt171572/calib-pr-evt171572.json	
mcp2k	18259	1	171729	numucc_em	18	10	10	117.2	1	2	0	1	118.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt171729/calib-pr-evt171729.json	
mcp2k	18259	1	173495	other_em	12	7	5	105.2	0	0	0	1	53.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt173495/calib-pr-evt173495.json	
mcp2k	18259	1	173819	numucc_em	16	11	10	301.9	0	0	0	1	39.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt173819/calib-pr-evt173819.json	
mcp2k	18259	1	174771	other_em	62	35	30	101.7	0	0	0	1	6.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt174771/calib-pr-evt174771.json	
mcp2k	18259	1	176533	nuecc	53	22	19	562.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt176533/calib-pr-evt176533.json	
mcp2k	18259	1	179048	numucc_em	14	6	4	137.9	0	0	1	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt179048/calib-pr-evt179048.json	
mcp2k	18259	1	179369	numucc_em	39	30	27	272.4	0	0	0	1	163.2	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt179369/calib-pr-evt179369.json	
mcp2k	18259	1	179611	nuecc	18	13	12	256.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt179611/calib-pr-evt179611.json	
mcp2k	18259	1	181050	nuecc	39	15	14	253.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt181050/calib-pr-evt181050.json	
mcp2k	18259	1	242726	numucc_em	17	6	5	116.1	1	2	0	1	134.5	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt242726/calib-pr-evt242726.json	
mcp2k	18255	1	275011	nuecc	22	14	13	105.6	0	0	0	1	67.8	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt275011/calib-pr-evt275011.json	
mcp2k	18255	1	280159	numucc_em	63	35	31	446.3	1	2	0	1	134.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt280159/calib-pr-evt280159.json	
mcp2k	18255	1	281325	nuecc	25	19	18	126.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt281325/calib-pr-evt281325.json	
mcp2k	18255	1	282271	nuecc	52	38	34	115.1	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt282271/calib-pr-evt282271.json	
mcp2k	18255	1	284206	nuecc	17	9	9	106.3	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt284206/calib-pr-evt284206.json	
mcp2k	18255	1	287794	numucc_em	8	3	3	112.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt287794/calib-pr-evt287794.json	
mcp2k	18255	1	289246	numucc_em	40	15	13	264.0	0	0	0	1	11.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt289246/calib-pr-evt289246.json	
mcp2k	18255	1	289508	numucc_em	25	12	10	396.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt289508/calib-pr-evt289508.json	
mcp2k	18255	1	291072	nuecc	40	9	7	652.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt291072/calib-pr-evt291072.json	
mcp2k	18255	1	292524	numucc_em	38	10	7	329.8	1	2	0	1	114.3	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt292524/calib-pr-evt292524.json	
mcp2k	18255	1	293536	nuecc	11	8	6	152.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt293536/calib-pr-evt293536.json	
mcp2k	18255	1	294174	numucc_em	44	25	23	123.1	0	0	0	1	3.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt294174/calib-pr-evt294174.json	
mcp2k	18255	1	318703	numucc_em	45	33	28	252.1	0	0	0	1	4.4	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt318703/calib-pr-evt318703.json	
mcp2k	18255	1	318769	numucc_em	68	40	35	256.3	0	0	1	1	33.9	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt318769/calib-pr-evt318769.json	
mcp2k	18255	1	321169	nuecc	27	11	9	142.1	0	0	0	1	66.2	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt321169/calib-pr-evt321169.json	
mcp2k	18255	1	321367	numucc_em	29	13	12	247.8	0	0	0	1	55.1	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt321367/calib-pr-evt321367.json	
mcp2k	18255	1	347824	numucc_em	53	19	17	546.3	1	2	0	1	173.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt347824/calib-pr-evt347824.json	
mcp2k	18255	1	350354	nuecc	58	24	21	604.0	0	0	1	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt350354/calib-pr-evt350354.json	
mcp2k	18255	1	390634	numucc_em	27	21	20	135.8	0	0	0	1	46.1	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt390634/calib-pr-evt390634.json	
mcp2k	18255	1	392901	other_em	22	10	6	196.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt392901/calib-pr-evt392901.json	
mcp2k	18255	1	393505	numucc_em	17	10	10	325.3	0	0	0	1	61.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt393505/calib-pr-evt393505.json	
mcp2k	18255	1	394167	nuecc	33	11	11	468.4	0	0	0	1	74.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt394167/calib-pr-evt394167.json	
mcp2k	18255	1	395123	nuecc	8	6	4	101.4	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt395123/calib-pr-evt395123.json	
mcp2k	18255	1	395597	numucc_em	10	6	4	245.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt395597/calib-pr-evt395597.json	
mcp2k	18255	1	395870	numucc_em	28	21	18	154.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt395870/calib-pr-evt395870.json	
mcp2k	18255	1	396037	other_em	21	15	15	137.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt396037/calib-pr-evt396037.json	
mcp2k	18255	1	396323	numucc_em	12	6	5	167.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt396323/calib-pr-evt396323.json	
mcp2k	18255	1	396816	other_em	22	15	11	170.0	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt396816/calib-pr-evt396816.json	
mcp2k	18255	1	397401	nuecc	12	7	4	102.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt397401/calib-pr-evt397401.json	
mcp2k	18255	1	397630	numucc_em	25	12	11	128.7	0	0	0	1	5.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt397630/calib-pr-evt397630.json	
mcp2k	18255	1	398191	numucc_em	9	6	6	106.5	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt398191/calib-pr-evt398191.json	
mcp2k	18255	1	403023	numucc_em	22	12	11	131.0	1	2	0	1	159.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt403023/calib-pr-evt403023.json	
mcp2k	18255	1	403309	nuecc	3	3	2	102.9	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt403309/calib-pr-evt403309.json	
mcp2k	18255	1	406125	numucc_em	45	25	24	136.2	0	0	0	1	60.6	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt406125/calib-pr-evt406125.json	
mcp2k	18255	1	408304	nuecc	29	16	15	166.5	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt408304/calib-pr-evt408304.json	
mcp2k	18255	1	408678	nuecc	33	26	22	312.3	0	0	0	1	99.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt408678/calib-pr-evt408678.json	
mcp2k	18255	1	409140	nuecc	12	8	8	103.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt409140/calib-pr-evt409140.json	
mcp2k	18255	1	412242	numucc_em	49	28	26	616.1	0	0	1	1	14.2	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt412242/calib-pr-evt412242.json	
mcp2k	18255	1	475778	nuecc	6	5	3	143.8	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt475778/calib-pr-evt475778.json	
mcp2k	18255	1	493659	numucc_em	10	5	4	104.6	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt493659/calib-pr-evt493659.json	
mcp2k	18255	1	499423	nuecc	29	18	17	154.6	0	0	3	1	52.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt499423/calib-pr-evt499423.json	
mcp2k	18255	1	499577	numucc_em	32	16	13	299.8	1	2	0	1	258.7	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt499577/calib-pr-evt499577.json	
mcp2k	18255	1	500083	nuecc	8	6	5	166.2	0	0	0	0	-1.0	1	1	em114c/em114c-mcp2k		work-mcp2k-prod0825/pr_evt500083/calib-pr-evt500083.json	
