sample	run	subrun	event	origin	n_seg	n_shower	n_em	em_max	n_pio_groups	n_pio_showers	lossy_showers	pio_flag	kine_pio_mass	has_main	has_probe	bee_round	bee_url	dump
mcp2k	18255	1	282909	ncpi0	61	23	19	463.3	1	2	0	1	669.7	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/12/	work-mcp2k-prod0825/pr_evt282909/calib-pr-evt282909.json
mcp2k	18255	1	396222	ncpi0	180	52	44	2909.1	1	2	1	1	798.6	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/13/	work-mcp2k-prod0825/pr_evt396222/calib-pr-evt396222.json
mcp2k	18255	1	409888	ncpi0	23	6	5	230.9	1	2	0	1	137.9	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/14/	work-mcp2k-prod0825/pr_evt409888/calib-pr-evt409888.json
mcp2k	18255	1	415278	ncpi0	114	23	22	1396.9	2	4	0	1	271.1	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/15/	work-mcp2k-prod0825/pr_evt415278/calib-pr-evt415278.json
mcp2k	18255	1	475096	ncpi0	15	8	8	142.6	1	2	0	1	62.4	1	1	em114/em114-mcp2k	https://www.phy.bnl.gov/twister/bee/set/1cbf04ba-9800-4c99-bd94-d4ed266ad245/event/16/	work-mcp2k-prod0825/pr_evt475096/calib-pr-evt475096.json
ncpi0	18259	1	18625	ncpi0	41	9	6	703.4	0	0	0	0	-1.0	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/0/	work-ncpi0-prod0825/pr_evt18625/calib-pr-evt18625.json
ncpi0	18345	1	21073	ncpi0	69	14	13	680.2	2	4	0	1	207.3	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/1/	work-ncpi0-prod0825/pr_evt21073/calib-pr-evt21073.json
ncpi0	18259	1	37112	ncpi0	53	13	11	511.3	0	0	1	1	96.6	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/2/	work-ncpi0-prod0825/pr_evt37112/calib-pr-evt37112.json
ncpi0	18255	1	56982	ncpi0	71	28	25	520.8	0	0	0	0	-1.0	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/3/	work-ncpi0-prod0825/pr_evt56982/calib-pr-evt56982.json
ncpi0	18255	1	71372	ncpi0	123	17	15	1901.0	1	2	0	1	136.3	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/4/	work-ncpi0-prod0825/pr_evt71372/calib-pr-evt71372.json
ncpi0	18364	1	84229	ncpi0	68	17	16	958.2	0	0	1	1	75.9	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/5/	work-ncpi0-prod0825/pr_evt84229/calib-pr-evt84229.json
ncpi0	18259	1	105946	ncpi0	52	28	23	494.1	1	2	0	1	105.8	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/6/	work-ncpi0-prod0825/pr_evt105946/calib-pr-evt105946.json
ncpi0	18255	1	114446	ncpi0	7	6	6	5.6	0	0	0	0	-1.0	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/7/	work-ncpi0-prod0825/pr_evt114446/calib-pr-evt114446.json
ncpi0	18255	1	142421	ncpi0	72	22	19	706.5	0	0	0	1	41.8	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/8/	work-ncpi0-prod0825/pr_evt142421/calib-pr-evt142421.json
ncpi0	18255	1	180801	ncpi0	46	30	27	297.1	2	4	0	1	102.5	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/9/	work-ncpi0-prod0825/pr_evt180801/calib-pr-evt180801.json
ncpi0	18345	1	259542	ncpi0	80	39	30	978.2	1	2	1	1	164.9	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/10/	work-ncpi0-prod0825/pr_evt259542/calib-pr-evt259542.json
ncpi0	18261	1	285567	ncpi0	52	34	27	86.6	0	0	0	1	19.1	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/11/	work-ncpi0-prod0825/pr_evt285567/calib-pr-evt285567.json
ncpi0	18255	1	314838	ncpi0	47	11	9	691.7	1	2	1	1	145.6	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/12/	work-ncpi0-prod0825/pr_evt314838/calib-pr-evt314838.json
ncpi0	18255	1	359980	ncpi0	56	11	9	596.3	1	2	0	1	157.4	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/13/	work-ncpi0-prod0825/pr_evt359980/calib-pr-evt359980.json
ncpi0	18255	1	399860	ncpi0	47	9	6	910.7	0	0	0	1	44.4	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/14/	work-ncpi0-prod0825/pr_evt399860/calib-pr-evt399860.json
ncpi0	18255	1	463565	ncpi0	73	35	32	658.8	0	0	3	0	-1.0	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/15/	work-ncpi0-prod0825/pr_evt463565/calib-pr-evt463565.json
ncpi0	18255	1	506114	ncpi0	87	21	18	1715.0	1	2	0	1	87.9	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/16/	work-ncpi0-prod0825/pr_evt506114/calib-pr-evt506114.json
ncpi0	18255	1	506746	ncpi0	75	14	13	1038.2	0	0	1	1	10.1	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/17/	work-ncpi0-prod0825/pr_evt506746/calib-pr-evt506746.json
ncpi0	18255	1	521075	ncpi0	25	10	9	671.2	0	0	0	0	-1.0	1	1	em114/em114-ncpi0	https://www.phy.bnl.gov/twister/bee/set/c57f7f06-d02d-4de7-8de9-402abfbbace5/event/18/	work-ncpi0-prod0825/pr_evt521075/calib-pr-evt521075.json
nuecc48	18255	1	388	nuecc	92	12	9	1964.1	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/0/	work-nuecc48-prod0825/pr_evt388/calib-pr-evt388.json
nuecc48	18255	1	10550	nuecc	55	15	14	773.8	0	0	0	1	45.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/1/	work-nuecc48-prod0825/pr_evt10550/calib-pr-evt10550.json
nuecc48	18342	1	30504	nuecc	49	20	18	659.7	1	2	0	1	174.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/2/	work-nuecc48-prod0825/pr_evt30504/calib-pr-evt30504.json
nuecc48	18304	1	38856	nuecc	48	6	6	370.7	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/3/	work-nuecc48-prod0825/pr_evt38856/calib-pr-evt38856.json
nuecc48	18259	1	42280	nuecc	77	12	9	1832.7	0	0	0	1	63.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/4/	work-nuecc48-prod0825/pr_evt42280/calib-pr-evt42280.json
nuecc48	18255	1	46363	nuecc	80	22	21	1810.6	1	2	0	1	107.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/5/	work-nuecc48-prod0825/pr_evt46363/calib-pr-evt46363.json
nuecc48	18259	1	52672	nuecc	70	23	20	786.7	0	0	0	1	224.8	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/6/	work-nuecc48-prod0825/pr_evt52672/calib-pr-evt52672.json
nuecc48	18259	1	54095	nuecc	94	22	19	2607.8	0	0	0	1	199.9	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/7/	work-nuecc48-prod0825/pr_evt54095/calib-pr-evt54095.json
nuecc48	18255	1	69314	nuecc	50	24	24	68.9	0	0	0	1	9.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/8/	work-nuecc48-prod0825/pr_evt69314/calib-pr-evt69314.json
nuecc48	18259	1	74544	nuecc	53	5	5	2063.3	0	0	0	1	72.4	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/9/	work-nuecc48-prod0825/pr_evt74544/calib-pr-evt74544.json
nuecc48	18313	1	81597	nuecc	61	6	5	1416.1	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/10/	work-nuecc48-prod0825/pr_evt81597/calib-pr-evt81597.json
nuecc48	18255	1	90055	nuecc	96	32	27	2080.9	0	0	0	1	16.8	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/11/	work-nuecc48-prod0825/pr_evt90055/calib-pr-evt90055.json
nuecc48	18259	1	111412	nuecc	41	18	18	518.4	0	0	0	1	89.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/12/	work-nuecc48-prod0825/pr_evt111412/calib-pr-evt111412.json
nuecc48	18259	1	116962	nuecc	37	12	12	237.6	0	0	1	1	325.6	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/13/	work-nuecc48-prod0825/pr_evt116962/calib-pr-evt116962.json
nuecc48	18255	1	122660	nuecc	71	25	24	883.4	0	0	1	1	39.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/14/	work-nuecc48-prod0825/pr_evt122660/calib-pr-evt122660.json
nuecc48	18259	1	131357	nuecc	39	4	4	646.4	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/15/	work-nuecc48-prod0825/pr_evt131357/calib-pr-evt131357.json
nuecc48	18264	1	137238	nuecc	32	9	9	370.5	0	0	0	1	3.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/16/	work-nuecc48-prod0825/pr_evt137238/calib-pr-evt137238.json
nuecc48	18255	1	138009	nuecc	56	9	7	1173.1	0	0	0	1	11.7	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/17/	work-nuecc48-prod0825/pr_evt138009/calib-pr-evt138009.json
nuecc48	18255	1	163543	nuecc	65	14	11	193.3	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/18/	work-nuecc48-prod0825/pr_evt163543/calib-pr-evt163543.json
nuecc48	18255	1	168596	nuecc	78	14	13	1389.9	0	0	0	1	79.8	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/19/	work-nuecc48-prod0825/pr_evt168596/calib-pr-evt168596.json
nuecc48	18253	1	172230	nuecc	69	8	8	1470.2	0	0	0	1	56.7	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/20/	work-nuecc48-prod0825/pr_evt172230/calib-pr-evt172230.json
nuecc48	18255	1	174637	nuecc	52	10	9	785.3	0	0	0	1	20.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/21/	work-nuecc48-prod0825/pr_evt174637/calib-pr-evt174637.json
nuecc48	18255	1	196649	nuecc	58	6	5	1607.9	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/22/	work-nuecc48-prod0825/pr_evt196649/calib-pr-evt196649.json
nuecc48	18409	1	214469	nuecc	78	12	9	1797.1	1	2	0	1	131.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/23/	work-nuecc48-prod0825/pr_evt214469/calib-pr-evt214469.json
nuecc48	18255	1	219295	nuecc	62	10	9	1391.6	0	0	0	1	26.9	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/24/	work-nuecc48-prod0825/pr_evt219295/calib-pr-evt219295.json
nuecc48	18255	1	234638	nuecc	82	28	27	1001.3	0	0	0	1	13.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/25/	work-nuecc48-prod0825/pr_evt234638/calib-pr-evt234638.json
nuecc48	18255	1	235435	nuecc	19	8	7	133.3	0	0	0	1	50.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/26/	work-nuecc48-prod0825/pr_evt235435/calib-pr-evt235435.json
nuecc48	18255	1	239794	nuecc	99	7	6	2690.6	0	0	0	1	53.5	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/27/	work-nuecc48-prod0825/pr_evt239794/calib-pr-evt239794.json
nuecc48	18255	1	246579	nuecc	83	16	15	1655.8	0	0	0	1	47.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/28/	work-nuecc48-prod0825/pr_evt246579/calib-pr-evt246579.json
nuecc48	18306	1	256587	nuecc	151	39	37	3591.6	1	2	0	1	83.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/29/	work-nuecc48-prod0825/pr_evt256587/calib-pr-evt256587.json
nuecc48	18279	1	267597	nuecc	86	23	20	1312.5	0	0	0	1	23.4	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/30/	work-nuecc48-prod0825/pr_evt267597/calib-pr-evt267597.json
nuecc48	18255	1	268067	nuecc	39	6	6	723.1	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/31/	work-nuecc48-prod0825/pr_evt268067/calib-pr-evt268067.json
nuecc48	18255	1	268784	nuecc	71	15	15	1050.3	1	2	0	1	360.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/32/	work-nuecc48-prod0825/pr_evt268784/calib-pr-evt268784.json
nuecc48	18255	1	269774	nuecc	134	16	15	1148.3	2	4	0	1	1444.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/33/	work-nuecc48-prod0825/pr_evt269774/calib-pr-evt269774.json
nuecc48	18255	1	271851	nuecc	68	9	8	1256.1	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/34/	work-nuecc48-prod0825/pr_evt271851/calib-pr-evt271851.json
nuecc48	18269	1	342199	nuecc	60	13	13	745.1	0	0	0	1	315.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/35/	work-nuecc48-prod0825/pr_evt342199/calib-pr-evt342199.json
nuecc48	18255	1	350186	nuecc	33	8	8	673.7	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/36/	work-nuecc48-prod0825/pr_evt350186/calib-pr-evt350186.json
nuecc48	18255	1	360535	nuecc	63	3	3	1933.3	0	0	0	1	29.2	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/37/	work-nuecc48-prod0825/pr_evt360535/calib-pr-evt360535.json
nuecc48	18255	1	389538	nuecc	52	23	20	235.0	0	0	1	1	65.4	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/38/	work-nuecc48-prod0825/pr_evt389538/calib-pr-evt389538.json
nuecc48	18355	1	400474	nuecc	78	26	23	1240.8	1	2	0	1	121.9	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/39/	work-nuecc48-prod0825/pr_evt400474/calib-pr-evt400474.json
nuecc48	18255	1	422851	nuecc	75	16	14	1174.2	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/40/	work-nuecc48-prod0825/pr_evt422851/calib-pr-evt422851.json
nuecc48	18255	1	423981	nuecc	51	19	17	358.4	0	0	0	1	16.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/41/	work-nuecc48-prod0825/pr_evt423981/calib-pr-evt423981.json
nuecc48	18255	1	433451	nuecc	136	35	31	2092.4	0	0	0	1	16.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/42/	work-nuecc48-prod0825/pr_evt433451/calib-pr-evt433451.json
nuecc48	18255	1	437699	nuecc	64	16	16	1303.9	0	0	0	1	7.1	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/43/	work-nuecc48-prod0825/pr_evt437699/calib-pr-evt437699.json
nuecc48	18253	1	444187	nuecc	11	5	4	374.0	0	0	0	0	-1.0	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/44/	work-nuecc48-prod0825/pr_evt444187/calib-pr-evt444187.json
nuecc48	18255	1	447477	nuecc	53	14	12	869.0	0	0	0	1	2.3	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/45/	work-nuecc48-prod0825/pr_evt447477/calib-pr-evt447477.json
nuecc48	18255	1	469665	nuecc	41	13	13	578.0	0	0	0	1	88.9	1	1	em114/em114-nuecc48	https://www.phy.bnl.gov/twister/bee/set/33fa72d9-1990-4fc7-b7fd-3f2bee6bd32d/event/46/	work-nuecc48-prod0825/pr_evt469665/calib-pr-evt469665.json
