arm	evt	ks1	ratio3	any_stm
work-mcp2k-d94probe	174230	0.014	0.626	1
work-mcp2k-d94probe	174311	0.013	0.945	1
work-mcp2k-d94probe	174573	0.016	1.066	1
work-mcp2k-d94probe	174704	0.016	1.097	1
work-mcp2k-d94probe	175931	0.021	1.042	1
work-mcp2k-d94probe	176159	0.022	0.772	1
work-mcp2k-d94probe	176628	0.026	0.895	1
work-mcp2k-d94probe	176951	0.023	1.01	1
work-mcp2k-d94probe	178476	0.031	1.076	1
work-mcp2k-d94probe	178577	0.025	1.002	1
work-mcp2k-d94probe	178931	0.012	1.087	1
work-mcp2k-d94probe	179325	0.025	1.028	1
work-mcp2k-d94probe	180462	0.012	1.063	1
work-mcp2k-d94probe	181094	0.032	1.083	1
work-mcp2k-d94probe	181402	0.033	0.722	1
work-mcp2k-d94probe	240306	0.024	1.012	1
work-mcp2k-d94probe	242858	0.03	1.044	1
work-mcp2k-d94probe	273845	0.018	1.017	1
work-mcp2k-d94probe	274681	0.028	0.972	1
work-mcp2k-d94probe	277189	0.027	1.019	1
work-mcp2k-d94probe	279713	0.033	0.643	1
work-mcp2k-d94probe	280225	0.017	1.074	1
work-mcp2k-d94probe	281347	0.018	1.067	1
work-mcp2k-d94probe	283585	0.015	1.047	1
work-mcp2k-d94probe	283591	0.016	1.053	0
work-mcp2k-d94probe	284971	0.016	1.039	1
work-mcp2k-d94probe	285059	0.031	1.052	1
work-mcp2k-d94probe	286225	0.03	1.093	1
work-mcp2k-d94probe	286582	0.013	0.953	1
work-mcp2k-d94probe	288914	0.037	0.787	1
work-mcp2k-d94probe	289290	0.032	0.647	1
work-mcp2k-d94probe	289840	0.019	1.068	1
work-mcp2k-d94probe	290476	0.024	0.968	1
work-mcp2k-d94probe	290676	0.015	0.949	1
work-mcp2k-d94probe	290740	0.013	0.983	1
work-mcp2k-d94probe	316043	0.022	1.075	1
work-mcp2k-d94probe	317341	0.027	1.034	1
work-mcp2k-d94probe	319275	0.024	1.013	1
work-mcp2k-d94probe	320023	0.013	1.04	1
work-mcp2k-d94probe	322113	0.015	1.091	1
work-mcp2k-d94probe	322509	0.035	0.993	1
work-mcp2k-d94probe	323301	0.018	1.067	1
work-mcp2k-d94probe	347142	0.018	0.956	1
work-mcp2k-d94probe	349122	0.028	0.567	1
work-mcp2k-d94probe	350420	0.016	1.069	1
work-mcp2k-d94probe	354578	0.014	1.057	1
work-mcp2k-d94probe	388587	0.037	0.991	1
work-mcp2k-d94probe	390875	0.02	0.96	1
work-mcp2k-d94probe	391448	0.021	1.088	1
work-mcp2k-d94probe	391877	0.033	0.919	1
work-mcp2k-d94probe	392723	0.019	1.035	1
work-mcp2k-d94probe	394154	0.02	0.968	1
work-mcp2k-d94probe	394175	0.019	1.048	1
work-mcp2k-d94probe	394329	0.032	0.562	1
work-mcp2k-d94probe	394925	0.013	0.994	1
work-mcp2k-d94probe	394957	0.014	1.054	1
work-mcp2k-d94probe	395465	0.029	0.837	1
work-mcp2k-d94probe	395707	0.031	1.073	1
work-mcp2k-d94probe	397621	0.026	0.854	1
work-mcp2k-d94probe	397707	0.021	1.083	1
work-mcp2k-d94probe	398092	0.012	1.068	1
work-mcp2k-d94probe	398115	0.018	1.094	0
work-mcp2k-d94probe	398301	0.017	1.036	1
work-mcp2k-d94probe	399073	0.018	0.727	1
work-mcp2k-d94probe	399139	0.029	1.081	1
work-mcp2k-d94probe	399941	0.029	1.062	1
work-mcp2k-d94probe	400273	0.039	1.049	1
work-mcp2k-d94probe	400349	0.032	0.642	1
work-mcp2k-d94probe	402649	0.032	1.039	1
work-mcp2k-d94probe	404299	0.032	0.745	1
work-mcp2k-d94probe	404629	0.019	1.081	1
work-mcp2k-d94probe	405025	0.011	1.059	1
work-mcp2k-d94probe	409184	0.012	1.07	1
work-mcp2k-d94probe	410148	0.031	1.066	1
work-mcp2k-d94probe	410658	0.025	0.719	1
work-mcp2k-d94probe	412088	0.038	0.625	1
work-mcp2k-d94probe	412858	0.013	0.997	1
work-mcp2k-d94probe	415890	0.01	1.086	1
work-mcp2k-d94probe	415912	0.027	1.093	1
work-mcp2k-d94probe	47036	0.008	1.07	1
work-mcp2k-d94probe	47058	0.029	0.948	0
work-mcp2k-d94probe	473446	0.024	1.089	1
work-mcp2k-d94probe	480068	0.038	0.833	1
work-mcp2k-d94probe	495859	0.011	1.058	1
work-mcp2k-d94probe	50273	0.025	1.077	1
work-mcp2k-d94probe	51417	0.016	1.075	1
work-mcp2k-d94probe	53111	0.015	1.063	1
work-mcp2k-d94probe	54692	0.019	1.084	1
work-mcp2k-d94probe	54882	0.02	0.898	1
work-mcp2k-d94probe	57764	0.029	1.044	1
work-mcp2k-d94probe	69618	0.022	1.099	1
work-mcp2k-d94probe	69926	0.02	0.642	1
work-mcp2k-d94probe	70442	0.02	1.066	1
work-mcp2k-d94probe	71466	0.014	0.56	1
work-mcp2k-d94probe	71558	0.019	1.043	1
work-mcp2k-d94probe	71681	0.027	0.653	0
work-mcp2k-d94probe	73038	0.015	1.018	1
work-mcp2k-d94probe	73068	0.012	1.051	1
work-mcp2k-d94probe	73926	0.027	0.909	1
work-mcp2k-d94probe	74849	0.016	1.06	1
work-mcp2k-d94probe	75334	0.018	0.668	1
work-mcp2k-d94probe	76631	0.014	1.078	1
work-mcp2k-d94probe	76910	0.02	1.07	1
work-mcp2k-d94probe	77885	0.008	0.914	1
work-mcp2k-d94probe	77922	0.017	0.672	1
work-mcp2k-d94probe	79711	0.013	0.716	1
work-mcp2k-d94probe	79755	0.021	1.057	1
work-mcp2k-d94probe	80078	0.013	0.966	1
work-mcp2k-d94probe	81310	0.033	0.981	1
work-mcp2k-d94probe	82102	0.009	0.916	1
work-mcp2k-d94probe	93325	0.02	1.095	1
work-mcp2k-d94probe	93655	0.023	0.686	1
work-mcp2k-d94probe	93875	0.032	0.656	1
work-mcp2k-d94probe	94007	0.032	1.094	0
work-mcp2k-d94probe	95173	0.019	0.986	1
work-mcp2k-d94probe	95305	0.008	1.039	1
work-mcp2k-d94probe	95327	0.016	1.023	1
work-mcp2k-d94probe	95371	0.02	0.844	1
work-mcp2k-d94probe	95500	0.022	1.069	1
work-mcp2k-d94probe	95503	0.034	1.087	1
work-mcp2k-d94probe	96042	0.02	1.053	1
work-mcp2k-d94probe	96977	0.02	0.947	1
work-mcp2k-d94probe	97407	0.018	1.085	1
work-mcp2k-d94probe	98441	0.015	1.084	1
work-mcp2k-d94probe	98660	0.038	1.069	1
work-mcp2k-d94probe	98756	0.028	0.657	1
work-mcp2k-d94probe	98870	0.038	0.812	1
work-mcp2k-d94probe	99078	0.02	0.984	0
