sample	run	subrun	event	kind	class	numu_A	numu_B	Enu_base	Enu_hits	dvtx_cm	main_jacc	input_jacc	npts_in_A	npts_in_B	onlyA	onlyB	vias	mainlen_base	mainlen_hits	flash_base	flash_hits	dt01_base	dt01_hits	paired_base	paired_hits	vmoved_base	vmoved_hits	nt_base	nt_hits	vdef_base	vdef_hits	vtx_base	vtx_hits	pid_base	pid_hits	beamfl_base	beamfl_hits	bdt_changed
mcp2k	18255	1	390743	LOST	QL-main	1.7931	-2.1702	502.2	63.1	268.1	0.0	0.189	1061	200	861	0	main1,own7	64.7	18.2	1.8883/15072.0/tpc0	1.8996/1583.4/tpc1	1	0	1	1	0	0	4	10	0	0	-60.3,-95.0,21.7	55.4,145.9,0.6	p112 p20 p61 mu168 e2 e1 e1 e1 e1 e2 e1	e63	tpc0:1.888/15072/g6;tpc1:1.889/1582/g6	tpc0:1.900/15093/g5;tpc1:1.900/1583/g5	shw_sp_141,ssm_123,cosmict_23,numu_cc_12,nu_3,numu_2,neutrino_1,sel_1
mcp2k	18255	1	391777	LOST	PR-only	1.1454	0.8931	729.0	730.4	0.3	1.0	1.0	803	803	0	0		52.3	52.3	0.6977/12427.0/tpc0	0.7072/12551.8/tpc0	31	32	1	1	0	0	4	4	0	0	-72.9,-9.9,88.8	-73.1,-10.0,88.6	mu58 p93 p249 pi58 e1 e2 e1 e6	mu58 p93 p247 pi61 e1 e2 e1 e6	tpc0:0.698/12427/g5;tpc1:0.729/274/g5	tpc0:0.707/12552/g6;tpc1:0.740/357/g6	ssm_88,numu_cc_7,cosmict_6,nu_3,numu_2,sel_1
mcp2k	18255	1	393538	GAINED	PR-only	0.363	1.0817	332.9	725.3	0.2	1.0	1.0	4744	4744	0	0		285.5	285.5	1.4622/49189.8/tpc0	1.4635/49387.8/tpc0	17	26	1	1	0	0	8	8	0	0	-167.9,-73.8,227.9	-167.9,-73.8,227.7	e120 p173 e29 e3	e88 p174 e7 e8 e67 e29 e3 e9 mu227	tpc0:1.462/49190/g0;tpc1:1.479/302/g0	tpc0:1.463/49388/g6;tpc1:1.490/366/g6	ssm_208,br85,tro42,mip37,lol16,vis12,stem11,spt10,numu_cc_9,shw_sp_8,stw8,anc8,lem7,sig5,cme5,pio4,mgo_4,mgt_4,hol4,nu_3,numu_2,sel_1,gap1,nue_1
mcp2k	18255	1	396222	GAINED	fragment	0.8866	0.9311	3565.5	3573.7	0.0	1.0	1.0	17947	17940	7	0	own1	150.1	150.1	1.9199/84721.0/tpc1	1.9277/85154.5/tpc1	24	27	1	1	0	0	4	4	0	0	121.6,-161.4,317.4	121.6,-161.4,317.4	e118 mu69 e12 pi76 pi48 mu278 e14 e577 e307 e2 e502 e712 e8 e11 e41 e177 e25 e4 e12 e33 e2 e0 p4 p1 e3 p4 e1 mu18 mu1 e151 e4 e39 e33	e126 mu69 e12 pi76 pi48 mu278 e14 e577 e307 e2 e501 e714 e8 e11 e41 e177 e25 e4 e12 e33 e2 e0 p4 p1 e3 p4 e1 mu18 mu1 e4 e151 e38 e33	tpc0:1.943/927/g8;tpc1:1.920/84721/g8	tpc0:1.955/1010/g6;tpc1:1.928/85155/g6	br73,mip42,tro30,stw17,lol15,vis13,cosmict_13,spt10,stem9,anc9,mgt_8,sig7,shw_sp_6,mgo_6,hol6,numu_cc_5,lem4,gap3,pio3,cme3,numu_3,nu_1,sel_1,nue_1
mcp2k	18255	1	399963	GAINED	QL-main	-999.0	2.5906	0.0	698.5		0.0	0.0	0	2209	0	2209	main1,own1	0.0	195.3		1.0534/10091.3/tpc0	790	24	0	1		0		4		0		-129.1,-124.8,309.0		p74 mu361 mu130 e10 e9	tpc0:1.861/25947/g2;tpc1:1.070/398/g1000007	tpc0:1.053/10091/g13;tpc0:1.863/25976/g14;tpc1:1.078/446/g13	
mcp2k	18255	1	402297	LOST	QL-main	1.2838	-999.0	929.4	0.0		0.0	0.0	11703	0	11703	0	main1,own8	229.7	0.0	1.4331/18330.4/tpc0		38	38	1	1	0		6		0		-107.3,8.5,97.6		mu555 e5 mu258 e1 p4 e1		tpc0:1.433/18330/g2;tpc1:1.471/295/g2	tpc0:1.443/18358/g8;tpc1:1.481/328/g8	
mcp2k	18255	1	410566	LOST	fragment	1.0506	0.7815	104.1	103.1	0.0	1.0	0.95	507	505	14	12	own2	41.3	41.3	1.3478/2193.6/tpc1	1.3579/2255.7/tpc1	2	3	1	1	0	0	4	4	0	0	-7.0,-94.6,86.7	-7.0,-94.6,86.7	p82 e6 e1 e1 e1 e2 e1 e2	p81 e6 e1 e1 e1 e2 e1 e2	tpc0:1.345/3035/g5;tpc1:1.348/2194/g5	tpc0:1.355/3062/g2;tpc1:1.358/2256/g2	numu_cc_8,nu_1,sel_1,numu_1
mcp2k	18255	1	415564	LOST	fragment	1.8788	-2.2941	476.5	19.6	49.1	1.0	0.996	1913	1905	8	0	own1	126.3	126.3	0.6271/12520.0/tpc1	0.6371/12520.0/tpc1	8	8	1	1	0	1	8	8	0	0	33.5,187.1,223.3	23.2,159.6,262.6	mu315 e44 e7 p4	p4 e7	tpc0:0.635/305/g14;tpc1:0.627/12520/g14	tpc0:0.645/304/g6;tpc1:0.637/12520/g6	ssm_203,shw_sp_184,cosmict_18,numu_cc_10,nu_3,numu_2,sel_1,vertex_1
mcp2k	18255	1	480970	LOST	fragment	1.6181	0.4429	488.6	628.4	0.9	1.0	0.985	1067	1051	16	0	own1	82.9	82.9	1.3896/31635.0/tpc0	1.3907/31724.2/tpc0	8	14	1	1	0	0	6	6	0	0	-170.7,133.1,449.8	-170.6,133.7,450.4	p157 mu194 p14 e1	p153 mu194 pi27 e1	tpc0:1.390/31635/g3;tpc1:1.398/233/g3	tpc0:1.391/31724/g5;tpc1:1.405/224/g5	shw_sp_8,cosmict_8,numu_cc_8,nu_3,numu_2,sel_1
mcp2k	18255	1	497399	LOST	PR-only	2.0804	-2.5801	1170.8	510.9	410.5	1.0	1.0	1262	1262	0	0		122.4	122.4	1.1296/31432.1/tpc0	1.1330/31482.4/tpc0	33	35	1	1	1	0	4	6	0	0	0.3,-162.6,245.4	-201.4,162.1,95.4	mu749 mu299 e3 e4 e2 e1 e5 e0 e2	mu299 e8 e4 e2 e1 e5 p78	tpc0:1.130/31432/g1;tpc1:1.163/234/g1	tpc0:1.133/31482/g17;tpc1:1.168/248/g17	shw_sp_10,cosmict_8,numu_cc_7,nu_3,numu_2,neutrino_1,sel_1,vertex_1
mcp2k	18259	1	157215	LOST	QL-main	1.4761	-999.0	753.5	0.0			0.0	2161	0	2161	0	main1,own4	27.8	0.0	1.6118/49561.3/tpc0		16	20	1	1	1		4		0		-150.6,0.5,105.8		mu462 mu69 mu6 e3 e2 e1		tpc0:1.612/49561/g1;tpc1:1.628/242/g1	tpc0:1.526/63/g5;tpc0:1.614/27965/g6;tpc1:1.634/292/g6	
mcp2k	18259	1	158227	LOST	QL-main	3.7134	-999.0	629.5	0.0		0.0	0.0	4573	0	4573	0	main1,own2	216.0	0.0	1.2520/8985.4/tpc1			3	0	1	0		4		0		2.1,-156.6,124.5		mu521 e1 e1		tpc1:1.252/8985/g1000004	tpc0:1.258/10869/g4;tpc1:1.261/9050/g4	
mcp2k	18259	1	161725	LOST	fragment	2.2409	0.8536	586.0	588.7	0.8	1.0	0.996	3305	3292	13	0	own1	181.9	181.9	1.0024/22444.8/tpc1	1.0054/22281.4/tpc1			0	0	0	0	4	6	0	0	165.2,80.6,66.7	165.7,80.0,66.5	mu381 mu93 e2 e1 e1 e0 e1	mu384 mu93 e2 e1 e1 e0 e1	tpc1:1.002/22445/g1000001	tpc1:1.005/22281/g1000007	shw_sp_8,cosmict_8,numu_cc_8,nu_3,numu_3,neutrino_1,sel_1
mcp2k	18259	1	163595	GAINED	QL-main	-999.0	4.0031	0.0	718.8		0.0	0.0	0	2192	0	2192	main1,own8	0.0	179.4		1.0751/14695.1/tpc1		468	0	0		0		4		0		93.9,-110.8,337.6		mu388 pi62 mu53 e2 e1 p2	tpc0:1.541/9097/g4	tpc0:1.543/9378/g7;tpc1:1.075/14695/g1000006	
mcp2k	18259	1	165060	GAINED	QL-main	-999.0	1.2945	0.0	1107.4		0.0	0.0	0	4640	0	4640	main1,own15	0.0	400.8		2.0504/22900.6/tpc1	12	13	1	1		0		6		0		53.8,-183.7,330.4		mu948 e6 e9 e14 e1 e2 e2 e1 e1 e1 e9 e1 e8	tpc0:2.053/7519/g3;tpc1:2.041/22833/g3	tpc0:2.063/7562/g6;tpc1:2.050/22901/g6	
mcp2k	18259	1	169724	GAINED	fragment	0.6655	1.1663	428.7	731.2	33.2	1.0	0.983	601	591	10	0	own1	28.4	28.4	1.4566/7102.5/tpc0	1.4655/7123.9/tpc0	0	0	1	1	1	0	4	8	0	0	20.7,-62.8,456.5	-9.7,-63.5,443.1	p92 mu101 p113	p113 mu70 p119 ?0 mu101 p92	tpc0:1.457/7103/g5;tpc1:1.457/5170/g5	tpc0:1.466/7124/g11;tpc1:1.466/5196/g11	ssm_216,numu_cc_15,cosmict_13,shw_sp_4,nu_3,numu_3,neutrino_1,sel_1,vertex_1
