# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
em-pr-era-20260829/other/work-pr130r1-boff141-mcp1k.tar.gz	4591444	479128	OK	367 members
em-pr-era-20260829/other/work-pr130r1-boff141-mcp2k.tar.gz	8123988	853552	OK	626 members
em-pr-era-20260829/other/work-pr130r1-bon-mcp1k.tar.gz	1313681	196406	OK	101 members
em-pr-era-20260829/other/work-pr130r1-bon-mcp2k.tar.gz	3403328	649712	OK	122 members
em-pr-era-20260829/other/work-pr130r1-bon-ncpi0.tar.gz	2482292	488973	OK	136 members
em-pr-era-20260829/other/work-pr130r1-bon-nuecc48.tar.gz	6794064	1329462	OK	339 members
em-pr-era-20260829/other/work-pr130r1-bon141-mcp1k.tar.gz	5257108	753914	OK	367 members
em-pr-era-20260829/other/work-pr130r1-bon141-mcp2k.tar.gz	9204299	1300337	OK	626 members
em-pr-era-20260829/other/work-pr130r1-g1off-mcp1k.tar.gz	1149993	129847	OK	101 members
em-pr-era-20260829/other/work-pr130r1-g1off-mcp2k.tar.gz	2923881	445598	OK	122 members
em-pr-era-20260829/other/work-pr130r1-g1off-ncpi0.tar.gz	2008469	288311	OK	136 members
em-pr-era-20260829/other/work-pr130r1-g1off-nuecc48.tar.gz	5523789	811278	OK	339 members
em-pr-era-20260829/other/work-pr130r1-g1off141-mcp1k.tar.gz	4589213	477101	OK	367 members
em-pr-era-20260829/other/work-pr130r1-g1off141-mcp2k.tar.gz	8119079	850407	OK	626 members
em-pr-era-20260829/other/work-pr130r1-gd141off-mcp1k.tar.gz	4590689	485986	OK	367 members
em-pr-era-20260829/other/work-pr130r1-gd141off-mcp2k.tar.gz	8123149	859721	OK	626 members
em-pr-era-20260829/other/work-pr130r1-gs1on-mcp1k.tar.gz	1149707	130737	OK	101 members
em-pr-era-20260829/other/work-pr130r1-gs1on-mcp2k.tar.gz	2925582	444743	OK	122 members
em-pr-era-20260829/other/work-pr130r1-gs1on-ncpi0.tar.gz	2009281	286240	OK	136 members
em-pr-era-20260829/other/work-pr130r1-gs1on-nuecc48.tar.gz	5524245	811010	OK	339 members
em-pr-era-20260829/other/work-pr130r1-gs1on141-mcp1k.tar.gz	4590208	478542	OK	367 members
em-pr-era-20260829/other/work-pr130r1-gs1on141-mcp2k.tar.gz	8123293	852769	OK	626 members
em-pr-era-20260829/other/work-pr130r1-vtxcen-mcp1k.tar.gz	1313404	196160	OK	101 members
em-pr-era-20260829/other/work-pr130r1-vtxcen-mcp2k.tar.gz	3401842	648796	OK	122 members
em-pr-era-20260829/other/work-pr130r1-vtxcen-ncpi0.tar.gz	2482628	489785	OK	136 members
em-pr-era-20260829/other/work-pr130r1-vtxcen-nuecc48.tar.gz	6794078	1329675	OK	339 members
em-pr-era-20260829/other/work-pr130r1-vtxcen141-mcp1k.tar.gz	5252975	750356	OK	367 members
em-pr-era-20260829/other/work-pr130r1-vtxcen141-mcp2k.tar.gz	9201568	1298122	OK	626 members
em-pr-era-20260829/other/work-pr131-denom141-mcp1k.tar.gz	4598992	482368	OK	367 members
em-pr-era-20260829/other/work-pr131-denom141-mcp2k.tar.gz	8139880	862654	OK	626 members
em-pr-era-20260829/other/work-pr131-denom98-mcp1k.tar.gz	1152356	130489	OK	101 members
em-pr-era-20260829/other/work-pr131-denom98-mcp2k.tar.gz	2928998	446394	OK	122 members
em-pr-era-20260829/other/work-pr131-denom98-ncpi0.tar.gz	2012042	288649	OK	136 members
em-pr-era-20260829/other/work-pr131-denom98-nuecc48.tar.gz	5529401	813085	OK	339 members
em-pr-era-20260829/other/work-pr132-flipchk141-mcp1k.tar.gz	4591216	476565	OK	367 members
em-pr-era-20260829/other/work-pr132-flipchk141-mcp2k.tar.gz	8124675	852086	OK	626 members
em-pr-era-20260829/other/work-pr132-flipchk98-mcp1k.tar.gz	1150706	129223	OK	101 members
em-pr-era-20260829/other/work-pr132-flipchk98-mcp2k.tar.gz	2925986	446950	OK	122 members
em-pr-era-20260829/other/work-pr132-flipchk98-ncpi0.tar.gz	2009385	285982	OK	136 members
em-pr-era-20260829/other/work-pr132-flipchk98-nuecc48.tar.gz	5524958	809938	OK	339 members
em-pr-era-20260829/other/work-pr132-off141-mcp1k.tar.gz	4590610	478285	OK	367 members
em-pr-era-20260829/other/work-pr132-off141-mcp2k.tar.gz	8122325	852286	OK	626 members
em-pr-era-20260829/other/work-pr132-off98-mcp1k.tar.gz	1150319	130046	OK	101 members
em-pr-era-20260829/other/work-pr132-off98-mcp2k.tar.gz	2926121	447547	OK	122 members
em-pr-era-20260829/other/work-pr132-off98-ncpi0.tar.gz	2009058	287540	OK	136 members
em-pr-era-20260829/other/work-pr132-off98-nuecc48.tar.gz	5524662	810511	OK	339 members
em-pr-era-20260829/other/work-pr132-oneff141-mcp1k.tar.gz	4602805	483480	OK	367 members
em-pr-era-20260829/other/work-pr132-oneff141-mcp2k.tar.gz	8143900	867955	OK	626 members
em-pr-era-20260829/other/work-pr132-oneff98-mcp1k.tar.gz	1154751	131044	OK	101 members
em-pr-era-20260829/other/work-pr132-oneff98-mcp2k.tar.gz	2936534	453736	OK	122 members
em-pr-era-20260829/other/work-pr132-oneff98-ncpi0.tar.gz	2015546	293160	OK	136 members
em-pr-era-20260829/other/work-pr132-oneff98-nuecc48.tar.gz	5537681	820041	OK	339 members
