sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp1k	g47	imaging	16	0	102.0	1007088.0
mcp1k	g47	clus+QL	16	0	73.0	583912.0
mcp1k	g48	imaging	16	0	119.0	1013272.0
mcp1k	g48	clus+QL	16	0	91.0	640892.0
mcp1k	g49	imaging	16	0	100.0	981064.0
mcp1k	g49	clus+QL	16	0	72.0	580172.0
mcp1k	g5	imaging	16	0	94.0	988928.0
mcp1k	g5	clus+QL	16	0	60.0	577888.0
mcp1k	g50	imaging	16	0	95.0	988176.0
mcp1k	g50	clus+QL	16	0	68.0	565104.0
mcp1k	g51	imaging	16	0	95.0	990820.0
mcp1k	g51	clus+QL	16	0	61.0	558220.0
mcp1k	g52	imaging	16	0	79.0	987600.0
mcp1k	g52	clus+QL	16	0	47.0	498796.0
mcp1k	g53	imaging	16	0	106.0	1008504.0
mcp1k	g53	clus+QL	16	0	80.0	656176.0
mcp1k	g54	imaging	16	0	92.0	993992.0
mcp1k	g54	clus+QL	16	0	61.0	584576.0
mcp1k	g55	imaging	16	0	87.0	980268.0
mcp1k	g55	clus+QL	16	0	55.0	534092.0
mcp1k	g56	imaging	16	0	120.0	1009000.0
mcp1k	g56	clus+QL	16	0	101.0	897316.0
mcp1k	g57	imaging	16	0	97.0	1012016.0
mcp1k	g57	clus+QL	16	0	67.0	637444.0
mcp1k	g58	imaging	16	0	116.0	1009584.0
mcp1k	g58	clus+QL	16	0	81.0	645216.0
mcp1k	g59	imaging	16	0	81.0	981196.0
mcp1k	g59	clus+QL	16	0	48.0	542564.0
mcp1k	g6	imaging	16	0	104.0	989056.0
mcp1k	g6	clus+QL	16	0	75.0	591408.0
mcp1k	g60	imaging	16	0	100.0	1010000.0
mcp1k	g60	clus+QL	16	0	72.0	729956.0
mcp1k	g61	imaging	16	0	83.0	989148.0
mcp1k	g61	clus+QL	16	0	54.0	535168.0
mcp1k	g62	imaging	8	0	46.0	987528.0
mcp1k	g62	clus+QL	8	0	31.0	614844.0
mcp1k	g7	imaging	16	0	95.0	997688.0
mcp1k	g7	clus+QL	16	0	60.0	560364.0
mcp1k	g8	imaging	16	0	108.0	1012168.0
mcp1k	g8	clus+QL	16	0	78.0	611164.0
mcp1k	g9	imaging	16	0	87.0	987200.0
mcp1k	g9	clus+QL	16	0	53.0	521584.0
mcp2k	g0	imaging	16	0	104.0	982152.0
mcp2k	g0	clus+QL	16	0	68.0	574844.0
mcp2k	g1	imaging	16	0	98.0	982096.0
mcp2k	g1	clus+QL	16	0	63.0	636948.0
mcp2k	g10	imaging	16	0	99.0	991992.0
mcp2k	g10	clus+QL	16	0	70.0	593236.0
mcp2k	g100	imaging	16	0	98.0	989104.0
mcp2k	g100	clus+QL	16	0	68.0	617108.0
mcp2k	g101	imaging	16	0	89.0	990620.0
mcp2k	g101	clus+QL	16	0	56.0	518968.0
mcp2k	g102	imaging	16	0	122.0	994020.0
mcp2k	g102	clus+QL	16	0	95.0	758816.0
mcp2k	g103	imaging	16	0	89.0	982000.0
mcp2k	g103	clus+QL	16	0	61.0	562704.0
mcp2k	g104	imaging	16	0	95.0	992392.0
mcp2k	g104	clus+QL	16	0	64.0	579976.0
mcp2k	g105	imaging	16	0	114.0	1053996.0
mcp2k	g105	clus+QL	16	0	81.0	632580.0
mcp2k	g106	imaging	16	0	113.0	982220.0
mcp2k	g106	clus+QL	16	0	86.0	590144.0
mcp2k	g107	imaging	16	0	105.0	990952.0
mcp2k	g107	clus+QL	16	0	76.0	645400.0
mcp2k	g108	imaging	16	0	122.0	1014096.0
mcp2k	g108	clus+QL	16	0	91.0	594332.0
mcp2k	g109	imaging	16	0	86.0	984476.0
mcp2k	g109	clus+QL	16	0	56.0	589768.0
mcp2k	g11	imaging	16	0	115.0	987068.0
mcp2k	g11	clus+QL	16	0	89.0	710284.0
mcp2k	g110	imaging	16	0	124.0	997088.0
mcp2k	g110	clus+QL	16	0	97.0	774160.0
mcp2k	g111	imaging	16	0	95.0	1011240.0
mcp2k	g111	clus+QL	16	0	82.0	662148.0
mcp2k	g112	imaging	16	0	87.0	985052.0
mcp2k	g112	clus+QL	16	0	60.0	597776.0
mcp2k	g113	imaging	16	0	91.0	988564.0
mcp2k	g113	clus+QL	16	0	61.0	582536.0
mcp2k	g114	imaging	16	0	102.0	989660.0
mcp2k	g114	clus+QL	16	0	74.0	648928.0
mcp2k	g115	imaging	16	0	97.0	1012292.0
mcp2k	g115	clus+QL	16	0	69.0	641880.0
mcp2k	g116	imaging	16	0	94.0	990440.0
mcp2k	g116	clus+QL	16	0	65.0	540292.0
mcp2k	g117	imaging	16	0	86.0	982576.0
mcp2k	g117	clus+QL	16	0	58.0	536004.0
mcp2k	g118	imaging	16	0	91.0	991300.0
mcp2k	g118	clus+QL	16	0	58.0	556592.0
mcp2k	g119	imaging	16	0	101.0	987352.0
mcp2k	g119	clus+QL	16	0	70.0	552316.0
mcp2k	g12	imaging	16	0	94.0	981772.0
mcp2k	g12	clus+QL	16	0	66.0	562464.0
mcp2k	g120	imaging	16	0	109.0	993416.0
mcp2k	g120	clus+QL	16	0	79.0	653088.0
mcp2k	g121	imaging	16	0	93.0	988380.0
mcp2k	g121	clus+QL	16	0	64.0	581304.0
mcp2k	g122	imaging	16	0	85.0	1004828.0
mcp2k	g122	clus+QL	16	0	53.0	613840.0
mcp2k	g123	imaging	16	0	88.0	984016.0
mcp2k	g123	clus+QL	16	0	55.0	529148.0
mcp2k	g124	imaging	16	0	88.0	983780.0
mcp2k	g124	clus+QL	16	0	55.0	553636.0
mcp2k	g125	imaging	8	0	47.0	991916.0
mcp2k	g125	clus+QL	8	0	31.0	586704.0
mcp2k	g13	imaging	16	0	94.0	982436.0
mcp2k	g13	clus+QL	16	0	60.0	561576.0
mcp2k	g14	imaging	16	0	96.0	1010432.0
mcp2k	g14	clus+QL	16	0	67.0	615524.0
mcp2k	g15	imaging	16	0	97.0	1004776.0
mcp2k	g15	clus+QL	16	0	67.0	632180.0
mcp2k	g16	imaging	16	0	104.0	991652.0
mcp2k	g16	clus+QL	16	0	79.0	674928.0
mcp2k	g17	imaging	16	0	102.0	1014096.0
mcp2k	g17	clus+QL	16	0	70.0	560880.0
mcp2k	g18	imaging	16	0	118.0	1008224.0
mcp2k	g18	clus+QL	16	0	85.0	650288.0
mcp2k	g19	imaging	16	0	96.0	993364.0
mcp2k	g19	clus+QL	16	0	63.0	641032.0
mcp2k	g2	imaging	16	0	87.0	1010276.0
mcp2k	g2	clus+QL	16	0	55.0	515988.0
mcp2k	g20	imaging	16	0	99.0	975376.0
mcp2k	g20	clus+QL	16	0	64.0	567036.0
mcp2k	g21	imaging	16	0	94.0	983396.0
mcp2k	g21	clus+QL	16	0	64.0	609732.0
mcp2k	g22	imaging	16	0	108.0	1006548.0
mcp2k	g22	clus+QL	16	0	78.0	609680.0
mcp2k	g23	imaging	16	0	102.0	985048.0
mcp2k	g23	clus+QL	16	0	70.0	571204.0
mcp2k	g24	imaging	16	0	109.0	987580.0
mcp2k	g24	clus+QL	16	0	87.0	587356.0
mcp2k	g25	imaging	16	0	91.0	989844.0
mcp2k	g25	clus+QL	16	0	60.0	611536.0
mcp2k	g26	imaging	16	0	106.0	988620.0
mcp2k	g26	clus+QL	16	0	71.0	550480.0
mcp2k	g27	imaging	16	0	93.0	985788.0
mcp2k	g27	clus+QL	16	0	58.0	582284.0
mcp2k	g28	imaging	16	0	94.0	988864.0
mcp2k	g28	clus+QL	16	0	65.0	595948.0
mcp2k	g29	imaging	16	0	109.0	988460.0
mcp2k	g29	clus+QL	16	0	80.0	612240.0
mcp2k	g3	imaging	16	0	101.0	987052.0
mcp2k	g3	clus+QL	16	0	69.0	629316.0
mcp2k	g30	imaging	16	0	103.0	1016516.0
mcp2k	g30	clus+QL	16	0	71.0	630880.0
mcp2k	g31	imaging	16	0	104.0	990044.0
mcp2k	g31	clus+QL	16	0	75.0	565632.0
mcp2k	g32	imaging	16	0	100.0	985344.0
mcp2k	g32	clus+QL	16	0	66.0	575828.0
mcp2k	g33	imaging	16	0	101.0	1012764.0
mcp2k	g33	clus+QL	16	0	65.0	567728.0
mcp2k	g34	imaging	16	0	83.0	1006120.0
mcp2k	g34	clus+QL	16	0	46.0	535064.0
mcp2k	g35	imaging	16	0	93.0	984696.0
mcp2k	g35	clus+QL	16	0	66.0	585020.0
mcp2k	g36	imaging	16	0	88.0	984984.0
mcp2k	g36	clus+QL	16	0	58.0	588948.0
mcp2k	g37	imaging	16	0	97.0	987764.0
mcp2k	g37	clus+QL	16	0	67.0	635520.0
mcp2k	g38	imaging	16	0	109.0	993120.0
mcp2k	g38	clus+QL	16	0	80.0	673992.0
mcp2k	g39	imaging	16	0	103.0	986300.0
mcp2k	g39	clus+QL	16	0	75.0	580248.0
mcp2k	g4	imaging	16	0	97.0	993228.0
mcp2k	g4	clus+QL	16	0	62.0	550536.0
mcp2k	g40	imaging	16	0	102.0	989640.0
mcp2k	g40	clus+QL	16	0	76.0	641880.0
mcp2k	g41	imaging	16	0	100.0	988916.0
mcp2k	g41	clus+QL	16	0	67.0	600436.0
mcp2k	g42	imaging	16	0	96.0	989608.0
mcp2k	g42	clus+QL	16	0	67.0	588228.0
mcp2k	g43	imaging	16	0	92.0	979380.0
mcp2k	g43	clus+QL	16	0	59.0	555572.0
mcp2k	g44	imaging	16	0	94.0	993416.0
mcp2k	g44	clus+QL	16	0	67.0	585156.0
mcp2k	g45	imaging	16	0	98.0	978720.0
mcp2k	g45	clus+QL	16	0	67.0	551552.0
mcp2k	g46	imaging	16	0	107.0	989412.0
mcp2k	g46	clus+QL	16	0	82.0	627840.0
mcp2k	g47	imaging	16	0	98.0	984924.0
mcp2k	g47	clus+QL	16	0	68.0	623524.0
mcp2k	g48	imaging	16	0	106.0	1009320.0
mcp2k	g48	clus+QL	16	0	71.0	637160.0
mcp2k	g49	imaging	16	0	115.0	990656.0
mcp2k	g49	clus+QL	16	0	85.0	608396.0
mcp2k	g5	imaging	16	0	107.0	1014820.0
mcp2k	g5	clus+QL	16	0	76.0	667000.0
mcp2k	g50	imaging	16	0	104.0	1009196.0
mcp2k	g50	clus+QL	16	0	83.0	808636.0
mcp2k	g51	imaging	16	0	95.0	990972.0
mcp2k	g51	clus+QL	16	0	62.0	562396.0
mcp2k	g52	imaging	16	0	105.0	989908.0
mcp2k	g52	clus+QL	16	0	73.0	571572.0
mcp2k	g53	imaging	16	0	110.0	987820.0
mcp2k	g53	clus+QL	16	0	87.0	755956.0
mcp2k	g54	imaging	16	0	97.0	983772.0
mcp2k	g54	clus+QL	16	0	70.0	565880.0
mcp2k	g55	imaging	16	0	87.0	985200.0
mcp2k	g55	clus+QL	16	0	55.0	559304.0
mcp2k	g56	imaging	16	0	111.0	1017404.0
mcp2k	g56	clus+QL	16	0	77.0	818088.0
mcp2k	g57	imaging	16	0	97.0	990564.0
mcp2k	g57	clus+QL	16	0	65.0	587092.0
mcp2k	g58	imaging	16	0	100.0	992708.0
mcp2k	g58	clus+QL	16	0	68.0	598248.0
mcp2k	g59	imaging	16	0	98.0	1011508.0
mcp2k	g59	clus+QL	16	0	68.0	591940.0
mcp2k	g6	imaging	16	0	106.0	991576.0
mcp2k	g6	clus+QL	16	0	74.0	657124.0
mcp2k	g60	imaging	16	0	94.0	1011664.0
mcp2k	g60	clus+QL	16	0	62.0	634628.0
mcp2k	g61	imaging	16	0	75.0	990148.0
mcp2k	g61	clus+QL	16	0	44.0	544472.0
mcp2k	g62	imaging	8	0	48.0	983664.0
mcp2k	g62	clus+QL	8	0	34.0	623344.0
mcp2k	g63	imaging	16	0	106.0	1010416.0
mcp2k	g63	clus+QL	16	0	77.0	618308.0
mcp2k	g64	imaging	16	0	102.0	989864.0
mcp2k	g64	clus+QL	16	0	73.0	594544.0
mcp2k	g65	imaging	16	0	117.0	1013460.0
mcp2k	g65	clus+QL	16	0	84.0	745620.0
mcp2k	g66	imaging	16	0	110.0	993664.0
mcp2k	g66	clus+QL	16	0	73.0	594136.0
mcp2k	g67	imaging	16	0	109.0	1016592.0
mcp2k	g67	clus+QL	16	0	75.0	637860.0
mcp2k	g68	imaging	16	0	100.0	988600.0
mcp2k	g68	clus+QL	16	0	69.0	592212.0
mcp2k	g69	imaging	16	0	101.0	994768.0
mcp2k	g69	clus+QL	16	0	66.0	566344.0
mcp2k	g7	imaging	16	0	115.0	995908.0
mcp2k	g7	clus+QL	16	0	79.0	598160.0
mcp2k	g70	imaging	16	0	109.0	990080.0
mcp2k	g70	clus+QL	16	0	78.0	573020.0
mcp2k	g71	imaging	16	0	94.0	986868.0
mcp2k	g71	clus+QL	16	0	61.0	585064.0
mcp2k	g72	imaging	16	0	111.0	984744.0
mcp2k	g72	clus+QL	16	0	81.0	695756.0
mcp2k	g73	imaging	16	0	83.0	981644.0
mcp2k	g73	clus+QL	16	0	57.0	517932.0
mcp2k	g74	imaging	16	0	119.0	1000800.0
mcp2k	g74	clus+QL	16	0	90.0	677884.0
mcp2k	g75	imaging	16	0	92.0	989800.0
mcp2k	g75	clus+QL	16	0	61.0	595032.0
mcp2k	g76	imaging	16	0	125.0	1101176.0
mcp2k	g76	clus+QL	16	0	106.0	991248.0
mcp2k	g77	imaging	16	0	112.0	1014492.0
mcp2k	g77	clus+QL	16	0	84.0	685520.0
mcp2k	g78	imaging	16	0	87.0	1013912.0
mcp2k	g78	clus+QL	16	0	53.0	538364.0
mcp2k	g79	imaging	16	0	91.0	989244.0
mcp2k	g79	clus+QL	16	0	61.0	592332.0
mcp2k	g8	imaging	16	0	102.0	985976.0
mcp2k	g8	clus+QL	16	0	70.0	584676.0
mcp2k	g80	imaging	16	0	106.0	1009920.0
mcp2k	g80	clus+QL	16	0	76.0	593952.0
mcp2k	g81	imaging	16	0	103.0	1026608.0
mcp2k	g81	clus+QL	16	0	70.0	584548.0
mcp2k	g82	imaging	16	0	115.0	1009080.0
mcp2k	g82	clus+QL	16	0	82.0	622936.0
mcp2k	g83	imaging	16	0	84.0	1012116.0
mcp2k	g83	clus+QL	16	0	56.0	562252.0
mcp2k	g84	imaging	16	0	101.0	992372.0
mcp2k	g84	clus+QL	16	0	74.0	585780.0
mcp2k	g85	imaging	16	0	109.0	1003868.0
mcp2k	g85	clus+QL	16	0	83.0	709352.0
mcp2k	g86	imaging	16	0	82.0	991856.0
mcp2k	g86	clus+QL	16	0	51.0	587148.0
mcp2k	g87	imaging	16	0	99.0	989700.0
mcp2k	g87	clus+QL	16	0	69.0	628960.0
mcp2k	g88	imaging	16	0	102.0	1005488.0
mcp2k	g88	clus+QL	16	0	70.0	635040.0
mcp2k	g89	imaging	16	0	106.0	1007444.0
mcp2k	g89	clus+QL	16	0	79.0	678660.0
mcp2k	g9	imaging	16	0	89.0	996108.0
mcp2k	g9	clus+QL	16	0	56.0	613468.0
mcp2k	g90	imaging	16	0	95.0	984556.0
mcp2k	g90	clus+QL	16	0	65.0	552328.0
mcp2k	g91	imaging	16	0	98.0	990104.0
mcp2k	g91	clus+QL	16	0	66.0	598300.0
mcp2k	g92	imaging	16	0	97.0	985028.0
mcp2k	g92	clus+QL	16	0	68.0	665000.0
mcp2k	g93	imaging	16	0	88.0	991100.0
mcp2k	g93	clus+QL	16	0	63.0	538660.0
mcp2k	g94	imaging	16	0	93.0	990280.0
mcp2k	g94	clus+QL	16	0	63.0	538896.0
mcp2k	g95	imaging	16	0	103.0	993116.0
mcp2k	g95	clus+QL	16	0	74.0	572004.0
mcp2k	g96	imaging	16	0	103.0	1006780.0
mcp2k	g96	clus+QL	16	0	75.0	586196.0
mcp2k	g97	imaging	16	0	96.0	987396.0
mcp2k	g97	clus+QL	16	0	64.0	566256.0
mcp2k	g98	imaging	16	0	95.0	992112.0
mcp2k	g98	clus+QL	16	0	63.0	528484.0
mcp2k	g99	imaging	16	0	104.0	988728.0
mcp2k	g99	clus+QL	16	0	70.0	584512.0
