det	run	evt	img_s	img_kb	img_rc	clus_s	clus_kb	clus_rc
pdhd	028084	16	53	623160	0	28	636352	0
pdhd	028084	17	55	716560	0	33	719028	0
pdhd	028084	19	55	782896	0	28	664016	0
pdhd	028084	15	71	755836	0	42	821536	0
pdhd	028084	20	51	716724	0	30	746912	0
pdhd	028084	27	37	409980	0	15	449168	0
pdhd	028084	22	46	429744	0	22	581556	0
pdhd	028084	26	44	492432	0	21	601644	0
pdhd	028084	21	53	599532	0	29	709752	0
pdhd	028084	23	50	652224	0	27	716952	0
pdhd	028084	25	48	534120	0	25	616308	0
pdhd	028084	29	42	582004	0	20	516052	0
pdhd	028084	30	43	478876	0	20	567884	0
pdhd	028084	2	85	1276372	0	62	1164004	0
pdhd	028084	24	71	910472	0	45	1015460	0
pdhd	028084	3	65	830568	0	35	766096	0
pdhd	029107	11	34	411476	0	14	438184	0
pdhd	028084	28	71	852732	0	45	968688	0
pdhd	029107	0	38	412432	0	17	536968	0
pdhd	028084	8	47	750760	0	23	609288	0
pdhd	029107	10	42	412336	0	23	571612	0
pdhd	028084	9	50	584192	0	24	578736	0
pdhd	029107	1	44	412416	0	25	618988	0
pdhd	028084	7	51	614336	0	30	756340	0
pdhd	028084	4	70	933820	0	48	1205656	0
pdhd	028084	5	62	593660	0	36	822952	0
pdhd	029107	13	38	411520	0	17	498028	0
pdhd	028084	6	68	803712	0	45	931416	0
pdhd	029107	14	38	410248	0	17	541716	0
pdhd	029107	17	36	411364	0	15	501824	0
pdhd	029107	12	51	608072	0	36	821632	0
pdhd	029107	19	35	410184	0	15	438412	0
pdhd	029107	22	33	409332	0	13	403552	0
pdhd	029107	2	39	411812	0	19	547592	0
pdhd	029107	23	36	411204	0	15	475444	0
pdhd	029107	20	41	412112	0	20	581740	0
pdhd	029107	21	41	411772	0	20	570776	0
pdhd	029107	24	43	410256	0	26	584672	0
pdhd	029107	16	55	544844	0	40	846604	0
pdhd	029107	15	58	551120	0	42	874168	0
pdhd	029107	27	38	409952	0	16	525740	0
pdhd	029107	25	44	423480	0	23	653836	0
pdhd	029107	18	59	635992	0	41	923220	0
pdhd	029107	26	43	410324	0	24	600088	0
pdhd	029107	28	40	411404	0	19	497064	0
pdhd	029107	3	39	411332	0	19	524376	0
pdhd	029107	29	41	509084	0	29	642820	0
pdhd	029107	6	36	411268	0	15	464168	0
pdhd	028084	18	125	1981748	0	181	2659068	0
pdhd	029107	5	40	410256	0	19	537940	0
pdhd	029107	7	37	410228	0	17	456204	0
pdhd	029107	8	38	444120	0	17	526356	0
pdhd	029107	9	36	409512	0	18	444900	0
pdvd	039252	0	59	366328	0	17	577464	0
pdhd	029107	4	64	917568	0	44	860732	0
pdvd	039252	10	65	366540	0	23	697568	0
pdvd	039252	11	68	366644	0	26	737708	0
pdvd	039252	13	68	366596	0	25	679488	0
pdvd	039252	15	77	427852	0	33	908460	0
pdvd	039252	1	79	450060	0	49	950692	0
pdvd	039252	3	70	366528	0	28	752776	0
pdvd	039252	12	81	489132	0	47	925316	0
pdvd	039252	17	82	418104	0	39	963052	0
pdvd	039252	4	82	464844	0	49	929572	0
pdvd	039252	14	96	493764	0	58	1216720	0
pdvd	039252	7	72	364768	0	29	729400	0
pdvd	039252	6	88	487584	0	43	950328	0
pdvd	039252	16	98	453340	0	57	1164088	0
pdvd	039252	2	97	545864	0	56	991164	0
pdvd	039252	9	71	404328	0	28	723484	0
pdvd	039253	0	65	383916	0	25	713220	0
pdvd	039252	5	93	705580	0	81	1144076	0
pdvd	039253	10	63	366464	0	21	634120	0
pdvd	039253	13	68	366424	0	27	735936	0
pdvd	039253	12	73	384372	0	30	747328	0
pdvd	039253	1	85	470096	0	47	925336	0
pdvd	039253	16	59	366128	0	17	518792	0
pdvd	039253	14	74	410696	0	33	824420	0
pdvd	039253	3	58	366024	0	16	518008	0
pdvd	039253	15	70	366868	0	27	719652	0
pdvd	039252	8	109	674520	0	82	1150028	0
pdvd	039253	11	92	531484	0	53	1041320	0
pdvd	039253	4	74	367848	0	29	719248	0
pdvd	039253	6	74	366140	0	30	706344	0
