sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18259	1	69000	0	9.148	0.668	17	1196920	0	cosmic-tagged	8	1	1	0	1													
mcp1k	18259	1	69066	0	14.225	1.183	22	1197752	0	cosmic-tagged	8	1	1	0	1													
mcp1k	18259	1	69286	0	13.475	1.254	22	1197752	0	no-bundle	10	0	1	0	0													
mcp1k	18259	1	69308	0	10.198	0.707	17	1199476	0	nu-candidate	8	1	1	0	1													
mcp1k	18259	1	70562	0	13.636	0.692	21	1195828	0	nu-candidate	7	2	2	0	2													
mcp1k	18259	1	70980	0	13.630	1.264	21	1196832	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	71046	0	15.045	3.390	22	1525468	0	nu-candidate	14	1	1	1	0	0.784	192.2	8	-84.401825	123.519905	347.4732	1.2811828	-15.0	1.0	0.0	0.7	0.0	619.7239
mcp1k	18259	1	71178	0	15.293	3.470	22	1533884	0	nu-candidate	12	1	1	1	0	1.562	23.9	11	96.12021	-129.53502	464.9207	-1.8060608	-15.0	1.0	0.0	0.7	0.0	251.33969
mcp1k	18259	1	71222	0	15.035	4.231	22	1531184	0	nu-candidate	12	1	1	1	0	1.702	122.8	11	-118.04956	99.81798	98.14123	2.7324615	-15.0	1.0	0.0	0.7	0.0	1030.1628
mcp1k	18259	1	71266	0	15.200	3.352	22	1532324	0	nu-candidate	13	1	1	1	0	0.687	95.2	1	162.6135	175.76537	500.16208	-0.29728946	-15.0	1.0	1.0	0.7	0.0	348.72348
mcp1k	18259	1	71288	0	13.534	1.027	21	1191252	0	no-bundle	14	0	1	0	0													
mcp1k	18259	1	71376	0	13.803	0.769	21	1193636	0	no-beam-flash	12	0	0	0	0													
mcp1k	18259	1	71486	0	13.936	1.289	21	1195988	0	cosmic-tagged	13	1	1	0	1													
mcp1k	18259	1	71530	0	13.882	1.546	21	1194352	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	71640	0	15.276	4.452	22	1532228	0	nu-candidate	11	1	1	1	0	1.066	230.1	6	-114.834694	-12.289231	328.98056	4.0832844	-15.0	1.0	0.0	0.7	0.0	780.4059
mcp1k	18259	1	71882	0	13.955	1.484	21	1194156	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	71948	0	14.055	1.179	21	1200016	0	no-beam-flash	11	0	0	0	0													
mcp1k	18259	1	72256	0	14.159	3.172	21	1533064	0	nu-candidate	12	1	1	1	0	1.031	75.9	2	-12.752346	53.224277	443.98355	1.7750195	-15.0	1.0	0.0	0.7	0.0	436.61215
mcp1k	18259	1	72564	0	13.876	0.800	20	1195744	0	no-bundle	10	0	1	0	0													
mcp1k	18259	1	72586	0	15.386	4.335	22	1532216	0	nu-candidate	15	1	1	1	0	1.175	301.4	17	-62.036224	-198.69914	54.315716	-2.586	-15.0	1.0	1.0	0.7	0.0	862.8169
mcp1k	18259	1	72828	0	13.877	0.958	20	1196760	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	73004	0	15.339	4.113	22	1531944	0	nu-candidate	12	1	1	1	0	0.625	106.4	9	-11.948154	152.09108	159.63863	1.1944033	-4.300936	1.0	0.0	0.7	0.0	524.95337
mcp1k	18259	1	73070	0	12.368	0.768	19	1197152	0	nu-candidate	9	1	1	0	1													
mcp1k	18259	1	73422	0	13.169	1.170	20	1197604	0	no-beam-flash	10	0	0	0	0													
mcp1k	18259	1	166650	0	13.032	1.225	19	1196288	0	cosmic-tagged	13	1	1	0	1													
mcp1k	18259	1	166738	0	16.050	5.552	22	1534524	0	nu-candidate	11	1	1	1	0	0.646	218.0	34	25.543251	45.238377	177.6618	3.720932	-15.0	1.0	0.0	0.7	0.0	1471.0659
mcp1k	18259	1	166804	0	12.381	2.715	19	1534552	0	nu-candidate	10	1	1	1	0	1.658	28.3	1	62.93909	77.78381	478.8218	-0.51746106	-4.300936	1.0	0.0	0.7	0.0	86.888
mcp1k	18259	1	166870	0	13.246	4.734	19	1533692	0	nu-candidate	17	1	1	1	0	0.621	31.9	16	-141.3828	146.91855	142.15286	-0.5018423	0.45071697	1.0	0.0	0.7	0.0	743.5953
mcp1k	18259	1	167112	0	5.774	3.769	12	1532844	0	nu-candidate	15	1	1	1	0	1.250	57.0	10	-111.05796	172.55159	224.46083	1.684114	-15.0	1.0	0.0	0.7	0.0	607.6163
mcp1k	18259	1	167200	0	4.449	0.866	10	1194332	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	167222	0	4.485	0.904	11	1194784	0	no-bundle	7	0	1	0	0													
mcp1k	18259	1	167354	0	4.283	1.381	11	1199552	0	cosmic-tagged	14	1	1	0	1													
mcp1k	18259	1	167376	0	3.404	1.067	10	1191552	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18259	1	167398	0	4.197	1.913	11	1191000	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18259	1	167640	0	12.480	1.843	19	1196604	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	167684	0	10.073	2.948	17	1532904	0	nu-candidate	14	1	1	1	0	1.139	14.6	0	8.423321	-176.408	247.56822	-2.520313	-4.300936	1.0	0.0	0.7	0.0	60.178978
mcp1k	18259	1	167904	0	14.387	1.431	22	1195744	0	no-beam-flash	16	0	0	0	0													
mcp1k	18259	1	168388	0	10.990	0.747	18	1196228	0	cosmic-tagged	7	1	1	0	1													
mcp1k	18259	1	168410	0	13.242	0.866	21	1195528	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18259	1	168432	0	14.882	4.194	22	1532932	0	nu-candidate	13	1	1	1	0	1.143	84.7	7	-97.03879	-190.4526	450.32315	1.5952193	-4.300936	1.0	0.0	0.7	0.0	766.9337
mcp1k	18259	1	168526	0	14.940	9.408	22	1532408	0	nu-candidate	13	1	1	1	0	1.265	373.1	38	-155.81961	-98.866234	38.32023	4.277171	-4.300936	1.0	0.0	0.7	0.0	2136.3127
mcp1k	18259	1	168614	0	10.048	3.334	17	1532696	0	nu-candidate	9	1	1	1	0	1.099	174.2	1	104.9638	194.30238	346.9207	-0.13000102	-15.0	1.0	1.0	0.7	0.0	708.6151
mcp1k	18259	1	168658	0	14.652	3.291	22	1534028	0	nu-candidate	17	1	1	1	0	1.634	90.3	5	168.06526	-177.3999	257.00363	2.144039	-15.0	1.0	1.0	0.7	0.0	350.38245
mcp1k	18259	1	169054	0	11.002	0.853	18	1195276	0	cosmic-tagged	6	1	1	0	1													
mcp1k	18259	1	169202	0	13.373	1.034	20	1194748	0	no-bundle	9	0	1	0	0													
mcp1k	18259	1	169208	0	13.608	1.822	20	1195884	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18259	1	169340	0	13.647	0.990	20	1192128	0	no-bundle	10	0	1	0	0													
mcp1k	18259	1	169356	0	14.648	4.317	22	1528548	0	nu-candidate	11	1	1	1	0	1.689	123.6	17	140.63695	152.3263	178.04199	2.3091931	-15.0	1.0	0.0	0.7	0.0	1056.938
mcp1k	18259	1	169488	0	13.739	2.659	21	1531376	0	nu-candidate	6	1	1	1	0	1.123	3.7	11	95.29633	160.29924	416.40442	-1.5860355	-15.0	1.0	0.0	0.7	0.0	102.08168
mcp1k	18259	1	169532	0	13.483	1.542	20	1195764	0	cosmic-tagged	8	1	1	0	1													
mcp1k	18259	1	169598	0	13.560	3.396	21	1532700	0	nu-candidate	10	2	2	1	1	1.514	88.0	2	86.79134	160.14122	189.55228	0.4393523	-15.0	1.0	1.0	0.7	0.0	351.03015
mcp1k	18259	1	169620	0	13.915	4.604	21	1529060	0	nu-candidate	10	1	1	1	0	1.854	201.4	8	50.508358	157.14923	32.151978	3.7154665	-15.0	1.0	0.0	0.7	0.0	1096.0945
mcp1k	18259	1	169626	0	13.792	3.907	21	1533432	0	nu-candidate	9	1	1	1	0	1.243	43.2	20	9.615024	208.36034	412.07156	-0.33119002	-4.300936	1.0	0.0	0.7	0.0	1099.9146
