event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
291064	9	1	1	0	0	0	14	14	164.7	164.7	1	1	nu-candidate	nu-candidate
291262	6	1	1	0	0	0	18	18	141.1	141.1	5	5	nu-candidate	nu-candidate
291301	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
291345	7	1	1	0	0	0							nu-candidate	nu-candidate
291372	8	3	3	0	0	0	11	11	8.2	8.2	5	5	nu-candidate	nu-candidate
291499	11	3	3	0	0	0	12	12	40.9	40.9	4	4	nu-candidate	nu-candidate
291526	3	1	1	0	0	0							cosmic-tagged	cosmic-tagged
291548	4	1	1	0	0	0	21	21	82.2	82.2	11	11	nu-candidate	nu-candidate
291570	11	1	1	0	0	0	17	17	197.2	197.2	1	1	nu-candidate	nu-candidate
291724	15	4	4	0	0	0							nu-candidate	nu-candidate
291768	5	0		0	0	0							cosmic-tagged	cosmic-tagged
291785	3	0		0	0	0							cosmic-tagged	cosmic-tagged
291961	4	0		0	0	0	4	4	126.3	126.3	10	10	nu-candidate	nu-candidate
292005	8	2	2	0	0	0	18	18	169.2	169.2	15	15	nu-candidate	nu-candidate
292027	12	2	2	0	0	0	12	12	302.1	302.1	8	8	nu-candidate	nu-candidate
292115	10	0		0	0	0							no-bundle	no-bundle
292384	5	1	1	0	0	0	19	19	460.5	460.5	7	7	nu-candidate	nu-candidate
292406	10	0		0	0	0	6	6	46.4	46.4	6	6	nu-candidate	nu-candidate
292423	11	0		0	0	0							no-beam-flash	no-beam-flash
292450	5	0		0	0	0							cosmic-tagged	cosmic-tagged
292533	7	0		0	0	0	3	3	308.6	308.6	3	3	nu-candidate	nu-candidate
292577	9	1	1	0	0	0	12	12	64.9	64.9	7	7	nu-candidate	nu-candidate
292643	7	1	1	0	0	0	18	18	184.3	184.3	14	14	nu-candidate	nu-candidate
292687	11	3	3	0	0	0	11	11	117.5	117.5	6	6	nu-candidate	nu-candidate
292797	6	1	1	0	0	0	4	4	0.8	0.8	0	0	cosmic-tagged	cosmic-tagged
293127	8	0		0	0	0							no-bundle	no-bundle
293149	6	0		0	0	0	4	4	48.4	48.4	17	17	nu-candidate	nu-candidate
293391	5	0		0	0	0							cosmic-tagged	cosmic-tagged
313781	12	1	1	0	0	0	9	9	24.2	24.2	4	4	nu-candidate	nu-candidate
313847	7	1	1	0	0	0							cosmic-tagged	cosmic-tagged
313979	8	0		0	0	0	12	12	272.9	272.9	0	0	nu-candidate	nu-candidate
314199	11	0		0	0	0							no-bundle	no-bundle
314309	6	0		0	0	0							nu-candidate	nu-candidate
314507	6	1	1	1	0	1	17	17	79.3	79.3	2	1	nu-candidate	nu-candidate
314705	6	0		0	0	0	3	3	5.2	5.2	10	10	nu-candidate	nu-candidate
314881	8	0		0	0	0							nu-candidate	nu-candidate
314925	7	0		0	0	0							no-bundle	no-bundle
315013	7	2	2	0	0	0	15	15	214.4	214.4	14	14	nu-candidate	nu-candidate
315079	4	1	1	0	0	0							cosmic-tagged	cosmic-tagged
315167	4	0		0	0	0	8	8	162.5	162.5	14	14	nu-candidate	nu-candidate
315343	10	3	3	0	0	0	7	7	35.1	35.1	16	16	nu-candidate	nu-candidate
315409	6	1	1	0	0	0							cosmic-tagged	cosmic-tagged
315497	7	0		0	0	0	14	14	312.8	312.8	6	6	nu-candidate	nu-candidate
315629	2	0		0	0	0							no-bundle	no-bundle
315849	8	2	2	1	0	1	11	11	69.8	69.8	4	3	nu-candidate	nu-candidate
315871	10	2	2	0	0	0	18	18	104.0	104.0	6	6	nu-candidate	nu-candidate
315959	5	0		0	0	0							no-bundle	no-bundle
316003	12	3	3	0	0	0	16	16	32.9	32.9	6	6	nu-candidate	nu-candidate
316025	7	4	4	0	0	0	16	16	80.8	80.8	16	16	nu-candidate	nu-candidate
316311	2	0		0	0	0	11	11	91.1	91.1	2	2	nu-candidate	nu-candidate
316487	9	0		0	0	0							no-beam-flash	no-beam-flash
316553	5	1	1	0	0	0	11	11	255.8	255.8	2	2	nu-candidate	nu-candidate
316729	6	1	1	0	0	0	8	8	140.7	140.7	9	9	nu-candidate	nu-candidate
316971	6	0		0	0	0							no-beam-flash	no-beam-flash
317191	9	1	1	0	0	0	17	17	129.6	129.6	11	11	nu-candidate	nu-candidate
317323	4	1	1	0	0	0							nu-candidate	nu-candidate
317543	5	3	3	0	0	0	15	15	106.0	106.0	7	7	nu-candidate	nu-candidate
317741	7	1	1	0	0	0	13	13	10.6	10.6	18	18	nu-candidate	nu-candidate
317939	7	3	3	1	0	1	26	26	148.2	148.2	7	6	nu-candidate	nu-candidate
