kind	event	id	cluster	pdg	score	dirsign	length_cm	energy_mev	gap_displayed_cm	gap_main_cluster_cm	conn4_producers
B_cross	57709	92026	92	13	-1.000	0	2.9	13.1	-1.00	73.48	pr123_pass4_prune
B_cross	287007	58030	58	11	-1.000	0	2.7	15.1	-1.00	115.78	-
B_cross	409140	17007	17	11	-1.000	0	2.7	6.3	-1.00	78.45	-
B_cross	174637	12046	12	2212	-1.000	0	2.4	17.1	-1.00	256.11	pr123_pass4_prune
B_cross	174637	28053	28	13	-1.000	0	2.4	7.4	-1.00	37.34	pr123_pass4_prune
B_cross	389538	75083	75	13	-1.000	0	2.3	6.9	-1.00	235.61	pr124_pass4_prune2
B_cross	388	97179	97	11	-1.000	0	2.3	4.3	-1.00	320.97	-
B_cross	292027	20009	20	11	-1.000	0	2.3	0.1	-1.00	304.40	-
B_cross	395870	53018	53	2212	-1.000	0	2.2	103.3	-1.00	46.24	-
B_cross	281567	14037	14	11	-1.000	0	2.2	0.7	-1.00	198.03	pr123_pass4_prune
B_cross	105946	39013	39	11	-1.000	0	2.0	12.2	-1.00	64.76	pr123_pass4_prune
B_cross	293149	31010	31	13	-1.000	0	2.0	6.4	-1.00	70.59	pr123_pass4_prune
B_cross	281567	65076	65	2212	-1.000	0	1.9	7.3	-1.00	82.51	pr123_pass4_prune
B_cross	180801	23018	23	11	-1.000	0	1.8	7.7	-1.00	137.08	pr124_pass4_prune2
B_cross	54453	35036	35	11	-1.000	0	1.8	1.4	-1.00	220.01	-
B_cross	401450	94107	94	11	-1.000	0	1.8	1.0	-1.00	353.91	-
B_cross	56982	51050	51	13	-1.000	0	1.7	10.2	-1.00	74.64	pr123_pass4_prune
B_cross	314838	113094	113	11	-1.000	0	1.6	1.8	-1.00	85.76	pr123_pass4_prune
B_cross	486907	63011	63	11	-1.000	0	1.6	2.1	-1.00	197.85	pr124_pass4_prune2
B_cross	415278	110187	110	13	-1.000	0	1.6	5.3	-1.00	113.74	pr123_pass4_prune,pr124_pass4_prune2
B_cross	180801	66028	66	11	-1.000	0	1.4	0.9	-1.00	41.47	pr124_pass4_prune2
B_cross	486907	90047	90	13	-1.000	0	1.3	9.3	-1.00	111.70	pr124_pass4_prune2
B_cross	94392	12020	12	11	-1.000	0	1.2	6.1	-1.00	188.80	-
B_cross	408304	17011	17	11	-1.000	0	1.2	7.8	-1.00	425.13	-
B_cross	170808	19005	19	11	-1.000	0	1.2	2.6	-1.00	279.21	-
B_cross	165157	43016	43	13	-1.000	0	1.1	3.9	-1.00	81.15	pr123_pass4_prune
B_cross	52672	15018	15	11	-1.000	0	1.1	5.4	-1.00	235.24	-
B_cross	408304	18012	18	11	-1.000	0	1.1	2.6	-1.00	383.07	-
B_cross	317939	31024	31	11	-1.000	0	1.0	2.6	-1.00	438.47	-
B_cross	289508	24019	24	11	-1.000	0	1.0	3.6	-1.00	288.26	-
B_cross	72786	15010	15	11	-1.000	0	1.0	0.2	-1.00	155.61	-
B_cross	171572	72011	72	11	-1.000	0	1.0	3.9	-1.00	144.70	-
B_cross	318703	49048	49	11	-1.000	0	1.0	3.6	-1.00	80.56	-
B_cross	487853	17002	17	11	-1.000	0	1.0	2.2	-1.00	328.01	-
B_cross	395870	24004	24	11	-1.000	0	1.0	3.6	-1.00	216.97	-
B_cross	475096	27027	27	11	-1.000	0	0.9	3.2	-1.00	506.93	-
B_cross	64591	24003	24	11	-1.000	0	0.9	1.8	-1.00	268.57	-
B_cross	267597	11039	11	11	-1.000	0	0.9	0.3	-1.00	206.64	pr123_pass4_prune
B_cross	174752	17001	17	11	-1.000	0	0.9	3.7	-1.00	484.08	-
B_cross	282271	53040	53	11	-1.000	0	0.9	0.8	-1.00	83.67	-
B_cross	103798	50005	50	11	-1.000	0	0.9	7.4	-1.00	72.23	-
B_cross	348691	28025	28	11	-1.000	0	0.9	8.7	-1.00	35.34	-
B_cross	350354	95080	95	11	-1.000	0	0.9	2.3	-1.00	277.16	-
B_cross	174771	96080	96	11	-1.000	0	0.9	1.2	-1.00	200.21	-
B_cross	91917	21015	21	11	-1.000	0	0.9	0.8	-1.00	276.95	-
B_cross	114446	33002	33	11	-1.000	0	0.9	5.6	-1.00	357.43	-
B_cross	105946	57057	57	2212	-1.000	0	0.9	60.3	-1.00	114.37	pr123_pass4_prune
B_cross	179611	75018	75	11	-1.000	0	0.9	1.5	-1.00	149.23	-
B_cross	410008	93021	93	11	-1.000	0	0.9	1.8	-1.00	153.03	-
B_cross	84229	18063	18	11	-1.000	0	0.9	0.8	-1.00	453.11	-
B_cross	52693	46010	46	2212	-1.000	0	0.9	4.2	-1.00	34.73	-
B_cross	388	27066	27	11	-1.000	0	0.9	4.8	-1.00	351.39	-
B_cross	318703	39042	39	2212	-1.000	0	0.9	4.4	-1.00	74.26	-
B_cross	412242	61051	61	11	-1.000	0	0.8	1.7	-1.00	318.39	-
B_cross	100135	45018	45	11	-1.000	0	0.8	0.0	-1.00	110.97	-
B_cross	67394	21014	21	11	-1.000	0	0.8	2.4	-1.00	408.72	-
B_cross	256587	16183	16	2212	-1.000	0	0.8	21.9	-1.00	221.00	-
B_cross	76346	19021	19	2212	-1.000	0	0.8	24.0	-1.00	216.36	pr124_pass4_prune2
B_cross	395870	52017	52	11	-1.000	0	0.8	1.6	-1.00	77.03	-
B_cross	285567	123098	123	11	-1.000	0	0.8	0.8	-1.00	316.14	-
B_cross	410008	85013	85	11	-1.000	0	0.8	1.4	-1.00	180.63	-
B_cross	283515	26017	26	11	-1.000	0	0.8	2.4	-1.00	156.50	-
B_cross	475096	30030	30	11	-1.000	0	0.8	6.3	-1.00	466.59	-
B_cross	280159	18013	18	11	-1.000	0	0.8	1.8	-1.00	249.66	-
B_cross	54332	26023	26	11	-1.000	0	0.8	3.1	-1.00	231.27	pr123_pass4_prune
B_cross	408678	45020	45	11	-1.000	0	0.8	4.3	-1.00	80.19	-
B_cross	407918	46016	46	11	-1.000	0	0.8	2.4	-1.00	101.36	-
B_cross	359980	23053	23	2212	-1.000	0	0.8	3.8	-1.00	157.65	-
B_cross	284206	18036	18	11	-1.000	0	0.8	0.8	-1.00	157.39	-
B_cross	395123	52004	52	2212	-1.000	0	0.8	3.8	-1.00	174.47	-
B_cross	396323	38018	38	11	-1.000	0	0.8	3.7	-1.00	128.96	-
B_cross	318703	20035	20	11	-1.000	0	0.8	0.6	-1.00	148.68	-
B_cross	412242	26014	26	11	-1.000	0	0.8	3.4	-1.00	326.11	-
B_cross	52605	18006	18	11	-1.000	0	0.8	3.4	-1.00	296.56	-
B_cross	282271	70057	70	11	-1.000	0	0.7	1.6	-1.00	87.08	-
