sample	run	subrun	evt	event_label	has_main	main_cluster	n_seg	n_shower	n_em_shower	em_max	em_sum	em_tier	has_mu	has_mu_any	mu_len	has_e	n_prim	pio_flag	pio_mass	n_pio_showers	has_pio_pair	lead_pio	has_e_nonpio	pio_e1	pio_e2	pio_angle	Enu	nue_score	numu_score	pio_2_score	cosmic_flag	match_isFC	is_nuecc_reco	is_ncpi0_reco	is_numucc_em
ncpi0	18255	1	359980	nu-candidate	1	70	56	11	9	596.3	769.16	200	0	1	13.12	0	1	1	157.35	0	0	0	0	596.3	163.29	29.21	941.39	-15.0	0.3717	0.2	1	1	0	0	0
ncpi0	18259	1	37112	nu-candidate	1	84	53	13	11	511.33	768.54	200	0	1	2.01	1	4	1	96.59	0	0	0	1	242.61	511.33	15.76	1538.61	-2.4678	0.3361	-0.1004	1	1	1	0	0
ncpi0	18255	1	399860	nu-candidate	1	17	47	9	6	910.67	921.12	200	0	1	15.77	1	4	1	44.43	0	0	0	1	910.67	2.97	42.21	1386.5	4.3009	0.5342	-0.1965	1	1	1	0	0
ncpi0	18255	1	463565	nu-candidate	1	108	73	35	32	658.84	1082.01	200	0	0	0.0	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	1282.48	-15.0	-0.4496	0.2	1	1	0	0	0
ncpi0	18255	1	506114	nu-candidate	1	28	87	21	18	1714.99	1842.53	200	0	0	0.0	0	1	1	87.94	0	0	0	0	1714.99	12.81	34.51	2291.9	-15.0	-1.0117	0.2	1	1	0	0	0
ncpi0	18255	1	506746	nu-candidate	1	21	75	14	13	1038.19	1250.07	200	1	1	74.95	0	3	1	10.14	0	0	0	0	17.14	1038.19	4.35	1925.98	-15.0	1.1116	0.2	1	1	0	0	1
ncpi0	18255	1	521075	nu-candidate	1	94	25	10	9	671.17	684.02	200	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	880.96	-15.0	-0.2021	0.2	1	1	0	0	0
ncpi0	18255	1	56982	nu-candidate	1	22	71	28	25	520.81	1043.58	200	0	0	0.0	1	6	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1231.22	-1.2854	1.1116	-0.2269	1	1	1	0	0
ncpi0	18255	1	71372	nu-candidate	1	92	123	17	15	1900.97	2130.1	200	1	1	57.27	0	2	1	136.28	0	0	0	0	120.67	65.84	99.72	2597.32	-15.0	2.6257	0.2	1	0	0	0	1
ncpi0	18364	1	84229	nu-candidate	1	19	68	17	16	958.15	1015.66	200	1	1	60.6	0	2	1	75.88	0	0	0	0	31.5	958.15	25.23	1566.25	-15.0	0.7589	0.2	1	1	0	0	1
mcp1k	18259	1	166738	nu-candidate	1	16	43	30	25	73.29	127.53	50	1	1	171.08	0	2	1	9.85	0	0	0	0	13.68	9.25	51.96	1484.62	-15.0	3.9012	0.2	1	1	0	0	0
mcp1k	18259	1	166804	nu-candidate	1	9	3	2	2	10.22	10.83	0	0	1	26.13	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	205.74	-15.0	-1.2656	0.2	1	0	0	0	0
mcp1k	18259	1	166870	nu-candidate	1	10	32	14	10	173.78	223.84	100	0	0	0.0	0	3	1	329.66	0	0	0	0	173.78	167.35	154.14	673.06	-15.0	-0.5404	0.2	1	1	0	0	0
mcp1k	18259	1	167112	nu-candidate	1	16	13	10	10	33.4	74.39	0	1	1	53.09	0	3	1	31.65	0	0	0	0	30.97	33.4	58.94	642.29	-15.0	3.5606	0.2	1	0	0	0	0
mcp1k	18259	1	167684	nu-candidate	1	10	2	1	1	41.69	41.69	0	0	1	3.66	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	157.92	-15.0	-1.5694	0.2	1	1	0	0	0
mcp1k	18259	1	168432	nu-candidate	1	19	16	6	6	259.11	495.74	200	1	1	86.54	1	2	1	58.45	0	0	0	1	259.11	128.58	18.43	824.2	-4.3009	1.863	-0.0563	1	1	0	0	1
mcp1k	18259	1	168526	nu-candidate	1	19	53	35	32	60.62	155.41	50	1	1	96.55	0	4	1	20.58	0	0	0	0	6.17	60.62	64.3	2414.95	-15.0	3.7231	0.2	1	1	0	0	0
mcp1k	18259	1	168614	nu-candidate	1	5	4	2	1	1.18	1.18	0	1	1	176.39	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	548.67	-15.0	2.3649	0.2	1	0	0	0	0
mcp1k	18259	1	168658	nu-candidate	1	12	6	5	5	5.54	11.94	0	1	1	91.17	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	350.22	-15.0	1.9718	0.2	1	1	0	0	0
mcp1k	18259	1	169356	nu-candidate	1	16	26	16	14	100.23	210.47	100	0	0	0.0	0	2	1	138.09	0	0	0	0	84.88	100.23	96.93	1098.76	-15.0	0.9956	0.2	1	0	0	0	0
mcp1k	18259	1	169488	nu-candidate	1	8	12	11	11	3.26	18.44	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	98.47	-15.0	-1.7561	0.2	1	1	0	0	0
mcp1k	18259	1	169598	nu-candidate	1	18	5	3	3	6.01	7.97	0	1	1	83.29	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	447.1	-15.0	-1.4645	0.2	1	0	0	0	0
mcp1k	18259	1	169620	nu-candidate	1	13	10	7	7	5.17	12.39	0	1	1	182.26	0	3	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	1092.44	-15.0	3.6606	0.2	1	1	0	0	0
mcp1k	18259	1	169626	nu-candidate	1	22	44	8	6	537.08	564.28	200	0	0	0.0	0	1	2	145.8	0	0	0	0	107.87	537.08	36.72	782.61	-15.0	0.1879	0.2	1	1	0	0	0
mcp1k	18259	1	169758	cosmic-tagged	0	-1	0	0	0	0.0	0	0	0	0	0.0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	0.0	-15.0	-1.9417	0.2	1	0	0	0	0
mcp1k	18259	1	169774	nu-candidate	1	2	11	5	5	59.63	64.64	50	0	0	0.0	1	1	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	64.64	-15.0	-2.0772	0.2	1	0	0	0	0
mcp1k	18259	1	169824	nu-candidate	1	18	9	4	4	2.53	5.14	0	1	1	185.32	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	1062.91	-15.0	4.301	0.2	1	1	0	0	0
mcp1k	18259	1	169846	nu-candidate	1	6	9	8	8	8.01	19.73	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	32.72	-15.0	-2.7578	0.2	1	1	0	0	0
mcp1k	18259	1	169890	nu-candidate	1	21	4	2	1	1.57	1.57	0	1	1	88.02	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	477.73	-15.0	4.301	0.2	1	0	0	0	0
mcp1k	18259	1	170792	nu-candidate	1	10	7	4	4	2.37	6.09	0	0	1	23.51	0	3	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	574.76	-15.0	1.5955	0.2	1	0	0	0	0
mcp1k	18259	1	170808	nu-candidate	1	14	20	9	6	298.38	307.03	200	1	1	37.71	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	734.86	-15.0	2.1975	0.2	1	0	0	0	1
mcp1k	18259	1	170814	nu-candidate	1	18	5	4	3	44.2	50.78	0	1	1	52.88	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	308.94	-15.0	0.1884	0.2	1	1	0	0	0
mcp1k	18259	1	170880	nu-candidate	1	13	11	9	9	6.32	16.53	0	0	0	0.0	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	187.45	-15.0	-2.473	0.2	1	1	0	0	0
mcp1k	18259	1	170924	nu-candidate	1	16	3	1	1	1.78	1.78	0	0	1	18.11	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	358.76	-15.0	2.2258	0.2	1	0	0	0	0
mcp1k	18259	1	171358	nu-candidate	1	10	14	9	9	5.59	26.66	0	0	1	16.74	0	3	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	414.61	-15.0	0.1662	0.2	1	1	0	0	0
mcp1k	18259	1	171600	nu-candidate	1	14	13	11	11	5.42	17.01	0	1	1	355.18	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	934.75	-15.0	4.301	0.2	1	1	0	0	0
mcp1k	18259	1	171892	nu-candidate	1	58	2	1	1	0.47	0.47	0	0	1	0.39	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	106.87	-15.0	-1.2726	0.2	1	0	0	0	0
mcp1k	18259	1	172090	nu-candidate	1	10	4	3	2	15.5	17.95	0	1	1	303.8	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	823.24	-15.0	-2.0982	0.2	1	0	0	0	0
mcp1k	18259	1	172266	nu-candidate	1	16	24	17	17	129.23	194.89	100	1	1	113.74	1	4	1	67.07	0	0	0	1	14.36	129.23	101.37	732.94	-15.0	1.8538	0.2	1	1	0	0	1
mcp1k	18259	1	172656	nu-candidate	1	10	17	15	14	37.59	76.37	0	1	1	255.79	0	1	1	34.83	0	0	0	0	54.57	5.82	159.24	900.9	-15.0	1.8753	0.2	1	1	0	0	0
mcp1k	18259	1	172788	nu-candidate	1	26	8	3	3	8.23	10.85	0	0	0	0.0	1	1	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	811.04	-15.0	1.5872	0.2	1	0	0	0	0
mcp1k	18259	1	172794	nu-candidate	1	49	4	2	1	1.57	1.57	0	1	1	68.61	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	1060.69	-15.0	1.8676	0.2	1	1	0	0	0
mcp1k	18259	1	172832	nu-candidate	1	21	17	15	14	5.58	26.72	0	1	1	125.63	0	2	1	6.32	0	0	0	0	5.58	3.03	100.38	657.34	-15.0	4.301	0.2	1	1	0	0	0
mcp1k	18259	1	172942	nu-candidate	1	4	20	5	4	368.81	472.34	200	0	1	3.22	1	2	1	101.78	0	0	0	1	368.81	96.94	25.3	649.14	-4.3009	1.227	0.2	1	1	1	0	0
mcp1k	18259	1	173058	nu-candidate	1	14	23	21	19	11.26	43.62	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	114.44	-15.0	-1.9667	0.2	1	1	0	0	0
mcp1k	18259	1	173146	nu-candidate	1	15	15	12	11	6.14	18.49	0	1	1	139.26	0	3	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	831.06	-15.0	3.7053	0.2	1	0	0	0	0
mcp1k	18259	1	173234	nu-candidate	1	10	9	8	8	25.89	50.4	0	1	1	235.64	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	699.42	-15.0	2.8322	0.2	1	1	0	0	0
mcp1k	18259	1	173498	nu-candidate	1	6	7	2	2	12.06	19.15	0	1	1	172.04	0	2	1	0.4	0	0	0	0	12.06	7.09	2.47	779.35	-15.0	2.9013	0.2	1	0	0	0	0
mcp1k	18259	1	174114	nu-candidate	1	17	12	10	10	3.78	11.92	0	1	1	37.46	0	2	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	411.93	-15.0	0.3664	0.2	1	1	0	0	0
mcp1k	18259	1	174224	nu-candidate	1	20	16	11	9	13.89	24.83	0	0	1	13.67	1	3	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	1042.89	-15.0	4.301	0.2	1	0	0	0	0
mcp1k	18259	1	174422	cosmic-tagged	1	18	4	3	3	11.04	14.74	0	1	1	134.18	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	431.94	-15.0	0.9551	0.2	1	1	0	0	0
mcp1k	18259	1	174576	nu-candidate	1	5	7	4	4	7.21	20.84	0	1	1	99.57	0	2	1	2.31	0	0	0	0	7.21	5.87	20.44	606.43	-15.0	2.6223	0.2	1	0	0	0	0
mcp1k	18259	1	174752	nu-candidate	1	48	8	7	7	44.56	64.33	0	0	0	0.0	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	60.36	-15.0	-2.4726	0.2	1	1	0	0	0
mcp1k	18259	1	174928	nu-candidate	1	9	11	7	6	14.57	33.45	0	1	1	89.6	0	2	1	13.82	0	0	0	0	14.18	14.57	60.47	642.44	-15.0	2.0771	0.2	1	0	0	0	0
mcp1k	18259	1	175016	nu-candidate	1	19	7	6	5	5.06	13.89	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	84.41	-15.0	-0.5246	0.2	1	1	0	0	0
mcp1k	18259	1	175808	nu-candidate	1	18	11	9	9	2.92	12.3	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	123.13	-15.0	-0.7753	0.2	1	0	0	0	0
mcp1k	18259	1	175896	nu-candidate	1	17	19	9	9	253.94	496.38	200	0	0	0.0	1	2	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	492.03	-4.3009	-1.0981	-0.1992	1	1	1	0	0
mcp1k	18255	1	276836	nu-candidate	1	11	14	10	9	5.46	17.69	0	1	1	222.35	0	1	1	4.48	0	0	0	0	2.5	3.41	100.14	638.82	-15.0	0.3269	0.2	1	1	0	0	0
mcp1k	18255	1	277276	nu-candidate	1	8	5	2	2	11.78	12.55	0	1	1	136.96	0	3	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	747.51	-15.0	3.2827	0.2	1	0	0	0	0
mcp1k	18255	1	277298	nu-candidate	1	17	13	10	10	133.19	249.08	100	0	1	6.42	1	5	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	533.17	-4.3009	-0.2255	-0.0308	1	1	1	0	0
mcp1k	18255	1	278046	nu-candidate	1	3	11	6	4	11.37	16.22	0	0	1	14.93	1	4	0	-1.0	0	0	0	1	-1.0	-1.0	-1.0	659.31	-15.0	-0.3047	0.2	1	1	0	0	0
mcp1k	18255	1	278266	nu-candidate	1	22	6	5	4	4.62	9.67	0	0	0	0.0	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	166.28	-15.0	-3.2517	0.2	1	1	0	0	0
mcp1k	18255	1	278420	nu-candidate	1	18	39	11	11	129.18	264.05	100	1	1	62.01	0	2	1	14.54	0	0	0	0	63.04	129.18	9.24	793.86	-15.0	1.9407	0.2	1	1	0	0	1
mcp1k	18255	1	278640	nu-candidate	1	17	5	3	1	13.09	13.09	0	1	1	128.57	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	430.68	-15.0	-0.9107	0.2	1	0	0	0	0
mcp1k	18255	1	278684	nu-candidate	1	10	19	10	9	39.73	77.97	0	1	1	35.83	0	1	0	-1.0	0	0	0	0	-1.0	-1.0	-1.0	573.96	-15.0	-2.4176	0.2	1	0	0	0	0
