evt	call	j	k	nedge	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	verdict	conf	rule
167684	0	0	1	1	3.04	7.39	0.99	30	55.9	0	6	2.59	261	1.6	good	low	R4 residual, committed good
167684	0	0	2	1	5.07	7.39	0.99	76	60.3	0	6	2.04	261	1.3	good	low	R4 residual, committed good
168432	0	0	1	1	5.88	28.81	1.95	11	22.9	0	0	1.10	692	26.9	good	low	R4 residual, committed good
168526	0	1	2	1	1.10	8.08	0.69	12	29.7	1	0	0.60	402	39.9	good	high	R3 W-plane gap (robust plane sees a hole)
168526	0	1	7	1	0.68	1.10	0.31	9	68.3	0	0	1.05	464	40.1	good	low	R4 residual, committed good
168526	0	2	7	1	0.68	8.08	0.69	9	88.3	1	0	1.25	554	39.0	good	high	R3 W-plane gap (robust plane sees a hole)
169356	0	1	2	1	2.82	32.63	0.84	37	36.1	0	4	0.60	242	111.0	good	low	R4 residual, committed good
169356	0	3	5	1	2.31	68.37	7.59	17	40.4	0	0	1.08	291	3.0	good	low	R4 residual, committed good
169356	0	6	7	1	3.09	3.75	0.57	12	19.5	0	0	1.30	97	66.1	good	low	R4 residual, committed good
169598	0	0	1	1	1.03	85.61	2.83	9	63.5	0	0	1.35	210	81.6	good	low	R4 residual, committed good
169626	0	0	1	1	1.32	39.50	2.80	15	22.4	1	0	1.93	1203	44.6	good	high	R3 W-plane gap (robust plane sees a hole)
169626	0	1	2	1	6.47	39.50	2.80	135	73.5	1	0	1.38	537	60.1	good	high	R3 W-plane gap (robust plane sees a hole)
169626	0	3	4	1	1.41	37.33	2.61	16	85.8	0	0	2.27	1087	14.8	good	low	R4 residual, committed good
169824	0	1	2	2	34.25	175.25	11.74	503	46.7	0	6	1.18	533	143.3	bad	high	R2 long-track break, no W gap
170814	0	0	1	1	19.02	32.92	3.02	273	18.7	1	0	1.00	181	28.8	good	high	R3 W-plane gap (robust plane sees a hole)
170880	0	0	1	1	9.20	17.62	1.52	33	11.2	0	0	3.90	332	15.9	good	low	R4 residual, committed good
172266	0	1	2	1	2.71	116.12	2.32	16	8.3	1	0	1.00	143	114.0	good	high	R3 W-plane gap (robust plane sees a hole)
172656	0	0	1	1	26.93	121.73	1.70	487	18.4	1	0	0.92	354	232.8	good	high	R3 W-plane gap (robust plane sees a hole)
172656	0	2	3	1	9.20	109.63	1.36	201	42.8	1	0	1.11	334	0.8	good	high	R3 W-plane gap (robust plane sees a hole)
172794	0	0	1	2	13.18	206.51	2.13	408	17.9	0	6	2.11	753	93.9	bad	high	R2 long-track break, no W gap
172942	0	2	3	1	11.15	54.88	3.39	352	32.7	1	0	2.13	709	15.7	good	high	R3 W-plane gap (robust plane sees a hole)
172942	0	2	7	1	1.84	54.88	3.39	4	31.9	0	0	3.33	649	10.2	good	low	R4 residual, committed good
173058	0	0	1	1	0.92	0.97	0.31	10	47.5	1	0	0.97	21	44.0	good	high	R3 W-plane gap (robust plane sees a hole)
173146	0	0	1	1	1.32	1.39	0.47	13	85.3	0	0	0.60	26	7.4	good	low	R4 residual, committed good
173234	0	1	2	1	6.19	138.72	1.45	127	78.2	0	0	1.41	351	225.6	bad	high	R2 long-track break, no W gap
174224	0	1	2	2	84.39	175.05	1.38	1295	4.2	1	1	1.65	461	146.7	good	high	R3 W-plane gap (robust plane sees a hole)
174224	0	2	3	1	65.96	84.39	2.22	1295	2.3	0	6	1.21	418	62.5	bad	high	R2 long-track break, no W gap
174224	1	0	1	1	0.94	0.94	0.19	6	0.0	0	0	1.57	14	309.5	good	low	R4 residual, committed good
