bucket	bucket_pi0	e1_hand	e1_now	e1_reco	e2_hand	e2_now	e2_reco	event	g1_matched	g1_shower	g2_matched	g2_shower	label_mass_axis	label_mass_vertex	m_axis_now	m_axis_scanhand	m_axis_scanreco	m_vtx_now	m_vtx_scanhand	m_vtx_scanreco	origin	sample	setname	theta_axis	theta_vertex	vertex_how
1 under-clustered	4 pi0, vertex not usable	537.0790268382368	537.0790268382368	537.0790268382368	107.87364515127247	107.87364515127247	107.87364515127247	169626	53069	53069	22034	22034	144.57156906285562	145.44846908337985	144.57156906285562	144.57156906285562	144.57156906285562	145.44846908337985	145.44846908337985	145.44846908337985	owner	mcp1k	98	34.95297272720493	35.171875452561565	backproject
1 under-clustered	3 pi0, vertex usable	261.20547399512543	221.82947399512543	221.82947399512543	38.48277220895264	38.48277220895264	38.48277220895264	173093	12007	12007	18017	18017	149.85463870065396	148.99379139810804	138.09841008133193	149.85463870065396	138.09841008133193	137.30509700917625	148.99379139810804	137.30509700917625	ncpi0	mcp2k	98	96.72026994156077	95.9825390268948	main_vertex
1+2 both	3 pi0, vertex usable	916.1134400359011	916.1134400359011	916.1134400359011	250.75948371067702	250.75948371067702	250.75948371067702	269774	13237	13237	97197	97197	162.58885764081114	154.31411906030496	162.58885764081114	162.58885764081114	162.58885764081114	154.31411906030496	154.31411906030496	154.31411906030496	nuecc	nuecc48	98	19.53056216079798	18.52758567669106	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	200.43530462329034	200.43530462329034	200.43530462329034	39.22585756638626	39.22585756638626	39.22585756638626	278794	49030	49030	44022	44022	143.01116149129618	159.07220820649397	143.01116149129618	143.01116149129618	143.01116149129618	159.07220820649397	159.07220820649397	159.07220820649397	ncpi0	mcp1k	98	107.49714425039342	127.53219763190741	main_vertex
scanned, no clustering correction	4 pi0, vertex not usable	159.55492960510784	159.55492960510784	159.55492960510784	81.73166118748765	80.35540412736214	81.73166118748765	281165	24010	24010	55036	55036	137.3890466402442	148.10533784720272	136.2274074824097	137.3890466402442	137.3890466402442	146.8530912952769	148.10533784720272	148.10533784720272	ncpi0	mcp2k	98	73.96199934056263	80.8528146327328	manual
1 under-clustered	3 pi0, vertex usable	73.3815284446563	73.3815284446563	73.3815284446563	29.246385233391074	29.246385233391074	29.246385233391074	281485	84070	84070	89095	89095	60.612099133634885	67.22058155874241	60.612099133634885	60.612099133634885	60.612099133634885	67.22058155874241	67.22058155874241	67.22058155874241	ncpi0	mcp1k	98	81.71559637558825	93.02241165286786	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	149.73264502012057	149.73264502012057	149.73264502012057	144.4807426287947	144.4807426287947	144.4807426287947	281639	23001	23001	91023	91023	125.08228423087716	128.09304032730137	125.08228423087716	125.08228423087716	125.08228423087716	128.09304032730137	128.09304032730137	128.09304032730137	ncpi0	mcp1k	98	50.32780227038613	51.627098868677045	main_vertex
1 under-clustered	3 pi0, vertex usable	133.58755619190876	133.58755619190876	133.58755619190876	87.68845357478176	87.68845357478176	87.68845357478176	284235	6004	6004	74027	74027	161.0706247178788	146.45053877227502	161.0706247178788	161.0706247178788	161.0706247178788	146.45053877227502	146.45053877227502	146.45053877227502	ncpi0	mcp1k	98	96.16395309907966	85.1509309362735	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	86.6115558994622	86.6115558994622	86.6115558994622	102.07004856910048	102.07004856910048	102.07004856910048	285567	121096	121096	8107	8107	147.9300576732301		147.9300576732301	147.9300576732301	147.9300576732301				ncpi0	ncpi0	98	103.74970665484416		main_vertex
1 under-clustered	3 pi0, vertex usable	74.69657147354916	53.454510785214666	74.69657147354916	126.68346958561867	67.38746958561866	67.38746958561866	342199	69087	69087	74101	74101	118.89753945653113	152.86601403889549	73.35746453496026	118.89753945653113	86.71664498494907	94.31535130765926	152.86601403889549	111.49118754069369	nuecc	nuecc48	98	75.34229644566733	103.57558532709723	main_vertex
1 under-clustered	4 pi0, vertex not usable	143.17027638427473	143.17027638427473	143.17027638427473	64.51259947705763	64.51259947705763	64.51259947705763	347129	53021	53021	11000	11000	130.69122634252085	131.1284602972805	130.69122634252085	130.69122634252085	130.69122634252085	131.1284602972805	131.1284602972805	131.1284602972805	owner	mcp1k	98	85.67721046882909	86.03321002590879	backproject
scanned, no clustering correction	3 pi0, vertex usable	596.3002650006367	596.3002650006367	596.3002650006367	163.28597687234114	163.28597687234114	163.28597687234114	359980	21035	21035	75089	75089	184.49214176250865	157.35022974643715	184.49214176250865	184.49214176250865	184.49214176250865	157.35022974643715	157.35022974643715	157.35022974643715	ncpi0	ncpi0	98	34.39001925478979	29.20758770250544	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	399.51141240970134	399.51141240970134	399.51141240970134	117.679357668607	117.679357668607	117.679357668607	399052	15032	15032	64067	64067	161.02102551580813	159.03889679896517	161.02102551580813	161.02102551580813	161.02102551580813	159.03889679896517	159.03889679896517	159.03889679896517	ncpi0	mcp1k	98	43.59298956145467	43.02944437087815	main_vertex
1 under-clustered	3 pi0, vertex usable	180.5729575119107	180.5729575119107	180.5729575119107	39.058141104419754	39.058141104419754	39.058141104419754	409634	21002	21002	69032	69032	41.02596081710179	83.43074115696923	41.02596081710179	41.02596081710179	41.02596081710179	83.43074115696923	83.43074115696923	83.43074115696923	ncpi0	mcp1k	98	28.275831808145732	59.56681646196913	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	1714.9872107307726	1714.9872107307726	1714.9872107307726	44.79252756192	44.79252756192	44.79252756192	506114	19022	19022	89100	89100	279.83645890871475	158.9218945128548	279.83645890871475	279.83645890871475	279.83645890871475	158.9218945128548	158.9218945128548	158.9218945128548	ncpi0	ncpi0	98	60.639506163747654	33.3204180227201	main_vertex
scanned, no clustering correction	3 pi0, vertex usable	1038.1855187447975	1038.1855187447975	1038.1855187447975	78.31920806843112	78.31920806843112	78.31920806843112	506746	69124	69124	21056	21056	142.62121242498984		142.62121242498984	142.62121242498984	142.62121242498984				ncpi0	ncpi0	98	28.964733743504834		main_vertex
good (no major change)	-	103.53320463483087	101.9492699754474	103.53320463483087	136.14407359081656	40.7342237531377	40.7342237531377	52044	18004	18004	24035	24035	195.12728488286686		105.91332079791538	195.12728488286686	106.73291074214261				numucc_em	mcp2k	141	110.5241825996306		main_vertex
1 under-clustered	-	341.11625238219057	242.49089010576444	242.49089010576444	47.62256609827169	23.69543924198939	23.69543924198939	54341	101041	101041	96031	96031	135.21072087119535	100.6815746980868	80.4143621355989	135.21072087119535	80.4143621355989	59.87871787080376	100.6815746980868	59.87871787080376	other_em	mcp1k	141	64.06827460977428	46.528012273274065	main_vertex
good (no major change)	3 pi0, vertex usable	120.09788212859583	120.09788212859583	120.09788212859583	112.2280298118749	112.2280298118749	112.2280298118749	56243	69032	69032	71044	71044	138.85857185327333	165.92634680166552	138.85857185327333	138.85857185327333	138.85857185327333	165.92634680166552	165.92634680166552	165.92634680166552	numucc_em	mcp1k	141	73.45814586289848	91.22193277495491	main_vertex
good (no major change)	3 pi0, vertex usable	211.59478175870086	194.49937214936443	211.59478175870086	98.51761337298032	98.51761337298032	98.51761337298032	57709	20014	20014	99036	99036	178.31262518374822	161.78756024411422	170.95772079734547	178.31262518374822	178.31262518374822	155.1142692459102	161.78756024411422	161.78756024411422	other_em	mcp2k	141	76.26878493210035	68.15043338833985	main_vertex
good (no major change)	3 pi0, vertex usable	106.71576687049209	106.71576687049209	106.71576687049209	63.057916644927275	63.057916644927275	63.057916644927275	71178	10013	10013	80039	80039	149.77823286927205	25.645294226526467	149.77823286927205	149.77823286927205	149.77823286927205	25.645294226526467	25.645294226526467	25.645294226526467	other_em	mcp1k	141	131.8252007815052	17.98584464279623	main_vertex
good (no major change)	-	200.57042625248351	200.57042625248351	200.57042625248351	19.858832626393855	19.858832626393855	19.858832626393855	71872	79074	79074	64044	64044	97.14203623319904	101.14115014379587	97.14203623319904	97.14203623319904	97.14203623319904	101.14115014379587	101.14115014379587	101.14115014379587	numucc_em	mcp2k	141	100.63655118708935	106.5061757031277	manual
good (no major change)	3 pi0, vertex usable	159.57778254239315	159.57778254239315	159.57778254239315	63.1313839267117	60.27606497296301	63.1313839267117	74123	78026	78026	77020	77020	177.70337348904488	151.58041331154152	173.63827541141302	177.70337348904488	177.70337348904488	148.11289755952697	151.58041331154152	151.58041331154152	numucc_em	mcp2k	141	124.56002113057271	98.06814161282672	main_vertex
1 under-clustered	3 pi0, vertex usable	213.36901361294454	201.67101361294453	201.67101361294453	54.511005802722806	54.511005802722806	54.511005802722806	91917	87053	87053	83035	83035	152.43618946159137	140.74162841182454	148.1986166293415	152.43618946159137	148.1986166293415	136.8291526209309	140.74162841182454	136.8291526209309	numucc_em	mcp2k	141	89.93810983621484	81.46168896439983	main_vertex
good (no major change)	3 pi0, vertex usable	156.6150625154013	156.6150625154013	156.6150625154013	64.77515856692435	64.77515856692435	64.77515856692435	99782	64035	64035	61032	61032	153.87237346672694	158.83697077197914	153.87237346672694	153.87237346672694	153.87237346672694	158.83697077197914	158.83697077197914	158.83697077197914	numucc_em	mcp2k	141	99.6100718643334	104.09073517573317	main_vertex
good (no major change)	3 pi0, vertex usable	132.99076934992823	132.99076934992823	132.99076934992823	97.63757145187115	97.63757145187115	97.63757145187115	103798	92061	92061	89037	89037	137.75028667686092	74.49607670055852	137.75028667686092	137.75028667686092	137.75028667686092	74.49607670055852	74.49607670055852	74.49607670055852	other_em	mcp2k	141	74.37512607055767	38.158645176841716	main_vertex
good (no major change)	-	259.1147802957622	259.1147802957622	259.1147802957622	142.95265255334263	119.38321274077319	128.58265255334263	168432	22006	22006	49028	49028	117.01702611882429	61.631744136586256	106.93615846340546	117.01702611882429	110.97985112482048	56.322247932310276	61.631744136586256	58.452022032211374	numucc_em	mcp1k	141	35.39629901610793	18.427152874598864	main_vertex
good (no major change)	-	117.19954439412611	117.19954439412611	117.19954439412611	39.755290721050386	39.755290721050386	39.755290721050386	171729	9005	9005	24018	24018	130.73681747607972		130.73681747607972	130.73681747607972	130.73681747607972				numucc_em	mcp2k	141	146.53187173528445		main_vertex
good (no major change)	3 pi0, vertex usable	116.13197269097499	116.13197269097499	116.13197269097499	67.81091178806349	67.81091178806349	67.81091178806349	242726	26008	26008	62021	62021	161.7599776859509	134.52706080296065	161.7599776859509	161.7599776859509	161.7599776859509	134.52706080296065	134.52706080296065	134.52706080296065	numucc_em	mcp2k	141	131.40280711683744	98.57172298019024	main_vertex
2 over-clustered	3 pi0, vertex usable	78.10917179168834	78.10917179168834	78.10917179168834	129.57520232008835	129.57520232008835	129.57520232008835	280159	24015	24015	95114	95114	133.9402018530602	75.6007655793415	133.9402018530602	133.9402018530602	133.9402018530602	75.6007655793415	75.6007655793415	75.6007655793415	numucc_em	mcp2k	141	83.46984775210574	44.13977140119475	main_vertex
good (no major change)	3 pi0, vertex usable	163.91661916692013	163.91661916692013	163.91661916692013	27.131576821667906	27.131576821667906	27.131576821667906	283713	67051	67051	47021	47021	90.83918434820013	94.77528160596205	90.83918434820013	90.83918434820013	90.83918434820013	94.77528160596205	94.77528160596205	94.77528160596205	numucc_em	mcp1k	141	85.85523238489051	90.56507589007332	main_vertex
good (no major change)	3 pi0, vertex usable	281.3164247878678	281.3164247878678	281.3164247878678	37.10649699897328	37.10649699897328	37.10649699897328	285443	49035	49035	50036	50036	163.85765699155306	161.4970461424005	163.85765699155306	163.85765699155306	163.85765699155306	161.4970461424005	161.4970461424005	161.4970461424005	numucc_em	mcp1k	141	106.62172596944326	104.43394663843762	main_vertex
good (no major change)	3 pi0, vertex usable	259.12200676943024	259.12200676943024	259.12200676943024	65.49651525517169	65.49651525517169	65.49651525517169	292027	56038	56038	59042	59042	154.10119135496205	154.68540489877725	154.10119135496205	154.10119135496205	154.10119135496205	154.68540489877725	154.68540489877725	154.68540489877725	numucc_em	mcp1k	141	72.51930937194237	72.83828410140114	main_vertex
good (no major change)	3 pi0, vertex usable	329.79091200655796	305.3342216634553	329.79091200655796	38.09013768875123	38.09013768875123	38.09013768875123	292524	79054	79054	83073	83073	88.03659055975979	114.29581876525504	84.70940171935445	88.03659055975979	88.03659055975979	109.97620835914091	114.29581876525504	114.29581876525504	numucc_em	mcp2k	141	46.25047436760496	61.31273064178658	main_vertex
2 over-clustered	3 pi0, vertex usable	527.9643500764562	443.7119435408862	546.3123500764561	137.03028036844978	137.03028036844978	137.03028036844978	347824	107060	24112	106049	106049	112.98648707335155	114.0077707067417	103.57972798548346	112.98648707335155	114.93299286208162	104.51598402532211	114.0077707067417	115.97187094022195	numucc_em	mcp2k	141	24.248481705228812	24.471041216741284	main_vertex
good (no major change)	3 pi0, vertex usable	130.54865934587238	130.54865934587238	130.54865934587238	55.45400772842321	55.45400772842321	55.45400772842321	399118	15009	15009	60031	60031	157.25376922237294	141.93717724610497	157.25376922237294	157.25376922237294	157.25376922237294	141.93717724610497	141.93717724610497	141.93717724610497	numucc_em	mcp1k	141	135.06569351448252	113.04263268979182	main_vertex
good (no major change)	3 pi0, vertex usable	153.5095389447311	153.5095389447311	153.5095389447311	63.89119753500841	67.65419753500841	67.65419753500841	400504	63024	63024	62014	62014	164.8858863027366	141.7750147392416	169.6720638110043	164.8858863027366	169.6720638110043	145.89034808883721	141.7750147392416	145.89034808883721	numucc_em	mcp1k	141	112.70530916148967	91.41484592808087	main_vertex
good (no major change)	3 pi0, vertex usable	130.9582020880548	130.9582020880548	130.9582020880548	96.76989152845186	96.76989152845186	96.76989152845186	403023	59022	59022	60030	60030	169.7025259733456	159.6084296205512	169.7025259733456	169.7025259733456	169.7025259733456	159.6084296205512	159.6084296205512	159.6084296205512	numucc_em	mcp2k	141	97.83087171230719	90.29213313472327	main_vertex
2 over-clustered	-	237.23407065278863	362.29507065278864	362.29507065278864	46.35523460369549	46.35523460369549	46.35523460369549	489327	19005	19005	82027	82027	124.91053951208387	130.75643741067202	154.36248672018232	124.91053951208387	154.36248672018232	161.58675570711645	130.75643741067202	161.58675570711645	numucc_em	mcp1k	141	73.106231364438	77.13566279251407	manual
2 over-clustered	3 pi0, vertex usable	103.72137519592812	103.72137519592812	103.72137519592812	40.81145506318192	40.81145506318192	40.81145506318192	499577	76044	76044	96066	96066	126.53295073705125	119.4652320022505	126.53295073705125	126.53295073705125	126.53295073705125	119.4652320022505	119.4652320022505	119.4652320022505	numucc_em	mcp2k	141	153.01863738459926	133.29753789331784	main_vertex
