event	node	owner	positive	fired	vgap_cm	b_cm	miss_deg
410008	20001	KEEP	0	0	172.47	173.32	88.48
410008	98035	KEEP	0	0	168.24	169.57	82.68
412242	14007	KEEP	0	0	3.69	2.10	5.09
412242	60050	KEEP	0	0	28.84	2.06	2.51
412242	64054	KEEP	0	0	52.61	10.97	9.02
415278	23012	SPLIT3	1	1	0.00	15.42	12.98
415278	23037	SPLIT4+	1	1	0.00	6.69	7.80
415278	83139	SPLIT2	1	1	96.41	48.46	20.23
444187	19082	KEEP	0	0	0.00	1.98	2.40
463565	109073	KEEP	0	0	71.85	24.28	16.39
463565	114086	KEEP	0	0	60.21	24.70	17.81
463565	115088	KEEP	0	0	62.67	5.19	3.74
475096	19014	KEEP	0	0	80.08	49.71	33.14
486687	103067	KEEP	0	0	27.74	4.19	3.79
486907	24002	TRIM	0	0	27.21	10.81	15.31
487853	13000	SPLIT2	1	1	3.94	11.66	77.10
499577	13009	TRIM	0	0	0.00	23.64	85.27
506746	21056	KEEP	0	0	0.00	0.75	2.29
506746	21067	KEEP	0	0	17.46	18.26	86.60
521075	18007	KEEP	0	0	6.61	1.44	2.53
