idx	evt	man	class	n_fire	n_fire_touch	d_fire_traj	maxsep	route_lo	route_hi	dvtx	d_old_on	d_new_off	slide	traj_moved_pct	denu	pio_mass_off	pio_mass_on	npart_off	npart_on	nusel_delta	particle_delta
30	463565	NCpi0-19	A	7	7	0.05	3.269	12.3	70.7	14.17	2.24	1.11	1	7.2	221.9	275.6	263.1	5	5	-	p 0->1
31	399860	NCpi0-19	C	2	2	0.25	5.060	10.9	21.3	0.92	0.66	0.57	1	7.6	-13.0	127.2	93.0	5	5	-	p 2->0, pi+ 0->1
32	18625	NCpi0-19	C	3	3	0.23	6.040	93.1	153.0	0.81	0.35	0.67	1	0.1	0.3	0.0	0.0	4	4	-	-
33	285567	NCpi0-19	C	2	2	0.63	3.118	63.9	64.6	0.51	0.51	0.45	1	0.4	-291.5	245.3	219.3	5	5	-	p 0->2, pi+ 1->0
34	142421	NCpi0-19	D	3	3	0.20	3.863	233.9	234.7	0.01	0.01	0.01	1	2.1	-11.0	80.6	80.8	5	5	-	p 812->801 MeV
35	105946	NCpi0-19	D	2	2	0.19	3.679	14.7	16.3	0.00	0.00	0.00	1	0.4	0.0	49.4	49.4	4	4	-	-
36	180801	NCpi0-19	D	1	1	0.94	3.600	17.7	17.7	0.00	0.00	0.00	1	6.6	0.0	190.8	190.8	5	5	-	-
37	21073	NCpi0-19	C	2	2	0.29	3.426	7.6	19.7	0.00	0.00	0.00	1	0.6	-3.9	216.6	233.8	5	5	-	-
38	259542	NCpi0-19	D	7	7	0.20	3.666	16.5	41.1	0.00	0.00	0.00	1	5.4	-0.8	145.1	145.0	4	4	-	-
39	314838	NCpi0-19	D	3	3	0.00	4.583	26.4	29.7	0.00	0.00	0.00	1	6.5	-3.3	256.8	256.3	4	4	-	-
40	359980	NCpi0-19	D	13	13	0.00	4.157	36.3	58.2	0.00	0.00	0.00	1	4.8	-0.7	272.4	272.2	5	5	-	-
41	521075	NCpi0-19	D	2	2	0.42	3.600	9.5	15.1	0.00	0.00	0.00	1	1.7	-4.7	0.0	0.0	5	4	-	-
42	71372	NCpi0-19	C	6	6	0.00	5.896	8.1	67.2	0.00	0.00	0.00	1	6.3	-311.2	114.6	231.9	5	5	-	e 6->4
43	51051	mcp1k-50	A	3	3	0.18	4.765	300.9	312.7	247.03	0.03	0.27	1	0.0	78.8	0.0	0.0	4	4	-	p 0->1, pi+ 1->0, mu 0->1
44	57903	mcp1k-50	A	1	1	0.17	4.850	105.8	105.8	27.52	6.54	2.49	0	36.7	99.7	0.0	0.0	5	4	-	p 0->1, pi+ 1->0
45	55595	mcp1k-50	B	5	5	0.20	4.260	197.2	211.5	1.65	0.46	0.30	1	5.9	136.1	0.0	12.0	4	5	-	p 1->0
46	59025	mcp1k-50	C	3	3	0.17	4.777	182.7	343.8	0.23	0.23	0.23	1	0.0	-158.3	0.0	0.0	5	4	-	pi+ 1->0
47	56463	mcp1k-50	C	4	4	0.17	5.349	310.8	588.9	0.10	0.10	0.10	1	0.0	-143.0	0.0	0.0	5	5	-	pi+ 174->168 MeV, mu 912->917 MeV
