set	sample	event	shower	conn	kine_best	kine_charge	E	nearest_edge	d_MeV	d_frac	tier	tier_prev_fudge	flip_crossed
98	ncpi0	37112	84070	1	38.05	38.05	38.05	100.0	61.95	0.6195	0	0	0
98	ncpi0	37112	84074	1	171.09	171.09	171.09	150.0	21.09	0.1406	2	2	0
98	ncpi0	37112	67048	2	741.69	741.69	741.69	800.0	58.31	0.0729	4	4	0
98	ncpi0	37112	15015	2	17.31	17.31	17.31	100.0	82.69	0.8269	0	0	0
98	ncpi0	37112	14014	4	1.53	1.53	1.53	100.0	98.47	0.9847	0	0	0
98	ncpi0	37112	47028	3	0.14	0.14	0.14	100.0	99.86	0.9986	0	0	0
98	nuecc48	38856	12035	1	253.06	253.06	253.06	250.0	3.06	0.0122	3	3	0
98	nuecc48	38856	12088	1	34.26	80.19	34.26	100.0	65.74	0.6574	0	0	0
98	nuecc48	38856	12089	1	73.9	73.9	73.9	100.0	26.1	0.261	0	0	0
98	nuecc48	38856	12090	1	339.62	339.62	339.62	360.0	20.38	0.0566	3	3	0
98	nuecc48	38856	12082	1	3.09	1.67	3.09	100.0	96.91	0.9691	0	0	0
98	nuecc48	38856	39044	3	1.56	1.56	1.56	100.0	98.44	0.9844	0	0	0
98	nuecc48	42280	8021	1	1726.97	1726.97	1726.97	800.0	926.97	1.1587	5	5	0
98	nuecc48	42280	37084	2	10.96	10.96	10.96	100.0	89.04	0.8904	0	0	0
98	nuecc48	42280	16070	4	0.66	0.66	0.66	100.0	99.34	0.9934	0	0	0
98	nuecc48	46363	19079	1	1714.99	1714.99	1714.99	800.0	914.99	1.1437	5	5	0
98	nuecc48	46363	78129	2	10.63	10.63	10.63	100.0	89.37	0.8937	0	0	0
98	nuecc48	46363	85136	3	20.32	20.32	20.32	100.0	79.68	0.7968	0	0	0
98	nuecc48	46363	25093	4	0.29	0.29	0.29	100.0	99.71	0.9971	0	0	0
98	nuecc48	46363	48095	4	0.99	0.99	0.99	100.0	99.01	0.9901	0	0	0
98	mcp2k	47212	105072	2	571.52	571.52	571.52	360.0	211.52	0.5876	4	4	0
98	mcp2k	47212	109100	2	221.88	221.88	221.88	250.0	28.12	0.1125	2	2	0
98	mcp2k	47212	59027	2	13.99	13.99	13.99	100.0	86.01	0.8601	0	0	0
98	mcp2k	47212	39007	3	1.85	1.85	1.85	100.0	98.15	0.9815	0	0	0
98	mcp2k	47212	41009	3	0.37	0.37	0.37	100.0	99.63	0.9963	0	0	0
98	mcp2k	47212	42010	3	2.17	2.17	2.17	100.0	97.83	0.9783	0	0	0
98	mcp2k	47212	43011	3	4.1	4.1	4.1	100.0	95.9	0.959	0	0	0
98	mcp2k	47212	44012	3	1.41	1.41	1.41	100.0	98.59	0.9859	0	0	0
98	mcp2k	47212	45013	3	0.91	0.91	0.91	100.0	99.09	0.9909	0	0	0
98	mcp2k	47212	47015	3	0.33	0.33	0.33	100.0	99.67	0.9967	0	0	0
98	mcp2k	47212	48016	3	1.18	1.18	1.18	100.0	98.82	0.9882	0	0	0
98	mcp2k	47212	49017	3	1.21	1.21	1.21	100.0	98.79	0.9879	0	0	0
98	mcp2k	47212	51019	3	1.91	1.91	1.91	100.0	98.09	0.9809	0	0	0
98	mcp2k	47212	52020	3	0.58	0.58	0.58	100.0	99.42	0.9942	0	0	0
98	mcp2k	47212	53021	3	13.12	13.12	13.12	100.0	86.88	0.8688	0	0	0
98	mcp2k	47212	54022	3	2.65	2.65	2.65	100.0	97.35	0.9735	0	0	0
98	mcp2k	47212	55023	3	2.13	2.13	2.13	100.0	97.87	0.9787	0	0	0
98	mcp2k	47212	56024	3	19.85	19.85	19.85	100.0	80.15	0.8015	0	0	0
98	mcp2k	47212	57025	3	5.06	5.06	5.06	100.0	94.94	0.9494	0	0	0
98	mcp2k	47212	58026	3	2.9	2.9	2.9	100.0	97.1	0.971	0	0	0
98	mcp2k	47212	62030	3	4.42	4.42	4.42	100.0	95.58	0.9558	0	0	0
98	mcp2k	47212	70038	3	65.09	65.09	65.09	100.0	34.91	0.3491	0	0	0
98	mcp2k	47212	72044	3	1.93	1.93	1.93	100.0	98.07	0.9807	0	0	0
98	mcp2k	47212	73045	3	0.41	0.41	0.41	100.0	99.59	0.9959	0	0	0
98	mcp2k	47212	74046	3	1.32	1.32	1.32	100.0	98.68	0.9868	0	0	0
98	nuecc48	52672	82082	1	90.71	90.71	90.71	100.0	9.29	0.0929	0	0	0
98	nuecc48	52672	9011	2	754.45	754.45	754.45	800.0	45.55	0.0569	4	4	0
98	nuecc48	52672	15018	4	5.05	5.05	5.05	100.0	94.95	0.9495	0	0	0
98	nuecc48	52672	16019	4	1.47	1.47	1.47	100.0	98.53	0.9853	0	0	0
98	nuecc48	54095	17137	1	2458.08	2458.08	2458.08	800.0	1658.08	2.0726	5	5	0
98	nuecc48	54095	85115	2	25.46	25.46	25.46	100.0	74.54	0.7454	0	0	0
98	nuecc48	54095	69105	2	5.58	5.58	5.58	100.0	94.42	0.9442	0	0	0
98	nuecc48	54095	21075	4	1.09	1.09	1.09	100.0	98.91	0.9891	0	0	0
98	nuecc48	54095	42078	3	1.46	1.46	1.46	100.0	98.54	0.9854	0	0	0
98	nuecc48	54095	68104	4	19.81	19.81	19.81	100.0	80.19	0.8019	0	0	0
98	mcp2k	54332	84046	2	15.08	15.08	15.08	100.0	84.92	0.8492	0	0	0
98	mcp2k	54332	89051	2	2.61	2.61	2.61	100.0	97.39	0.9739	0	0	0
98	mcp2k	54332	97060	2	137.76	137.76	137.76	150.0	12.24	0.0816	1	1	0
98	mcp2k	54332	27025	2	60.45	60.45	60.45	100.0	39.55	0.3955	0	0	0
98	mcp2k	54332	122091	2	185.86	185.86	185.86	150.0	35.86	0.239	2	2	0
98	mcp2k	54332	128111	2	82.63	82.63	82.63	100.0	17.37	0.1737	0	0	0
98	mcp2k	54332	69031	2	4.02	4.02	4.02	100.0	95.98	0.9598	0	0	0
98	mcp2k	54332	120071	2	62.1	62.1	62.1	100.0	37.9	0.379	0	0	0
98	mcp2k	54332	81043	2	5.14	5.14	5.14	100.0	94.86	0.9486	0	0	0
98	mcp2k	54332	25022	3	1.53	1.53	1.53	100.0	98.47	0.9847	0	0	0
98	mcp2k	54332	26023	4	2.91	2.91	2.91	100.0	97.09	0.9709	0	0	0
98	mcp2k	54332	71033	3	0.22	0.22	0.22	100.0	99.78	0.9978	0	0	0
98	mcp2k	54332	74036	3	1.4	1.4	1.4	100.0	98.6	0.986	0	0	0
98	mcp2k	54332	75037	3	0.7	0.7	0.7	100.0	99.3	0.993	0	0	0
98	mcp2k	54332	80042	3	0.36	0.36	0.36	100.0	99.64	0.9964	0	0	0
98	mcp2k	54332	82044	3	1.06	1.06	1.06	100.0	98.94	0.9894	0	0	0
98	mcp2k	54332	83045	3	0.87	0.87	0.87	100.0	99.13	0.9913	0	0	0
98	mcp2k	54332	86048	3	3.23	3.23	3.23	100.0	96.77	0.9677	0	0	0
98	mcp2k	54332	16017	3	166.5	166.5	166.5	150.0	16.5	0.11	2	2	0
98	ncpi0	56982	22028	1	32.78	20.17	32.78	100.0	67.22	0.6722	0	0	0
98	ncpi0	56982	22046	1	496.22	496.22	496.22	360.0	136.22	0.3784	4	4	0
98	ncpi0	56982	22116	1	131.88	131.88	131.88	150.0	18.12	0.1208	1	1	0
98	ncpi0	56982	22118	1	121.28	121.28	121.28	100.0	21.28	0.2128	1	1	0
98	ncpi0	56982	22119	1	138.96	138.96	138.96	150.0	11.04	0.0736	1	1	0
98	ncpi0	56982	71070	2	8.42	8.42	8.42	100.0	91.58	0.9158	0	0	0
98	ncpi0	56982	63062	3	8.93	8.93	8.93	100.0	91.07	0.9107	0	0	0
98	ncpi0	56982	30047	4	1.85	1.85	1.85	100.0	98.15	0.9815	0	0	0
98	ncpi0	56982	69068	3	1.92	1.92	1.92	100.0	98.08	0.9808	0	0	0
98	ncpi0	56982	72071	3	1.66	1.66	1.66	100.0	98.34	0.9834	0	0	0
98	ncpi0	56982	73072	3	2.31	2.31	2.31	100.0	97.69	0.9769	0	0	0
98	ncpi0	56982	75074	3	2.22	2.22	2.22	100.0	97.78	0.9778	0	0	0
98	ncpi0	56982	76075	3	1.61	1.61	1.61	100.0	98.39	0.9839	0	0	0
98	ncpi0	56982	77076	3	2.55	2.55	2.55	100.0	97.45	0.9745	0	0	0
98	ncpi0	56982	79078	3	0.79	0.79	0.79	100.0	99.21	0.9921	0	0	0
98	ncpi0	56982	82081	3	5.16	5.16	5.16	100.0	94.84	0.9484	0	0	0
98	ncpi0	56982	93112	3	1.34	1.34	1.34	100.0	98.66	0.9866	0	0	0
98	mcp1k	64591	78025	2	49.25	49.25	49.25	100.0	50.75	0.5075	0	0	0
98	mcp1k	64591	83044	2	282.18	282.18	282.18	250.0	32.18	0.1287	3	3	0
98	mcp1k	64591	24003	4	1.72	1.72	1.72	100.0	98.28	0.9828	0	0	0
98	mcp1k	64591	62010	3	1.22	1.22	1.22	100.0	98.78	0.9878	0	0	0
98	mcp1k	64591	64012	3	0.95	0.95	0.95	100.0	99.05	0.9905	0	0	0
98	mcp1k	64591	84052	4	0.49	0.49	0.49	100.0	99.51	0.9951	0	0	0
98	mcp1k	64591	85053	4	0.3	0.3	0.3	100.0	99.7	0.997	0	0	0
98	nuecc48	69314	3014	1	69.49	69.49	69.49	100.0	30.51	0.3051	0	0	0
98	nuecc48	69314	3001	1	21.43	21.43	21.43	100.0	78.57	0.7857	0	0	0
98	nuecc48	69314	49088	2	0.6	0.6	0.6	100.0	99.4	0.994	0	0	0
98	nuecc48	69314	71076	2	4.21	4.21	4.21	100.0	95.79	0.9579	0	0	0
98	nuecc48	69314	30019	3	1.8	1.8	1.8	100.0	98.2	0.982	0	0	0
98	nuecc48	69314	31020	3	1.81	1.81	1.81	100.0	98.19	0.9819	0	0	0
98	nuecc48	69314	32021	3	1.07	1.07	1.07	100.0	98.93	0.9893	0	0	0
98	nuecc48	69314	33022	3	0.88	0.88	0.88	100.0	99.12	0.9912	0	0	0
98	nuecc48	69314	35024	3	1.02	1.02	1.02	100.0	98.98	0.9898	0	0	0
98	nuecc48	69314	37026	3	1.97	1.97	1.97	100.0	98.03	0.9803	0	0	0
98	nuecc48	69314	39028	3	3.06	3.06	3.06	100.0	96.94	0.9694	0	0	0
98	nuecc48	69314	42031	3	0.63	0.63	0.63	100.0	99.37	0.9937	0	0	0
98	nuecc48	69314	46035	3	0.21	0.21	0.21	100.0	99.79	0.9979	0	0	0
98	nuecc48	69314	47036	3	0.82	0.82	0.82	100.0	99.18	0.9918	0	0	0
98	nuecc48	69314	48037	3	1.51	1.51	1.51	100.0	98.49	0.9849	0	0	0
98	nuecc48	69314	69039	3	3.36	3.36	3.36	100.0	96.64	0.9664	0	0	0
98	nuecc48	69314	73084	3	1.57	1.57	1.57	100.0	98.43	0.9843	0	0	0
98	ncpi0	71372	19049	2	1770.89	1770.89	1770.89	800.0	970.89	1.2136	5	5	0
98	ncpi0	71372	94132	2	109.82	109.82	109.82	100.0	9.82	0.0982	1	1	0
98	ncpi0	71372	74215	2	3.2	3.2	3.2	100.0	96.8	0.968	0	0	0
98	ncpi0	71372	97140	2	75.66	75.66	75.66	100.0	24.34	0.2434	0	0	0
98	ncpi0	71372	58100	2	6.14	6.14	6.14	100.0	93.86	0.9386	0	0	0
98	ncpi0	71372	53095	2	2.21	2.21	2.21	100.0	97.79	0.9779	0	0	0
98	ncpi0	71372	59101	3	2.17	2.17	2.17	100.0	97.83	0.9783	0	0	0
98	ncpi0	71372	118169	3	10.91	10.91	10.91	100.0	89.09	0.8909	0	0	0
98	nuecc48	74544	12085	1	1922.46	1922.46	1922.46	800.0	1122.46	1.4031	5	5	0
98	nuecc48	74544	16058	4	1.34	1.34	1.34	100.0	98.66	0.9866	0	0	0
98	nuecc48	74544	39068	3	1.62	1.62	1.62	100.0	98.38	0.9838	0	0	0
98	mcp2k	76346	14059	2	238.09	238.09	238.09	250.0	11.91	0.0476	2	2	0
98	mcp2k	76346	50052	4	2.32	2.32	2.32	100.0	97.68	0.9768	0	0	0
98	mcp2k	76346	51053	4	1.2	1.2	1.2	100.0	98.8	0.988	0	0	0
98	mcp2k	76346	49048	2	81.37	81.37	81.37	100.0	18.63	0.1863	0	0	0
98	mcp2k	76350	12098	1	851.21	851.21	851.21	800.0	51.21	0.064	5	5	0
98	mcp2k	76350	12027	1	43.2	43.2	43.2	100.0	56.8	0.568	0	0	0
98	mcp2k	76350	103093	2	62.71	62.71	62.71	100.0	37.29	0.3729	0	0	0
98	mcp2k	76350	102087	2	34.97	34.97	34.97	100.0	65.03	0.6503	0	0	0
98	mcp2k	76350	76079	2	36.51	36.51	36.51	100.0	63.49	0.6349	0	0	0
98	mcp2k	76350	43037	3	1.34	1.34	1.34	100.0	98.66	0.9866	0	0	0
98	mcp2k	76350	56050	3	12.01	12.01	12.01	100.0	87.99	0.8799	0	0	0
98	nuecc48	81597	19009	1	1331.17	1331.17	1331.17	800.0	531.17	0.664	5	5	0
98	ncpi0	84229	69134	2	893.47	893.47	893.47	800.0	93.47	0.1168	5	5	0
98	ncpi0	84229	9058	2	29.3	29.3	29.3	100.0	70.7	0.707	0	0	0
98	ncpi0	84229	39070	2	6.33	6.33	6.33	100.0	93.67	0.9367	0	0	0
98	ncpi0	84229	17062	4	1.05	1.05	1.05	100.0	98.95	0.9895	0	0	0
98	ncpi0	84229	18063	4	0.77	0.77	0.77	100.0	99.23	0.9923	0	0	0
98	ncpi0	84229	38069	3	1.52	1.52	1.52	100.0	98.48	0.9848	0	0	0
98	ncpi0	84229	40071	3	1.07	1.07	1.07	100.0	98.93	0.9893	0	0	0
98	ncpi0	84229	57091	3	3.71	3.71	3.71	100.0	96.29	0.9629	0	0	0
98	ncpi0	84229	60094	3	1.17	1.17	1.17	100.0	98.83	0.9883	0	0	0
98	ncpi0	84229	62096	3	3.76	3.76	3.76	100.0	96.24	0.9624	0	0	0
98	ncpi0	84229	64098	3	0.16	0.16	0.16	100.0	99.84	0.9984	0	0	0
98	ncpi0	84229	66100	3	1.08	1.08	1.08	100.0	98.92	0.9892	0	0	0
98	ncpi0	84229	70155	3	1.46	1.46	1.46	100.0	98.54	0.9854	0	0	0
98	nuecc48	90055	11033	1	1985.87	1985.87	1985.87	800.0	1185.87	1.4823	5	5	0
98	nuecc48	90055	11149	1	2.38	1.23	2.38	100.0	97.62	0.9762	0	0	0
98	nuecc48	90055	128150	2	27.53	27.53	27.53	100.0	72.47	0.7247	0	0	0
98	nuecc48	90055	146144	2	47.98	47.98	47.98	100.0	52.02	0.5202	0	0	0
98	nuecc48	90055	122081	3	1.49	1.49	1.49	100.0	98.51	0.9851	0	0	0
98	mcp2k	99838	58038	2	101.19	101.19	101.19	100.0	1.19	0.0119	1	1	0
98	mcp2k	99838	48024	2	162.88	162.88	162.88	150.0	12.88	0.0859	2	2	0
98	mcp2k	99838	19010	2	0.09	0.09	0.09	100.0	99.91	0.9991	0	0	0
98	mcp2k	99838	18009	4	3.47	3.47	3.47	100.0	96.53	0.9653	0	0	0
98	mcp2k	99838	20011	4	1.13	1.13	1.13	100.0	98.87	0.9887	0	0	0
98	ncpi0	105946	52027	2	6.68	6.68	6.68	100.0	93.32	0.9332	0	0	0
98	ncpi0	105946	55063	2	466.82	466.82	466.82	360.0	106.82	0.2967	4	4	0
98	ncpi0	105946	36010	2	10.29	10.29	10.29	100.0	89.71	0.8971	0	0	0
98	ncpi0	105946	40064	2	10.39	10.39	10.39	100.0	89.61	0.8961	0	0	0
98	ncpi0	105946	53030	2	101.42	101.42	101.42	100.0	1.42	0.0142	1	1	0
98	ncpi0	105946	56056	2	43.84	43.84	43.84	100.0	56.16	0.5616	0	0	0
98	ncpi0	105946	48023	2	6.28	6.28	6.28	100.0	93.72	0.9372	0	0	0
98	ncpi0	105946	54032	3	11.58	11.58	11.58	100.0	88.42	0.8842	0	0	0
98	ncpi0	105946	22004	4	0.56	0.56	0.56	100.0	99.44	0.9944	0	0	0
98	ncpi0	105946	23005	4	0.37	0.37	0.37	100.0	99.63	0.9963	0	0	0
98	ncpi0	105946	41015	3	1.27	1.27	1.27	100.0	98.73	0.9873	0	0	0
98	ncpi0	105946	43017	3	0.28	0.28	0.28	100.0	99.72	0.9972	0	0	0
98	ncpi0	105946	44019	3	1.48	1.48	1.48	100.0	98.52	0.9852	0	0	0
98	ncpi0	105946	45020	3	1.21	1.21	1.21	100.0	98.79	0.9879	0	0	0
98	ncpi0	105946	47022	3	0.94	0.94	0.94	100.0	99.06	0.9906	0	0	0
98	ncpi0	105946	49024	3	1.14	1.14	1.14	100.0	98.86	0.9886	0	0	0
98	ncpi0	105946	51026	3	0.23	0.23	0.23	100.0	99.77	0.9977	0	0	0
98	ncpi0	105946	58058	4	1.26	1.26	1.26	100.0	98.74	0.9874	0	0	0
98	ncpi0	105946	60060	4	0.94	0.94	0.94	100.0	99.06	0.9906	0	0	0
98	ncpi0	105946	39013	4	11.37	11.37	11.37	100.0	88.63	0.8863	0	0	0
98	nuecc48	111412	18012	1	17.8	17.78	17.8	100.0	82.2	0.822	0	0	0
98	nuecc48	111412	18013	1	27.91	27.91	27.91	100.0	72.09	0.7209	0	0	0
98	nuecc48	111412	18060	1	51.14	23.22	51.14	100.0	48.86	0.4886	0	0	0
98	nuecc48	111412	18061	1	477.61	477.61	477.61	360.0	117.61	0.3267	4	4	0
98	nuecc48	111412	25028	4	1.5	1.5	1.5	100.0	98.5	0.985	0	0	0
98	nuecc48	111412	50031	3	0.85	0.85	0.85	100.0	99.15	0.9915	0	0	0
98	nuecc48	111412	51032	3	1.52	1.52	1.52	100.0	98.48	0.9848	0	0	0
98	nuecc48	111412	53034	3	0.25	0.25	0.25	100.0	99.75	0.9975	0	0	0
98	nuecc48	111412	54035	3	1.38	1.38	1.38	100.0	98.62	0.9862	0	0	0
98	nuecc48	111412	56037	3	1.29	1.29	1.29	100.0	98.71	0.9871	0	0	0
98	nuecc48	111412	60041	3	0.76	0.76	0.76	100.0	99.24	0.9924	0	0	0
98	nuecc48	111412	61042	3	1.2	1.2	1.2	100.0	98.8	0.988	0	0	0
98	nuecc48	111412	65046	3	2.44	2.44	2.44	100.0	97.56	0.9756	0	0	0
98	nuecc48	111412	66047	3	0.26	0.26	0.26	100.0	99.74	0.9974	0	0	0
98	ncpi0	114446	32001	4	0.16	0.16	0.16	100.0	99.84	0.9984	0	0	0
98	ncpi0	114446	33002	4	5.2	5.2	5.2	100.0	94.8	0.948	0	0	0
98	ncpi0	114446	59003	3	2.26	2.26	2.26	100.0	97.74	0.9774	0	0	0
98	ncpi0	114446	60004	3	3.53	3.53	3.53	100.0	96.47	0.9647	0	0	0
98	ncpi0	114446	61005	3	0.79	0.79	0.79	100.0	99.21	0.9921	0	0	0
98	ncpi0	114446	62006	3	1.47	1.47	1.47	100.0	98.53	0.9853	0	0	0
98	nuecc48	116962	21072	2	581.16	581.16	581.16	800.0	218.84	0.2736	4	4	0
98	nuecc48	116962	22025	2	163.4	163.4	163.4	150.0	13.4	0.0894	2	2	0
98	nuecc48	122660	9110	1	893.28	893.28	893.28	800.0	93.28	0.1166	5	5	0
98	nuecc48	122660	9111	1	102.69	102.69	102.69	100.0	2.69	0.0269	1	1	0
98	nuecc48	122660	9018	1	12.19	13.55	12.19	100.0	87.81	0.8781	0	0	0
98	nuecc48	122660	27029	2	5.51	5.51	5.51	100.0	94.49	0.9449	0	0	0
98	nuecc48	122660	62106	2	5.13	5.13	5.13	100.0	94.87	0.9487	0	0	0
98	nuecc48	122660	54071	2	93.08	93.08	93.08	100.0	6.92	0.0692	0	0	0
98	nuecc48	122660	47050	3	68.11	68.11	68.11	100.0	31.89	0.3189	0	0	0
98	nuecc48	122660	53070	3	5.46	5.46	5.46	100.0	94.54	0.9454	0	0	0
98	nuecc48	122660	13022	4	3.16	3.16	3.16	100.0	96.84	0.9684	0	0	0
98	nuecc48	122660	14023	4	1.75	1.75	1.75	100.0	98.25	0.9825	0	0	0
98	nuecc48	122660	15024	4	1.53	1.53	1.53	100.0	98.47	0.9847	0	0	0
98	nuecc48	122660	16025	4	1.1	1.1	1.1	100.0	98.9	0.989	0	0	0
98	nuecc48	122660	17026	4	1.58	1.58	1.58	100.0	98.42	0.9842	0	0	0
98	nuecc48	122660	28030	3	2.97	2.97	2.97	100.0	97.03	0.9703	0	0	0
98	nuecc48	122660	33035	3	2.9	2.9	2.9	100.0	97.1	0.971	0	0	0
98	nuecc48	122660	35037	3	2.24	2.24	2.24	100.0	97.76	0.9776	0	0	0
98	nuecc48	122660	40042	3	1.44	1.44	1.44	100.0	98.56	0.9856	0	0	0
98	nuecc48	122660	45047	3	3.11	3.11	3.11	100.0	96.89	0.9689	0	0	0
98	nuecc48	122660	63107	4	0.24	0.24	0.24	100.0	99.76	0.9976	0	0	0
98	nuecc48	131357	12014	1	603.1	603.1	603.1	800.0	196.9	0.2461	4	4	0
98	nuecc48	137238	143055	1	11.2	21.97	11.2	100.0	88.8	0.888	0	0	0
98	nuecc48	137238	143056	1	354.35	354.35	354.35	360.0	5.65	0.0157	3	4	1
98	nuecc48	137238	50022	2	8.93	8.93	8.93	100.0	91.07	0.9107	0	0	0
98	nuecc48	137238	38010	3	0.8	0.8	0.8	100.0	99.2	0.992	0	0	0
98	nuecc48	137238	40012	3	4.58	4.58	4.58	100.0	95.42	0.9542	0	0	0
98	nuecc48	137238	41013	3	0.96	0.96	0.96	100.0	99.04	0.9904	0	0	0
98	nuecc48	138009	12088	1	1100.85	1100.85	1100.85	800.0	300.85	0.3761	5	5	0
98	nuecc48	138009	18021	4	1.53	1.53	1.53	100.0	98.47	0.9847	0	0	0
98	ncpi0	142421	108104	2	542.94	542.94	542.94	360.0	182.94	0.5082	4	4	0
98	ncpi0	142421	55031	2	3.43	3.43	3.43	100.0	96.57	0.9657	0	0	0
98	ncpi0	142421	53029	2	8.76	8.76	8.76	100.0	91.24	0.9124	0	0	0
98	ncpi0	142421	47023	3	4.49	4.49	4.49	100.0	95.51	0.9551	0	0	0
98	ncpi0	142421	54030	3	2.64	2.64	2.64	100.0	97.36	0.9736	0	0	0
98	ncpi0	142421	57033	3	1.21	1.21	1.21	100.0	98.79	0.9879	0	0	0
98	ncpi0	142421	58034	3	1.31	1.31	1.31	100.0	98.69	0.9869	0	0	0
98	ncpi0	142421	63039	4	2.1	2.1	2.1	100.0	97.9	0.979	0	0	0
98	ncpi0	142421	66042	4	2.05	2.05	2.05	100.0	97.95	0.9795	0	0	0
98	ncpi0	142421	67043	3	0.09	0.09	0.09	100.0	99.91	0.9991	0	0	0
98	ncpi0	142421	69045	3	2.25	2.25	2.25	100.0	97.75	0.9775	0	0	0
98	ncpi0	142421	73049	3	2.91	2.91	2.91	100.0	97.09	0.9709	0	0	0
98	ncpi0	142421	74050	3	1.91	1.91	1.91	100.0	98.09	0.9809	0	0	0
98	ncpi0	142421	81057	3	1.51	1.51	1.51	100.0	98.49	0.9849	0	0	0
98	ncpi0	142421	7010	3	657.17	657.17	657.17	800.0	142.83	0.1785	4	4	0
98	nuecc48	163543	14127	1	151.56	151.56	151.56	150.0	1.56	0.0104	2	2	0
98	nuecc48	163543	14129	1	179.26	179.26	179.26	150.0	29.26	0.1951	2	2	0
98	nuecc48	163543	14131	1	179.83	179.83	179.83	150.0	29.83	0.1989	2	2	0
98	nuecc48	163543	17048	4	4.38	4.38	4.38	100.0	95.62	0.9562	0	0	0
98	nuecc48	163543	44067	3	1.56	1.56	1.56	100.0	98.44	0.9844	0	0	0
98	nuecc48	163543	45068	3	3.4	3.4	3.4	100.0	96.6	0.966	0	0	0
98	nuecc48	163543	55078	3	2.92	2.92	2.92	100.0	97.08	0.9708	0	0	0
98	mcp2k	165157	62049	1	155.91	155.91	155.91	150.0	5.91	0.0394	2	2	0
98	mcp2k	165157	16050	2	20.51	20.51	20.51	100.0	79.49	0.7949	0	0	0
98	mcp2k	165157	9000	3	187.85	187.85	187.85	150.0	37.85	0.2524	2	2	0
