evt	sample	route	d_final	acc_wrong	margin	n_rows	n_usable	n_trad_scored	t_vid	t_clus	t_d	t_rank	t_dl	t_snap	t_total	t_trad_scored	t_trad_score	t_trad_winner	f_vid	f_clus	f_in_rows	f_trad_scored	f_trad_score	f_dl_snapped	f_total	cluster_swap	truth_unscored	truth_scored_lost	far_miss
286906	mcp1k	dl-rerank-accept	2.79	0	-332.417	12	11	11	41011	41	0.0	3	0.189	1.22	187.613	1	0.87	1	41010	41	1	1	0.75	1	342.417	0	0	0	0
349945	mcp1k	dl-rerank-accept	1.1	0	-30.082	43	10	39	18011	18	0.02	4	0.029	0.93	33.077	1	0.875	1	18003	18	1	0	0.0	1	40.082	0	0	0	0
390842	mcp1k	dl-rerank-accept	2.03	0	-2.013	7	6	5	3004	3	0.0	11	0.003	1.66	7.347	1	1.233	1	3005	3	1	0	0.0	1	12.013	0	0	0	0
55595	numu	dl-rerank-reject	3.02	1	1.161	17	12	14	8004	8	0.98	4	0.004	0.28	8.839	0	0.0	0	8005	8	1	0	0.0	1	7.327	0	1	0	0
56211	mcp1k	dl-rerank-reject	6.22	1	3.201	9	8	9	11001	11	0.0	1	0.004	0.19	6.799	1	0.75	0	11002	11	1	1	1.191	1	3.627	0	0	1	0
59085	mcp1k	dl-rerank-reject	4.18	1	1.857	11	9	4	3001	3	0.0	1	0.005	2.64	8.143	0	0.0	0	84010	84	1	1	0.75	1	-1.12	1	1	0	0
59261	mcp1k	dl-rerank-reject	83.34	1	2.01	17	12	16	11003	11	0.0	4	0.004	0.25	7.99	0	0.0	0	11005		0						1	0	1
63359	mcp1k	dl-rerank-reject	3.29	1	4.606	9	7	4	3001	3	0.0	5	0.002	0.35	5.394	1	1.0	0	3002	3	1	1	1.352	0	0.0	0	0	1	0
166804	mcp1k	dl-rerank-reject	23.93	1	2.833	5	4	4	9003	9	0.0	1	0.004	2.29	7.167	1	0.75	0	9002	9	1	1	0.804	1	3.75	0	0	1	1
169774	mcp1k	dl-rerank-reject	11.82	1	3.752	22	18	18	2000	2	0.0	7	0.003	0.2	6.248	0	0.0	0	2001	2	1	0	0.0	1	4.764	0	1	0	0
287431	mcp1k	dl-rerank-reject	nan	1	6.673	4	3	4	24002	24	0.0	0	0.005	0.2	3.327	1	0.75	1	-1		0						0	0	0
291064	mcp1k	dl-rerank-reject	159.36	1	4.155	7	5	7	14001	14	0.0	0	0.003	41.26	5.845	1	0.875	0	14002	14	1	1	0.985	1	5.025	0	0	1	1
351749	mcp1k	dl-rerank-reject	6.6	1	0.507	46	19	40	14000	14	0.36	0	0.007	0.41	9.493	1	0.681	0	14001	14	1	1	0.875	1	7.604	0	0	1	0
391766	mcp1k	dl-rerank-reject	115.52	1	0.583	11	7	7	25009	25	0.0	0	0.008	0.12	9.417	0	0.0	0	17001	17	1	1	0.875	1	6.712	1	1	0	1
402880	mcp1k	dl-rerank-reject	5.18	1	2.385	35	17	34	9004	9	0.0	13	0.003	0.27	7.615	1	0.75	0	9001	9	1	1	1.199	0	0.0	0	0	1	0
52085	mcp1k	dl-rerank-reject	1.29	0	2.651	15	7	12	6002	6	0.0	9	0.004	8.71	6.721	0	0.0	0	6002	6	1	0	0.0	1	6.721	0	1	0	0
53361	mcp1k	dl-rerank-reject	3.25	0	1.726	13	8	11	78013	78	0.0	4	0.003	0.47	1.622	0	0.0	0	27001	27	1	1	0.75	1	6.965	1	1	0	0
64959	mcp1k	dl-rerank-reject	45.31	0	1.158	6	5	6	22005	22	0.0	2	0.005	0.24	5.873	1	0.632	0	19001	19	1	1	1.0	1	5.051	1	0	1	1
66272	mcp1k	dl-rerank-reject	1.99	0	1.407	17	15	16	24002	24	0.51	1	0.004	0.08	7.88	1	1.177	1	24020		0						0	0	0
71178	mcp1k	dl-rerank-reject	23.01	0	2.168	25	14	17	79026	79	0.0	7	0.004	0.44	2.338	0	0.0	0	81033	81	1	1	0.994	0	0.0	1	1	0	1
174752	mcp1k	dl-rerank-reject	13.23	0	3.363	15	12	12	14000	14	0.0	10	0.002	3.65	3.966	0	0.0	0	48013	48	1	1	0.875	1	2.673	1	1	0	0
180801	ncpi0	dl-rerank-reject	77.35	0	0.31	61	18	52	109074	109	0.0	0	0.007	0.29	8.057	0	0.0	0	15110		0						1	0	1
283463	mcp1k	dl-rerank-reject	7.72	0	3.768	42	20	34	14003	14	0.0	15	0.003	0.24	6.064	0	0.0	0	14053		0						1	0	0
284637	mcp1k	dl-rerank-reject	1.85	0	2.499	11	7	11	23002	23	0.0	8	0.003	10.39	4.445	1	1.128	1	23002	23	1	1	1.128	1	4.445	0	0	0	0
285467	mcp1k	dl-rerank-reject	99.37	0	1.627	13	11	10	18000	18	0.0	7	0.002	0.31	6.326	1	0.505	0	18001	18	1	1	0.875	1	8.373	0	0	1	1
286655	mcp1k	dl-rerank-reject	27.88	0	1.717	33	19	26	19001	19	0.0	10	0.003	0.21	7.299	0	0.0	0	79033	79	1	1	0.801	0	0.0	1	1	0	1
287654	mcp1k	dl-rerank-reject	52.11	0	1.83	23	15	10	12002	12	0.0	11	0.003	14.81	5.45	0	0.0	0	12000	12	1	0	0.0	1	6.663	0	1	0	1
313781	mcp1k	dl-rerank-reject	43.43	0	5.48	13	10	10	50013	50	0.0	6	0.002	0.28	2.937	0	0.0	0	9000	9	1	1	0.803	1	4.52	1	1	0	1
314507	mcp1k	dl-rerank-reject	67.09	0	2.182	9	8	6	51011	51	0.0	2	0.004	7.88	5.031	1	0.875	0	17001	17	1	0	0.0	1	7.818	1	0	1	1
315849	mcp1k	dl-rerank-reject	70.16	0	2.14	6	4	6	11000	11	0.0	4	0.005	26.49	7.001	1	0.875	0	11001	11	1	1	1.0	1	7.86	0	0	1	1
348515	mcp1k	dl-rerank-reject	54.89	0	4.202	20	16	19	48021	48	0.26	4	0.004	0.89	4.314	1	0.742	0	14005	14	1	1	0.74	1	4.949	1	0	1	1
399118	mcp1k	dl-rerank-reject	10.37	0	2.803	31	15	24	16013	16	0.0	10	0.005	1.64	6.79	0	0.0	0	9001	9	1	0	0.0	1	7.197	1	1	0	0
400504	mcp1k	dl-rerank-reject	1.3	0	1.827	19	12	11	6002	6	0.0	5	0.003	0.28	7.333	1	0.875	1	6002	6	1	1	0.875	1	7.333	0	0	0	0
404684	mcp1k	dl-rerank-reject	55.05	0	2.848	3	3	3	9002	9	0.0	8	0.0	4.85	3.878	1	0.875	0	9003	9	1	1	1.313	1	6.913	0	0	1	1
411460	mcp1k	dl-rerank-reject	3.05	0	2.119	12	10	10	6000	6	0.0	3	0.004	0.45	7.551	1	0.75	0	6019		0						0	1	0
486247	mcp1k	dl-rerank-reject	14.38	0	3.036	16	14	12	18011	18	0.0	3	0.003	3.01	3.11	0	0.0	0	7001	7	1	0	0.0	1	6.056	1	1	0	0
