population	arm	tag	evt	call	j	k	nedge	nlab	verdict	flip	pair	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	blks	killed	gaps	excuses
nueCC48	work-pr57r4-scan48	root	52672	0	6	8	1	1	OK	0	via2	3.70	4.76	1.14	29	57.8	0	0	1.91	229	77.9	closest	1	110	00
nueCC48	work-pr57r4-scan48	root	52672	0	7	8	1	1	OK	0	dir	4.76	6.12	1.14	97	48.6	0	0	0.69	229	76.9	closest	0	010	00
nueCC48	work-pr57r4-scan48	root	52672	3	1	2	1	1	good	0	SEP	1.16	1.31	0.41	10	78.1	1	0	2.50	34	92.4	closest	1	111	11
nueCC48	work-pr57r4-scan48	root	54095	0	1	2	1	1	OK	0	dir	6.44	8.91	1.05	60	12.1	0	0	0.90	4075	51.1	closest	0	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	1	11	1	1	OK	0	via3	6.44	76.69	4.72	60	31.4	0	0	4.72	4063	49.8	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	3	11	1	1	OK	0	SEP	1.61	76.69	4.72	16	42.0	1	0	3.80	1101	30.8	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	54095	0	4	5	1	1	good	0	SEP	4.20	4.94	0.40	12	1.7	1	1	1.60	2062	67.5	closest	1	001	11
nueCC48	work-pr57r4-scan48	root	54095	0	4	11	1	1	OK	0	SEP	4.20	76.69	4.72	12	84.0	1	6	3.78	2375	68.5	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	5	7	1	1	OK	0	via3	0.69	4.94	0.40	2	61.0	1	4	1.68	5493	65.9	closest	1	001	01
nueCC48	work-pr57r4-scan48	root	54095	0	5	11	1	1	OK	0	via2	4.94	76.69	4.72	26	84.2	1	5	2.09	5843	65.7	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	8	9	1	1	OK	0	via2	1.58	4.35	0.32	11	11.0	0	0	3.98	6354	80.1	closest	1	110	00
nueCC48	work-pr57r4-scan48	root	54095	0	8	11	1	1	OK	0	via6	4.35	76.69	4.72	23	83.0	1	0	1.01	5901	79.3	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	8	12	1	1	OK	0	via2	1.14	4.35	0.32	6	72.1	0	0	1.05	5484	80.1	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	8	23	1	1	OK	0	via5	4.35	5.24	1.21	23	55.6	1	0	3.95	5994	82.2	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	9	11	1	1	OK	0	via6	1.58	76.69	4.72	11	86.9	1	0	1.20	6174	79.6	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	10	11	1	1	OK	0	via7	1.61	76.69	4.72	16	82.1	1	0	1.98	2188	43.7	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	12	1	1	OK	0	via4	1.14	76.69	4.72	6	54.8	1	0	1.55	5448	79.1	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	13	1	1	OK	0	dir	1.94	76.69	4.72	14	21.2	0	0	0.97	2877	97.5	closest	0	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	15	1	1	OK	0	via3	7.35	76.69	4.72	52	27.9	0	0	1.04	5400	82.5	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	16	1	1	OK	0	via2	1.30	76.69	4.72	16	39.5	0	0	1.08	5687	80.3	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	18	1	1	OK	0	SEP	8.06	76.69	4.72	272	85.1	1	0	1.20	3506	106.0	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	54095	0	11	19	1	1	OK	0	dir	1.61	76.69	4.72	11	37.9	0	0	1.00	6306	77.7	closest	0	010	10
nueCC48	work-pr57r4-scan48	root	54095	0	11	22	2	1	OK	0	via5	47.71	76.69	9.37	1115	60.5	0	0	1.30	2129	41.2	closest|dir2	1|0	010|000	00|00
nueCC48	work-pr57r4-scan48	root	54095	0	13	21	1	1	OK	0	via2	1.94	6.75	0.90	14	50.5	0	0	2.50	2860	97.1	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	54095	0	14	18	1	1	OK	0	SEP	7.85	8.06	1.76	95	69.7	1	0	3.83	3614	105.3	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	54095	0	17	18	1	1	OK	0	SEP	2.42	8.06	1.76	15	32.2	1	0	2.71	3409	106.1	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	69314	0	0	1	2	2	bad	0	SEP	64.23	99.22	7.06	1449	14.0	0	6	1.38	465	90.7	closest|dir1	1|1	010|010	00|00
nueCC48	work-pr57r4-scan48	root	69314	0	0	4	1	1	bad	0	SEP	35.98	99.22	7.06	454	86.3	0	0	1.39	941	2.6	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	69314	0	2	3	1	1	OK	0	SEP	2.17	49.56	1.98	17	41.0	1	0	1.93	1268	76.7	closest	1	001	01
nueCC48	work-pr57r4-scan48	root	69314	0	3	4	3	3	good	0	SEP	35.98	49.56	2.40	454	8.8	1	0	1.53	396	35.0	closest|dir2|dir1	1|1|1	111|111|111	00|00|00
nueCC48	work-pr57r4-scan48	root	74544	0	0	3	1	1	OK	0	SEP	1.74	97.78	4.68	9	81.4	0	0	1.43	3118	57.6	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	74544	0	0	4	1	1	OK	0	SEP	1.74	7.66	0.91	9	62.3	0	1	2.35	2922	56.8	closest	1	010	10
nueCC48	work-pr57r4-scan48	root	81597	0	0	1	1	1	OK	0	SEP	4.66	6.49	1.00	39	57.0	1	0	0.79	1210	79.4	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	81597	0	0	6	1	1	OK	0	SEP	6.49	58.74	3.08	133	48.4	1	0	1.60	1216	79.8	closest	1	101	11
nueCC48	work-pr57r4-scan48	root	81597	0	1	6	1	1	OK	0	SEP	4.66	58.74	3.08	39	72.4	1	0	1.59	1241	79.6	closest	1	101	11
nueCC48	work-pr57r4-scan48	root	81597	0	2	4	1	1	good	0	SEP	2.81	5.33	0.62	28	15.4	1	0	3.59	1835	33.1	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	81597	0	2	6	1	1	good	0	SEP	2.81	58.74	3.08	36	61.8	1	0	1.57	1629	30.8	closest	1	101	11
nueCC48	work-pr57r4-scan48	root	81597	0	4	6	1	1	OK	0	SEP	5.33	58.74	3.08	28	46.6	0	0	1.13	2222	37.0	closest	1	100	01
nueCC48	work-pr57r4-scan48	root	81597	0	7	9	1	1	OK	0	SEP	0.00	9.88	0.37	1	-1.0	0	0	4.90	1759	41.4	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	81597	0	8	9	1	1	OK	0	SEP	4.48	9.88	0.66	21	4.4	0	0	1.83	1926	43.2	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	81597	0	9	10	1	1	OK	0	SEP	8.85	9.88	0.74	26	1.8	0	0	2.05	1664	42.4	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	3	4	1	1	OK	0	via2	2.43	8.83	0.71	15	24.7	0	0	1.18	3659	54.8	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	3	16	1	1	OK	0	via2	2.43	81.56	5.40	15	43.6	0	0	4.81	4220	53.4	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	4	9	1	1	OK	0	via3	8.83	10.18	1.56	85	26.5	0	0	3.94	5103	61.2	closest	1	100	00
