event	arm	stem_len_cm	g_cm	K_deg	k_tan_deg	tier_ok	prod6_18	gap9	gap10	gap12	mid9_15	mid10_15	taper
38856	work-pr125r1-flipK598-nuecc48	29.1	4.36	137.7	137.7	0	0	0	0	0	0	0	0
38856	work-pr125r1-flipK598-nuecc48	29.1	6.01	154.6	154.6	0	0	0	0	0	0	0	0
38856	work-pr125r1-flipK598-nuecc48	29.1	6.01	118.8	56.0	0	0	0	0	0	0	0	0
38856	work-pr125r1-flipK598-nuecc48	29.1	10.81	75.4	75.4	0	0	0	0	0	0	0	0
58006	work-pr125r1-flipK5141-mcp2k	13.4	4.13	146.8	146.8	0	0	0	0	0	0	0	0
58006	work-pr125r1-flipK5141-mcp2k	10.3	6.64	106.5	79.2	0	0	0	0	0	0	0	0
58006	work-pr125r1-flipK5141-mcp2k	13.4	7.86	56.8	43.0	0	0	0	0	0	0	0	0
58006	work-pr125r1-flipK5141-mcp2k	13.4	10.22	52.1	52.1	0	0	0	0	0	0	0	0
69254	work-pr125r1-flipK5141-mcp2k	6.2	6.37	43.4	40.7	0	0	0	0	0	0	0	0
69254	work-pr125r1-flipK5141-mcp2k	6.2	10.07	93.9	93.9	0	0	0	0	0	0	0	0
76346	work-pr125r1-flipK598-mcp2k	6.3	2.39	149.0	149.0	0	0	0	0	0	0	0	0
76346	work-pr125r1-flipK598-mcp2k	6.3	6.51	86.4	65.1	0	0	0	0	0	0	0	0
76346	work-pr125r1-flipK598-mcp2k	6.3	11.58	39.8	23.5	0	0	0	0	0	0	0	0
76346	work-pr125r1-flipK598-mcp2k	6.3	11.99	54.6	27.2	0	0	0	0	0	0	0	0
77328	work-pr125r1-flipK5141-mcp2k	11.6	1.46	38.9	11.4	0	0	0	0	0	0	0	0
96383	work-pr125r1-flipK5141-mcp2k	19.3	5.33	85.9	85.9	0	0	0	0	0	0	0	0
116962	work-pr125r1-flipK598-nuecc48	38.9	6.40	88.9	82.3	0	0	0	0	0	0	0	0
116962	work-pr125r1-flipK598-nuecc48	38.9	7.87	163.0	163.0	0	0	0	0	0	0	0	0
116962	work-pr125r1-flipK598-nuecc48	38.9	10.40	98.1	82.5	0	0	0	0	0	0	0	0
137238	work-pr125r1-flipK598-nuecc48	14.3	1.17	40.2	18.2	0	0	0	0	0	0	0	0
137238	work-pr125r1-flipK598-nuecc48	14.3	2.20	79.2	12.7	0	0	0	0	0	0	0	0
137238	work-pr125r1-flipK598-nuecc48	14.3	4.43	69.5	38.7	0	0	0	0	0	0	0	0
137238	work-pr125r1-flipK598-nuecc48	14.3	8.00	14.0	10.2	0	0	1	1	1	1	1	1
163543	work-pr125r1-flipK598-nuecc48	18.7	3.19	34.7	29.9	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	4.21	77.7	19.5	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	4.31	28.6	28.6	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	4.31	103.3	103.3	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	6.43	164.0	164.0	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	7.34	136.5	136.5	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	7.69	46.4	21.0	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	8.46	134.4	58.3	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	8.48	139.0	139.0	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	8.48	167.6	167.6	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	9.31	111.8	111.8	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	18.7	9.80	127.0	127.0	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	9.90	62.6	59.4	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	9.95	42.7	42.7	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	9.97	149.0	90.2	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	10.27	123.1	109.6	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	10.48	109.9	109.9	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	10.81	124.9	50.7	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	10.90	90.7	42.7	0	0	0	0	0	0	0	0
163543	work-pr125r1-flipK598-nuecc48	31.3	11.53	37.5	21.5	0	0	0	0	0	0	0	0
165157	work-pr125r1-flipK598-mcp2k	15.3	7.81	61.7	17.6	0	0	0	0	0	0	0	0
168432	work-pr125r1-flipK5141-mcp1k	12.8	8.87	125.0	117.3	0	0	0	0	0	0	0	0
168432	work-pr125r1-flipK5141-mcp1k	12.8	8.87	125.0	25.5	0	0	0	0	0	0	0	0
168432	work-pr125r1-flipK5141-mcp1k	12.8	8.87	160.4	160.4	0	0	0	0	0	0	0	0
170761	work-pr125r1-flipK5141-mcp2k	5.7	10.86	122.5	96.7	0	0	0	0	0	0	0	0
174752	work-pr125r1-flipK598-mcp1k	3.8	7.37	139.2	127.3	0	0	0	0	0	0	0	0
174752	work-pr125r1-flipK598-mcp1k	3.8	8.29	93.3	68.9	0	0	0	0	0	0	0	0
176502	work-pr125r1-flipK598-mcp2k	13.1	9.29	69.9	27.0	0	0	0	0	0	0	0	0
179369	work-pr125r1-flipK5141-mcp2k	4.0	9.54	91.3	91.3	0	0	0	0	0	0	0	0
179369	work-pr125r1-flipK5141-mcp2k	4.0	10.53	73.4	73.4	0	0	0	0	0	0	0	0
179369	work-pr125r1-flipK5141-mcp2k	4.0	11.59	50.9	50.9	0	0	0	0	0	0	0	0
180801	work-pr125r1-flipK598-ncpi0	22.0	8.77	131.6	93.0	0	0	0	0	0	0	0	0
275011	work-pr125r1-flipK5141-mcp2k	14.9	9.36	107.6	101.4	0	0	0	0	0	0	0	0
275011	work-pr125r1-flipK5141-mcp2k	14.9	11.59	113.8	103.5	0	0	0	0	0	0	0	0
280159	work-pr125r1-flipK5141-mcp2k	16.4	5.91	99.9	46.9	0	0	0	0	0	0	0	0
281567	work-pr125r1-flipK598-mcp2k	21.2	9.51	121.1	45.9	0	0	0	0	0	0	0	0
321169	work-pr125r1-flipK5141-mcp2k	15.2	5.94	26.4	17.1	0	0	0	0	0	0	0	0
321169	work-pr125r1-flipK5141-mcp2k	15.2	6.54	99.3	99.3	0	0	0	0	0	0	0	0
321169	work-pr125r1-flipK5141-mcp2k	12.6	7.09	143.2	96.9	0	0	0	0	0	0	0	0
321169	work-pr125r1-flipK5141-mcp2k	12.6	8.62	110.6	77.6	0	0	0	0	0	0	0	0
347824	work-pr125r1-flipK5141-mcp2k	9.3	9.10	89.5	36.9	0	0	0	0	0	0	0	0
350354	work-pr125r1-flipK5141-mcp2k	6.7	10.40	67.3	54.2	0	0	0	0	0	0	0	0
394532	work-pr125r1-flipK598-mcp1k	0.3	3.47	81.3	17.8	0	0	0	0	0	0	0	0
394532	work-pr125r1-flipK598-mcp1k	8.2	7.95	156.1	144.7	0	0	0	0	0	0	0	0
394532	work-pr125r1-flipK598-mcp1k	0.3	8.89	49.7	33.6	0	0	0	0	0	0	0	0
395123	work-pr125r1-flipK5141-mcp2k	22.9	8.90	145.9	141.9	0	0	0	0	0	0	0	0
395123	work-pr125r1-flipK5141-mcp2k	22.9	10.44	74.3	50.1	0	0	0	0	0	0	0	0
396222	work-pr125r1-flipK598-mcp2k	33.8	3.95	112.6	100.3	0	0	0	0	0	0	0	0
396222	work-pr125r1-flipK598-mcp2k	33.8	5.50	107.0	74.7	0	0	0	0	0	0	0	0
396222	work-pr125r1-flipK598-mcp2k	33.8	6.39	139.9	86.8	0	0	0	0	0	0	0	0
409888	work-pr125r1-flipK598-mcp2k	4.9	8.84	131.6	92.8	0	0	0	0	0	0	0	0
415278	work-pr125r1-flipK598-mcp2k	32.7	3.28	71.0	55.9	0	0	0	0	0	0	0	0
415278	work-pr125r1-flipK598-mcp2k	32.7	6.40	69.8	49.1	0	0	0	0	0	0	0	0
415278	work-pr125r1-flipK598-mcp2k	32.7	8.20	51.2	19.5	0	0	0	0	0	0	0	0
447477	work-pr125r1-flipK598-nuecc48	6.5	4.11	47.3	39.3	0	0	0	0	0	0	0	0
489327	work-pr125r1-flipK5141-mcp1k	22.5	3.23	42.0	39.2	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	7.03	137.7	50.5	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	7.33	54.3	44.8	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	7.87	107.5	42.7	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	7.94	71.0	62.5	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	9.80	151.5	106.3	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	10.71	112.3	112.3	0	0	0	0	0	0	0	0
499423	work-pr125r1-flipK5141-mcp2k	29.5	11.65	151.5	151.5	0	0	0	0	0	0	0	0
499577	work-pr125r1-flipK5141-mcp2k	21.8	3.01	9.8	9.8	1	1	1	1	1	1	1	1
499577	work-pr125r1-flipK5141-mcp2k	21.8	11.27	81.4	81.4	0	0	0	0	0	0	0	0
