sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
nuecc48	18255	1	90055	one-sided	11	804	85	128.1	52	1.0	0	11																				1.0	73.2	171.8	0	2	++	129.39	25.2	202.42	0	129.39			
nuecc48	18259	1	111412	no-contact	18	350	39	98.5	21	123.67	0	0																										159.04	140.19	199.5	0	159.04			
nuecc48	18255	1	122660	no-contact	31	515	46	113.2	28	84.79	0	0																										-100.59	-41.32	466.19	0	100.59			
nuecc48	18259	1	131357	no-contact	12	378	37	86.1	11	34.96	0	0																										44.12	177.26	137.36	0	44.12			
nuecc48	18264	1	137238	no-contact	7	547	33	133.6	14	93.7	0	0																										-112.77	31.61	393.81	0	112.77			
nuecc48	18255	1	138009	one-sided	12	575	53	112.2	27	4.14	2	0																				4.14	91.4	200.3	0	1	-	-103.57	161.43	82.6	0	103.57			
nuecc48	18255	1	163543	no-contact	14	447	58	79.0	43	7.97	0	0																										-73.04	-96.23	261.16	0	73.04			
nuecc48	18255	1	168596	no-contact	14	728	66	105.8	41	116.38	0	0																										-190.57	24.07	148.62	0	190.57			
nuecc48	18253	1	172230	no-contact	5	493	56	123.7	31	32.3	0	0																										-54.57	-87.37	19.91	0	54.57			
nuecc48	18255	1	174637	no-contact	9	354	38	95.0	18	6.52	0	0																										-166.76	-57.11	297.2	0	166.76			
nuecc48	18255	1	196649	no-contact	11	582	47	113.4	22	14.78	0	0																										-53.55	-21.46	193.68	0	53.55			
