evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
313979	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
314507	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
314705	work-pr104-bare-mcp1k	1	nan	nan	0	0	2	None	0	3.57805763425917	None	-
315013	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
315167	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
315343	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
315497	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
315849	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
315871	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.1796245954002544	None	-
316003	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
316025	work-pr104-bare-mcp1k	1	nan	nan	3	0	1	None	0	2.670960210574557	None	-
316311	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
316553	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.521707124566272	None	-
316729	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
317191	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
317741	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
317939	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
318731	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
319039	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
319611	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.605354365864901	None	-
320029	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
320667	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
320865	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
321107	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.6427108935401997	None	-
321173	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
321371	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
321767	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
321789	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
345633	work-pr104-bare-mcp1k	2	nan	nan	0	2	4	A	1	4.742327412440789	None	SNAP
346623	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
347085	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
347129	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
348471	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
348515	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.419336120441078	None	-
348691	work-pr104-bare-mcp1k	2	nan	nan	2	0	1	None	0	1.6146559897424149	None	-
348713	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
348845	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349087	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.7318306029065873	None	-
349241	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349461	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349549	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349835	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349879	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
349945	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
350121	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
350297	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.478129896350871	None	-
350935	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
351705	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
