# doc pr/138 B1 -- C++ probe vs offline kernel, per scanned object
event	node	dv_cm	cxx_nseg	off_nseg	cxx_npts	off_npts	cxx_n_seed	cxx_valley	cxx_nacc	cxx_nparts	cxx_fired	off_n_seed	off_valley	off_nacc	offv_n_seed	offv_valley	offv_nacc	vgap_cm	owner
463565	109073	0.0063	5	5	50	50	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	71.85	KEEP
463565	114086	0.0063	10	10	74	74	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	60.21	KEEP
463565	115088	0.0063	17	17	161	161	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	62.67	KEEP
475096	19014	0.0056	9	9	58	58	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	80.08	KEEP
486687	103067	0.0020	17	17	124	124	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	27.74	KEEP
486907	24002	0.0032	3	3	54	54	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	27.21	TRIM
487853	13000	0.0027	10	10	92	92	4	0.6898	2	2	1	4	0.6898	2	4	0.6899	2	3.94	SPLIT2
499577	13009	0.0065	9	9	109	109	4	0.9665	0	1	0	4	0.9665	0	4	0.9670	0	0.00	TRIM
506746	21056	0.0032	6	6	39	39	1	1.0000	0	1	0	1	1.0000	0	1	1.0000	0	0.00	KEEP
506746	21067	0.0032	3	3	36	36	3	1.0000	0	1	0	3	1.0000	0	3	1.0000	0	17.46	KEEP
521075	18007	0.0033	16	16	220	220	2	1.0000	0	1	0	2	1.0000	0	2	1.0000	0	6.61	KEEP
