setname	sample	run	subrun	event	origin	n_em	e_max	e_2nd	dump
141	mcp1k	18255	1	292643	numucc_em	2	216.4	65.0	work-pr124r1-onA141v2-mcp1k/pr_evt292643/calib-pr-evt292643.json
141	mcp2k	18255	1	96383	nuecc	3	144.2	63.4	work-pr124r1-onA141v2-mcp2k/pr_evt96383/calib-pr-evt96383.json
141	mcp1k	18255	1	278420	numucc_em	3	129.2	63.0	work-pr124r1-onA141v2-mcp1k/pr_evt278420/calib-pr-evt278420.json
141	mcp2k	18259	1	170761	numucc_em	2	334.8	60.1	work-pr124r1-onA141v2-mcp2k/pr_evt170761/calib-pr-evt170761.json
98	nuecc48	18255	1	469665	nuecc	4	625.7	58.9	work-pr124r1-onA98-nuecc48/pr_evt469665/calib-pr-evt469665.json
141	mcp1k	18255	1	407918	numucc_em	2	174.8	58.6	work-pr124r1-onA141v2-mcp1k/pr_evt407918/calib-pr-evt407918.json
141	mcp2k	18255	1	69232	numucc_em	2	195.2	56.6	work-pr124r1-onA141v2-mcp2k/pr_evt69232/calib-pr-evt69232.json
141	mcp1k	18255	1	486687	numucc_em	3	244.8	53.7	work-pr124r1-onA141v2-mcp1k/pr_evt486687/calib-pr-evt486687.json
141	mcp1k	18255	1	286681	other_em	3	113.3	53.0	work-pr124r1-onA141v2-mcp1k/pr_evt286681/calib-pr-evt286681.json
141	mcp2k	18255	1	281325	nuecc	2	95.0	51.4	work-pr124r1-onA141v2-mcp2k/pr_evt281325/calib-pr-evt281325.json
141	mcp1k	18255	1	350121	numucc_em	4	309.1	50.1	work-pr124r1-onA141v2-mcp1k/pr_evt350121/calib-pr-evt350121.json
98	nuecc48	18255	1	90055	nuecc	3	2080.9	50.0	work-pr124r1-onA98-nuecc48/pr_evt90055/calib-pr-evt90055.json
141	mcp2k	18255	1	408304	nuecc	2	166.5	49.2	work-pr124r1-onA141v2-mcp2k/pr_evt408304/calib-pr-evt408304.json
141	mcp2k	18255	1	321169	nuecc	4	137.8	46.9	work-pr124r1-onA141v2-mcp2k/pr_evt321169/calib-pr-evt321169.json
98	nuecc48	18355	1	400474	nuecc	5	1240.8	45.8	work-pr124r1-onA98-nuecc48/pr_evt400474/calib-pr-evt400474.json
141	mcp2k	18255	1	275011	nuecc	3	107.6	45.8	work-pr124r1-onA141v2-mcp2k/pr_evt275011/calib-pr-evt275011.json
141	mcp1k	18255	1	317939	numucc_em	2	417.9	44.7	work-pr124r1-onA141v2-mcp1k/pr_evt317939/calib-pr-evt317939.json
98	nuecc48	18255	1	235435	nuecc	3	133.3	42.1	work-pr124r1-onA98-nuecc48/pr_evt235435/calib-pr-evt235435.json
141	mcp1k	18255	1	347085	numucc_em	2	268.1	41.7	work-pr124r1-onA141v2-mcp1k/pr_evt347085/calib-pr-evt347085.json
98	nuecc48	18255	1	389538	nuecc	6	232.4	40.5	work-pr124r1-onA98-nuecc48/pr_evt389538/calib-pr-evt389538.json
98	nuecc48	18255	1	10550	nuecc	4	773.8	38.2	work-pr124r1-onA98-nuecc48/pr_evt10550/calib-pr-evt10550.json
141	mcp2k	18255	1	289246	numucc_em	2	264.0	38.2	work-pr124r1-onA141v2-mcp2k/pr_evt289246/calib-pr-evt289246.json
98	nuecc48	18255	1	350186	nuecc	2	637.2	36.5	work-pr124r1-onA98-nuecc48/pr_evt350186/calib-pr-evt350186.json
141	mcp2k	18255	1	58006	numucc_em	3	126.6	35.6	work-pr124r1-onA141v2-mcp2k/pr_evt58006/calib-pr-evt58006.json
141	mcp2k	18259	1	179369	numucc_em	3	216.4	35.4	work-pr124r1-onA141v2-mcp2k/pr_evt179369/calib-pr-evt179369.json
98	mcp1k	18255	1	394532	owner	2	154.1	34.1	work-pr124r1-onA98-mcp1k/pr_evt394532/calib-pr-evt394532.json
141	mcp2k	18259	1	179048	numucc_em	2	104.1	33.8	work-pr124r1-onA141v2-mcp2k/pr_evt179048/calib-pr-evt179048.json
141	mcp2k	18259	1	173495	other_em	3	105.2	32.9	work-pr124r1-onA141v2-mcp2k/pr_evt173495/calib-pr-evt173495.json
98	ncpi0	18364	1	84229	ncpi0	2	958.2	31.5	work-pr124r1-onA98-ncpi0/pr_evt84229/calib-pr-evt84229.json
98	nuecc48	18255	1	168596	nuecc	2	2000.1	31.5	work-pr124r1-onA98-nuecc48/pr_evt168596/calib-pr-evt168596.json
141	mcp2k	18259	1	47696	nuecc	2	72.5	31.4	work-pr124r1-onA141v2-mcp2k/pr_evt47696/calib-pr-evt47696.json
141	mcp2k	18255	1	500083	nuecc	2	166.2	29.9	work-pr124r1-onA141v2-mcp2k/pr_evt500083/calib-pr-evt500083.json
98	nuecc48	18259	1	54095	nuecc	3	2607.8	29.1	work-pr124r1-onA98-nuecc48/pr_evt54095/calib-pr-evt54095.json
141	mcp1k	18255	1	282979	nuecc	3	121.0	25.7	work-pr124r1-onA141v2-mcp1k/pr_evt282979/calib-pr-evt282979.json
98	nuecc48	18259	1	111412	nuecc	4	518.4	25.0	work-pr124r1-onA98-nuecc48/pr_evt111412/calib-pr-evt111412.json
141	mcp2k	18255	1	499423	nuecc	2	27.6	22.8	work-pr124r1-onA141v2-mcp2k/pr_evt499423/calib-pr-evt499423.json
141	mcp2k	18255	1	74326	numucc_em	2	193.5	22.1	work-pr124r1-onA141v2-mcp2k/pr_evt74326/calib-pr-evt74326.json
98	nuecc48	18255	1	69314	nuecc	2	68.9	22.0	work-pr124r1-onA98-nuecc48/pr_evt69314/calib-pr-evt69314.json
141	mcp2k	18255	1	52605	nuecc	2	135.5	22.0	work-pr124r1-onA141v2-mcp2k/pr_evt52605/calib-pr-evt52605.json
98	nuecc48	18255	1	46363	nuecc	2	1810.6	21.8	work-pr124r1-onA98-nuecc48/pr_evt46363/calib-pr-evt46363.json
98	nuecc48	18255	1	219295	nuecc	2	1391.6	21.1	work-pr124r1-onA98-nuecc48/pr_evt219295/calib-pr-evt219295.json
141	mcp1k	18255	1	348471	numucc_em	2	414.4	20.2	work-pr124r1-onA141v2-mcp1k/pr_evt348471/calib-pr-evt348471.json
141	mcp2k	18259	1	170098	numucc_em	2	269.7	19.7	work-pr124r1-onA141v2-mcp2k/pr_evt170098/calib-pr-evt170098.json
98	nuecc48	18255	1	174637	nuecc	2	785.3	19.6	work-pr124r1-onA98-nuecc48/pr_evt174637/calib-pr-evt174637.json
141	mcp1k	18255	1	58755	nuecc	2	120.8	18.1	work-pr124r1-onA141v2-mcp1k/pr_evt58755/calib-pr-evt58755.json
98	nuecc48	18306	1	256587	nuecc	2	3591.6	17.7	work-pr124r1-onA98-nuecc48/pr_evt256587/calib-pr-evt256587.json
141	mcp2k	18255	1	396037	other_em	2	137.2	17.1	work-pr124r1-onA141v2-mcp2k/pr_evt396037/calib-pr-evt396037.json
141	mcp2k	18255	1	100135	nuecc	2	122.2	15.3	work-pr124r1-onA141v2-mcp2k/pr_evt100135/calib-pr-evt100135.json
98	nuecc48	18409	1	214469	nuecc	2	1797.1	15.1	work-pr124r1-onA98-nuecc48/pr_evt214469/calib-pr-evt214469.json
