arm	event	label_tag	len_cm	long_muon	med_dqdx_mip	pdg	pdg11	seed_node_labeled	seg	seg_mark	site	straight	topo	traj	verdict
work-pr121r1-dbgA-mcp2k	176502	emscan-0827	30.66	0	1.213	11	1		109298		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-mcp2k	176502	emscan-0827	13.15	0	1.235	11	1		109299		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	176533	emscan-0828-agent5	11.12	0	1.122	11	1		11032		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	176533	emscan-0828-agent5	18.52	0	1.462	11	1		11035		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	179048	emscan-0828-agent5	3.77	0	1.117	11	1	17012	17007	TARGET	in_main_cluster	0	0	1	vertex-bad (undecidable)
work-pr121r1-dbg141-mcp2k	179048	emscan-0828-agent5	8.24	0	1.101	11	1	17012	17003	OUT	in_main_cluster	0	0	1	vertex-bad (undecidable)
work-pr121r1-dbg141-mcp2k	179369	emscan-0828-agent5	4.0	0	1.276	11	1		17003		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp2k	179369	emscan-0828-agent5	52.9	1	1.083	13	0		12006		in_main_cluster	1	0	0	over-clustered
work-pr121r1-dbgA-ncpi0	180801	emscan-0827	25.47	0	1.147	11	1		15082		in_main_cluster	0	1	0	None
work-pr121r1-dbgA-ncpi0	180801	emscan-0827	22.03	0	0.637	11	1		15083		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-ncpi0	180801	emscan-0827	4.3	0	1.063	11	1		15015		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	181050	emscan-0828-agent5	2.3	0	0.787	11	1	15006	15001	TARGET	in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbgA-nuecc48	196649	emscan-0827	38.92	0	1.986	11	1		11113		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	214469	emscan-0827	34.45	0	1.257	11	1		16078		in_main_cluster	1	1	0	None
work-pr121r1-dbgA-nuecc48	219295	emscan-0827	33.26	0	1.894	11	1		15128		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	234638	emscan-0827	25.68	0	1.154	11	1		10041		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	234638	emscan-0827	2.85	0	1.096	11	1		10018		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	235435	emscan-0827	3.29	0	1.155	11	1		2051		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	235435	emscan-0827	6.82	0	0.869	13	0		2024		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-nuecc48	239794	emscan-0827	12.92	0	7.98	11	1		2070		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	246579	emscan-0827	21.94	0	2.247	11	1		19047		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	256587	emscan-0827	32.83	0	1.156	11	1		11301		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-ncpi0	259542	emscan-0827	2.27	0	0.857	11	1		128135		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	267597	emscan-0827	15.68	0	2.198	11	1		5121		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	268067	emscan-0827	3.2	0	0.439	11	1		15079		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	268067	emscan-0827	22.62	0	1.189	11	1		15080		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	268784	emscan-0827	2.81	0	0.905	11	1		13003		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	268784	emscan-0827	12.06	0	2.675	11	1		13027		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-nuecc48	269774	emscan-0827	23.87	0	2.381	11	1		87134		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-nuecc48	271851	emscan-0827	22.46	0	1.039	11	1		23010		in_main_cluster	1	0	0	None
work-pr121r1-dbg141-mcp2k	275011	emscan-0828-agent5	22.16	0	0.782	11	1		11037		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp2k	275011	emscan-0828-agent5	14.94	0	1.092	11	1		11038		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	277298	emscan-0828-agent5	22.6	0	1.647	11	1		17026		in_main_cluster	0	0	1	not an EM shower
work-pr121r1-dbg141-mcp1k	277298	emscan-0828-agent5	9.93	0	0.897	11	1		17028		in_main_cluster	0	0	1	not an EM shower
work-pr121r1-dbg141-mcp1k	277298	emscan-0828-agent5	49.26	0	1.339	11	1		17030		in_main_cluster	1	1	0	not an EM shower
work-pr121r1-dbgA-mcp1k	278794	emscan-0827	22.58	1	1.016	13	0		7002		in_main_cluster	1	0	0	None
work-pr121r1-dbg141-mcp2k	280159	emscan-0828-agent5	16.42	0	0.885	11	1		12119		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp1k	280972	emscan-0828-agent5	8.85	0	1.127	11	1		7028		in_main_cluster	0	1	0	correct
work-pr121r1-dbgA-mcp2k	281165	emscan-0827	12.63	1	1.155	13	0		16006		in_main_cluster	1	0	0	None
work-pr121r1-dbgA-mcp2k	281567	emscan-0827	9.01	0	1.962	11	1		95129		in_main_cluster	0	0	0	None
work-pr121r1-dbgA-mcp2k	281567	emscan-0827	21.2	0	0.987	11	1		95225		in_main_cluster	0	0	1	None
work-pr121r1-dbgA-mcp2k	281567	emscan-0827	27.33	0	1.127	11	1		95227		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp2k	282271	emscan-0828-agent5	30.97	0	1.356	11	1	6063	6063	TARGET	in_main_cluster	0	1	0	under-clustered
work-pr121r1-dbg141-mcp2k	282271	emscan-0828-agent5	2.99	0	1.066	11	1		6004	TARGET	in_main_cluster	0	0	0	under-clustered
work-pr121r1-dbgA-mcp2k	282909		1.36	0	0.433	11	1		4079		in_main_cluster	0	0	0	
work-pr121r1-dbgA-mcp2k	282909		4.85	0	1.055	11	1		4082		in_main_cluster	0	0	1	
work-pr121r1-dbgA-mcp2k	282909		19.18	0	1.094	11	1		4084		in_main_cluster	1	0	0	
work-pr121r1-dbgA-mcp2k	282909		2.14	0	0.421	11	1		4078		in_main_cluster	0	0	0	
work-pr121r1-dbg141-mcp1k	282979	emscan-0828-agent5	15.97	0	0.955	11	1	14003	14003	TARGET	in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp1k	282979	emscan-0828-agent5	10.68	0	0.378	11	1		14050		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp1k	282979	emscan-0828-agent5	2.99	0	0.574	11	1		14051		in_main_cluster	0	0	1	over-clustered
work-pr121r1-dbg141-mcp1k	283713	emscan-0828-agent5	246.45	1	1.073	13	0		17007		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	284206	emscan-0828-agent5	21.26	0	1.09	11	1	10051	10051	TARGET	in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp2k	284206	emscan-0828-agent5	23.45	0	1.009	11	1		10052	TARGET	in_main_cluster	0	0	0	under-clustered
work-pr121r1-dbg141-mcp2k	284206	emscan-0828-agent5	29.13	0	1.205	11	1		10054	TARGET	in_main_cluster	0	1	0	under-clustered
work-pr121r1-dbg141-mcp2k	284206	emscan-0828-agent5	24.79	0	0.54	11	1		10056	TARGET	in_main_cluster	1	0	1	under-clustered
work-pr121r1-dbg141-mcp2k	284206	emscan-0828-agent5	2.1	0	1.029	11	1		10001		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbgA-ncpi0	285567	emscan-0827	14.28	0	1.523	11	1		8107		in_main_cluster	0	1	0	None
work-pr121r1-dbgA-ncpi0	285567	emscan-0827	8.55	0	0.811	11	1		8016		in_main_cluster	0	0	1	None
work-pr121r1-dbg141-mcp1k	286681	emscan-0828-agent5	25.18	0	1.963	11	1	3012	3012	TARGET	in_main_cluster	0	0	0	over-clustered
work-pr121r1-dbg141-mcp1k	287654	emscan-0828-agent5	4.97	0	1.362	11	1		12003		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	287794	emscan-0828-agent5	9.22	0	2.202	11	1		5026		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	287830	emscan-0828-agent5	6.2	0	1.397	11	1		16028		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	289508	emscan-0828-agent5	10.7	0	1.45	11	1		17012		in_main_cluster	1	1	0	correct
work-pr121r1-dbg141-mcp2k	291072	emscan-0828-agent5	12.02	0	1.294	11	1	21023	21023	TARGET	in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp1k	292005	emscan-0828-agent5	77.01	1	1.043	13	0		18005		in_main_cluster	1	0	0	not an EM shower
work-pr121r1-dbg141-mcp1k	292005	emscan-0828-agent5	2.79	0	0.926	11	1		18024		in_main_cluster	0	0	0	not an EM shower
work-pr121r1-dbg141-mcp1k	292027	emscan-0828-agent5	157.3	1	1.037	13	0		12005		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	292524	emscan-0828-agent5	31.03	1	1.032	13	0		9018		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	292524	emscan-0828-agent5	5.4	0	0.636	11	1		9016		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp1k	293149	emscan-0828-agent5	4.3	0	1.144	11	1		4002		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp2k	293536	emscan-0828-agent5	15.08	0	1.737	11	1		15027		in_main_cluster	0	0	1	not an EM shower
work-pr121r1-dbg141-mcp2k	294174	emscan-0828-agent5	39.46	1	1.005	13	0		16028		in_main_cluster	1	0	0	under-clustered
work-pr121r1-dbg141-mcp2k	294174	emscan-0828-agent5	7.43	0	1.266	11	1		16004		in_main_cluster	0	0	1	under-clustered
work-pr121r1-dbg141-mcp1k	313781	emscan-0828-agent5	4.14	0	0.581	11	1		9011		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp1k	313781	emscan-0828-agent5	9.74	0	1.015	11	1		9012		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp1k	317939	emscan-0828-agent5	21.44	0	1.063	11	1		26001		in_main_cluster	1	0	1	correct
work-pr121r1-dbg141-mcp1k	317939	emscan-0828-agent5	10.55	0	1.295	11	1		26003		in_main_cluster	0	1	0	correct
work-pr121r1-dbg141-mcp2k	318703	emscan-0828-agent5	175.7	1	1.055	13	0		17023		in_main_cluster	1	0	0	correct
work-pr121r1-dbg141-mcp2k	318703	emscan-0828-agent5	11.12	0	0.635	11	1		17067		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp2k	318769	emscan-0828-agent5	6.2	0	1.24	11	1		31026		in_main_cluster	0	1	0	both
work-pr121r1-dbg141-mcp2k	321169	emscan-0828-agent5	4.57	0	0.448	11	1		16054		in_main_cluster	0	0	0	correct
work-pr121r1-dbg141-mcp2k	321169	emscan-0828-agent5	15.16	0	0.895	11	1		16055		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	321169	emscan-0828-agent5	20.29	0	0.929	11	1		16059		in_main_cluster	0	0	1	correct
work-pr121r1-dbg141-mcp2k	321169	emscan-0828-agent5	12.56	0	0.626	11	1		16060		in_main_cluster	0	0	1	correct
