event	node	seg	cls	site	how	final_ang	final_dist	dQ
388	23032	23040	HOLD	in_main_cluster	walk_add	2.97	68.8	285819.2
388	23032	23041	HOLD	in_main_cluster	walk_add	4.86	58.43	619891.7
388	23032	23042	HOLD	in_main_cluster	walk_add	5.44	48.84	-106141.7
388	23032	23046	HOLD	in_main_cluster	walk_add	5.44	48.84	5784.5
388	23032	23047	HOLD	in_main_cluster	walk_add	2.01	70.21	120632.1
388	23032	23048	HOLD	in_main_cluster	walk_add	4.63	48.11	997014.2
388	23032	23050	HOLD	in_main_cluster	walk_add	1.66	48.21	1334691.3
388	23032	23054	HOLD	in_main_cluster	walk_add	5.44	49.28	618077.5
388	23032	23055	HOLD	in_main_cluster	walk_add	1.07	36.47	196812.4
388	23032	23056	HOLD	in_main_cluster	walk_add	3.77	31.25	865752.9
388	23032	23058	HOLD	in_main_cluster	walk_add	9.16	49.11	341792.2
388	23032	23062	HOLD	in_main_cluster	walk_add	1.81	57.34	283211.8
388	23032	23063	HOLD	in_main_cluster	walk_add	1.79	43.88	460297.1
388	23032	23064	HOLD	in_main_cluster	walk_add	5.96	43.42	506599.7
388	23032	23065	HOLD	in_main_cluster	walk_add	4.57	72.51	272266.6
388	23032	53068	HOLD	pass3_cone	direct	19.61	78.39	37245.7
388	23032	54069	HOLD	pass3_cone	direct	2.5	76.7	85582.8
388	23032	56071	HOLD	pass3_cone	direct	1.97	77.93	136810.5
388	23032	68084	HOLD	pass3_cone	direct	18.74	30.41	38593.1
388	23032	71087	HOLD	pass3_cone	direct	9.15	57.87	32624.0
388	23032	72088	HOLD	pass3_cone	direct	7.99	65.54	129110.5
388	23032	73090	HOLD	pass3_cone	direct	11.95	76.81	109131.1
388	23032	74091	HOLD	pass3_cone	direct	9.66	68.63	56967.5
388	23032	75092	HOLD	pass3_cone	direct	10.53	77.81	72330.1
388	23032	76093	HOLD	pass3_cone	direct	4.37	75.4	82710.7
388	23032	77094	HOLD	pass3_cone	direct	3.04	65.06	40714.9
388	23032	78095	HOLD	pass3_cone	direct	10.84	52.31	26240.7
388	23032	79096	HOLD	pass3_cone	direct	6.96	61.71	18972.0
388	23032	80097	HOLD	pass3_cone	direct	19.06	46.07	30455.6
388	23032	82099	HOLD	pass3_cone	direct	3.79	77.79	57897.0
388	23032	86104	HOLD	pass3_cone	direct	10.61	68.19	52363.0
388	23032	89107	HOLD	pass3_cone	direct	23.83	67.09	32723.0
388	23032	90108	HOLD	pass3_cone	direct	19.93	39.99	28877.0
388	23032	91109	HOLD	pass3_cone	direct	8.84	67.24	505377.4
388	27066	27066	HOLD			-1.0	0.0	63084.1
388	28067	28067	HOLD			-1.0	0.0	94238.7
388	55070	55070	HOLD			-1.0	0.0	50541.0
388	57072	57072	HOLD			-1.0	0.0	272568.4
388	58073	58073	HOLD			-1.0	0.0	31198.9
388	67083	67083	HOLD			-1.0	0.0	31176.8
388	69085	69085	HOLD			-1.0	0.0	32181.2
388	70086	70086	HOLD			-1.0	0.0	53806.6
388	81098	81098	HOLD			-1.0	0.0	216576.3
388	81098	87105	HOLD	in_other_clusters_seg_cone	direct	160.77	90.08	70202.8
388	81098	88106	HOLD	in_other_clusters_seg_cone	direct	161.2	81.03	24060.8
388	81098	94112	HOLD	in_other_clusters_seg_cone	direct	160.65	74.11	163087.9
388	97179	97179	HOLD			-1.0	0.0	153377.8
10550	7016	7016	HOLD			-1.0	0.0	771702.4
10550	7036	7001	HOLD	in_main_cluster	walk_add	12.27	52.32	109723.6
10550	7036	7011	HOLD	in_main_cluster	walk_add	2.23	14.99	445359.9
10550	7036	7018	HOLD	pass3_cone	direct	5.49	30.74	112501.2
10550	7036	7021	HOLD	in_main_cluster	walk_add	3.65	19.12	488384.4
10550	7036	7023	HOLD	in_main_cluster	walk_add	3.96	35.75	791940.0
10550	7036	7024	HOLD	in_main_cluster	walk_add	3.96	35.75	693170.6
10550	7036	7025	HOLD	in_main_cluster	walk_add	4.36	46.69	204295.0
10550	7036	7027	HOLD	in_main_cluster	walk_add	3.65	19.12	1073247.2
10550	7036	7029	HOLD	in_main_cluster	walk_add	4.39	31.4	677744.9
10550	7036	7033	HOLD	in_main_cluster	walk_add	4.36	46.69	465028.8
10550	7036	7035	HOLD	in_main_cluster	walk_add	9.58	13.64	156260.3
10550	7036	7036	HOLD			-1.0	0.0	1677211.8
10550	7036	28042	HOLD	pass3_cone	direct	17.75	65.53	36931.0
10550	7036	29043	HOLD	pass3_cone	direct	20.43	68.69	28197.9
10550	7036	30044	HOLD	pass3_cone	direct	21.87	42.74	60195.1
10550	7036	31045	HOLD	pass3_cone	direct	11.42	61.76	21944.3
10550	7036	32046	HOLD	pass3_cone	direct	15.27	63.03	132084.6
10550	7036	33047	HOLD	pass3_cone	direct	5.05	56.5	59769.5
10550	7036	34048	HOLD	pass3_cone	direct	5.71	58.81	78335.6
10550	7036	35049	HOLD	pass3_cone	direct	3.54	59.14	25672.1
10550	7036	36050	HOLD	pass3_cone	direct	8.41	74.06	34186.7
10550	7036	37051	HOLD	pass3_cone	direct	1.42	120.34	46932.1
10550	7036	38052	HOLD	pass3_cone	direct	6.12	112.14	54595.2
10550	7036	39053	HOLD	pass3_cone	direct	13.35	77.06	54051.7
10550	7036	41055	HOLD	pass3_cone	direct	23.07	69.82	193297.7
10550	7036	43057	HOLD	pass3_cone	direct	11.23	95.32	92266.5
10550	7036	47061	HOLD	pass3_cone	direct	22.67	72.41	63494.2
10550	7036	48062	HOLD	pass3_cone	direct	12.11	49.53	290399.5
10550	7036	49067	HOLD	pass3_cone	direct	9.83	61.98	113084.2
10550	7036	49068	HOLD	pass3_cone	direct	7.04	47.37	1028125.7
10550	7036	49071	HOLD	pass3_cone	direct	7.83	55.39	530116.5
10550	7036	49100	HOLD	pass3_cone	direct	8.5	59.93	105453.0
10550	7036	58078	HOLD	pass3_cone	direct	2.34	51.83	164815.1
10550	7036	60080	HOLD	pass3_cone	direct	8.17	123.1	24690.6
10550	7036	61081	HOLD	pass3_cone	direct	3.66	131.71	28040.2
10550	7036	63083	HOLD	pass3_cone	direct	10.95	68.8	151877.6
10550	7036	64092	HOLD	pass3_cone	direct	7.99	88.59	323528.5
10550	7036	64096	HOLD	pass3_cone	direct	7.99	88.59	349771.8
10550	7036	65098	HOLD	pass3_cone	direct	2.32	105.1	136074.9
10550	7036	65099	HOLD	pass3_cone	direct	2.52	106.11	295857.3
10550	16037	16037	HOLD			-1.0	0.0	39993.6
10550	17038	17038	HOLD			-1.0	0.0	53923.7
10550	18039	18039	HOLD			-1.0	0.0	45346.8
10550	19040	19040	HOLD			-1.0	0.0	63995.4
10550	27041	27041	HOLD			-1.0	0.0	132136.5
10550	40054	40054	HOLD			-1.0	0.0	50205.2
10550	44058	42056	HOLD	pass4_angle	direct	24.3	34.81	40658.1
10550	44058	44058	HOLD			-1.0	0.0	209548.6
10550	45059	45059	HOLD			-1.0	0.0	59309.8
10550	46060	46060	HOLD			-1.0	0.0	111687.3
10550	50075	50075	HOLD			-1.0	0.0	502270.4
10550	51076	51076	HOLD			-1.0	0.0	71395.2
10550	52077	52077	HOLD			-1.0	0.0	207545.3
10550	59079	59079	HOLD			-1.0	0.0	26655.8
18625	17031	17005	HOLD	from_vertices	walk_add	-1.0	-1.0	630343.5
18625	17031	17006	HOLD	from_vertices	walk_add	-1.0	-1.0	169520.3
18625	17031	17007	HOLD	from_vertices	walk_add	-1.0	-1.0	101865.1
18625	17031	17009	HOLD	from_vertices	walk_add	-1.0	-1.0	327049.1
18625	17031	17010	HOLD	from_vertices	walk_add	-1.0	-1.0	247501.6
18625	17031	17031	HOLD			-1.0	-1.0	192335.1
18625	17031	17032	HOLD	from_vertices	walk_add	-1.0	-1.0	178331.8
18625	17031	128027	HOLD	pass4_proximity	direct	-1.0	-1.0	0.0
18625	27020	27018	HOLD	in_other_clusters_A	walk_add	-1.0	-1.0	232534.4
18625	27020	27019	HOLD	in_other_clusters_A	walk_add	-1.0	-1.0	83914.5
18625	27020	27020	HOLD			-1.0	-1.0	131246.2
18625	37010	37010	HOLD			-1.0	0.0	35016.2
18625	38011	38011	HOLD			-1.0	0.0	250823.9
18625	39012	39012	HOLD			-1.0	0.0	30577.3
18625	46019	46019	HOLD			-1.0	0.0	19675.3
18625	49022	49022	HOLD			-1.0	0.0	52323.0
18625	50023	50023	HOLD			-1.0	0.0	843305.2
18625	51024	51024	HOLD			-1.0	0.0	25231.7
18625	53026	53026	HOLD			-1.0	0.0	201275.7
18625	117021	117021	HOLD			-1.0	-1.0	58068.7
18625	118022	118022	HOLD			-1.0	-1.0	70816.0
18625	119023	119023	HOLD			-1.0	-1.0	19138.0
18625	120024	120024	HOLD			-1.0	-1.0	29883.6
18625	121025	121025	HOLD			-1.0	-1.0	86283.1
18625	126059	40013	HOLD	pass4_angle	direct	11.85	33.29	207369.5
18625	126059	41014	HOLD	pass4_angle	direct	4.28	51.03	99973.5
18625	126059	42015	HOLD	pass4_angle	direct	25.3	57.06	30016.9
18625	126059	43016	HOLD	pass4_angle	direct	15.38	43.5	31277.4
18625	126059	44017	HOLD	pass4_angle	direct	11.89	48.45	78553.6
18625	126059	45018	HOLD	pass4_angle	direct	8.09	59.05	64109.3
18625	126059	47020	HOLD	pass4_angle	direct	6.42	79.61	25791.8
18625	126059	52025	HOLD	pass4_angle	direct	15.42	45.05	45750.5
18625	126059	54027	HOLD	pass4_angle	direct	8.19	60.32	221437.9
18625	126059	55028	HOLD	pass4_angle	direct	5.9	45.72	213984.1
18625	126059	56030	HOLD	pass4_angle	direct	1.2	70.85	365395.9
18625	126059	56031	HOLD	pass4_angle	direct	2.75	75.3	132215.5
18625	126059	126033	HOLD	from_vertices	walk_add	7.55	2.66	1164032.5
18625	126059	126051	HOLD	from_vertices	walk_add	4.94	33.68	4415.2
18625	126059	126052	HOLD	from_vertices	walk_add	4.94	33.68	301394.0
18625	126059	126053	HOLD	from_vertices	walk_add	4.11	33.47	454078.7
18625	126059	126054	HOLD	from_vertices	walk_add	9.83	21.77	784603.7
18625	126059	126056	HOLD	from_vertices	walk_add	9.54	31.44	31797.1
18625	126059	126057	HOLD	from_vertices	walk_add	8.86	31.6	175241.5
18625	126059	126058	HOLD	from_vertices	walk_add	7.6	31.34	163801.1
18625	126059	126059	HOLD			-1.0	0.0	407815.6
18625	126059	126060	HOLD	from_vertices	walk_add	4.12	29.99	241171.5
18625	126059	126061	HOLD	from_vertices	walk_add	4.95	28.98	231298.1
18625	126059	126062	HOLD	from_vertices	walk_add	4.31	12.48	1822760.1
18625	126059	126064	HOLD	from_vertices	walk_add	6.65	40.44	701151.5
18625	126059	126065	HOLD	from_vertices	walk_add	6.65	40.44	86045.8
18625	126059	126066	HOLD	from_vertices	walk_add	5.2	17.45	890874.9
18625	126059	126067	HOLD	from_vertices	walk_add	5.2	17.45	392631.6
18625	126059	126068	HOLD	from_vertices	walk_add	16.51	13.89	203936.2
18625	126059	126069	HOLD	from_vertices	walk_add	2.22	12.41	189524.5
18625	126059	126070	HOLD	from_vertices	walk_add	4.69	33.64	596573.4
18625	127026	127026	HOLD			-1.0	-1.0	58528.3
18625	129028	129028	HOLD			-1.0	-1.0	69774.3
18625	130029	130029	HOLD			-1.0	-1.0	26250.7
21073	11008	11007	HOLD	in_main_cluster	walk_add	7.09	5.94	359937.1
21073	11008	11008	HOLD			-1.0	0.0	539356.0
21073	16019	16015	HOLD	from_vertices	walk_add	2.89	5.88	125816.4
21073	16019	16019	HOLD			-1.0	0.0	400078.9
21073	16019	65110	HOLD	pass4_angle	direct	8.04	8.22	72734.6
21073	28020	28020	HOLD			-1.0	0.0	25415.2
21073	29021	29021	HOLD			-1.0	0.0	35455.3
21073	30022	30022	HOLD			-1.0	0.0	37910.5
21073	31023	31023	HOLD			-1.0	0.0	84077.5
21073	31023	31024	HOLD	from_vertices	walk_add	-1.0	0.0	108099.5
21073	31023	33026	HOLD	pass4_proximity	direct	11.25	8.83	180253.3
21073	31023	34027	HOLD	pass4_proximity	direct	23.74	8.35	38659.3
21073	31023	57049	HOLD	pass4_angle	direct	6.53	11.5	661575.6
21073	31023	64108	HOLD	pass4_proximity	direct	8.74	47.61	119333.5
21073	31023	64109	HOLD	pass4_angle	direct	5.87	44.77	231387.9
21073	47040	47040	HOLD			-1.0	0.0	31696.0
21073	50043	50043	HOLD			-1.0	0.0	170092.2
21073	51044	51044	HOLD			-1.0	0.0	125427.7
21073	52045	52045	HOLD			-1.0	0.0	44785.7
21073	60081	32025	IN	pass4_proximity	direct	30.71	34.96	196429.1
21073	60081	35028	IN	pass4_angle	direct	5.22	59.69	365483.5
21073	60081	36029	IN	pass4_angle	direct	9.54	86.82	59105.8
21073	60081	37030	IN	pass4_angle	direct	15.05	65.29	40894.0
21073	60081	38031	IN	pass4_angle	direct	16.4	112.18	47235.6
21073	60081	39032	IN	pass4_angle	direct	6.82	103.31	51921.6
21073	60081	40033	IN	pass4_angle	direct	11.19	89.27	25807.1
21073	60081	42035	IN	pass4_angle	direct	25.59	49.11	62745.9
21073	60081	43036	IN	pass4_angle	direct	2.11	81.77	215615.3
21073	60081	45038	IN	pass4_angle	direct	11.42	51.34	25359.6
21073	60081	48041	IN	pass4_angle	direct	9.07	68.21	60912.0
21073	60081	49042	IN	pass4_angle	direct	20.55	58.06	67636.8
21073	60081	54047	IN	pass4_angle	direct	23.48	40.42	301604.0
21073	60081	56048	IN	pass4_angle	direct	30.06	33.25	167825.8
21073	60081	59050	IN	pass4_angle	direct	19.85	30.08	135585.8
21073	60081	60055	IN	from_vertices	walk_add	29.38	27.88	451353.6
21073	60081	60056	IN	from_vertices	walk_add	6.85	6.99	990011.7
21073	60081	60058	IN	from_vertices	walk_add	10.39	14.68	390520.5
21073	60081	60061	IN	from_vertices	walk_add	6.85	6.99	87522.1
21073	60081	60063	IN	from_vertices	walk_add	26.67	20.7	1115961.5
21073	60081	60065	IN	from_vertices	walk_add	34.64	25.03	357005.2
21073	60081	60066	IN	from_vertices	walk_add	31.89	31.54	360307.9
21073	60081	60068	IN	from_vertices	walk_add	26.67	20.7	148198.4
21073	60081	60070	IN	from_vertices	walk_add	26.15	16.39	163184.3
21073	60081	60071	IN	from_vertices	walk_add	26.27	18.56	250521.8
21073	60081	60072	IN	from_vertices	walk_add	26.27	18.56	130308.2
21073	60081	60073	IN	from_vertices	walk_add	7.36	13.98	314499.3
21073	60081	60074	IN	from_vertices	walk_add	2.84	9.8	308948.5
21073	60081	60075	IN	from_vertices	walk_add	7.36	13.98	63410.1
21073	60081	60076	IN	from_vertices	walk_add	19.56	21.98	210266.3
21073	60081	60077	IN	from_vertices	walk_add	16.65	24.79	166054.2
21073	60081	60078	IN	from_vertices	walk_add	16.65	24.79	258346.0
21073	60081	60079	IN	from_vertices	walk_add	15.45	13.96	786887.9
21073	60081	60080	IN	from_vertices	walk_add	14.79	16.55	275040.4
21073	60081	60081	IN			-1.0	0.0	968455.4
21073	60081	61082	IN	pass4_angle	direct	19.76	40.2	541153.0
21073	60081	67112	IN	pass4_angle	direct	4.15	32.88	531682.9
21073	60081	68117	IN	pass4_angle	direct	25.78	54.44	233496.2
21073	63100	41034	HOLD	pass4_angle	direct	22.22	38.48	27289.3
21073	63100	44037	HOLD	pass4_angle	direct	6.91	21.6	54711.3
21073	63100	53046	HOLD	pass4_angle	direct	20.11	50.14	52463.4
21073	63100	62096	HOLD	pass4_angle	direct	15.15	37.87	261442.6
21073	63100	62098	HOLD	pass4_angle	direct	11.11	28.92	626128.0
21073	63100	63100	HOLD			-1.0	0.0	378619.5
21073	63100	63101	HOLD	from_vertices	walk_add	6.47	2.92	258655.8
21073	63100	63102	HOLD	from_vertices	walk_add	6.47	2.92	401007.0
21073	66111	66111	HOLD			-1.0	0.0	88016.0
21073	69118	69118	HOLD			-1.0	0.0	214700.8
30504	11008	11008	HOLD			-1.0	0.0	116674.1
30504	11008	11017	HOLD	pass3_cluster_map	direct	51.41	16.98	616200.6
30504	11021	11021	HOLD			-1.0	0.0	205859.8
30504	11065	11065	HOLD			-1.0	0.0	342640.4
30504	11065	43025	HOLD	pass3_cone	direct	19.39	76.92	46202.7
30504	11065	44026	HOLD	pass3_cone	direct	20.16	59.04	52779.0
30504	11065	45027	HOLD	pass3_cone	direct	20.04	57.47	122547.8
30504	11065	46028	HOLD	pass3_cone	direct	18.79	27.72	102615.3
30504	11065	49031	HOLD	pass3_cone	direct	18.33	43.98	80242.3
30504	11065	51033	HOLD	pass3_cone	direct	11.31	30.08	74089.7
30504	11065	52034	HOLD	pass3_cone	direct	1.18	29.67	54891.5
30504	11065	54036	HOLD	pass3_cone	direct	20.25	26.62	75819.6
30504	11065	56038	HOLD	pass3_cone	direct	24.92	33.38	71751.3
30504	11065	61043	HOLD	pass3_cone	direct	10.88	41.04	206241.1
30504	11065	62044	HOLD	pass3_cone	direct	8.18	53.19	297270.8
30504	11065	64046	HOLD	pass3_cone	direct	23.35	42.87	412646.5
30504	11065	66050	HOLD	pass3_cluster_map	direct	23.64	9.82	996079.9
30504	11065	66052	HOLD	pass3_cone	direct	3.45	13.89	295017.1
30504	11065	66053	HOLD	pass3_cone	direct	3.45	13.89	491050.7
30504	11065	66054	HOLD	pass3_cone	direct	15.64	18.83	599034.5
30504	11065	66057	HOLD	pass3_cone	direct	20.16	12.83	482772.5
30504	11065	70062	HOLD	pass3_cone	direct	26.69	26.64	258958.6
30504	11065	70063	HOLD	pass3_cone	direct	24.55	28.92	178057.9
30504	11066	11066	HOLD			-1.0	0.0	142846.1
30504	11068	11010	HOLD	in_main_cluster	walk_add	5.82	36.87	4174600.7
30504	11068	11011	HOLD	in_main_cluster	walk_add	1.89	36.52	370466.2
30504	11068	11016	HOLD	pass3_cone	direct	14.86	24.5	864343.7
30504	11068	11018	HOLD	pass3_cone	direct	7.29	19.94	62321.1
30504	11068	11019	HOLD	pass3_cone	direct	24.33	16.94	271415.4
30504	11068	11020	HOLD	pass3_cone	direct	7.29	19.94	302377.4
30504	11068	11068	HOLD			-1.0	0.0	2728219.8
30504	11068	59041	HOLD	pass3_cone	direct	8.76	95.78	60014.7
30504	11068	60042	HOLD	pass3_cone	direct	7.07	63.75	25230.9
30504	11069	11069	HOLD			-1.0	0.0	302566.3
30504	22022	22022	HOLD			-1.0	0.0	33720.1
30504	41023	41023	HOLD			-1.0	0.0	200647.1
30504	42024	42024	HOLD			-1.0	0.0	53289.3
30504	47029	47029	HOLD			-1.0	0.0	45513.3
30504	48030	48030	HOLD			-1.0	0.0	151837.2
30504	50032	50032	HOLD			-1.0	0.0	64551.0
30504	53035	53035	HOLD			-1.0	0.0	57428.1
30504	55037	55037	HOLD			-1.0	0.0	112420.2
30504	58040	58040	HOLD			-1.0	0.0	183819.6
30504	63045	63045	HOLD			-1.0	0.0	250286.0
30504	65047	65047	HOLD			-1.0	0.0	644730.2
30504	67058	67058	HOLD			-1.0	0.0	32258.1
30504	68059	68059	HOLD			-1.0	0.0	143447.1
30504	69060	57039	HOLD	in_other_clusters_seg_cone	direct	19.43	53.08	26998.7
30504	69060	69060	HOLD			-1.0	0.0	203330.2
37112	9008	9008	HOLD			-1.0	0.0	3272597.9
37112	9008	9009	HOLD	from_vertices	walk_add	4.04	12.96	410855.0
37112	9008	40021	HOLD	pass4_angle	direct	14.95	32.39	108521.1
37112	9008	41022	HOLD	pass4_angle	direct	2.66	91.89	229665.2
37112	9008	44025	HOLD	pass4_angle	direct	2.95	63.33	101302.0
37112	9008	45026	HOLD	pass4_angle	direct	4.39	62.82	99469.3
37112	9008	48029	HOLD	pass4_angle	direct	2.88	100.96	20229.8
37112	9008	49030	HOLD	pass4_angle	direct	5.26	94.14	61259.4
37112	9008	50031	HOLD	pass4_angle	direct	1.88	60.3	30571.6
37112	9008	51032	HOLD	pass4_angle	direct	1.63	69.15	154525.6
37112	9008	55036	HOLD	pass4_angle	direct	10.74	84.46	41005.0
37112	9008	56037	HOLD	pass4_angle	direct	6.48	84.91	18200.7
37112	9008	57038	HOLD	pass4_angle	direct	6.21	78.86	13136.2
37112	9008	60041	HOLD	pass4_angle	direct	10.38	75.47	168983.2
37112	9008	63044	HOLD	pass4_angle	direct	2.29	114.54	342429.3
37112	14014	14014	HOLD			-1.0	0.0	28436.8
37112	15015	15015	HOLD			-1.0	0.0	327003.3
37112	37018	37018	HOLD			-1.0	0.0	25385.1
37112	39020	39020	HOLD			-1.0	0.0	97020.8
37112	46027	46027	HOLD			-1.0	0.0	38451.6
37112	47028	47028	HOLD			-1.0	0.0	30962.3
37112	53034	53034	HOLD			-1.0	0.0	35647.2
37112	59040	59040	HOLD			-1.0	0.0	112123.0
37112	66047	66047	HOLD			-1.0	0.0	27877.8
37112	67048	9003	HOLD	pass4_proximity	direct	28.39	12.72	934988.3
37112	67048	9006	HOLD	pass4_proximity	direct	19.79	16.58	1293505.0
37112	67048	9009	HOLD	from_vertices	walk_add	21.1	14.38	410855.0
37112	67048	9010	HOLD	pass4_angle	direct	12.58	34.54	1655611.1
37112	67048	9011	HOLD	pass4_proximity	direct	15.53	50.06	114231.6
37112	67048	9012	HOLD	pass4_proximity	direct	15.53	50.06	109164.4
37112	67048	9013	HOLD	pass4_angle	direct	12.58	34.54	305678.7
37112	67048	43024	HOLD	pass4_angle	direct	18.23	46.55	60822.3
37112	67048	52033	HOLD	pass4_angle_divert	direct	22.93	96.47	196462.3
37112	67048	54035	HOLD	pass4_angle_divert	direct	23.95	108.16	31476.9
37112	67048	58039	HOLD	pass4_angle_divert	direct	19.76	74.84	92068.5
37112	67048	61042	HOLD	pass4_angle	direct	3.69	52.74	244576.3
37112	67048	64045	HOLD	pass4_angle_divert	direct	16.06	115.08	240394.1
37112	67048	65046	HOLD	pass4_angle	direct	15.2	33.33	224181.3
37112	67048	67048	HOLD			-1.0	0.0	563279.8
37112	67048	67049	HOLD	from_vertices	walk_add	20.82	4.98	252136.6
37112	67048	81056	HOLD	pass4_proximity	direct	21.25	57.55	144781.0
37112	67048	81058	HOLD	pass4_angle	direct	15.14	49.43	548421.3
37112	67048	81059	HOLD	pass4_angle	direct	15.14	49.43	212411.4
37112	67048	81060	HOLD	pass4_angle	direct	14.02	45.84	283204.1
37112	67048	82061	HOLD	pass4_angle_divert	direct	20.45	64.5	103234.9
37112	84070	38019	HOLD	pass3_cone	direct	24.97	71.95	81298.9
37112	84070	84070	HOLD			-1.0	0.0	603356.8
37112	84074	35016	HOLD	pass3_cone	direct	14.47	47.19	30790.1
37112	84074	36017	HOLD	pass3_cone	direct	17.76	24.85	42681.5
37112	84074	68051	HOLD	pass3_cone	direct	17.25	44.75	339496.3
37112	84074	84074	HOLD			-1.0	0.0	1429585.5
37112	84074	85072	HOLD	pass3_cone	direct	11.96	27.03	959368.9
38856	12035	12025	HOLD	pass3_cone	direct	11.33	31.22	311249.2
38856	12035	12035	HOLD			-1.0	0.0	338011.3
38856	12035	19037	HOLD	pass3_cone	direct	21.61	46.1	595275.8
38856	12035	33038	HOLD	pass3_cone	direct	4.01	68.42	43177.4
38856	12035	34039	HOLD	pass3_cone	direct	9.99	73.14	23407.7
38856	12035	37042	HOLD	pass3_cone	direct	9.35	37.18	52139.0
38856	12035	41046	HOLD	pass3_cone	direct	12.9	45.11	62507.9
38856	12035	42047	HOLD	pass3_cone	direct	5.14	65.5	39762.7
38856	12035	46051	HOLD	pass3_cone	direct	9.92	74.97	336060.6
38856	12035	59056	HOLD	pass3_cone	direct	8.85	40.53	160057.6
38856	12035	60057	HOLD	pass3_cone	direct	2.98	39.2	120282.8
38856	12035	63063	HOLD	pass3_cone	direct	2.14	48.35	892908.1
38856	12035	63065	HOLD	pass3_cone	direct	4.73	51.33	141426.6
38856	12035	63067	HOLD	pass3_cone	direct	4.73	51.33	138964.1
38856	12035	64068	HOLD	pass3_cone	direct	7.61	84.53	162779.3
38856	12035	65069	HOLD	pass3_cone	direct	13.63	86.07	113392.0
38856	12035	67071	HOLD	pass3_cone	direct	21.23	70.49	101027.1
38856	12035	68072	HOLD	pass3_cone	direct	15.73	104.71	37177.7
38856	12035	69077	HOLD	pass3_cone	direct	10.27	95.4	247677.5
38856	12035	69078	HOLD	pass3_cone	direct	10.27	95.4	297524.2
38856	12035	70079	HOLD	pass3_cone	direct	10.57	53.12	323971.1
38856	12035	71080	HOLD	pass3_cone	direct	11.38	56.57	284545.2
38856	12082	12082	HOLD			-1.0	0.0	75057.7
38856	12088	12088	HOLD			-1.0	0.0	955681.0
