arm	evt	seg	n	chord	path	ratio	iso	fold	rms_dr	rms_iso	max_iso	q0
work-pr51r7-on50	57661	26019	15	7.956	8.394	1.0550	1.13	0.1538	0.0868	0.1017	0.2738	0.4000
work-pr51r7-on50	57661	103021	11	5.755	5.900	1.0252	7.29	0.1111	0.1383	0.0190	0.0568	0.0000
work-pr51r7-on50	57883	16004	38	22.102	22.375	1.0124	24.19	0.0000	0.1251	0.1770	0.4206	0.0000
work-pr51r7-on50	57883	16012	148	84.138	88.418	1.0509	14.07	0.0890	0.5336	1.5833	5.0633	0.0068
work-pr51r7-on50	57883	16013	94	54.511	55.786	1.0234	25.84	0.0761	0.3007	0.5313	2.2303	0.0000
work-pr51r7-on50	57903	14001	52	23.358	30.785	1.3180	0.98	0.2600	0.0505	1.3323	3.9302	0.1154
work-pr51r7-on50	57903	14006	58	33.243	34.210	1.0291	26.40	0.1071	0.1864	0.5413	1.7012	0.0000
work-pr51r7-on50	57903	14007	95	45.428	56.564	1.2451	6.32	0.2796	0.9477	1.4275	3.6992	0.0000
work-pr51r7-on50	58321	19003	86	51.043	51.225	1.0036	66.82	0.0000	0.0742	0.2198	0.6191	0.0000
work-pr51r7-on50	58321	19004	246	143.642	149.205	1.0387	80.70	0.0533	2.2320	1.6806	6.0887	0.0163
work-pr51r7-on50	58321	19005	49	28.987	29.140	1.0053	34.18	0.0000	0.1413	0.1031	0.2139	0.0000
work-pr51r7-on50	58345	7001	82	46.425	48.505	1.0448	8.10	0.2250	0.2719	0.2674	0.7275	0.0000
work-pr51r7-on50	58607	23005	20	9.516	11.558	1.2146	4.88	0.3333	0.2150	0.4552	1.4897	0.8000
work-pr51r7-on50	58607	23006	20	10.458	11.271	1.0778	1.24	0.2222	0.2403	0.3689	1.0149	0.0000
work-pr51r7-on50	58653	4000	156	91.637	93.117	1.0162	43.76	0.0390	0.2254	0.5336	2.0822	0.0128
work-pr51r7-on50	58717	21001	29	16.217	16.594	1.0232	53.34	0.0741	0.1908	0.2866	0.8138	0.0000
work-pr51r7-on50	59003	19000	530	298.767	319.055	1.0679	13.77	0.2462	1.8348	2.1908	7.3408	0.0000
work-pr51r7-on50	59025	19004	237	138.703	142.953	1.0306	58.50	0.0298	0.9764	3.3556	10.4692	0.0000
work-pr51r7-on50	59025	19005	205	121.629	122.692	1.0087	56.81	0.0246	0.3013	0.3179	0.8451	0.0000
work-pr51r7-on50	59025	19007	176	103.092	104.958	1.0181	21.12	0.0920	0.3484	0.1733	0.5137	0.0000
work-pr51r7-on50	59085	3006	29	16.388	16.810	1.0257	11.84	0.0741	0.1477	0.1683	0.6184	0.0000
work-pr51r7-on50	59085	3007	11	5.690	6.258	1.0999	14.31	0.2222	0.0854	0.2604	0.6322	0.0000
work-pr51r7-on50	59093	15003	13	6.415	6.811	1.0618	57.26	0.0909	0.0784	0.2923	0.9420	0.0000
work-pr51r7-on50	59093	15005	190	110.888	113.607	1.0245	18.63	0.0851	0.8825	0.8119	2.1184	0.0000
work-pr51r7-on50	59093	15006	14	7.253	7.643	1.0538	20.89	0.1667	0.1592	0.0157	0.0430	0.0000
work-pr51r7-on50	59179	15001	18	9.763	10.150	1.0397	27.85	0.0625	0.2904	0.1076	0.3075	0.0000
work-pr51r7-on50	59179	15003	246	145.317	147.008	1.0116	52.61	0.0328	1.1669	0.6843	2.2727	0.0000
work-pr51r7-on50	59179	15006	39	22.727	22.794	1.0030	51.94	0.0000	0.0444	0.0935	0.2924	0.0000
work-pr51r7-on50	59247	15009	262	155.011	158.140	1.0202	57.10	0.0269	1.5218	1.7407	5.6588	0.0076
work-pr51r7-on50	59261	11008	142	83.343	84.645	1.0156	38.38	0.0571	0.2710	0.7810	2.0245	0.0000
work-pr51r7-on50	59335	11001	10	5.308	5.387	1.0148	42.16	0.0000	0.0604	0.0991	0.2653	0.0000
work-pr51r7-on50	59335	11003	113	64.861	66.977	1.0326	14.03	0.1081	0.2276	1.0601	3.3937	0.0088
work-pr51r7-on50	59371	8001	171	99.516	102.102	1.0260	27.08	0.1124	0.3850	0.1404	0.8435	0.0000
work-pr51r7-on50	59371	8004	42	23.630	24.609	1.0414	14.25	0.2000	0.1445	0.2651	0.7800	0.0000
work-pr51r7-on50	59553	10003	14	7.667	7.906	1.0313	70.50	0.0833	0.0684	0.1716	0.5611	0.0000
work-pr51r7-on50	59553	10004	116	68.600	69.144	1.0079	72.12	0.0000	0.3673	0.7838	2.2584	0.0000
work-pr51r7-on50	59685	6002	173	100.010	103.276	1.0327	35.22	0.1287	0.4334	0.1792	0.8747	0.0173
work-pr51r7-on50	59685	6005	173	101.841	103.165	1.0130	29.37	0.0468	0.3773	0.2764	0.8582	0.0000
