sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	349461	0	6.345	4.026	14	1527616	0	nu-candidate	13	1	1	1	0	0.762	183.2	8	-82.431885	56.975742	107.75562	1.439995	-15.0	1.0	0.0	0.7	0.0	406.6306
mcp1k	18255	1	349527	0	4.487	1.718	12	1191188	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	349549	0	7.745	5.186	14	1524272	0	nu-candidate	10	1	1	1	0	0.891	100.2	15	2.7485764	-78.07813	110.97137	3.0470355	-2.1008599	1.0	0.0	0.7	0.0	1215.2147
mcp1k	18255	1	349835	0	6.261	3.126	13	1528564	0	nu-candidate	12	1	2	1	0	1.082	63.9	3	-83.99493	122.99372	220.33197	2.5010622	-15.0	1.0	0.0	0.7	0.0	580.7675
mcp1k	18255	1	349879	0	6.400	3.943	13	1523768	0	nu-candidate	14	1	1	1	0	0.945	282.8	1	36.364532	-149.42734	255.86891	3.9236197	-15.0	1.0	0.0	0.7	0.0	999.8724
mcp1k	18255	1	349945	0	7.848	5.313	14	1529644	0	nu-candidate	14	1	1	1	0	1.456	185.2	20	-154.98126	-99.5937	104.22472	0.72785205	-4.300936	1.0	0.0	0.7	0.0	832.0352
mcp1k	18255	1	350099	0	4.757	1.215	11	1193092	0	cosmic-tagged	15	1	1	0	1													
mcp1k	18255	1	350121	0	7.221	4.190	14	1529964	0	nu-candidate	7	1	1	1	0	0.746	186.0	20	-43.673046	-22.194279	335.69705	3.240404	-15.0	1.0	0.0	0.7	0.0	918.0699
mcp1k	18255	1	350297	0	6.997	4.067	13	1530236	0	nu-candidate	15	1	1	1	0	1.436	252.8	4	-120.07229	76.16417	220.03558	4.301008	-15.0	1.0	0.0	0.7	0.0	745.9455
mcp1k	18255	1	350781	0	5.865	2.772	12	1529596	0	cosmic-tagged	9	1	1	1	1	1.682	0.9	12	-96.497826	85.02048	25.12	-2.0998976	-15.0	1.0	1.0	0.7	0.0	107.32468
mcp1k	18255	1	350935	0	5.495	3.694	12	1529376	0	nu-candidate	10	1	1	1	0	1.907	126.5	3	-92.08837	-46.28913	28.824745	2.0710452	-15.0	1.0	0.0	0.7	0.0	750.93677
mcp1k	18255	1	351507	0	4.962	1.193	11	1192552	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18255	1	351551	0	4.309	1.615	10	1193772	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	351617	0	3.935	1.994	10	1192692	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18255	1	351639	0	4.524	3.426	11	1530440	0	cosmic-tagged	9	1	1	1	1	1.331	19.1	3	-23.294512	160.51608	17.75529	-0.22402069	-4.300936	1.0	0.0	0.7	0.0	82.72563
