arm	event	nfit	nunc	unc_pct	unc_len_cm	len_dead	len_cathode	len_assoc	len_bridge	len_stitch	n_dead	n_cathode	n_assoc	n_bridge	n_stitch
work-poc48-off	267597	866	55	6.4	50.0	0.0	10.2	0.0	33.5	6.3	0	1	0	2	6
work-poc48-off	268067	438	13	3.0	7.8	0.0	0.0	0.0	7.8	0.0	0	0	0	2	0
work-poc48-off	268784	862	39	4.5	27.0	0.0	0.0	0.0	24.6	2.4	0	0	0	4	1
work-poc48-off	269774	1238	188	15.2	160.3	0.0	0.0	1.2	147.0	12.2	0	0	1	12	7
work-poc48-off	271851	846	115	13.6	77.8	0.0	0.0	0.0	61.7	16.1	0	0	0	7	7
work-poc48-off	30504	628	115	18.3	79.2	0.0	0.0	0.0	78.6	0.6	0	0	0	3	1
work-poc48-off	342199	599	91	15.2	78.0	0.0	0.0	0.0	77.4	0.6	0	0	0	4	1
work-poc48-off	350186	346	30	8.7	31.4	0.0	0.0	0.0	29.6	1.8	0	0	0	3	1
work-poc48-off	360535	616	24	3.9	12.5	0.0	0.0	2.9	9.6	0.0	0	0	1	1	0
work-poc48-off	388	880	49	5.6	54.8	0.0	0.0	0.0	52.8	2.0	0	0	0	5	3
work-poc48-off	38856	723	126	17.4	109.0	0.0	0.0	0.0	101.2	7.7	0	0	0	7	6
work-poc48-off	389538	1079	139	12.9	169.9	0.0	0.0	0.0	161.1	8.9	0	0	0	7	4
work-poc48-off	400474	1020	309	30.3	235.7	0.0	19.8	0.0	205.7	10.2	0	1	0	11	3
work-poc48-off	42280	707	39	5.5	20.0	0.0	0.0	0.0	18.7	1.3	0	0	0	4	2
work-poc48-off	422851	627	55	8.8	26.1	0.0	0.0	0.0	14.0	12.2	0	0	0	3	5
work-poc48-off	423981	757	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-off	433451	1147	107	9.3	60.3	0.0	0.0	0.0	44.9	15.4	0	0	0	4	5
work-poc48-off	437699	689	133	19.3	98.1	0.0	0.0	0.0	89.9	8.2	0	0	0	11	5
work-poc48-off	444187	515	6	1.2	5.1	0.0	0.0	0.0	0.0	5.1	0	0	0	0	3
work-poc48-off	447477	465	64	13.8	39.7	0.0	0.0	0.0	23.4	16.2	0	0	0	3	4
work-poc48-off	46363	779	78	10.0	47.4	0.0	0.0	0.0	37.7	9.7	0	0	0	3	4
work-poc48-off	469665	482	131	27.2	94.2	0.0	0.0	0.6	91.2	2.4	0	0	1	6	1
work-poc48-off	489330	856	31	3.6	13.8	0.0	0.0	0.6	10.2	3.0	0	0	1	3	2
work-poc48-off	52672	611	74	12.1	62.3	0.0	0.0	0.0	57.5	4.8	0	0	0	4	3
work-poc48-off	54095	1134	51	4.5	22.8	0.0	0.0	0.0	19.9	2.9	0	0	0	5	3
work-poc48-off	69314	756	2	0.3	1.8	0.0	0.0	0.0	1.8	0.0	0	0	0	1	0
work-poc48-off	74544	754	33	4.4	16.8	0.0	0.0	0.0	16.2	0.6	0	0	0	3	1
work-poc48-off	81597	660	35	5.3	17.0	0.0	0.0	0.0	14.1	2.9	0	0	0	2	2
work-poc48-off	90055	938	73	7.8	76.1	0.0	0.0	1.8	64.2	10.1	0	0	2	6	5
work-poc48-on	10550	250	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	111412	411	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	116962	-	-	-	-	-	-	-	-	-	-	-	-	-
work-poc48-on	122660	570	45	7.9	16.7	0.0	0.0	0.0	7.8	8.9	0	0	0	2	5
work-poc48-on	131357	380	12	3.2	5.3	0.0	0.0	0.0	1.2	4.1	0	0	0	1	3
work-poc48-on	137238	549	6	1.1	1.2	0.0	0.0	0.0	0.6	0.6	0	0	0	1	1
work-poc48-on	138009	533	18	3.4	9.6	0.0	0.0	0.0	4.8	4.8	0	0	0	1	2
work-poc48-on	163543	554	4	0.7	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-on	168596	855	21	2.5	11.2	0.0	0.0	0.0	3.6	7.6	0	0	0	1	4
work-poc48-on	172230	580	17	2.9	5.9	0.0	0.0	0.0	0.0	5.9	0	0	0	0	3
work-poc48-on	174637	432	2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	196649	648	10	1.5	4.8	0.0	0.0	0.0	0.0	4.8	0	0	0	0	2
work-poc48-on	214469	1017	14	1.4	6.6	0.0	0.0	0.0	0.0	6.6	0	0	0	0	1
work-poc48-on	219295	752	23	3.1	11.4	0.0	0.0	0.5	3.0	7.9	0	0	1	1	5
work-poc48-on	234638	826	103	12.5	76.8	0.0	0.0	0.0	0.0	76.8	0	0	0	0	6
work-poc48-on	235435	261	2	0.8	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-on	239794	1106	60	5.4	29.4	0.0	0.0	0.0	18.0	11.4	0	0	0	4	3
work-poc48-on	246579	825	42	5.1	18.8	0.0	0.0	0.0	11.8	7.0	0	0	0	3	8
work-poc48-on	256587	1478	27	1.8	9.1	0.0	0.0	0.0	4.2	4.9	0	0	0	1	5
work-poc48-on	267597	849	13	1.5	5.7	0.0	0.0	0.0	0.0	5.7	0	0	0	0	5
work-poc48-on	268067	531	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	268784	863	18	2.1	7.8	0.0	0.0	0.0	7.2	0.6	0	0	0	1	1
work-poc48-on	269774	1216	38	3.1	14.9	0.0	0.0	0.0	10.2	4.7	0	0	0	2	5
work-poc48-on	271851	628	29	4.6	14.2	0.0	0.0	0.0	7.2	7.0	0	0	0	2	4
work-poc48-on	30504	531	2	0.4	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-on	342199	517	3	0.6	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-on	350186	341	1	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	360535	742	3	0.4	0.6	0.0	0.0	0.0	0.0	0.6	0	0	0	0	1
work-poc48-on	388	927	20	2.2	5.6	0.0	0.0	0.0	4.8	0.8	0	0	0	1	3
work-poc48-on	38856	611	23	3.8	15.9	0.0	0.0	0.0	14.8	1.1	0	0	0	3	2
work-poc48-on	389538	1035	13	1.3	6.2	0.0	0.0	0.0	4.2	2.0	0	0	0	1	2
work-poc48-on	400474	650	41	6.3	24.5	0.0	0.0	0.0	18.6	5.9	0	0	0	1	4
work-poc48-on	42280	707	39	5.5	20.0	0.0	0.0	0.0	18.7	1.3	0	0	0	4	2
work-poc48-on	422851	622	24	3.9	9.8	0.0	0.0	0.0	1.2	8.6	0	0	0	1	3
work-poc48-on	423981	757	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	433451	1155	27	2.3	12.8	0.0	0.0	0.0	5.4	7.4	0	0	0	2	4
work-poc48-on	437699	568	5	0.9	2.4	0.0	0.0	0.0	2.4	0.0	0	0	0	1	0
work-poc48-on	444187	515	6	1.2	5.1	0.0	0.0	0.0	0.0	5.1	0	0	0	0	3
work-poc48-on	447477	442	16	3.6	5.3	0.0	0.0	0.0	0.0	5.3	0	0	0	0	6
work-poc48-on	46363	736	50	6.8	23.5	0.0	0.0	0.0	5.4	18.1	0	0	0	2	5
work-poc48-on	469665	338	33	9.8	16.4	0.0	0.0	0.0	7.2	9.2	0	0	0	2	5
work-poc48-on	489330	856	31	3.6	13.8	0.0	0.0	0.6	10.2	3.0	0	0	1	3	2
work-poc48-on	52672	472	11	2.3	1.8	0.0	0.0	0.0	0.0	1.8	0	0	0	0	2
work-poc48-on	54095	1100	30	2.7	11.3	0.0	0.0	0.0	8.4	2.9	0	0	0	3	3
work-poc48-on	69314	812	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
work-poc48-on	74544	685	22	3.2	10.8	0.0	0.0	0.0	10.2	0.6	0	0	0	2	1
work-poc48-on	81597	519	32	6.2	13.9	0.0	0.0	0.0	4.2	9.7	0	0	0	1	2
work-poc48-on	90055	973	84	8.6	45.0	0.0	0.0	0.0	13.2	31.8	0	0	0	2	10
