arm	event	rcid	nlegs	chord_cm	shower	n_inner	n_outer	rin_cm	rout_cm	angle_in_out_deg	aniso_outer	fired
work-pr51r6-flip19	84229	19058	2	25.74	0	7	12	6.0	12.9	5.86	22.37	0
work-pr51r6-flip19	84229	19059	2	58.29	0	8	20	6.0	18.0	5.52	37.24	0
work-pr51r6-flip50	48367	82048	3	2.89	1	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	48367	82049	3	3.95	1	5	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	48367	82053	3	20.86	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	49951	16001	3	52.52	0	8	20	6.0	18.0	4.33	37.65	0
work-pr51r6-flip50	49951	16005	3	25.58	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	49951	16006	3	15.57	0	8	5	6.0	9.0	0.67	9.78	0
work-pr51r6-flip50	51513	16001	2	6.48	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	51513	16002	2	66.41	0	8	20	6.0	18.0	5.55	29.43	0
work-pr51r6-flip50	52723	7000	2	58.50	0	8	21	6.0	18.0	1.95	26.28	0
work-pr51r6-flip50	52723	7001	2	8.54	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	53427	14001	3	7.07	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	53427	14003	3	10.59	0	8	5	6.0	9.0	2.23	5.73	0
work-pr51r6-flip50	53427	14005	3	9.19	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	54341	18001	2	31.70	0	8	18	6.0	15.8	8.98	20.73	0
work-pr51r6-flip50	54341	18003	2	22.04	0	8	8	6.0	11.0	1.11	15.92	0
work-pr51r6-flip50	54351	17009	2	48.20	0	8	21	6.0	18.0	3.49	23.18	0
work-pr51r6-flip50	54351	17012	2	39.84	0	8	21	6.0	18.0	11.09	30.77	0
work-pr51r6-flip50	55595	8010	2	184.32	0	8	22	6.0	18.0	10.05	14.27	0
work-pr51r6-flip50	55595	8012	2	13.74	0	7	5	6.0	9.0	4.62	8.85	0
work-pr51r6-flip50	55627	22001	2	183.49	0	8	20	6.0	18.0	1.06	40.14	0
work-pr51r6-flip50	55627	22002	2	13.46	0	8	5	6.0	9.0	2.83	9.83	0
work-pr51r6-flip50	55715	15001	2	16.47	1	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	55715	15003	2	5.93	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	56211	11001	2	15.19	0	8	5	6.0	9.0	1.18	9.31	0
work-pr51r6-flip50	56211	11002	2	6.22	0	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	56243	9001	2	28.90	0	8	16	6.0	14.4	13.51	12.76	0
work-pr51r6-flip50	56243	9002	2	71.82	0	8	20	6.0	18.0	1.71	41.36	0
work-pr51r6-flip50	56463	14002	2	56.44	0	8	20	6.0	18.0	2.52	38.14	0
work-pr51r6-flip50	56463	14005	2	161.49	0	7	21	6.0	18.0	2.43	40.21	0
work-pr51r6-flip50	57485	16003	2	5.11	1	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	57485	16006	2	45.50	0	8	20	6.0	18.0	13.00	28.65	0
work-pr51r6-flip50	57661	18027	2	12.67	0	8	5	6.0	9.0	1.52	9.67	0
work-pr51r6-flip50	57661	18028	2	109.46	0	8	20	6.0	18.0	1.38	40.86	0
work-pr51r6-flip50	57903	14001	2	24.10	0	8	21	6.0	12.1	75.04	6.05	1
work-pr51r6-flip50	57903	14007	2	48.23	0	8	25	6.0	18.0	49.12	5.78	1
work-pr51r6-flip50	58321	19003	3	51.04	0	7	20	6.0	18.0	3.19	43.67	0
work-pr51r6-flip50	58321	19004	3	143.64	0	9	20	6.0	18.0	1.98	34.94	0
work-pr51r6-flip50	58321	19005	3	28.99	0	8	14	6.0	14.5	3.11	27.52	0
work-pr51r6-flip50	58607	23004	4	3.45	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	58607	23005	4	9.52	1	9	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	58607	23006	4	10.46	0	8	6	6.0	9.0	37.52	7.87	1
work-pr51r6-flip50	58607	23020	4	2.63	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	58717	21001	3	16.22	0	8	5	6.0	9.0	15.57	9.56	0
work-pr51r6-flip50	58717	21002	3	2.98	0	4	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	58717	21007	3	1.59	0	2	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	59025	19005	2	121.63	0	7	20	6.0	18.0	3.80	42.56	0
work-pr51r6-flip50	59025	19007	2	103.09	0	8	20	6.0	18.0	5.67	39.29	0
work-pr51r6-flip50	59093	15005	2	110.89	0	7	21	6.0	18.0	3.85	36.35	0
work-pr51r6-flip50	59093	15006	2	7.25	0	8	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	59179	15003	2	145.32	0	7	21	6.0	18.0	0.93	34.94	0
work-pr51r6-flip50	59179	15006	2	22.73	0	8	9	6.0	11.4	1.80	18.63	0
work-pr51r6-flip50	59247	15008	2	2.17	0	3	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	59247	15009	2	155.01	0	8	18	6.0	18.0	6.48	29.02	0
work-pr51r6-flip50	59261	11008	2	83.34	0	7	21	6.0	18.0	4.02	43.23	0
work-pr51r6-flip50	59261	11009	2	4.43	0	6	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	59371	8001	2	99.52	0	7	21	6.0	18.0	5.50	43.94	0
work-pr51r6-flip50	59371	8004	2	23.63	0	8	10	6.0	11.8	5.10	14.16	0
work-pr51r6-flip50	59553	10003	2	7.67	0	7	0	-1.0	-1.0	-1.00	-1.00	0
work-pr51r6-flip50	59553	10004	2	68.60	0	8	20	6.0	18.0	5.15	40.83	0
