# doc pr/138 -- a-priori cleanliness strata (vgap<=5, |dv|<1, ncand<=3)
event	node	owner	positive	fired	clean	vgap_cm	dv_cm	n_cand	valley_best	n_seed	confidence
259542	88060	KEEP	0	0	0	71.07	0.005	4	0.9787	2	high
268784	13027	KEEP	0	0	1	0.00	0.005	3	1.0000	4	high
269774	13237	SPLIT2	1	1	0	27.39	0.002	2	0.8566	4	high
275011	11037	KEEP	0	0	1	0.00	0.006	2	1.0000	4	high
278420	61027	KEEP	0	1	0	31.62	0.004	2	0.2067	4	high
280972	79136	SPLIT2	1	1	0	18.05	0.005	3	0.7958	4	high
281165	16006	KEEP	0	0	1	0.00	0.005	3	1.0000	1	high
281485	87078	SPLIT3	1	0	0	17.40	0.006	5	1.0000	4	high
281485	89095	SPLIT2	1	1	0	20.03	0.006	5	0.9403	2	high
281485	91112	KEEP	0	0	0	20.72	0.006	5	1.0000	1	high
281567	9025	SPLIT2	1	0	0	8.91	0.004	4	1.0000	4	high
281567	99193	KEEP	0	0	0	10.73	0.004	4	0.8029	4	high
281639	23001	KEEP	0	0	0	7.61	0.004	2	1.0000	2	high
281639	91023	KEEP	0	0	0	6.54	0.004	2	1.0000	2	high
281781	89069	SPLIT3	1	1	0	14.62	0.006	2	0.3293	4	high
282271	6063	KEEP	0	0	1	0.00	0.006	2	1.0000	4	high
282909	4084	KEEP	0	0	1	0.00	0.005	2	1.0000	3	high
282909	75060	KEEP	0	0	0	21.84	0.005	2	1.0000	4	high
283515	24014	KEEP	0	0	0	44.34	0.004	2	1.0000	4	high
284200	6013	SPLIT2	1	1	0	19.50	0.004	1	0.4839	4	high
285443	49035	KEEP	0	0	0	12.98	0.003	1	1.0000	4	high
285567	8107	KEEP	0	0	1	0.00	0.005	2	1.0000	1	high
286655	19006	KEEP	0	0	0	27.88	0.006	2	1.0000	4	high
286681	3012	KEEP	0	0	0	46.88	0.004	2	1.0000	4	high
287654	12003	KEEP	0	0	0	52.27	0.005	2	1.0000	3	high
287830	21042	SPLIT2	1	1	0	74.84	0.005	2	0.0016	4	high
292005	46017	KEEP	0	0	0	24.10	0.006	2	1.0000	3	high
292643	25015	SPLIT2	1	1	0	46.84	0.001	1	0.2979	4	high
293149	4001	SPLIT2	1	0	1	0.00	0.005	1	1.0000	3	high
293536	15027	TRIM	0	0	1	0.00	0.004	2	1.0000	4	high
294174	16004	SPLIT2	1	1	0	231.66	0.003	3	0.0000	2	high
294174	71067	SPLIT2	1	1	0	108.08	0.003	3	0.6987	4	medium
314838	110088	SPLIT2	1	1	0	12.36	0.005	1	0.7818	4	high
317939	26001	KEEP	0	0	1	0.00	0.003	2	1.0000	1	high
317939	30022	KEEP	0	0	0	12.04	0.003	2	1.0000	4	high
318769	31026	KEEP	0	1	0	38.18	0.006	3	0.3008	4	high
318769	143101	KEEP	0	1	0	43.43	0.006	3	0.2979	4	high
321169	16055	SPLIT3	1	0	1	0.00	0.004	2	1.0000	3	high
321767	45019	KEEP	0	0	0	19.58	0.002	1	0.8038	4	high
342199	25109	KEEP	0	0	0	81.34	0.006	3	1.0000	3	high
342199	74101	KEEP	0	0	0	57.17	0.006	3	1.0000	1	high
348691	49046	KEEP	0	0	0	7.91	0.006	3	1.0000	4	high
350354	18092	SPLIT2	1	1	1	0.00	0.008	1	0.0840	4	high
359980	75089	KEEP	0	0	0	24.52	0.005	2	1.0000	4	high
386948	16002	KEEP	0	0	0	57.22	0.005	3	1.0000	4	high
386948	91060	KEEP	0	0	0	49.11	0.005	3	1.0000	4	high
390182	4008	KEEP	0	0	1	3.19	0.005	1	1.0000	4	high
392901	127030	KEEP	0	0	0	34.79	0.004	2	1.0000	2	high
393212	6009	SPLIT2	1	1	0	26.08	0.006	1	0.1609	4	high
393505	63025	KEEP	0	1	0	58.33	0.003	1	0.0071	4	high
394167	11009	KEEP	0	0	1	0.00	0.004	1	1.0000	4	high
396037	69026	KEEP	0	1	0	17.69	0.003	1	0.7458	4	high
396222	9059	SPLIT4+	1	1	0	0.00	14.498	3	0.2447	4	low
396222	9084	SPLIT3	1	0	0	18.27	14.498	3	0.2510	4	high
396222	97175	KEEP	0	0	0	42.78	14.498	3	1.0000	3	high
399052	64067	KEEP	0	0	0	39.05	0.008	2	1.0000	1	high
406125	8059	KEEP	0	0	1	0.00	0.004	2	1.0000	3	high
406125	38021	SPLIT2	1	1	1	3.35	0.004	2	0.3914	4	high
407918	17010	KEEP	0	0	0	14.68	0.005	1	0.9807	4	high
408304	9039	KEEP	0	0	1	0.00	0.005	1	1.0000	4	high
408678	14003	KEEP	0	0	1	0.00	0.007	1	1.0000	4	high
410008	20001	KEEP	0	0	0	172.47	0.004	2	1.0000	2	high
410008	98035	KEEP	0	0	0	168.24	0.004	2	1.0000	1	high
412242	14007	KEEP	0	0	1	3.69	0.007	3	1.0000	2	high
412242	60050	KEEP	0	0	0	28.84	0.007	3	0.9692	4	high
412242	64054	KEEP	0	0	0	52.61	0.007	3	1.0000	3	high
415278	23012	SPLIT3	1	1	0	0.00	0.006	4	0.5190	4	high
415278	23037	SPLIT4+	1	1	0	0.00	0.006	4	0.6592	4	high
415278	83139	SPLIT2	1	1	0	96.41	0.006	4	0.3254	4	high
444187	19082	KEEP	0	0	1	0.00	0.003	2	1.0000	2	high
463565	109073	KEEP	0	0	0	71.85	0.006	4	1.0000	1	high
463565	114086	KEEP	0	0	0	60.21	0.006	4	1.0000	2	high
463565	115088	KEEP	0	0	0	62.67	0.006	4	1.0000	3	high
475096	19014	KEEP	0	0	0	80.08	0.006	1	1.0000	3	high
486687	103067	KEEP	0	0	0	27.74	0.002	1	1.0000	2	high
486907	24002	TRIM	0	0	0	27.21	0.003	2	1.0000	2	high
487853	13000	SPLIT2	1	1	1	3.94	0.003	1	0.6898	4	high
499577	13009	TRIM	0	0	0	0.00	0.006	4	0.9665	4	high
506746	21056	KEEP	0	0	1	0.00	0.003	3	1.0000	1	high
506746	21067	KEEP	0	0	0	17.46	0.003	3	1.0000	3	high
521075	18007	KEEP	0	0	0	6.61	0.003	1	1.0000	2	high
