sample	run	subrun	event	classes	enu_a	enu_b	denu	numu_a	numu_b	nue_a	nue_b	vtx_move_cm	label_a	label_b	eval_a	eval_b	rc_a	rc_b	nuefill_a	nuefill_b
ncpi0	18259	1	37112	enu,nue	1538.606	1237.8424	-300.764			-2.4678483	-0.823628									
mcp2k	18255	1	395123	nue,numu				-1.5268003	-1.728873	-11.557363	-8.832502									
mcp2k	18255	1	393505	enu,numu	830.5937	559.89166	-270.702	3.0977685	2.9144797											
mcp2k	18255	1	408678	nue						-9.857114	-7.2973304									
mcp1k	18255	1	350935	enu,numu	752.64667	1003.8247	251.178	2.1187716	2.1891692											
ncpi0	18345	1	259542	enu,numu	1807.5342	1557.9613	-249.573	0.02454383	-0.14870608											
nuecc48	18306	1	256587	enu,nue	3947.8596	3709.2812	-238.578			9.733137	11.78988									
mcp1k	18259	1	172942	nue,numu				1.2269895	1.4288716	-5.2009215	-2.8568985									
mcp1k	18255	1	61843	nue						-6.875447	-4.5887938									
mcp2k	18259	1	47696	nue						-3.362936	-1.1504549									
ncpi0	18255	1	506746	enu,numu	1925.981	1710.9375	-215.043	1.1115888	0.91709363											
mcp1k	18255	1	386948	enu,nue	1246.3079	1173.7134	-72.594			-0.32850793	-2.4738631									
nuecc48	18255	1	122660	enu,nue,numu	1333.1344	1542.8865	209.752	-0.06363517	-0.32931134	2.339441	3.5509367									
mcp1k	18255	1	280972	enu,nue	3583.1326	3453.0625	-130.070			-2.2982814	-4.395242									
mcp2k	18255	1	392901	enu,numu	2003.8745	2205.7056	201.831	4.5695844	4.342661											
mcp1k	18255	1	282979	enu,nue,numu	449.00674	248.93471	-200.072	-0.93942404	-1.5176954	-10.379787	-11.767393									
nuecc48	18259	1	54095	enu,nue	2988.8987	2788.8555	-200.043			11.908875	12.026502									
nuecc48	18255	1	239794	enu,nue	2920.2673	2732.976	-187.291			12.644534	12.726703									
mcp2k	18255	1	350354	enu,nue,numu	985.67145	907.3707	-78.301	1.5050582	1.3499178	-1.051642	0.76295173									
mcp2k	18255	1	282067	nue						-7.7235627	-5.9337177									
nuecc48	18255	1	269774	enu,nue,numu	2489.3613	2314.2522	-175.109	-1.0213035	-0.928978	10.774608	10.366576									
nuecc48	18255	1	350186	enu,nue	705.17206	624.12274	-81.049			10.86051	9.194807									
mcp1k	18259	1	175896	enu,nue,numu	492.02646	325.9428	-166.084	-1.0980809	-1.5373074	-11.711862	-11.486242									
mcp2k	18255	1	318769	enu,numu	839.57	684.5893	-154.981	0.119773254	0.2331879											
mcp2k	18255	1	105074	enu	1410.0908	1565.0582	154.967													
mcp2k	18255	1	281325	nue						-11.102485	-9.566788									
ncpi0	18255	1	180801	nue,numu				1.356455	-0.15551922	-3.2104514	-3.410488									
nuecc48	18255	1	90055	enu,nue	2664.614	2513.5938	-151.020			9.512311	8.95623									
nuecc48	18255	1	168596	enu,nue	2402.206	2251.6614	-150.545			7.758184	7.957773									
nuecc48	18255	1	433451	enu,nue	2766.097	2617.6433	-148.454			10.534106	11.149171									
ncpi0	18255	1	71372	enu	2597.3179	2450.1677	-147.150													
nuecc48	18259	1	74544	enu,nue,numu	2197.548	2054.0876	-143.460	-0.20840366	0.023561852	11.196162	10.755988									
mcp2k	18255	1	275011	nue,numu				0.60731465	0.4746987	-5.5822716	-4.1571097									
mcp2k	18259	1	179048	nue,numu				2.8569825	2.8049555	-11.356555	-12.779078									
mcp2k	18255	1	409888	enu	1449.7898	1310.1112	-139.679													
mcp2k	18259	1	179611	nue						-15.301377	-13.915175									
ncpi0	18255	1	506114	enu	2291.9033	2155.9375	-135.966													
nuecc48	18255	1	388	enu,nue	2772.8293	2637.063	-135.766			12.443241	12.852156									
nuecc48	18255	1	360535	enu	2226.9146	2091.2285	-135.686													
mcp2k	18255	1	474612	nue,numu				-1.841209	-2.0202174	-3.8649857	-2.5356216									
nuecc48	18259	1	42280	enu	1974.3033	1844.6224	-129.681													
nuecc48	18409	1	214469	enu,nue	2382.9573	2254.9658	-127.992			10.362848	10.071636									
nuecc48	18255	1	46363	enu,nue,numu	1855.3031	1727.9976	-127.306	-0.73146665	-0.61351836	9.544592	8.456321									
mcp1k	18255	1	283463	enu,numu	306.94812	429.8063	122.858	-0.46106106	-0.8917426											
nuecc48	18255	1	422851	enu,nue,numu	1347.8341	1264.6648	-83.169	-0.18830499	-0.03525145	13.5672	12.350147									
nuecc48	18255	1	246579	enu,nue,numu	1829.3135	1711.8618	-117.452	-2.3804524	-2.3127344	12.795625	13.755933									
nuecc48	18255	1	271851	enu,nue,numu	1536.8811	1447.9768	-88.904	-0.26961628	-0.09975222	6.6347213	5.491555									
nuecc48	18255	1	196649	enu,numu	1614.1888	1501.9448	-112.244	-1.1169435	-0.9414934											
mcp2k	18259	1	166295	enu,numu	527.8159	415.89938	-111.917	-0.65148443	-1.1789081											
mcp2k	18255	1	69232	nue						-10.683099	-9.566041									
mcp2k	18255	1	321169	nue,numu				-0.14240785	-0.220286	-6.8186836	-5.7059884									
mcp2k	18255	1	500083	nue						-8.84104	-7.7296987									
mcp2k	18255	1	395870	numu				4.306188	5.405638											
mcp2k	18255	1	74326	enu,numu	1777.8721	1668.9136	-108.958	2.215135	2.345549											
mcp2k	18259	1	242814	nue						-8.318416	-7.2326646									
mcp2k	18259	1	177068	nue,numu				-0.4804437	-0.42805505	-13.950269	-12.875228									
mcp1k	18255	1	401450	enu,nue,numu	1609.3029	1504.6434	-104.659	-3.5749357	-3.3089762	0.98159325	1.1213939									
mcp2k	18255	1	321849	enu,numu	599.14703	495.07263	-104.074	2.4567952	2.5440638											
mcp2k	18255	1	76350	enu,nue	1297.5751	1193.5773	-103.998			-6.57956	-6.9128833									
nuecc48	18253	1	172230	enu,nue,numu	1623.7341	1520.92	-102.814	-0.08450443	0.06075917	12.267596	11.283047									
mcp1k	18255	1	400504	numu				1.0374204	2.059221											
nuecc48	18255	1	489330	enu,nue,numu	2253.512	2151.724	-101.788	-1.7711712	-1.6525172	14.206402	14.273349									
nuecc48	18279	1	267597	enu,nue,numu	1860.7672	1760.1903	-100.577	-1.0562809	-0.7017695	14.75047	14.4774685									
nuecc48	18255	1	219295	enu,nue,numu	1766.7351	1667.1492	-99.586	-0.28063866	-0.22762084	9.435895	9.668624									
nuecc48	18313	1	81597	enu,nue,numu	1578.2323	1479.1029	-99.129	-0.7419696	-0.54805756	15.65356	15.051499									
mcp1k	18255	1	283515	numu				0.4370518	-0.5447892											
mcp2k	18255	1	291072	nue,numu				-0.27610043	-0.18479866	13.724141	12.760909									
mcp2k	18255	1	83048	enu,numu	61.629375	39.791447	-21.838	-2.903487	-1.9474866											
mcp2k	18255	1	95412	enu	1254.5461	1348.8438	94.298													
nuecc48	18255	1	437699	enu,nue,numu	1490.7605	1396.509	-94.252	-1.0177827	-0.94533175	7.863164	7.3516493									
mcp1k	18255	1	486907	enu,numu	1081.4559	1022.25275	-59.203	1.346577	0.41927293											
nuecc48	18355	1	400474	enu,nue	1799.0825	1706.948	-92.134			4.159044	3.505427									
ncpi0	18255	1	142421	enu,numu	2768.233	2677.8176	-90.415	3.601646	3.704026											
mcp2k	18255	1	52693	enu,nue,numu	833.70123	901.30457	67.603	-0.69857496	-1.5973825	-7.434551	-7.815227									
mcp2k	18255	1	56972	nue						-3.7415392	-4.619305									
mcp2k	18259	1	167744	enu,numu	854.7803	941.52106	86.741	-0.26590398	-0.08682425											
mcp1k	18255	1	293149	nue						-4.7144084	-5.5770373									
mcp2k	18259	1	165157	nue						-10.778686	-11.640923									
mcp1k	18255	1	389874	numu				-1.5737909	-2.42644											
mcp2k	18255	1	73336	nue,numu				-0.2177251	-0.09960865	-6.419384	-7.2592077									
nuecc48	18255	1	138009	enu,nue	1437.0983	1355.1505	-81.948			6.319798	5.789761									
nuecc48	18342	1	30504	enu,nue	1251.1335	1170.2665	-80.867			-1.3878837	-2.1970983									
mcp1k	18259	1	166870	enu,numu	680.3897	608.66583	-71.724	-0.5403952	0.24238208											
ncpi0	18255	1	56982	enu,nue	1231.2183	1156.2976	-74.921			-1.2854422	-0.858989									
nuecc48	18255	1	234638	enu,nue	1418.2938	1353.8528	-64.441			10.865067	10.125797									
ncpi0	18364	1	84229	enu	1566.248	1492.6218	-73.626													
mcp2k	18255	1	499577	nue						-11.179005	-10.453279									
ncpi0	18255	1	463565	enu	1282.4778	1211.3168	-71.161													
mcp2k	18255	1	100135	enu,nue,numu	163.52448	144.31503	-19.209	-0.4747811	-0.9049279	-14.25562	-13.551469									
mcp2k	18255	1	293536	nue						-9.711503	-9.0112295									
mcp1k	18255	1	54341	enu,numu	711.7008	780.42645	68.726	0.34798634	0.44409576											
nuecc48	18255	1	174637	enu,nue	1025.991	959.63403	-66.357			10.029335	10.503323									
mcp2k	18259	1	174771	enu,numu	1753.7686	1819.5718	65.803	2.499881	2.3676643											
mcp1k	18255	1	64409	enu,nue,numu	1076.6154	1011.6612	-64.954	0.090564385	0.001260851	6.3431125	6.7127132									
nuecc48	18259	1	131357	nue						11.676843	11.034184									
ncpi0	18255	1	399860	enu,nue	1386.4971	1322.6947	-63.802			6.3232617	6.666899									
mcp2k	18255	1	294174	enu,nue	1380.1757	1316.4213	-63.754			-9.354037	-9.19296									
mcp2k	18255	1	58006	enu,numu	612.8613	549.23785	-63.623	0.53783023	0.14901605											
nuecc48	18255	1	268784	enu,nue	1798.519	1734.9982	-63.521			8.158833	7.7958126									
mcp2k	18255	1	348594	nue,numu				1.1947652	1.1404992	-8.627958	-8.004117									
nuecc48	18255	1	447477	enu,nue	1182.9696	1120.9297	-62.040			11.457577	11.580061									
nuecc48	18259	1	52672	nue,numu				-0.5090873	-0.62284344	-11.1889105	-10.571139									
ncpi0	18255	1	314838	enu,numu	1142.1738	1080.8429	-61.331	-0.31401542	-0.22128429											
nuecc48	18259	1	116962	enu,nue	773.0057	721.955	-51.051			-8.406496	-7.796883									
ncpi0	18345	1	21073	enu	1018.9744	958.0967	-60.878													
mcp2k	18259	1	51260	nue,numu				-0.842797	-1.4369873	-13.246594	-13.591919									
mcp2k	18259	1	169152	numu				2.064243	1.4759606											
nuecc48	18255	1	469665	enu,nue,numu	876.33636	817.9768	-58.360	-1.5343628	-1.7141583	1.2254568	1.444505									
mcp1k	18259	1	71178	enu,numu	513.65454	455.5021	-58.152	-0.8322652	-1.0688342											
nuecc48	18255	1	10550	enu,nue	908.2354	850.1609	-58.075			14.020091	13.840647									
mcp1k	18255	1	292643	enu	1092.4497	1035.4216	-57.028													
nuecc48	18269	1	342199	enu,nue	1221.1322	1164.9414	-56.191			11.273583	11.358191									
mcp2k	18255	1	412242	enu	1197.6703	1141.9336	-55.737													
nuecc48	18304	1	38856	enu,nue	1280.3975	1224.6804	-55.717			-0.3668464	-0.57332754									
mcp2k	18255	1	98844	enu,nue	1273.0695	1219.4033	-53.666			-4.2750864	-4.3297863									
ncpi0	18255	1	359980	enu,numu	941.39276	887.96	-53.433	0.37166744	0.2972357											
mcp2k	18255	1	282909	enu,nue,numu	1385.4333	1332.3347	-53.099	-0.0007116182	-0.12983653	-3.0905757	-3.3830626									
nuecc48	18255	1	268067	enu,nue,numu	1599.021	1546.6057	-52.415	0.42014572	0.52458185	10.190249	9.888198									
mcp2k	18259	1	176502	nue						4.66289	4.1392336									
mcp1k	18255	1	349549	enu,nue	1218.0603	1167.8594	-50.201			-1.5973587	-1.2633357									
mcp2k	18259	1	171729	nue						-12.169972	-12.671628									
mcp2k	18255	1	55443	numu				-1.5694997	-1.0803319											
mcp2k	18255	1	408304	enu,numu	430.23303	382.74176	-47.491	0.057994843	-0.047849286											
mcp2k	18255	1	395597	nue						-11.125946	-10.652318									
mcp2k	18255	1	289508	nue						-8.132086	-7.671469									
mcp2k	18255	1	393133	enu,numu	134.11598	88.10009	-46.016	-1.6621056	-1.5979502											
mcp2k	18255	1	499423	nue,vtx_cm						-14.202541	-13.822651	4.261								
mcp2k	18259	1	170761	nue						-13.837318	-14.251298									
mcp2k	18255	1	280159	nue						-10.082277	-9.699873									
mcp2k	18259	1	170326	numu				-1.437329	-1.0661217											
mcp1k	18255	1	54175	nue						-14.622151	-14.25562									
mcp1k	18259	1	169846	numu				-2.7578018	-3.1038802											
mcp2k	18255	1	52605	nue						-14.259985	-13.925206									
mcp2k	18255	1	403309	nue						-9.297911	-9.623378									
mcp2k	18255	1	396157	numu				-2.4725294	-2.7976358											
mcp2k	18259	1	99782	numu				3.8449144	4.166304											
nuecc48	18253	1	444187	nue						5.691066	5.3739247									
mcp2k	18255	1	493659	numu				0.9153816	0.60249054											
mcp2k	18259	1	176533	nue						13.981462	14.291832									
mcp1k	18255	1	277298	nue						-12.4973135	-12.189443									
nuecc48	18255	1	235435	numu				-0.2101675	0.096311696											
mcp1k	18255	1	278794	numu				2.078388	1.7899107											
mcp2k	18259	1	174770	numu				-1.327991	-1.6072286											
mcp2k	18255	1	397401	nue,numu				2.768344	2.7172294	-12.296483	-12.571942									
mcp1k	18255	1	347129	nue,numu				-1.825427	-1.9035982	-3.283495	-3.0095007									
mcp2k	18255	1	73038	numu				-2.2426913	-2.5030892											
mcp1k	18255	1	285467	numu				-0.57744	-0.83549565											
mcp2k	18255	1	394167	nue						6.4667454	6.216715									
mcp2k	18255	1	93234	numu				-3.923966	-3.674995											
mcp1k	18255	1	320029	numu				3.1388714	3.3788826											
mcp1k	18259	1	170814	numu				0.18841152	0.4181066											
mcp2k	18255	1	500567	numu				1.2648532	1.4883727											
mcp2k	18255	1	52044	nue						-10.112187	-10.329338									
mcp1k	18255	1	285443	numu				2.2680752	2.0588536											
mcp2k	18259	1	237380	numu				-1.029002	-1.2370307											
mcp1k	18255	1	53713	numu				-2.3610075	-2.1603503											
mcp1k	18259	1	175016	numu				-0.5245659	-0.7249104											
mcp1k	18255	1	281639	numu				-0.75441676	-0.9543375											
mcp2k	18255	1	323125	nue,numu				0.20827669	0.26957914	-4.9428425	-5.1395397									
mcp2k	18255	1	401241	numu				-1.086984	-1.2805983											
mcp2k	18255	1	70757	numu				-2.1656642	-2.3591552											
mcp2k	18255	1	318857	numu				-1.9944513	-1.8011754											
mcp1k	18255	1	351749	numu				-2.503047	-2.3128233											
nuecc48	18259	1	111412	nue						0.037387524	0.22519578									
mcp1k	18255	1	389588	numu				-0.09390467	-0.27285638											
mcp1k	18259	1	173498	numu				2.9012775	2.7225382											
mcp1k	18255	1	280752	numu				-3.3972497	-3.2188158											
mcp1k	18255	1	315013	numu				3.166629	3.3434665											
mcp2k	18259	1	173819	numu				1.0470245	1.2219398											
mcp1k	18255	1	283713	numu				4.0831575	4.2505765											
mcp2k	18255	1	396521	numu				-0.9227618	-0.75989306											
mcp2k	18259	1	173978	numu				-0.9883416	-1.1459793											
mcp2k	18259	1	171143	nue						-9.639809	-9.797045									
mcp2k	18255	1	52286	numu				-1.121313	-1.2785121											
mcp1k	18255	1	59085	numu				-1.7158592	-1.5686193											
mcp1k	18255	1	346623	numu				-1.9867618	-1.8415586											
mcp2k	18255	1	283590	numu				-1.0920515	-0.94723314											
mcp2k	18255	1	94224	nue,numu				1.2489623	1.3526213	-9.233521	-9.377787									
mcp1k	18255	1	386442	nue,numu				-1.3712523	-1.4281203	4.0551057	4.1989374									
mcp2k	18255	1	78259	numu				-0.4470688	-0.5904816											
mcp1k	18255	1	317939	numu				2.4537168	2.5935578											
mcp1k	18255	1	280994	numu				1.6423489	1.780882											
mcp2k	18255	1	475778	nue,numu				-1.0001801	-0.9383376	-10.007601	-10.144001									
mcp2k	18255	1	287374	numu				2.3740797	2.5074873											
mcp1k	18259	1	71530	enu,numu	67.78147	54.717422	-13.064	-1.811304	-1.9318483											
mcp2k	18259	1	173495	numu				-1.1403786	-1.2686424											
mcp2k	18255	1	320575	numu				-1.9270152	-1.7987913											
mcp2k	18255	1	405927	numu				1.775984	1.9020205											
mcp2k	18255	1	75135	numu				3.9134464	4.0381417											
mcp1k	18255	1	278420	numu				1.940745	2.0636544											
mcp2k	18255	1	70766	numu				-3.9282708	-3.8054698											
mcp2k	18255	1	49415	numu				-3.2320845	-3.109426											
mcp2k	18255	1	481014	enu,numu	45.566284	35.54975	-10.017	-1.7898836	-1.6705405											
mcp2k	18255	1	410566	numu				1.5008912	1.3828576											
mcp2k	18255	1	99838	numu				4.1122046	4.2299957											
mcp2k	18255	1	70084	numu				2.337068	2.219449											
mcp2k	18255	1	395079	numu				0.57207054	0.45766506											
mcp1k	18255	1	59335	numu				1.8417758	1.7285229											
mcp1k	18259	1	66272	numu				-2.6872463	-2.5751867											
mcp2k	18255	1	292810	numu				0.67470676	0.562769											
mcp2k	18255	1	91917	numu				4.2438397	4.355093											
mcp1k	18255	1	62721	numu				-0.94689685	-0.8366698											
mcp1k	18255	1	402330	numu				2.6421323	2.7523224											
mcp1k	18255	1	407918	numu				1.815009	1.704944											
mcp1k	18255	1	287654	numu				0.9001698	1.0090047											
mcp2k	18255	1	397476	numu				-0.9344124	-1.04264											
mcp1k	18259	1	173234	numu				2.8321729	2.93608											
mcp1k	18255	1	59553	numu				2.266547	2.3704083											
mcp2k	18259	1	96680	numu				0.52428824	0.62759674											
mcp2k	18255	1	75954	nue,numu				-0.5871327	-0.516274	9.174497	9.071568									
mcp1k	18255	1	492649	numu				-0.014585073	0.085869916											
mcp2k	18255	1	90003	numu				-0.5615611	-0.6612726											
mcp2k	18255	1	103061	numu				-1.5110223	-1.4129049											
mcp2k	18255	1	394255	enu,numu	54.858738	64.530304	9.672	-2.722817	-2.8208005											
mcp1k	18255	1	489327	nue,numu				4.857692	4.95252	-6.73631	-6.664291									
mcp1k	18255	1	48367	numu				2.3900075	2.295735											
mcp2k	18255	1	102841	numu				2.8087087	2.9023366											
mcp2k	18259	1	172344	nue						-5.6818967	-5.7734666									
mcp1k	18255	1	411460	numu				0.13983525	0.23056301											
mcp2k	18255	1	287794	nue						-14.206402	-14.118899									
ncpi0	18259	1	18625	numu				2.4094594	2.3249195											
mcp2k	18255	1	74123	numu				1.1159087	1.0322131											
mcp2k	18255	1	390216	numu				3.134931	3.218247											
mcp2k	18255	1	97033	numu				-0.8101958	-0.89265496											
mcp1k	18259	1	73004	numu				3.0696726	2.9883897											
mcp2k	18255	1	412638	numu				5.4057364	5.4863997											
mcp2k	18259	1	99826	numu				4.378832	4.298244											
mcp1k	18255	1	57661	numu				2.98729	3.0662718											
mcp1k	18259	1	169774	numu				-2.0771756	-2.1557395											
mcp2k	18255	1	69386	numu				-3.266051	-3.3443506											
mcp1k	18255	1	278046	numu				-0.30466187	-0.22714232											
mcp2k	18255	1	400185	numu				-0.02791372	0.04865993											
mcp1k	18255	1	393212	numu				-0.3198242	-0.39597762											
mcp2k	18255	1	495881	numu				-1.2515092	-1.3272907											
mcp1k	18259	1	169488	numu				-1.7560524	-1.6809965											
mcp2k	18255	1	52352	numu				-1.157714	-1.2318443											
mcp2k	18255	1	292524	numu				3.2598717	3.3331041											
mcp1k	18255	1	490779	numu				-1.5541755	-1.6266961											
mcp2k	18255	1	493439	numu				-0.614024	-0.541549											
mcp1k	18255	1	281337	numu				-1.4602672	-1.3892256											
mcp2k	18259	1	171572	numu				-0.42275974	-0.35190102											
mcp2k	18259	1	176986	numu				-0.65512276	-0.72413355											
mcp1k	18255	1	62459	numu				2.9254518	2.994232											
mcp2k	18255	1	398225	numu				1.1406608	1.074715											
mcp1k	18255	1	291570	numu				-0.95993024	-0.8940683											
mcp2k	18259	1	180403	nue						-13.911227	-13.976866									
mcp1k	18255	1	314507	numu				-0.12140931	-0.18702924											
mcp2k	18255	1	280709	numu				-0.82557595	-0.76047784											
mcp2k	18255	1	396816	numu				-0.85586756	-0.9209629											
ncpi0	18259	1	105946	numu				-0.13145322	-0.19610102											
mcp2k	18259	1	164576	numu				-0.17210823	-0.23590243											
mcp2k	18255	1	99035	numu				2.8156354	2.8782783											
mcp2k	18259	1	174164	numu				4.907219	4.8457303											
ncpi0	18255	1	521075	numu				-0.20210777	-0.14146121											
mcp2k	18255	1	286076	numu				-2.4033	-2.3435447											
mcp2k	18255	1	400029	numu				3.7704964	3.7112477											
mcp2k	18255	1	350596	numu				-1.5847316	-1.642769											
mcp2k	18259	1	166050	numu				-0.33099717	-0.27458343											
mcp1k	18255	1	313781	nue,numu				-3.1673007	-3.2222755	-7.4649487	-7.5150585									
mcp2k	18259	1	47784	numu				4.104793	4.0501394											
mcp2k	18255	1	281985	numu				2.2507155	2.3036935											
mcp2k	18259	1	170098	numu				2.5440936	2.4920776											
mcp2k	18255	1	501711	numu				2.6436367	2.6956394											
mcp2k	18255	1	396037	numu				0.003907119	-0.04786224											
mcp2k	18259	1	51722	nue						-5.4863954	-5.4352536									
