setname	sample	event	origin	labelsrc	match	mass_vertex	mass_axis	why
141	mcp1k	399118	numucc_em	base	exact	141.93717724610497	157.25376922237294	
141	mcp1k	400504	numucc_em	base	exact	141.7750147392416	164.8858863027366	
141	mcp2k	403023	numucc_em	base	exact	159.6084296205512	169.7025259733456	
141	mcp1k	489327	numucc_em	base	exact	130.75643741067202	124.91053951208387	
141	mcp2k	499577	numucc_em	base	exact	119.4652320022505	126.53295073705125	
98	ncpi0	506746	ncpi0	base	exact		142.62121242498984	
98	ncpi0	37112	ncpi0	pi0scan-0829-agent	no-group		363.47445599592953	
98	mcp1k	64591	ncpi0	base	no-group	149.5837856118518	173.98104698528056	
141	mcp1k	71178	other_em	base	no-group	25.645294226526467	149.77823286927205	g2:absent-on-arm; mass 26 (scaled 24) outside with-vertex window (100,160)
98	ncpi0	142421	ncpi0	pi0scan-0829-agent	no-group	259.64741891345534	259.64741891345534	g1:absent-on-arm; mass 260 (scaled 242) outside with-vertex window (100,160)
98	mcp2k	165157	ncpi0	pi0scan-0829-agent	no-group	129.85744835049886	275.73325941228	
141	mcp1k	283713		pi0mass-0904-owner	no-group	123.46469945799967	124.75829168878346	g1:pdg=13
141	mcp1k	286655		pi0mass-0904-owner	no-group	226.06989186538976	149.62056495487028	mass 226 (scaled 210) outside with-vertex window (100,160)
98	nuecc48	342199	nuecc	base	no-group	152.86601403889549	118.89753945653113	
98	mcp1k	347129	owner	base	no-group	131.1284602972805	130.69122634252085	
141	mcp1k	349549	numucc_em	pi0scan-0829-agent	no-group		279.8586585158732	
98	ncpi0	359980	ncpi0	base	no-group	157.35022974643715	184.49214176250865	
98	mcp1k	409634		pi0mass-0904-owner	no-group	96.45795949751157	86.67841031252824	mass 96 (scaled 90) outside with-vertex window (100,160)
98	ncpi0	259542	ncpi0	pi0scan-0829-agent	none	176.54250045501465	593.3284667890189	g1:absent-on-arm; g2:absent-on-arm; mass 177 (scaled 164) outside with-vertex window (100,160)
98	mcp1k	281485	ncpi0	base	none	67.22058155874241	60.612099133634885	g1:absent-on-arm; mass 67 (scaled 63) outside with-vertex window (100,160)
98	mcp2k	396222	ncpi0	pi0scan-0829-agent	none	443.8666568348182	193.185934727994	g2:absent-on-arm; mass 444 (scaled 413) outside with-vertex window (100,160)
98	ncpi0	21073		pi0mass-0904-owner	partial	182.5725648861166	179.5585702544386	mass 183 (scaled 170) outside with-vertex window (100,160)
141	mcp2k	52044	numucc_em	base	partial		195.12728488286686	
98	mcp2k	54332	ncpi0	base	partial	111.93802654558117	147.0509219562497	
98	ncpi0	56982	ncpi0	pi0scan-0829-agent	partial		559.7581852413618	
141	mcp2k	71872	numucc_em	pi0mass-0904-owner	partial	101.14115014379587	97.14203623319904	g2:pdg=211; mass 101 (scaled 94) outside with-vertex window (100,160)
98	mcp2k	76346	ncpi0	base	partial	40.77003833325798	40.76047560570244	g2:absent-on-arm; mass 41 (scaled 38) outside with-vertex window (100,160)
141	mcp1k	168432	numucc_em	pi0mass-0904-owner	partial	61.631744136586256	117.01702611882429	mass 62 (scaled 57) outside with-vertex window (100,160)
98	mcp2k	176986	ncpi0	pi0scan-0829-agent	partial	113.8196098065441	113.81960980654407	
98	nuecc48	269774	nuecc	base	partial	154.31411906030496	162.58885764081114	
141	mcp2k	280159		pi0mass-0904-owner	partial	73.5805983682643	130.361116351014	mass 74 (scaled 68) outside with-vertex window (100,160)
141	mcp2k	347824	numucc_em	base	partial	114.0077707067417	112.98648707335155	g1:absent-on-arm
141	mcp2k	397630	numucc_em	pi0scan-0829-agent	partial	57.99661570784721	72.61498159139664	mass 58 (scaled 54) outside with-vertex window (100,160)
98	mcp2k	415278	ncpi0	pi0scan-0829-agent	partial		1043.0798482341313	
141	mcp1k	486907	other_em	pi0scan-0829-agent	partial	171.6018655130771	171.6018655130771	
98	ncpi0	506114	ncpi0	base	partial	158.9218945128548	279.83645890871475	g2:absent-on-arm
