evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
170365	mcp2k	ai-scanner	0	12002	0.29	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
170428	mcp2k	human	0	14002	0.49	1	1	0	14002	14002	14002	14002	14002	14002	14002	14002	1
170585	mcp2k	human	0	11002	0.16	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
170761	mcp2k	ai-scanner	0	8004	1.61	1	1	0	8002	8004	8004	8004	8004	8004	8004	8002	1
170792	mcp1k	human	0	32016	4.52	0	0	0	10003	10003	10003	10003	10003	10003	10003	10003	0
170808	mcp1k	human	0	14003	0.69	1	1	0	14003	14003	14003	14003	14003	14003	14003	14003	1
170814	mcp1k	human	0	18001	0.04	1	1	0	18001	39007	18001	18001	18001	18001	39007	18001	1
170880	mcp1k	human	0	13002	0.91	0	0	0	13002	23008	13002	13002	13002	13002	13002	13002	1
170924	mcp1k	human	0	16003	0.47	1	1	0	16003	16003	16003	16003	16003	16003	16003	16003	1
171143	mcp2k	human	0	8002	0.65	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
171352	mcp2k	ai-scanner	0	13002	0.55	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
171358	mcp1k	human	0	10002	0.34	1	1	0	10002	10000	10002	10002	10002	10002	10000	10002	1
171528	mcp2k	human	0	17000	0.00	1	1	0	17001	39012	17001	17001	17001	17001	39012	17001	0
171572	mcp2k	ai-scanner	0	83027	0.52	1	1	0	10003	83027	83027	83027	83027	83027	83027	10003	1
171600	mcp1k	human	0	14001	0.00	0	0	0	14001	91018	14001	14001	14001	14001	91018	14001	1
171729	mcp2k	human	0	9002	0.28	1	1	0	9002	9002	9002	9002	9002	9002	9002	9002	1
171866	mcp2k	ai-scanner	0	15001	1.29	1	1	0	15001	15001	15001	15001	15001	15001	15001	15001	1
171892	mcp1k	human	0	58002	0.00	1	1	0	58002	27001	58002	58002	58002	58002	27001	58002	1
172020	mcp2k	human	0	11004	0.20	1	1	0	None	11004	11004	11004	11004	11004	11004	None	1
172090	mcp1k	human	0	10001	1.68	1	1	0	10001	10001	10001	10001	10001	10001	10001	10001	1
172177	mcp2k	human	0	7003	0.85	1	1	0	7003	7002	7002	7002	7002	7002	7002	7003	0
172230	nuecc48	human	0	5009	0.48	1	1	0	5009	5009	5009	5009	5009	5009	5009	5009	1
172266	mcp1k	human	0	16003	0.62	0	1	0	16003	16005	16005	16005	16005	16005	16005	16003	0
172344	mcp2k	ai-scanner	0	6002	1.88	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
172617	mcp2k	ai-scanner	0	17007	0.83	1	1	0	17007	17007	17007	17007	17007	17007	17007	17007	1
172656	mcp1k	human	0	53028	0.00	0	0	0	10001	27007	10001	10001	10001	10001	27007	10001	0
172762	mcp2k	ai-scanner	0	15001	0.00	1	1	0	15001	15001	15001	15001	15001	15001	15001	15001	1
172788	mcp1k	human	0	26000	0.00	1	1	0	26001	26001	26003	26001	26001	26003	26001	26001	0
172794	mcp1k	human	0	49006	0.90	1	1	0	20001	49006	49006	49006	49006	49006	49006	20001	1
172832	mcp1k	human	0	81033	9.37	0	0	0	21000	21002	21002	21002	21002	21002	21002	21000	0
172850	mcp2k	ai-scanner	0	12002	0.44	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
172942	mcp1k	human	0	4007	0.89	0	0	0	4004	74043	4004	4004	4004	4004	74043	4004	0
173049	mcp2k	ai-scanner	0	9003	1.42	1	1	0	9003	9003	9003	9003	9003	9003	9003	9003	1
173058	mcp1k	human	0	14002	0.43	0	0	0	14002	19007	14002	14002	14002	14002	19007	14002	1
173093	mcp2k	human	0	62047	0.00	0	0	0	62047	64051	62047	62047	62047	62047	64051	62047	1
173108	mcp2k	ai-scanner	0	25002	0.09	1	1	0	25002	25002	25002	25002	25002	25002	25002	25002	1
173146	mcp1k	human	0	15002	0.49	1	1	0	15002	15002	15002	15002	15002	15002	15002	15002	1
173234	mcp1k	human	0	10002	0.00	1	1	0	10002	17008	10002	10002	10002	10002	17008	10002	1
173340	mcp2k	ai-scanner	0	7003	0.00	1	1	0	7003	7003	7003	7003	7003	7003	7003	7003	1
173450	mcp2k	human	0	13002	3.78	1	1	0	13001	13001	13001	13001	13001	13001	13001	13001	0
173498	mcp1k	human	0	6001	0.32	1	1	0	6001	6001	6001	6001	6001	6001	6001	6001	1
173585	mcp2k	human	0	15002	0.73	0	1	0	15001	41006	15001	15001	15001	15001	41006	15001	0
173620	mcp2k	human	0	11003	0.14	0	0	0	11001	11000	11000	11000	11000	11000	11000	11001	0
173819	mcp2k	human	0	14002	1.32	1	1	0	14005	14002	14002	14002	14002	14002	14002	14005	1
173912	mcp2k	ai-scanner	0	2003	0.31	0	0	0	2003	2004	2004	2004	2004	2004	2004	2003	0
174114	mcp1k	human	0	17002	0.69	0	0	0	17002	43014	17002	17002	17002	17002	43014	17002	1
174224	mcp1k	human	0	20005	1.11	1	1	0	None	20005	20005	20005	20005	20005	20005	None	1
174311	mcp2k	human	0	3002	0.69	1	1	0	3002	3003	3003	3003	3003	3003	3003	3002	0
174352	mcp2k	ai-scanner	0	11001	1.64	0	1	0	11001	11001	11003	11001	11001	11003	11001	11001	1
