arm	event	klass	d_main	d_cand	cand_vid	cand_is_maincand	cross_cluster
mcp1k	386948	WRONG+CAND	48.5	0.0	90074	1	1
mcp1k	393212	NEAR	1.93	1.01	83063	1	0
mcp1k	399052	CORRECT	0.0	0.0	19030	1	0
mcp1k	399118	WRONG+CAND	11.01	0.0	16015	1	1
mcp1k	400504	CORRECT	0.0	0.0	6002	1	0
mcp1k	409634	NEAR	1.37	0.0	63021	1	0
mcp1k	410008	CORRECT	0.59	0.59	35007	1	0
mcp1k	486247	WRONG+CAND	14.35	0.0	18011	1	1
mcp1k	486687	CORRECT	0.0	0.0	20001	1	0
mcp1k	487853	CORRECT	0.0	0.0	45021	1	0
mcp1k	489327	CORRECT	0.0	0.0	19003	1	0
mcp2k	51546	CORRECT	0.0	0.0	16001	1	0
mcp2k	52044	CORRECT	0.0	0.0	18002	1	0
mcp2k	52605	WRONG+CAND	27.46	0.0	11001	1	1
mcp2k	52693	CORRECT	0.0	0.0	18040	0	0
mcp2k	53658	WRONG+CAND	72.55	0.0	15002	1	0
mcp2k	55740	WRONG+CAND	236.11	0.7	17001	1	1
mcp2k	56972	CORRECT	0.36	0.36	17001	0	0
mcp2k	57709	CORRECT	0.0	0.0	13002	1	0
mcp2k	71872	CORRECT	0.0	0.0	13004	1	0
mcp2k	75954	CORRECT	0.0	0.0	21005	1	0
mcp2k	76346	WRONG+CAND	30.27	0.0	48038	1	1
mcp2k	77328	CORRECT	0.0	0.0	16007	0	0
mcp2k	91917	CORRECT	0.0	0.0	17006	1	0
mcp2k	94224	CORRECT	0.0	0.0	17004	1	0
mcp2k	94392	CORRECT	0.0	0.0	5002	1	0
mcp2k	99838	CORRECT	0.0	0.0	14002	1	0
mcp2k	100222	CORRECT	0.0	0.0	113198	0	0
mcp2k	103798	CORRECT	0.0	0.0	17002	1	0
mcp2k	170098	CORRECT	0.0	0.0	16002	1	0
mcp2k	171143	CORRECT	0.0	0.0	8002	1	0
mcp2k	171572	CORRECT	0.0	0.0	83027	1	0
mcp2k	171729	CORRECT	0.0	0.0	9002	1	0
mcp2k	173093	CORRECT	0.0	0.0	62047	1	0
mcp2k	174771	CORRECT	0.0	0.0	15003	1	0
mcp2k	176533	CORRECT	0.0	0.0	11002	0	0
mcp2k	176986	WRONG+CAND	21.96	0.0	47041	1	1
mcp2k	179048	WRONG+CAND	62.21	0.0	17001	1	0
mcp2k	179369	WRONG+CAND	10.99	0.0	17001	1	0
mcp2k	179611	CORRECT	0.0	0.0	10002	1	0
mcp2k	242726	CORRECT	0.0	0.0	20002	1	0
mcp2k	280159	CORRECT	0.0	0.0	12001	1	0
mcp2k	281567	WRONG+CAND	14.17	0.0	82133	1	1
mcp2k	281781	CORRECT	0.18	0.18	88099	0	0
mcp2k	282909	WRONG+CAND	10.61	0.0	4001	1	0
mcp2k	284206	CORRECT	0.0	0.0	10007	1	0
mcp2k	289246	CORRECT	0.0	0.0	16002	1	0
mcp2k	292524	CORRECT	0.0	0.0	9002	1	0
mcp2k	293536	CORRECT	0.0	0.0	15002	1	0
mcp2k	294174	CORRECT	0.0	0.0	16002	1	0
mcp2k	318703	CORRECT	0.0	0.0	17008	1	0
mcp2k	321169	WRONG+CAND	17.06	0.0	71045	1	1
mcp2k	347824	CORRECT	0.0	0.0	24003	0	0
mcp2k	350354	WRONG+CAND	19.8	0.0	18001	1	0
mcp2k	390634	CORRECT	0.0	0.0	1005	1	0
mcp2k	395597	CORRECT	0.0	0.0	20002	1	0
mcp2k	395870	CORRECT	0.0	0.0	16002	1	0
mcp2k	396037	WRONG+CAND	33.74	0.0	63027	0	1
mcp2k	396816	WRONG+CAND	32.3	0.0	18000	0	1
mcp2k	397401	CORRECT	0.0	0.0	16005	1	0
mcp2k	406125	CORRECT	0.0	0.0	8003	1	0
mcp2k	409140	WRONG+CAND	9.44	0.0	13002	0	0
mcp2k	409888	NEAR	3.95	0.0	13006	0	0
mcp2k	493659	WRONG+CAND	70.15	0.0	20000	1	0
mcp2k	499423	WRONG+CAND	41.36	0.0	35012	1	1
mcp2k	499577	CORRECT	0.0	0.0	13005	1	0
ncpi0	21073	CORRECT	0.0	0.0	11001	0	0
ncpi0	37112	NEAR	2.0	0.0	84104	0	0
ncpi0	56982	WRONG+CAND	34.32	0.02	22001	1	0
ncpi0	71372	CORRECT	0.0	0.0	92123	1	0
ncpi0	84229	CORRECT	0.36	0.36	19045	1	0
ncpi0	105946	CORRECT	0.0	0.0	14002	1	0
ncpi0	114446	CORRECT	0.0	0.0	21001	1	0
ncpi0	142421	CORRECT	0.0	0.0	7002	1	0
ncpi0	180801	WRONG+CAND	78.96	0.0	109073	1	1
ncpi0	285567	CORRECT	0.0	0.0	8007	0	0
ncpi0	314838	CORRECT	0.0	0.0	18017	1	0
ncpi0	359980	CORRECT	0.41	0.0	69077	1	0
ncpi0	463565	CORRECT	0.0	0.0	108099	1	0
ncpi0	506114	CORRECT	0.0	0.0	28049	1	0
ncpi0	506746	CORRECT	0.0	0.0	21040	1	0
ncpi0	521075	CORRECT	0.0	0.0	94053	1	0
nuecc48	388	CORRECT	0.0	0.0	23009	1	0
nuecc48	10550	WRONG+CAND	47.37	0.0	49072	1	1
nuecc48	30504	WRONG+CAND	74.75	0.0	11001	0	0
nuecc48	38856	WRONG+CAND	22.84	0.0	12004	1	0
nuecc48	42280	CORRECT	0.0	0.0	8001	1	0
nuecc48	46363	CORRECT	0.0	0.0	19001	0	0
nuecc48	52672	NEAR	3.85	0.0	82148	1	0
nuecc48	54095	CORRECT	0.0	0.0	17193	0	0
nuecc48	69314	CORRECT	0.0	0.0	3004	1	0
nuecc48	74544	CORRECT	0.0	0.0	12106	0	0
nuecc48	81597	CORRECT	0.0	0.0	19006	1	0
nuecc48	90055	CORRECT	0.0	0.0	11002	1	0
nuecc48	111412	WRONG+CAND	40.53	0.0	18001	1	0
nuecc48	122660	CORRECT	0.59	0.59	9014	1	0
nuecc48	131357	CORRECT	0.0	0.0	12006	1	0
nuecc48	137238	CORRECT	0.0	0.0	143041	1	0
nuecc48	138009	CORRECT	0.0	0.0	12106	0	0
nuecc48	163543	WRONG+CAND	32.78	0.0	14001	0	0
nuecc48	172230	CORRECT	0.0	0.0	5009	1	0
nuecc48	174637	CORRECT	0.0	0.0	9006	1	0
nuecc48	196649	CORRECT	0.0	0.0	11028	0	0
nuecc48	214469	CORRECT	0.0	0.0	16013	1	0
nuecc48	219295	CORRECT	0.0	0.0	15003	1	0
nuecc48	235435	CORRECT	0.0	0.0	2001	1	0
nuecc48	239794	CORRECT	0.0	0.0	2003	1	0
nuecc48	246579	CORRECT	0.0	0.0	19006	1	0
nuecc48	256587	CORRECT	0.0	0.0	11082	1	0
nuecc48	267597	CORRECT	0.0	0.0	5007	1	0
nuecc48	268784	CORRECT	0.0	0.0	13002	1	0
nuecc48	269774	CORRECT	0.0	0.0	87155	1	0
nuecc48	342199	CORRECT	0.0	0.0	20006	1	0
nuecc48	350186	CORRECT	0.0	0.0	6001	0	0
nuecc48	389538	CORRECT	0.33	0.33	11002	1	0
nuecc48	400474	CORRECT	0.0	0.0	18155	0	0
nuecc48	422851	CORRECT	0.0	0.0	1005	1	0
nuecc48	433451	CORRECT	0.0	0.0	4007	0	0
nuecc48	444187	CORRECT	0.0	0.0	19002	1	0
nuecc48	447477	CORRECT	0.0	0.0	11001	1	0
nuecc48	469665	NEAR	1.41	0.0	15079	0	0
nuecc48	489330	CORRECT	0.0	0.0	4004	1	0
