# doc pr/138 -- the C++ partition vs the owner labels (tape=work-pr138r1-on4-*)
event	node	verdict	track_typed	fired	cxx_nparts	owner_k	agreement	npeel
281485	89095	SPLIT2	0	1	2	2	1.0000	1
281485	91112	KEEP	0	0	1	1		0
281567	9025	SPLIT2	0	0	1	2		0
281567	99193	KEEP	0	0	1	1		0
281639	23001	KEEP	0	0	1	1		0
281639	91023	KEEP	0	0	1	1		0
281781	89069	SPLIT3	0	1	3	3	0.6734	2
282271	6063	KEEP	0	0	1	1		0
282909	4084	KEEP	0	0	1	1		0
282909	75060	KEEP	0	0	1	1		0
283515	24014	KEEP	0	0	1	1		0
284200	6013	SPLIT2	0	1	3	2	0.9635	2
285443	49035	KEEP	0	0	1	1		0
285567	8107	KEEP	0	0	1	1		0
286655	19006	KEEP	0	0	1	1		0
286681	3012	KEEP	0	0	1	1		0
286681	72040	KEEP	1	0	1	1		0
287654	12003	KEEP	0	0	1	1		0
287830	21042	SPLIT2	0	1	2	2	1.0000	1
292005	46017	KEEP	0	0	1	1		0
292524	9018	TRIM	1	0	1	2		0
292643	25015	SPLIT2	0	1	3	2	0.7302	2
293149	4001	SPLIT2	0	0	1	2		0
293536	15027	TRIM	0	0	1	2		0
294174	16004	SPLIT2	0	1	2	2	1.0000	1
294174	71067	SPLIT2	0	1	2	2	1.0000	1
314838	110088	SPLIT2	0	1	2	2	1.0000	1
317939	26001	KEEP	0	0	1	1		0
317939	30022	KEEP	0	0	1	1		0
318769	31026	KEEP	0	1	4	1	0.4903	3
318769	143101	KEEP	0	1	4	1	0.5624	3
321169	16055	SPLIT3	0	0	1	3		0
321767	45019	KEEP	0	0	1	1		0
342199	25109	KEEP	0	0	1	1		0
342199	74101	KEEP	0	0	1	1		0
348691	49046	KEEP	0	0	1	1		0
350354	18092	SPLIT2	0	1	2	2	1.0000	1
359980	75089	KEEP	0	0	1	1		0
386948	16002	KEEP	0	0	1	1		0
386948	91060	KEEP	0	0	1	1		0
389538	19021	KEEP	1	1	3	1	0.5925	2
390182	4008	KEEP	0	0	1	1		0
392901	127030	KEEP	0	0	1	1		0
393212	6009	SPLIT2	0	1	2	2	1.0000	1
393505	63025	KEEP	0	1	4	1	0.7777	3
394167	11009	KEEP	0	0	1	1		0
396037	69026	KEEP	0	1	2	1	0.6621	1
396222	9059	SPLIT4+	0	1	4	5	0.5648	3
396222	9084	SPLIT3	0	1	4	3	0.7387	3
396222	97175	KEEP	0	0	1	1		0
399052	64067	KEEP	0	0	1	1		0
406125	8059	KEEP	0	0	1	1		0
406125	38021	SPLIT2	0	1	3	2	0.9484	2
407918	17010	KEEP	0	0	1	1		0
408304	9039	KEEP	0	0	1	1		0
408678	14003	KEEP	0	0	1	1		0
410008	20001	KEEP	0	0	1	1		0
410008	98035	KEEP	0	0	1	1		0
412242	14007	KEEP	0	0	1	1		0
412242	60050	KEEP	0	0	1	1		0
412242	64054	KEEP	0	0	1	1		0
415278	23012	SPLIT3	0	1	2	3	0.9025	1
415278	23037	SPLIT4+	0	1	3	5	0.8508	2
415278	23047	KEEP	1	0	1	1		0
415278	83139	SPLIT2	0	1	2	2	1.0000	1
444187	19082	KEEP	0	0	1	1		0
463565	109073	KEEP	0	0	1	1		0
463565	114086	KEEP	0	0	1	1		0
463565	115088	KEEP	0	0	1	1		0
475096	19014	KEEP	0	0	1	1		0
486687	103067	KEEP	0	0	1	1		0
486907	24002	TRIM	0	0	1	2		0
487853	13000	SPLIT2	0	1	2	2	0.9747	1
499577	13009	TRIM	0	0	1	2		0
506746	21056	KEEP	0	0	1	1		0
506746	21067	KEEP	0	0	1	1		0
521075	18007	KEEP	0	0	1	1		0
