# doc pr/141 sec 17 -- audit of doc pr/139 sec 22.5
arm	src	event	shower	pdg	cls	verdict	conf	fired	nacc	nparts	tag
work-pr140r2-off	tape	410008	20001	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	tape	415278	23012	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	415278	23037	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	415278	83139	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	463565	13001	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	tape	487853	13000	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	tape	499577	13009	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	tape	521075	18007	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	388	23032	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	10550	7036	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	21073	63100	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	54332	122091	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	58755	30003	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	64409	8022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	67394	58035	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	71372	19049	11	EM	SPLIT3	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	71642	76071	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	71642	84105	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	76346	14059	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	76350	12098	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	84229	69134	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	90055	11033	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	98844	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	99838	14004	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	100222	67054	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	122660	9110	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	122660	53070	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	122660	54071	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	138009	12088	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	165157	9000	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	170761	8026	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	172230	5027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	174771	87065	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	174771	91075	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	175896	17044	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	176502	109119	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	176502	109141	2212	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	179611	10001	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	196649	11113	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	256587	11301	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	269774	13237	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	278420	61027	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	280972	79136	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	281325	42039	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	281485	89095	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	281781	89069	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	282909	75060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	283515	24014	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	284200	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	286681	72040	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	292005	46017	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	292524	9018	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	292643	25015	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	293536	15027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	294174	16004	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	294174	71067	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	314838	110088	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	317939	30022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	318769	31026	11	EM	KEEP	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	321767	45019	11	EM	KEEP	high	0	2	1	splitscan-0903-wide
work-pr140r2-off	dump	348691	49046	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	350354	18092	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	386948	16002	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	386948	91060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	389538	19021	2212	nonEM	KEEP	high	0	2	1	splitscan-0902-pi0
work-pr140r2-off	dump	393212	6009	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	393505	63025	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	396037	69026	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	396222	9059	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	396222	9084	211	nonEM	SPLIT3	high	0	2	1	splitscan-0903-wide
work-pr140r2-off	dump	406125	38021	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	410008	20001	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r2-off	dump	415278	23012	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	415278	23037	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	415278	83139	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	463565	13001	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r2-off	dump	487853	13000	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r2-off	dump	499577	13009	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r2-off	dump	521075	18007	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	388	23032	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	10550	7036	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	21073	63100	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	54332	122091	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	58755	30003	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	64409	8022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	67394	58035	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	71372	19049	11	EM	SPLIT3	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	71642	76071	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	71642	84105	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	76346	14059	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	76350	12098	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	84229	69134	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	90055	11033	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	98844	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	99838	14004	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	100222	67054	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	122660	9110	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	122660	53070	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	122660	54071	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	138009	12088	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	165157	9000	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	170761	8026	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	172230	5027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	174771	87065	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	174771	91075	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	175896	17044	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	176502	109119	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	176502	109141	2212	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	179611	10001	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	196649	11113	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	256587	11301	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	269774	13237	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	278420	61027	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	280972	79136	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	281325	42039	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	281485	89095	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	281781	89069	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	282909	75060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	283515	24014	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	284200	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	286681	72040	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	292005	46017	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	292524	9018	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	292643	25015	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	293536	15027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	294174	16004	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	294174	71067	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	314838	110088	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	317939	30022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	318769	31026	211	nonEM	KEEP	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	321767	45019	11	EM	KEEP	high	0	2	1	splitscan-0903-wide
work-pr140r1-on	tape	348691	49046	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	350354	18092	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	386948	16002	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	386948	91060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	389538	19021	2212	nonEM	KEEP	high	0	2	1	splitscan-0902-pi0
work-pr140r1-on	tape	393212	6009	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	393505	63025	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	396037	69026	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	396222	9059	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	396222	9084	211	nonEM	SPLIT3	high	0	2	1	splitscan-0903-wide
work-pr140r1-on	tape	406125	38021	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	410008	20001	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	tape	415278	23012	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	415278	23037	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	415278	83139	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	463565	13001	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	tape	487853	13000	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	tape	499577	13009	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	tape	521075	18007	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	388	23032	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	10550	7036	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	21073	63100	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	54332	122091	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	58755	30003	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	64409	8022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	67394	58035	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	71372	19049	11	EM	SPLIT3	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	71642	76071	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	71642	84105	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	76346	14059	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	76350	12098	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	84229	69134	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	90055	11033	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	98844	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	99838	14004	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	100222	67054	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	122660	9110	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	122660	53070	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	122660	54071	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	138009	12088	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	165157	9000	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	170761	8026	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	172230	5027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	174771	87065	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	174771	91075	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	175896	17044	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	176502	109119	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	176502	109141	2212	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	179611	10001	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	196649	11113	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	256587	11301	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	269774	13237	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	278420	61027	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	280972	79136	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	281325	42039	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	281485	89095	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	281781	89069	11	EM	SPLIT3	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	282909	75060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	283515	24014	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	284200	6013	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	286681	72040	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	292005	46017	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	292524	9018	13	nonEM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	292643	25015	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	293536	15027	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	294174	16004	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	294174	71067	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	314838	110088	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	317939	30022	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	318769	31026	11	EM	KEEP	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	321767	45019	11	EM	KEEP	high	0	2	1	splitscan-0903-wide
work-pr140r1-on	dump	348691	49046	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	350354	18092	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	386948	16002	11	EM	KEEP	high	0	0	1	splitscan-0902-pi0
work-pr140r1-on	dump	386948	91060	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	389538	19021	2212	nonEM	KEEP	high	0	2	1	splitscan-0902-pi0
work-pr140r1-on	dump	393212	6009	11	EM	SPLIT2	high	1	2	2	splitscan-0903-wide
work-pr140r1-on	dump	393505	63025	11	EM	KEEP	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	396037	69026	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	396222	9059	11	EM	SPLIT4+	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	396222	9084	211	nonEM	SPLIT3	high	0	2	1	splitscan-0903-wide
work-pr140r1-on	dump	406125	38021	11	EM	SPLIT2	high	1	2	2	splitscan-0902-pi0
work-pr140r1-on	dump	410008	20001	11	EM	KEEP	high	0	0	1	splitscan-0903-wide
work-pr140r1-on	dump	415278	23012	11	EM	SPLIT3	high	1	2	2	splitscan-0902-pi0
