evt	sample	label_source	carried	d_p100base	d_base	d_nofitx	d_pre103	d_trad	d_dlonly	d_ma4	d_topo3	d_topk10
59371	mcp1k	human	1	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000
59553	mcp1k	human	0	6.814	6.814	6.814	6.814	6.814	6.814	6.814	6.814	6.814
59685	mcp1k	human	1	0.000	0.000	0.365	0.000	0.000	0.000	0.000	0.000	0.000
59899	mcp1k	human	1	7.271	7.271	0.372	7.271	7.271	7.271	7.271	7.271	7.271
59929	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	18.541	0.000	0.000	0.000
60017	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	36.975	45.833	0.000	0.000
60669	mcp1k	human	1	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000
60933	mcp1k	human	1	0.000	0.000	0.227	0.000	0.000	0.000	0.000	0.000	0.000
61351	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	49.425	0.000	0.000	0.000
61417	mcp1k	human	1	0.000	0.000	0.396	0.000	0.000	0.000	0.000	0.000	0.000
61461	mcp1k	human	0	1.321	1.330	0.000	1.321	11.157	1.330	1.330	1.330	1.330
61681	mcp1k	human	0	1.697	1.697	4.365	1.697	1.697	1.697	1.697	1.697	1.697
62149	mcp1k	human	1	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000
62281	mcp1k	human	1	0.000	0.000	29.054	0.000	0.000	13.514	0.000	0.000	0.000
62459	mcp1k	human	1	0.319	0.000	0.528	0.319	2.472	0.000	0.000	0.000	0.000
62495	mcp1k	human	1	0.000	0.000	0.735	0.000	0.000	0.000	0.000	0.000	0.000
62613	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	358.134	0.000	0.000	0.000
62721	mcp1k	human	1	0.000	0.000	0.150	0.000	0.000	32.360	0.000	0.000	0.000
63163	mcp1k	human	1	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.000
63359	mcp1k	human	1	0.000	0.000	3.287	0.000	0.000	74.541	0.000	0.000	0.000
63427	mcp1k	human	1	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000
63551	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	84.452	91.003	0.000	0.000
63559	mcp1k	human	1	2.503	2.503	0.937	2.503	2.503	64.308	2.503	2.503	2.503
63669	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	4.721	0.000	0.000	0.000
64409	mcp1k	human	1	0.000	0.000	0.212	0.000	0.000	0.000	0.000	0.000	0.000
64503	mcp1k	human	0	43.612	43.612	43.612	43.612	43.612	4.539	4.539	43.612	43.612
64717	mcp1k	human	1	0.000	0.000	0.449	0.000	0.000	58.806	0.000	0.000	0.000
64959	mcp1k	human	1	44.919	44.919	44.919	44.919	44.919	24.566	24.566	44.919	44.919
65025	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	36.502	0.000	0.000
65266	mcp2k	human	1	45.468	45.468	45.468	45.468	0.317	45.468	45.468	45.468	45.468
65267	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	196.373	0.000	0.000	0.000
65289	mcp1k	human	1	2.375	0.000	2.031	2.375	0.109	0.000	0.000	0.000	0.000
65295	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	11.587	0.000	0.000	0.000
65948	mcp2k	ai-scanner	0	4.820	4.820	4.850	4.820	4.820	4.820	4.820	4.820	4.820
66118	mcp1k	human	1	0.000	0.000	0.229	0.000	0.000	37.786	70.323	70.323	0.000
66272	mcp1k	human	1	12.717	12.717	2.884	12.717	12.717	12.717	12.717	12.717	12.717
66278	mcp2k	ai-scanner	1	0.000	0.000	0.672	0.000	0.000	54.320	0.000	0.000	0.000
66366	mcp2k	ai-scanner	0	1.130	1.130	0.000	1.130	1.130	1.130	1.130	1.130	1.130
66646	mcp1k	human	1	0.000	0.000	0.126	0.000	0.000	155.950	3.252	0.000	0.000
66652	mcp2k	ai-scanner	1	0.000	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000
66712	mcp1k	human	1	2.552	0.000	0.213	2.552	0.000	0.000	0.000	0.000	0.000
66872	mcp2k	human	1	13.617	13.617	4.768	13.617	13.617	51.354	13.617	13.617	13.617
66944	mcp2k	human	0	4.847	4.847	49.325	4.847	23.607	4.847	4.847	4.847	4.847
67026	mcp2k	ai-scanner	1	0.000	0.000	0.289	0.000	0.000	0.000	0.000	0.000	0.000
67394	mcp1k	human	0	1.113	1.113	0.712	1.113	1.113	1.113	1.113	1.113	1.113
67898	mcp2k	ai-scanner	1	0.000	0.000	0.293	0.000	0.000	0.000	0.000	0.000	0.000
67928	mcp2k	ai-scanner	1	0.000	0.000	0.221	0.000	0.000	0.000	0.000	0.000	0.000
67942	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68280	mcp2k	ai-scanner	0	1.046	1.046	0.000	1.046	1.046	1.046	1.046	1.046	1.046
68308	mcp2k	ai-scanner	1	0.000	0.000	0.288	0.000	0.000	0.000	0.000	0.000	0.000
68648	mcp1k	human	1	0.000	0.000	0.335	0.000	0.000	209.040	0.000	0.000	0.000
68748	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69006	mcp2k	ai-scanner	0	1.110	1.110	0.000	1.110	1.110	1.110	1.110	1.110	1.110
69144	mcp2k	ai-scanner	1	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000
69152	mcp2k	ai-scanner	1	0.000	0.000	0.660	0.000	0.000	0.000	0.000	0.000	0.000
69232	mcp2k	human	0	22.733	22.712	28.499	22.733	24.852	24.852	22.712	22.712	22.712
69254	mcp2k	ai-scanner	0	2.668	2.668	0.000	2.668	2.668	12.567	1.888	2.668	2.668
69306	mcp2k	ai-scanner	0	2.512	2.512	0.000	2.512	2.512	75.939	75.939	2.512	2.512
69314	nuecc	human	1	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.000	0.000
69666	mcp2k	ai-scanner	1	1.342	2.909	4.056	1.342	2.909	2.909	2.909	2.909	2.909
69936	mcp2k	ai-scanner	1	0.000	0.000	0.156	0.000	0.000	286.428	47.911	0.000	0.000
70010	mcp2k	human	1	78.181	78.181	78.181	78.181	78.181	78.181	0.000	0.000	78.181
70084	mcp2k	human	0	1.558	1.558	0.000	1.558	11.024	1.558	1.558	1.558	1.558
70186	mcp2k	ai-scanner	1	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000
70472	mcp2k	human	1	3.814	3.814	4.601	3.814	3.814	3.814	78.388	3.814	3.814
70538	mcp2k	human	1	0.000	0.000	0.501	0.000	0.000	0.000	69.993	0.000	0.000
70766	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	219.620	0.000	0.000
70912	mcp2k	ai-scanner	1	0.000	0.000	0.309	0.000	0.000	0.000	0.000	0.000	0.000
71022	mcp2k	human	1	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000
71046	mcp1k	human	1	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.000	0.000
71092	mcp2k	human	1	7.775	7.775	54.135	7.775	7.775	57.236	54.135	7.775	7.775
71266	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	5.550	93.884	0.000	0.000
71372	ncpi0	human	1	0.000	0.000	0.781	0.000	7.440	0.000	0.000	0.000	0.000
71640	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	14.488	227.918	0.000	0.000
71748	mcp2k	ai-scanner	0	1.181	1.181	0.000	1.181	1.518	1.181	1.181	1.181	1.181
71778	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
72055	mcp2k	ai-scanner	1	0.000	0.000	0.816	0.000	0.000	0.000	0.000	0.000	0.000
72099	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	285.927	190.150	0.000	0.000
72170	mcp2k	ai-scanner	1	0.000	0.000	0.245	0.000	0.000	0.000	0.000	0.000	0.000
72174	mcp2k	ai-scanner	1	0.000	0.000	0.215	0.000	0.000	0.000	0.000	0.000	0.000
72759	mcp2k	ai-scanner	1	2.027	2.027	2.027	2.027	1.094	2.027	2.027	2.027	2.027
72840	mcp2k	ai-scanner	1	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000
72940	mcp2k	ai-scanner	1	0.000	0.000	0.143	0.000	0.000	0.000	0.000	0.000	0.000
73004	mcp1k	human	1	0.000	0.000	0.731	0.000	8.053	0.000	0.000	0.000	0.000
73336	mcp2k	ai-scanner	1	0.000	0.000	0.993	0.000	0.000	0.000	0.000	0.000	0.000
73412	mcp2k	ai-scanner	1	0.000	0.000	0.464	0.000	0.000	0.000	0.000	0.000	0.000
73688	mcp2k	human	1	57.608	57.608	57.611	57.608	0.236	57.608	57.608	57.608	57.608
73698	mcp2k	ai-scanner	1	0.000	0.000	0.236	0.000	0.000	0.000	0.000	0.000	0.000
73727	mcp2k	ai-scanner	0	10.457	10.457	10.457	10.457	10.457	231.270	10.457	10.457	10.457
73838	mcp2k	human	0	1.497	1.093	0.000	1.497	1.093	1.093	1.093	1.093	1.093
74146	mcp2k	human	1	96.030	96.030	96.035	96.030	0.513	96.030	96.030	96.030	96.030
74326	mcp2k	ai-scanner	0	1.059	1.059	0.000	1.059	1.059	1.059	1.059	1.059	1.059
74336	mcp2k	ai-scanner	1	0.000	0.000	0.123	0.000	46.544	0.000	0.000	0.000	0.000
74380	mcp2k	ai-scanner	1	0.000	0.000	0.110	0.000	0.000	229.403	5.143	0.000	0.000
75040	mcp2k	ai-scanner	1	1.727	1.727	0.154	1.727	1.727	1.727	1.727	1.727	1.727
75206	mcp2k	human	0	1.365	1.365	0.000	1.365	2.074	1.365	1.365	1.365	1.365
75554	mcp2k	human	1	513.454	513.454	513.454	513.454	513.454	134.201	513.454	513.454	513.454
75678	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	462.611	0.000	0.000	0.000
75700	mcp2k	ai-scanner	0	2.880	2.880	0.000	2.880	2.880	2.880	2.880	2.880	2.880
75729	mcp2k	human	0	3.402	2.076	3.986	3.402	2.076	2.076	2.076	2.076	2.076
75862	mcp2k	ai-scanner	0	1.912	1.912	0.000	1.912	1.912	1.912	1.912	1.912	1.912
75954	mcp2k	human	1	0.026	0.000	0.250	0.026	37.956	0.000	0.000	0.000	0.000
76038	mcp2k	ai-scanner	1	0.000	0.000	0.233	0.000	4.238	0.000	0.000	0.000	0.000
76059	mcp2k	ai-scanner	1	0.000	0.000	0.376	0.000	0.000	0.000	0.000	0.000	0.000
76250	mcp2k	ai-scanner	1	0.000	0.000	0.354	0.000	0.000	0.000	0.000	0.000	0.000
76280	mcp2k	ai-scanner	1	0.000	0.000	0.623	0.000	0.000	0.000	0.000	0.000	0.000
76346	mcp2k	human	1	14.881	19.971	27.549	14.881	19.971	30.266	30.266	19.971	19.971
76350	mcp2k	human	0	62.430	62.430	0.000	62.430	62.430	82.604	82.604	62.430	62.430
77328	mcp2k	ai-scanner	1	0.000	0.000	0.671	0.000	0.501	0.000	0.000	0.000	0.000
77878	mcp2k	ai-scanner	1	2.121	2.121	2.286	2.121	2.121	2.121	2.121	2.121	2.121
77978	mcp2k	ai-scanner	0	1.153	1.153	0.000	1.153	30.833	1.153	1.153	1.153	1.153
79491	mcp2k	ai-scanner	1	0.000	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000
79616	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	328.099	328.099	0.000	0.000
81420	mcp2k	ai-scanner	1	0.000	0.000	0.778	0.000	0.000	0.000	0.000	0.000	0.000
82322	mcp2k	human	0	13.604	13.604	13.604	13.604	13.604	13.604	13.604	13.604	13.604
90055	nuecc	human	1	0.000	0.000	0.633	0.000	0.000	0.000	0.000	0.000	0.000
90179	mcp2k	ai-scanner	1	0.000	0.000	0.132	0.000	0.000	161.474	0.000	0.000	0.000
91235	mcp2k	ai-scanner	1	0.000	0.000	0.256	0.000	0.000	0.000	0.000	0.000	0.000
91367	mcp2k	ai-scanner	1	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.000	0.000
91697	mcp2k	ai-scanner	0	2.539	2.539	0.000	2.539	6.643	2.539	2.539	2.539	2.539
91917	mcp2k	ai-scanner	1	0.000	0.000	0.269	0.000	0.000	0.000	0.000	0.000	0.000
92134	mcp2k	ai-scanner	1	0.000	0.000	0.241	0.000	0.000	0.000	0.000	0.000	0.000
92225	mcp2k	ai-scanner	1	2.636	2.636	2.784	2.636	2.636	2.636	2.636	2.636	2.636
92992	mcp2k	human	1	0.000	0.000	0.600	0.000	0.000	0.000	0.000	0.000	0.000
93105	mcp2k	ai-scanner	1	0.000	0.000	0.304	0.000	37.061	37.061	0.000	0.000	0.000
93545	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
93677	mcp2k	ai-scanner	1	0.000	0.000	0.318	0.000	0.000	0.000	0.000	0.000	0.000
93776	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	254.545	0.000	0.000	0.000
94092	mcp2k	ai-scanner	0	9.022	9.022	0.000	9.022	2.881	9.022	9.022	9.022	9.022
94293	mcp2k	ai-scanner	1	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000
94392	mcp2k	ai-scanner	1	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000
94678	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
94942	mcp2k	ai-scanner	1	3.285	3.285	3.425	3.285	3.285	3.285	3.285	3.285	3.285
95074	mcp2k	ai-scanner	1	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000
95405	mcp2k	ai-scanner	1	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000
95412	mcp2k	ai-scanner	1	0.000	0.000	0.287	0.000	0.504	0.000	0.000	0.000	0.000
95690	mcp2k	ai-scanner	1	0.000	0.000	0.281	0.000	0.000	0.000	0.000	0.000	0.000
95899	mcp2k	human	0	1.474	1.445	0.000	1.474	8.342	1.445	1.445	1.445	1.445
96383	mcp2k	ai-scanner	0	6.544	6.544	0.000	6.544	6.544	27.210	6.205	6.544	6.544
97010	mcp2k	human	0	6.034	6.034	4.557	6.034	6.034	13.704	6.034	6.034	6.034
97062	mcp2k	human	1	32.986	32.986	35.048	32.986	1.465	32.986	32.986	32.986	32.986
97084	mcp2k	ai-scanner	0	1.114	1.114	0.000	1.114	1.114	64.050	64.050	1.114	1.114
97231	mcp2k	ai-scanner	1	7.343	2.902	0.236	7.343	2.902	22.856	171.699	2.902	2.902
97260	mcp2k	human	0	1.704	1.704	17.620	1.704	1.704	1.704	1.704	1.704	1.704
98338	mcp2k	human	0	1.905	1.905	0.000	1.905	1.905	1.905	1.905	1.905	1.905
98353	mcp2k	human	1	0.000	0.000	0.715	0.000	0.000	414.864	13.562	0.000	0.000
98470	mcp2k	ai-scanner	1	0.000	0.000	0.790	0.000	0.000	0.000	0.000	0.000	0.000
98704	mcp2k	ai-scanner	1	3.095	3.095	0.057	3.095	3.095	3.095	3.095	3.095	3.095
98778	mcp2k	ai-scanner	1	0.000	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.000
98844	mcp2k	human	0	1.197	1.197	45.737	1.197	1.197	1.197	1.197	1.197	1.197
98947	mcp2k	ai-scanner	1	0.000	0.000	0.505	0.000	0.000	0.000	0.000	0.000	0.000
99035	mcp2k	human	0	1.701	1.701	6.264	1.701	1.701	6.264	6.264	66.408	1.701
99716	mcp2k	ai-scanner	1	0.000	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.000
99782	mcp2k	ai-scanner	0	1.512	1.512	0.000	1.512	1.512	1.512	1.512	1.512	1.512
99838	mcp2k	ai-scanner	1	0.000	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.000
99959	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	5.232	0.000	0.000	0.000
99966	mcp2k	human	0	1.686	1.686	0.000	1.686	1.686	1.686	1.686	1.686	1.686
100135	mcp2k	ai-scanner	0	3.121	3.121	0.067	3.121	17.433	3.121	3.121	3.121	3.121
100245	mcp2k	human	1	0.000	0.000	0.526	0.000	0.000	0.000	0.000	0.000	0.000
100322	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	155.931	0.000	0.000	0.000
100420	mcp2k	ai-scanner	0	1.208	1.208	0.000	1.208	1.208	31.456	1.208	1.208	1.208
100421	mcp2k	human	1	4.787	4.787	0.244	4.787	4.787	4.787	4.787	4.787	4.787
100564	mcp2k	ai-scanner	1	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000
101004	mcp2k	human	1	7.332	7.332	7.332	7.332	7.332	0.000	0.000	7.332	7.332
101224	mcp2k	human	1	50.379	50.379	50.379	50.379	50.379	43.044	50.379	50.379	50.379
101454	mcp2k	ai-scanner	0	1.503	1.503	0.000	1.503	1.503	375.742	6.101	1.503	1.503
101498	mcp2k	human	0	34.050	34.050	97.666	34.050	34.050	34.050	34.050	34.050	34.050
101554	mcp2k	ai-scanner	1	0.000	0.000	0.334	0.000	0.000	0.000	0.000	0.000	0.000
101675	mcp2k	ai-scanner	1	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000
102247	mcp2k	human	1	2.054	2.054	2.054	2.054	2.054	81.568	0.000	2.054	2.054
103204	mcp2k	ai-scanner	1	0.000	0.000	0.601	0.000	0.000	0.000	0.000	0.000	0.000
103391	mcp2k	human	0	2.275	5.315	5.597	2.275	5.315	115.613	5.315	5.315	5.315
103798	mcp2k	human	1	0.000	0.000	0.185	0.000	0.000	35.834	35.834	0.000	0.000
104216	mcp2k	ai-scanner	1	0.000	0.000	0.340	0.000	0.000	0.000	0.000	0.000	0.000
104260	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
104304	mcp2k	human	1	0.000	0.000	0.449	0.000	166.749	0.000	0.000	0.000	0.000
104920	mcp2k	ai-scanner	1	0.000	0.000	0.718	0.000	0.000	0.000	0.000	0.000	0.000
105316	mcp2k	ai-scanner	1	0.000	0.000	0.230	0.000	0.000	0.000	0.000	0.000	0.000
105492	mcp2k	human	1	0.000	0.000	12.368	0.000	0.000	255.925	12.237	0.000	0.000
105946	ncpi0	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111412	nuecc	human	1	40.533	40.533	0.804	40.533	2.447	2.447	40.533	40.533	40.533
114446	ncpi0	human	1	0.000	0.000	0.000	0.000	0.000	28.499	0.000	0.000	0.000
131357	nuecc	human	1	0.000	0.000	0.795	0.000	0.000	0.000	0.000	0.000	0.000
137238	nuecc	human	1	0.000	0.000	0.442	0.000	19.627	19.627	0.000	0.000	0.000
138009	nuecc	human	1	0.385	0.000	0.645	0.385	18.406	0.000	0.000	0.000	0.000
142421	ncpi0	human	1	0.000	0.000	0.311	0.000	0.000	0.000	0.000	0.000	0.000
156093	mcp2k	human	0	1.468	1.468	0.000	1.468	1.468	1.468	1.468	1.468	1.468
158227	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
159569	mcp2k	ai-scanner	0	5.439	5.439	0.174	5.439	10.227	5.439	5.439	5.439	5.439
161043	mcp2k	human	1	0.000	0.000	0.313	0.000	0.000	82.444	11.695	0.000	0.000
162143	mcp2k	human	1	0.000	0.000	0.180	0.000	5.433	0.000	0.000	0.000	0.000
163309	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
163543	nuecc	human	1	33.347	37.408	32.606	33.347	37.408	37.408	37.408	37.408	37.408
163771	mcp2k	ai-scanner	1	101.997	101.997	0.000	101.997	101.997	20.804	0.000	101.997	101.997
164475	mcp2k	ai-scanner	1	0.000	0.000	0.147	0.000	0.000	0.000	0.000	0.000	0.000
165157	mcp2k	human	0	18.001	18.001	4.169	18.001	18.001	39.388	18.001	18.001	18.001
165544	mcp2k	human	1	19.648	19.648	0.126	19.648	19.648	20.650	14.714	19.648	19.648
165767	mcp2k	human	1	17.235	17.235	44.550	17.235	44.552	17.235	17.235	17.235	17.235
166006	mcp2k	ai-scanner	1	0.000	0.000	0.863	0.000	0.000	0.000	0.000	0.000	0.000
166050	mcp2k	ai-scanner	1	0.000	0.000	0.093	0.000	0.000	202.840	0.000	0.000	0.000
166295	mcp2k	human	0	1.838	1.838	0.000	1.838	1.838	1.838	1.838	1.838	1.838
166738	mcp1k	human	1	0.000	0.000	0.338	0.000	0.000	0.000	0.000	0.000	0.000
166996	mcp2k	human	0	1.926	1.926	19.534	1.926	1.926	242.370	1.926	1.926	1.926
167112	mcp1k	human	1	0.000	0.000	0.206	0.000	0.000	0.000	0.000	0.000	0.000
167351	mcp2k	human	1	134.892	134.892	134.892	134.892	134.892	134.892	318.138	134.892	134.892
