event	node	fired	veto	b_cxx_cm	b_offline_cm
174771	22024	0	0	48.530	48.529
174771	87065	1	1	102.100	102.105
174771	91075	1	0	10.390	10.386
176502	20005	0	0	126.490	126.489
176502	23030	0	0	6.280	6.284
176502	109141	0	0	6.210	6.215
176502	109299	0	0	2.820	2.825
176502	109298	0	0	2.690	2.689
176502	109119	1	0	8.560	8.557
176533	11032	0	0	2.260	2.256
176533	11035	0	0	7.670	7.669
176986	5000	0	0	17.550	17.550
176986	67048	0	0	8.100	8.098
179048	17012	0	0	0.500	0.495
179369	108044	0	0	20.260	20.264
179611	10001	0	0	2.030	2.030
181050	15005	0	0	37.100	37.103
242726	26008	0	0	3.360	3.358
242726	62021	0	0	4.650	4.653
275011	11037	0	0	9.920	9.923
275011	11038	0	0	0.160	0.162
280159	12119	0	0	7.880	7.879
280159	24015	0	0	16.410	16.412
280159	95114	0	0	25.630	25.632
281165	16006	0	0	0.690	0.694
281165	24010	1	0	9.470	9.473
281165	55036	1	1	43.810	43.813
281325	42039	1	0	0.310	0.309
281567	9025	0	0	4.810	4.809
281567	93114	0	0	1.610	1.612
281567	95227	0	0	7.820	7.821
281567	99193	0	0	12.800	12.801
281781	86055	0	0	22.150	22.150
281781	89069	1	1	29.560	29.556
282271	6063	0	0	4.250	4.253
282271	51038	0	0	0.790	0.792
282909	4084	0	0	5.290	5.292
282909	75060	0	0	5.600	5.603
284206	10052	0	0	2.480	2.477
284206	10054	0	0	2.050	2.049
289246	63034	0	0	95.700	95.702
289508	17012	0	0	2.190	2.190
291072	21023	0	0	2.440	2.437
292524	9018	0	0	2.180	2.178
292524	79054	0	0	5.650	5.651
293536	15027	0	0	3.530	3.532
293536	15001	0	0	0.830	0.827
294174	16028	0	0	4.700	4.700
294174	16004	1	1	209.390	209.385
294174	71067	1	1	75.200	75.199
318703	17067	0	0	17.440	17.440
318703	17023	0	0	0.430	0.433
318769	31026	1	1	39.650	39.647
318769	65037	0	0	111.630	111.625
318769	143101	1	1	40.600	40.599
321169	16055	0	0	3.590	3.594
321169	16059	0	0	2.720	2.723
321367	12012	0	0	2.880	2.881
347824	106049	0	0	7.240	7.243
347824	107060	0	0	5.250	5.253
350354	18092	1	0	3.110	3.110
390634	1011	1	1	112.350	112.348
392901	15011	0	0	2.820	2.820
392901	127030	0	0	6.130	6.127
393505	63025	1	1	62.820	62.820
394167	11009	0	0	2.220	2.217
395123	21011	0	0	7.330	7.332
395597	20004	0	0	0.680	0.678
395870	64033	0	0	11.410	11.409
396037	69026	1	1	16.710	16.712
396222	9059	1	1	22.150	29.230
396222	9084	0	0	39.370	52.057
396222	97175	0	0	55.700	66.185
396323	18012	0	0	140.890	140.895
396816	18011	0	0	4.540	4.539
397401	16012	0	0	6.220	6.221
397630	33038	0	0	11.470	11.470
403023	59022	0	0	5.180	5.184
403023	60030	0	0	15.460	15.463
406125	8059	0	0	0.630	0.627
406125	38021	1	1	26.350	26.346
408304	9039	0	0	3.890	3.892
408678	14003	0	0	13.940	13.939
409140	13006	0	0	2.580	2.581
409888	57045	0	0	3.650	3.649
412242	14007	0	0	2.100	2.097
412242	60050	0	0	2.060	2.057
412242	64054	0	0	10.970	10.973
415278	23037	1	0	6.690	6.689
415278	23047	0	0	10.670	10.674
415278	23012	1	1	15.420	15.421
415278	83139	1	1	48.460	48.461
47212	105072	0	0	2.530	2.528
47212	109100	0	0	7.110	7.113
475096	19014	0	0	49.710	49.714
475778	4000	0	0	1.920	1.921
47696	16000	0	0	0.780	0.777
493659	75005	0	0	6.260	6.264
499577	13009	0	0	23.640	23.639
499577	13030	0	0	1.960	1.959
499577	13031	0	0	3.130	3.126
499577	76044	0	0	1.650	1.648
500083	3002	0	0	4.810	4.808
51546	67024	0	0	5.860	5.856
52044	18004	0	0	0.680	0.676
52605	51023	0	0	5.050	5.054
52693	18034	0	0	2.220	2.220
54332	16017	0	0	11.390	11.395
54332	27025	0	0	39.540	39.545
54332	97060	0	0	5.740	5.739
54332	120071	0	0	7.750	7.750
54332	122091	1	1	39.720	39.716
54332	128111	0	0	37.340	37.339
54453	24030	0	0	66.720	66.724
54453	57050	0	0	39.680	39.684
54453	58051	0	0	49.390	49.387
55740	22018	0	0	55.980	55.979
56972	17024	0	0	6.260	6.257
57709	20014	0	0	0.900	0.898
57709	99036	0	0	16.400	16.396
58006	58035	0	0	24.910	24.906
69232	20021	0	0	4.970	4.972
71642	10118	0	0	1.160	1.159
71642	41028	1	0	7.900	7.903
71642	76071	0	0	17.700	17.700
71642	78077	0	0	9.440	9.437
71642	82096	0	0	27.120	27.120
71642	84105	1	1	13.800	13.799
71872	13008	0	0	1.790	1.787
71872	13012	0	0	37.430	37.425
71872	79074	0	0	22.160	22.157
72786	16017	0	0	8.210	8.213
72786	52050	0	0	0.640	0.641
74123	78026	0	0	13.310	13.314
74326	10020	0	0	19.010	19.014
74326	37030	0	0	89.010	89.010
75954	21048	0	0	5.670	5.674
75954	21063	0	0	4.410	4.411
76346	14059	0	0	2.430	3.082
76346	49048	0	0	55.550	2.748
76350	12098	0	0	4.370	4.371
76350	103093	1	1	13.630	13.626
77328	16017	0	0	1.320	1.324
91917	17005	1	1	84.850	84.847
91917	87053	0	0	2.410	2.414
94224	17013	0	0	3.640	3.642
95151	6002	0	0	12.530	12.529
96383	14005	1	0	8.190	8.189
96383	14007	0	0	2.840	2.842
98844	6013	1	0	7.340	7.336
98844	70063	0	0	9.250	9.252
99782	61032	0	0	20.230	20.233
99782	64035	0	0	3.920	3.915
